House of Representatives - 1998 Election				
National List of Candidates				
				
				
Candidate	Party		Division	State
"FAHEY, John"	LP		Macarthur	NSW
"FALCKE, Julie"	CTA		Moncrieff	QLD
"FARRAR, Jenny Maree"	GRN		McMillan	VIC
"FARREN, Phillip"	GWA		Curtin	WA
"FARRUGGIO, Teresa"	ALP		Ryan	QLD
"FAULKNER, Tio"	LP		Kingsford-Smith	NSW
"FELL, Nicholas"	RPA		Chisholm	VIC
"FENTON, Warren"	HAN		Moncrieff	QLD
"FERGUSON, Christine"	NP		Hume	NSW
"FERGUSON, Laurie"	ALP		Reid	NSW
"FERGUSON, Martin John"	ALP		Batman	VIC
"FEROS, Marion"	LP		Brisbane	QLD
"FERRARI, James Stephen"			Melbourne	VIC
"FIELD, Meret"	ACS		Goldstein	VIC
"FILING, Paul"	IND		Moore	WA
"FINLAYSON, Kathy"	NP		Kalgoorlie	WA
"FISCHER, Tim"	NP		Farrer	NSW
"FISHER, Irene"	DEM		Franklin	TAS
"FISHER, Robert"	DEM		Bonython	SA
"FITZGIBBON, Joel"	ALP		Hunter	NSW
"FORBES, Maria"	LP		Oxley	QLD
"FORD, Waverney"	HAN		Wentworth	NSW
"FORREST, John"	NP		Mallee	VIC
"FORSYTH, Mac"	CTA		O'Connor	WA
"FOWLER, Jenny"	NP		O'Connor	WA
"FOWLER, Philip"	IND		Hume	NSW
"FOX, Andrew Robert"	CEC		Wills	VIC
"FRASER, Desley"	LP		Wide Bay	QLD
"FRASER, Kirsty"	DEM		Lilley	QLD
"FRASER, Peter D"	DEM		Gilmore	NSW
"FRASER, Tim"	DEM		Swan	WA
"FREAME, Alma"	LP		Reid	NSW
"FREEMAN, Sharynne"	IND		Werriwa	NSW
"FROOD, Ron"	HAN		Rankin	QLD
"FULLER, Paul"	HAN		Paterson	NSW
"FURLAN, Maurice"	ACS		Farrer	NSW
"FURNESS, Joan"	GRN		Capricornia	QLD
"FYFFE, Paul"	GRN		Burke	VIC

"GAGO, Gail"	ALP		Makin	SA
"GALLAGHER, Paul"	CEC		Maribyrnong	VIC
"GALLUS, Chris"	LP		Hindmarsh	SA
"GAMBARO, Teresa"	LP		Petrie	QLD
"GAO, Ning"	UNI		Grayndler	NSW
"GARBUTCHEON SINGH, Michael"	UNI		Corio	VIC
"GARDNIR, Ron"	HAN		Shortland	NSW
"GASH, Joanna"	LP		Gilmore	NSW
"GATGENS, Bruce"	LP		Charlton	NSW
"GAVAGNIN NEWMAN, Amelia"	DEM		Watson	NSW
"GENT, Carolyn"	FST		Brand	WA
"GEOGHEGAN, Anthony Glenn"	IND		McMillan	VIC
"GEORGANAS, Steve"	ALP		Hindmarsh	SA
"GEORGE, Greg"	GRN		Griffith	QLD
"GEORGIOU, Petro"	LP		Kooyong	VIC
"GERICK, Jane"	ALP		Canning	WA
"GERRITY, Darryl"	TFP		Lyons	TAS
"GIBBONS, Steve"	ALP		Bendigo	VIC
"GIBSON, Colin"	HAN		Hindmarsh	SA
"GILBERT, Don"	DEM		Boothby	SA
"GILLARD, Julia"	ALP		Lalor	VIC
"GILLIES, Rosemary"	DEM		Riverina	NSW
"GLANCY, Kevin J"	HAN		Robertson	NSW
"GLEESON, Martin"	HAN		Calare	NSW
"GLEESON, Regina Evelyn"	DEM		Maranoa	QLD
"GOLDBERG, Manny"	ACS		Tangney	WA
"GOLLAN, William Edward"	NAN		Bennelong	NSW
"GOODLUCK, Jane"	LP		Franklin	TAS
