Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Capricornia (81499)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Rockhampton Central		2	0.87		105	45.65		0	0.00		33	14.35		4	1.74		4	1.74		3	1.30		0	0.00		23	10.00		44	19.13		4	1.74		8	3.48		0	0.00		230	98.29		4	1.71		234	0.30
Rockhampton High School		8	0.41		824	42.72		5	0.26		242	12.55		22	1.14		47	2.44		28	1.45		3	0.16		231	11.98		382	19.80		23	1.19		109	5.65		5	0.26		1929	97.18		56	2.82		1985	2.56
Rockhampton South		6	0.38		463	29.55		2	0.13		329	21.00		22	1.40		28	1.79		24	1.53		1	0.06		107	6.83		461	29.42		12	0.77		112	7.15		0	0.00		1567	97.21		45	2.79		1612	2.08
St Brendan's College		2	0.23		284	32.95		2	0.23		147	17.05		8	0.93		28	3.25		18	2.09		0	0.00		96	11.14		201	23.32		6	0.70		69	8.00		1	0.12		862	98.40		14	1.60		876	1.13
St Lawrence		0	0.00		36	27.48		0	0.00		29	22.14		0	0.00		1	0.76		3	2.29		0	0.00		32	24.43		26	19.85		2	1.53		2	1.53		0	0.00		131	98.50		2	1.50		133	0.17
Stanwell		1	0.42		67	27.92		1	0.42		54	22.50		1	0.42		3	1.25		0	0.00		0	0.00		51	21.25		47	19.58		5	2.08		10	4.17		0	0.00		240	96.77		8	3.23		248	0.32
Taranganba		11	0.51		747	34.81		2	0.09		343	15.98		8	0.37		74	3.45		33	1.54		0	0.00		215	10.02		586	27.31		26	1.21		101	4.71		0	0.00		2146	98.67		29	1.33		2175	2.80
The Caves		3	0.43		179	25.94		0	0.00		171	24.78		7	1.01		8	1.16		4	0.58		0	0.00		119	17.25		155	22.46		11	1.59		33	4.78		0	0.00		690	98.15		13	1.85		703	0.91
Tieri		2	0.34		388	64.99		0	0.00		57	9.55		4	0.67		3	0.50		4	0.67		1	0.17		30	5.03		68	11.39		8	1.34		31	5.19		1	0.17		597	98.84		7	1.16		604	0.78
Wandal		6	0.71		311	36.76		1	0.12		138	16.31		5	0.59		24	2.84		7	0.83		0	0.00		82	9.69		191	22.58		5	0.59		75	8.87		1	0.12		846	97.24		24	2.76		870	1.12
Westwood		1	0.97		32	31.07		0	0.00		37	35.92		1	0.97		0	0.00		0	0.00		0	0.00		20	19.42		9	8.74		1	0.97		2	1.94		0	0.00		103	97.17		3	2.83		106	0.14
Winton		9	1.42		222	34.91		1	0.16		157	24.69		5	0.79		8	1.26		3	0.47		2	0.31		85	13.36		130	20.44		5	0.79		9	1.42		0	0.00		636	96.66		22	3.34		658	0.85
Yaamba		0	0.00		20	13.33		0	0.00		41	27.33		0	0.00		1	0.67		4	2.67		0	0.00		33	22.00		42	28.00		6	4.00		3	2.00		0	0.00		150	96.15		6	3.85		156	0.20
Yeppoon		14	0.40		1254	35.45		4	0.11		504	14.25		24	0.68		137	3.87		64	1.81		3	0.08		405	11.45		875	24.74		32	0.90		218	6.16		3	0.08		3537	96.64		123	3.36		3660	4.71
Special Hospitals		5	0.92		236	43.30		0	0.00		124	22.75		3	0.55		5	0.92		2	0.37		1	0.18		32	5.87		121	22.20		4	0.73		12	2.20		0	0.00		545	92.53		44	7.47		589	0.76
Total Ordinary		289	0.47		26309	42.38		83	0.13		9047	14.57		570	0.92		1221	1.97		748	1.20		47	0.08		6980	11.24		13153	21.19		753	1.21		2853	4.60		33	0.05		62086	97.55		1559	2.45		63645	81.99
ABSENT		16	0.31		1932	37.80		14	0.27		803	15.71		54	1.06		133	2.60		99	1.94		3	0.06		566	11.07		1114	21.80		81	1.58		296	5.79		0	0.00		5111	98.74		65	1.26		5176	6.67
POSTAL		12	0.22		1804	33.65		12	0.22		1420	26.49		45	0.84		53	0.99		19	0.35		9	0.17		619	11.55		1138	21.23		55	1.03		172	3.21		3	0.06		5361	98.93		58	1.07		5419	6.98
PRE_POLL		16	0.59		1065	39.15		3	0.11		345	12.68		21	0.77		74	2.72		23	0.85		1	0.04		279	10.26		699	25.70		41	1.51		147	5.40		6	0.22		2720	98.91		30	1.09		2750	3.54
PROVISIONAL		4	0.64		307	49.36		2	0.32		69	11.09		3	0.48		15	2.41		18	2.89		0	0.00		56	9.00		106	17.04		19	3.05		23	3.70		0	0.00		622	97.34		17	2.66		639	0.82
Division Summary		337	0.44		31417	41.39		114	0.15		11684	15.39		693	0.91		1496	1.97		907	1.19		60	0.08		8500	11.2		16210	21.36		949	1.25		3491	4.6		42	0.06		75900	97.77		1729	2.23		77629	95.25
