Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Maranoa (84022)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Hebel		1	1.64		10	16.39		0	0.00		37	60.66		0	0.00		0	0.00		0	0.00		0	0.00		6	9.84		6	9.84		0	0.00		1	1.64		0	0.00		61	95.31		3	4.69		64	0.08
Inglestone		0	0.00		6	6.67		0	0.00		58	64.44		0	0.00		0	0.00		0	0.00		0	0.00		21	23.33		5	5.56		0	0.00		0	0.00		0	0.00		90	100.00		0	0.00		90	0.11
Inglewood		5	0.65		299	38.88		0	0.00		231	30.04		3	0.39		5	0.65		5	0.65		3	0.39		106	13.78		82	10.66		4	0.52		26	3.38		0	0.00		769	95.89		33	4.11		802	1.01
Injune		1	0.33		26	8.61		1	0.33		179	59.27		0	0.00		5	1.66		0	0.00		0	0.00		54	17.88		30	9.93		2	0.66		4	1.32		0	0.00		302	94.67		17	5.33		319	0.40
Isisford		2	2.17		23	25.00		0	0.00		24	26.09		1	1.09		0	0.00		0	0.00		0	0.00		20	21.74		18	19.57		0	0.00		4	4.35		0	0.00		92	97.87		2	2.13		94	0.12
Jandowae		6	0.86		105	14.98		5	0.71		317	45.22		3	0.43		11	1.57		2	0.29		0	0.00		156	22.25		81	11.55		8	1.14		7	1.00		0	0.00		701	95.63		32	4.37		733	0.92
Jimbour		1	0.81		4	3.23		1	0.81		76	61.29		0	0.00		2	1.61		0	0.00		0	0.00		22	17.74		14	11.29		1	0.81		3	2.42		0	0.00		124	95.38		6	4.62		130	0.16
Jundah		0	0.00		9	14.06		1	1.56		27	42.19		0	0.00		0	0.00		1	1.56		0	0.00		13	20.31		12	18.75		1	1.56		0	0.00		0	0.00		64	98.46		1	1.54		65	0.08
Kaimkillenbun		2	0.86		26	11.21		0	0.00		115	49.57		3	1.29		4	1.72		1	0.43		0	0.00		56	24.14		19	8.19		2	0.86		4	1.72		0	0.00		232	99.15		2	0.85		234	0.29
Karara		2	2.08		14	14.58		0	0.00		37	38.54		0	0.00		0	0.00		0	0.00		0	0.00		28	29.17		12	12.50		2	2.08		1	1.04		0	0.00		96	96.97		3	3.03		99	0.12
Killarney		3	0.37		122	15.04		2	0.25		356	43.90		7	0.86		8	0.99		11	1.36		0	0.00		174	21.45		98	12.08		6	0.74		24	2.96		0	0.00		811	97.24		23	2.76		834	1.05
Kindon		1	1.82		7	12.73		0	0.00		30	54.55		0	0.00		0	0.00		0	0.00		0	0.00		9	16.36		7	12.73		0	0.00		1	1.82		0	0.00		55	94.83		3	5.17		58	0.07
Kogan		0	0.00		11	13.25		0	0.00		26	31.33		2	2.41		2	2.41		1	1.20		0	0.00		18	21.69		13	15.66		5	6.02		5	6.02		0	0.00		83	95.40		4	4.60		87	0.11
Kupunn		0	0.00		14	11.57		1	0.83		69	57.02		2	1.65		0	0.00		3	2.48		0	0.00		25	20.66		6	4.96		0	0.00		0	0.00		1	0.83		121	98.37		2	1.63		123	0.15
Leyburn		1	0.55		63	34.43		1	0.55		39	21.31		5	2.73		3	1.64		0	0.00		0	0.00		45	24.59		19	10.38		1	0.55		6	3.28		0	0.00		183	97.34		5	2.66		188	0.24
Macalister		0	0.00		7	6.54		0	0.00		74	69.16		1	0.93		1	0.93		0	0.00		0	0.00		10	9.35		12	11.21		0	0.00		2	1.87		0	0.00		107	99.07		1	0.93		108	0.14
Maryvale		0	0.00		53	26.63		0	0.00		59	29.65		0	0.00		18	9.05		2	1.01		1	0.50		35	17.59		23	11.56		2	1.01		6	3.02		0	0.00		199	98.03		4	1.97		203	0.26
Massie		0	0.00		29	14.87		0	0.00		67	34.36		1	0.51		3	1.54		4	2.05		3	1.54		44	22.56		32	16.41		1	0.51		11	5.64		0	0.00		195	99.49		1	0.51		196	0.25
Meandarra		1	0.50		19	9.45		1	0.50		122	60.70		1	0.50		1	0.50		1	0.50		1	0.50		30	14.93		19	9.45		1	0.50		4	1.99		0	0.00		201	99.01		2	0.99		203	0.26
Miles		1	0.12		154	18.53		5	0.60		331	39.83		8	0.96		9	1.08		10	1.20		1	0.12		153	18.41		135	16.25		8	0.96		16	1.93		0	0.00		831	94.22		51	5.78		882	1.11
Millmerran		3	0.28		210	19.77		1	0.09		396	37.29		5	0.47		13	1.22		13	1.22		0	0.00		210	19.77		163	15.35		21	1.98		26	2.45		1	0.09		1062	95.59		49	4.41		1111	1.40
Mitchell		4	0.66		195	32.07		2	0.33		221	36.35		0	0.00		2	0.33		5	0.82		0	0.00		97	15.95		59	9.70		8	1.32		14	2.30		1	0.16		608	93.97		39	6.03		647	0.81
Moonie		0	0.00		12	7.84		4	2.61		66	43.14		0	0.00		1	0.65		0	0.00		0	0.00		38	24.84		26	16.99		2	1.31		1	0.65		3	1.96		153	97.45		4	2.55		157	0.20
Morven		3	2.07		40	27.59		1	0.69		58	40.00		1	0.69		3	2.07		0	0.00		0	0.00		15	10.34		19	13.10		3	2.07		2	1.38		0	0.00		145	96.03		6	3.97		151	0.19
Muckadilla		0	0.00		1	2.00		0	0.00		31	62.00		0	0.00		2	4.00		0	0.00		0	0.00		11	22.00		4	8.00		0	0.00		1	2.00		0	0.00		50	98.04		1	1.96		51	0.06
Mungallala		0	0.00		12	13.95		1	1.16		39	45.35		0	0.00		0	0.00		1	1.16		0	0.00		14	16.28		15	17.44		1	1.16		2	2.33		1	1.16		86	98.85		1	1.15		87	0.11
Mungindi		2	1.48		16	11.85		0	0.00		58	42.96		0	0.00		0	0.00		4	2.96		0	0.00		25	18.52		24	17.78		3	2.22		3	2.22		0	0.00		135	98.54		2	1.46		137	0.17
Murrays Bridge		0	0.00		12	8.33		1	0.69		70	48.61		1	0.69		5	3.47		1	0.69		1	0.69		22	15.28		24	16.67		3	2.08		4	2.78		0	0.00		144	98.63		2	1.37		146	0.18
Pratten		0	0.00		6	5.83		0	0.00		41	39.81		2	1.94		3	2.91		2	1.94		0	0.00		32	31.07		14	13.59		2	1.94		1	0.97		0	0.00		103	96.26		4	3.74		107	0.13
Quilpie		0	0.00		94	25.61		0	0.00		141	38.42		2	0.54		3	0.82		3	0.82		1	0.27		48	13.08		56	15.26		6	1.63		13	3.54		0	0.00		367	97.09		11	2.91		378	0.48
Rolleston		0	0.00		14	9.15		0	0.00		86	56.21		2	1.31		0	0.00		5	3.27		0	0.00		29	18.95		10	6.54		2	1.31		5	3.27		0	0.00		153	96.84		5	3.16		158	0.20
Roma		12	0.52		531	23.04		9	0.39		917	39.78		18	0.78		20	0.87		14	0.61		3	0.13		357	15.49		307	13.32		38	1.65		75	3.25		4	0.17		2305	95.52		108	4.48		2413	3.04
Roma School		8	0.84		261	27.33		4	0.42		325	34.03		10	1.05		17	1.78		5	0.52		0	0.00		140	14.66		131	13.72		24	2.51		30	3.14		0	0.00		955	96.86		31	3.14		986	1.24
Roma West		1	0.29		98	28.08		5	1.43		134	38.40		5	1.43		4	1.15		4	1.15		1	0.29		37	10.60		48	13.75		6	1.72		6	1.72		0	0.00		349	97.49		9	2.51		358	0.45
Rubyvale		1	0.36		49	17.75		1	0.36		57	20.65		1	0.36		7	2.54		3	1.09		0	0.00		127	46.01		20	7.25		0	0.00		10	3.62		0	0.00		276	96.84		9	3.16		285	0.36
St George		9	0.55		465	28.34		5	0.30		622	37.90		17	1.04		11	0.67		14	0.85		1	0.06		220	13.41		225	13.71		21	1.28		29	1.77		2	0.12		1641	95.69		74	4.31		1715	2.16
St Ruth		0	0.00		7	13.73		0	0.00		24	47.06		2	3.92		1	1.96		0	0.00		0	0.00		10	19.61		4	7.84		0	0.00		3	5.88		0	0.00		51	98.08		1	1.92		52	0.07
Sapphire		1	0.46		68	31.34		0	0.00		37	17.05		0	0.00		3	1.38		4	1.84		0	0.00		62	28.57		28	12.90		7	3.23		7	3.23		0	0.00		217	96.88		7	3.13		224	0.28
Springsure		5	0.85		90	15.25		1	0.17		302	51.19		8	1.36		4	0.68		2	0.34		0	0.00		115	19.49		54	9.15		5	0.85		4	0.68		0	0.00		590	95.47		28	4.53		618	0.78
Stanthorpe		5	0.26		565	29.75		3	0.16		519	27.33		12	0.63		55	2.90		28	1.47		5	0.26		277	14.59		300	15.80		39	2.05		89	4.69		2	0.11		1899	95.48		90	4.52		1989	2.50
Stanthorpe South		3	0.62		122	25.21		2	0.41		171	35.33		12	2.48		8	1.65		6	1.24		1	0.21		55	11.36		75	15.50		7	1.45		22	4.55		0	0.00		484	96.61		17	3.39		501	0.63
Stanthorpe West		3	0.46		184	27.96		0	0.00		202	30.70		3	0.46		11	1.67		6	0.91		1	0.15		78	11.85		130	19.76		7	1.06		33	5.02		0	0.00		658	95.50		31	4.50		689	0.87
