House of Representatives - 2001 Election: Tasmania												
Two Candidate Preferred Preference Flow Result												
By Polling Place												
												
Braddon (67749)												
		Candidate		                  	"SIDEBOTTOM, Sid"		            	"PATTISON, Alan"		             	Total	
				                           	ALP		                        	LP		                         		
				                           	Votes	%	                     	Votes	%	                     		
		"THOMPSON, Clare (GRN)"	22		21	95.45		1	4.55		22	
		"COOPER, Craig (DEM)"	5		3	60.00		2	40.00		5	
		"PICKFORD, Steve (HAN)"	22		6	27.27		16	72.73		22	
		Total	49		100	44.84		123	55.16		223	

	Penguin											
			1st Prefs		1031	57.53		761	42.47		1792	
		"THOMPSON, Clare (GRN)"	137		97	70.80		40	29.20		137	
		"COOPER, Craig (DEM)"	54		32	59.26		22	40.74		54	
		"PICKFORD, Steve (HAN)"	111		48	43.24		63	56.76		111	
		Total	302		1208	57.69		886	42.31		2094	

	Port Sorell											
			1st Prefs		780	50.78		756	49.22		1536	
		"THOMPSON, Clare (GRN)"	99		70	70.71		29	29.29		99	
		"COOPER, Craig (DEM)"	44		24	54.55		20	45.45		44	
		"PICKFORD, Steve (HAN)"	89		46	51.69		43	48.31		89	
		Total	232		920	52.04		848	47.96		1768	

	Preston											
			1st Prefs		23	41.82		32	58.18		55	
		"THOMPSON, Clare (GRN)"	12		8	66.67		4	33.33		12	
		"COOPER, Craig (DEM)"	1		0	0.00		1	100.00		1	
		"PICKFORD, Steve (HAN)"	6		4	66.67		2	33.33		6	
		Total	19		35	47.30		39	52.70		74	

	Reekara											
			1st Prefs		30	36.59		52	63.41		82	
		"THOMPSON, Clare (GRN)"	4		2	50.00		2	50.00		4	
		"COOPER, Craig (DEM)"	2		1	50.00		1	50.00		2	
		"PICKFORD, Steve (HAN)"	5		1	20.00		4	80.00		5	
		Total	11		34	36.56		59	63.44		93	

	Riana											
			1st Prefs		89	47.34		99	52.66		188	
		"THOMPSON, Clare (GRN)"	18		13	72.22		5	27.78		18	
		"COOPER, Craig (DEM)"	5		3	60.00		2	40.00		5	
