House of Representatives - 2001 Election: Tasmania							
Swing to ALP							
By Division by Polling Place							

Bass							
							
Polling Place	Formal	O'BYRNE		BENNEWORTH		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Chudleigh	260	111	42.69	149	57.31	-2.03	
Claude Road	165	87	52.73	78	47.27	-2.89	
Colebrook	225	151	67.11	74	32.89	1.67	
Coles Bay	152	72	47.37	80	52.63	-3.35	
Copping	198	117	59.09	81	40.91	-9.16	
Cressy	689	403	58.49	286	41.51	-3.67	
Deloraine	1965	932	47.43	1033	52.57	-6.46	
Dodges Ferry	1684	1104	65.56	580	34.44	-1.91	
Dromedary	257	148	57.59	109	42.41	-3.30	
Dunalley	412	238	57.77	174	42.23	-1.75	
Elizabeth Town	328	143	43.60	185	56.40	-5.34	
Ellendale	156	97	62.18	59	37.82	-6.57	
Epping	170	80	47.06	90	52.94	-8.61	
Evandale	1037	550	53.04	487	46.96	-4.20	
Exeter	1120	579	51.70	541	48.30	-0.52	
Fingal	279	216	77.42	63	22.58	0.80	
Forcett	334	176	52.69	158	47.31	-5.42	
Frankford	129	72	55.81	57	44.19	7.22	
Glengarry	289	156	53.98	133	46.02	3.31	
Glenora	218	157	72.02	61	27.98	-5.06	
Granton	297	151	50.84	146	49.16	-4.68	
Gravelly Beach	615	317	51.54	298	48.46	-8.02	
Gretna	176	96	54.55	80	45.45	-0.66	
Hadspen	1055	539	51.09	516	48.91	-5.58	
Hagley	311	105	33.76	206	66.24	2.10	
Hamilton	163	101	61.96	62	38.04	-0.61	
Kelso	149	78	52.35	71	47.65	1.11	
Kempton	276	192	69.57	84	30.43	-1.91	
Lachlan	285	199	69.82	86	30.18	-5.79	
Legana (Lyons)	755	306	40.53	449	59.47	-0.81	
Levendale	112	68	60.71	44	39.29	-0.55	
Longford	2035	1172	57.59	863	42.41	-4.53	
Lower Barrington	391	165	42.20	226	57.80	1.44	
Magra	450	304	67.56	146	32.44	-0.96	
Mathinna	106	87	82.08	19	17.92	-4.29	
Maydena	158	98	62.03	60	37.97	-10.23	
Meander	211	100	47.39	111	52.61	-0.49	
Midway Point	1396	859	61.53	537	38.47	-2.90	
Miena	106	63	59.43	43	40.57	2.29	
Mole Creek	359	163	45.40	196	54.60	-6.63	
Molesworth	258	179	69.38	79	30.62	0.30	
New Norfolk	2291	1594	69.58	697	30.42	-5.52	
New Norfolk North	941	754	80.13	187	19.87	0.54	
Nubeena	551	354	64.25	197	35.75	-2.75	
Oatlands	599	361	60.27	238	39.73	2.15	
Orford	456	222	48.68	234	51.32	-0.65	
Ouse	227	134	59.03	93	40.97	-10.93	
Parattah	148	99	66.89	49	33.11	-1.21	
Perth	1639	958	58.45	681	41.55	-2.80	
Pontville	447	264	59.06	183	40.94	-5.04	
Port Arthur	181	112	61.88	69	38.12	-0.17	
Primrose Sands	388	291	75.00	97	25.00	-6.43	
Pyengana	107	49	45.79	58	54.21	-2.17	
Queenstown	1211	768	63.42	443	36.58	-3.97	
Railton	712	400	56.18	312	43.82	-8.02	
Richmond	937	502	53.58	435	46.42	1.92	
Rosebery	503	402	79.92	101	20.08	3.24	
Ross	263	162	61.60	101	38.40	-0.94	
Saltwater River	106	61	57.55	45	42.45	-7.41	
Scamander	541	359	66.36	182	33.64	-4.24	
Sheffield	1155	547	47.36	608	52.64	-7.31	
Sidmouth	524	268	51.15	256	48.85	1.87	
Sorell	1958	1070	54.65	888	45.35	-3.52	
Special Hospital Team 1	107	68	63.55	39	36.45	13.55	
Special Hospital Team 2	60	40	66.67	20	33.33	-	
Special Hospital Team 3	19	13	68.42	6	31.58	-	
St Helens	1648	981	59.53	667	40.47	-0.91	
St Marys	561	425	75.76	136	24.24	-4.44	
Strahan	415	244	58.80	171	41.20	-1.50	
Swansea	639	374	58.53	265	41.47	-2.91	
Taranna	320	200	62.50	120	37.50	0.13	
Tea Tree	170	72	42.35	98	57.65	-5.88	
Triabunna	666	434	65.17	232	34.83	-0.81	
Tullah	189	129	68.25	60	31.75	-4.34	
Tunbridge	84	55	65.48	29	34.52	-9.01	
Tunnack	192	97	50.52	95	49.48	-3.16	
Wayatinah	33	19	57.58	14	42.42	-25.40	
Westbury	1305	621	47.59	684	52.41	-4.44	
Westerway	201	135	67.16	66	32.84	-3.79	
Whitemore	116	36	31.03	80	68.97	4.87	
Wilmot	257	131	50.97	126	49.03	0.44	
Zeehan	423	292	69.03	131	30.97	-1.79	
ABSENT	3703	2161	58.36	1542	41.64	-	
POSTAL	2664	1472	55.26	1192	44.74	-	
PRE POLL	1521	820	53.91	701	46.09	-	
PROVISIONAL	300	211	70.33	89	29.67	-	
Division Total	58393	33970	58.17	24423	41.83	-2.94	
							
							
