State;Division;Polling Place;Count;Ballot Position;Candidate Status;Vote Distributed;Vote;Vote Pc;Elected Swing;Exhausted Transfer;Exhausted
NSW;Banks;PROVISIONAL;1;3;R;0;165;66.53;;;
NSW;Banks;PROVISIONAL;1;4;R;0;7;2.82;;;
NSW;Banks;PROVISIONAL;1;5;R;0;57;22.98;;;
NSW;Banks;PROVISIONAL;1;6;R;0;5;2.02;;;
NSW;Banks;DIVISION SUMMARY;1;1;R;0;2522;3.42;;;
NSW;Banks;DIVISION SUMMARY;1;2;R;0;1726;2.34;;;
NSW;Banks;DIVISION SUMMARY;1;3;R;0;40460;54.80;;;
NSW;Banks;DIVISION SUMMARY;1;4;R;0;2642;3.58;;;
NSW;Banks;DIVISION SUMMARY;1;5;R;0;25634;34.72;;;
NSW;Banks;DIVISION SUMMARY;1;6;R;0;846;1.15;;;
NSW;Banks;DIVISION SUMMARY;2;1;R;452;2974;4.03;;;
NSW;Banks;DIVISION SUMMARY;2;2;R;37;1763;2.39;;;
NSW;Banks;DIVISION SUMMARY;2;3;R;96;40556;54.93;;;
NSW;Banks;DIVISION SUMMARY;2;4;R;101;2743;3.72;;;
NSW;Banks;DIVISION SUMMARY;2;5;R;157;25791;34.93;;;
NSW;Banks;DIVISION SUMMARY;2;6;X;;;;;3;3
NSW;Banks;DIVISION SUMMARY;3;1;R;332;3306;4.48;;;
NSW;Banks;DIVISION SUMMARY;3;2;X;;;;;8;11
NSW;Banks;DIVISION SUMMARY;3;3;R;295;40851;55.34;;;
NSW;Banks;DIVISION SUMMARY;3;4;R;161;2904;3.93;;;
NSW;Banks;DIVISION SUMMARY;3;5;R;967;26758;36.25;;;
NSW;Banks;DIVISION SUMMARY;4;1;R;990;4296;5.82;;;
NSW;Banks;DIVISION SUMMARY;4;3;R;1292;42143;57.09;;;
NSW;Banks;DIVISION SUMMARY;4;4;X;;;;;4;15
NSW;Banks;DIVISION SUMMARY;4;5;R;618;27376;37.09;;;
NSW;Banks;DIVISION SUMMARY;5;1;X;;;;;23;38
NSW;Banks;DIVISION SUMMARY;5;3;E;2532;44675;60.54;2.91;;
NSW;Banks;DIVISION SUMMARY;5;5;R;1741;29117;39.46;;;
NSW;Barton;Allawah;1;1;R;0;569;37.51;;;
NSW;Barton;Allawah;1;2;R;0;857;56.49;;;
NSW;Barton;Allawah;1;3;R;0;8;0.53;;;
NSW;Barton;Allawah;1;4;R;0;44;2.90;;;
NSW;Barton;Allawah;1;5;R;0;27;1.78;;;
NSW;Barton;Allawah;1;6;R;0;3;0.20;;;
NSW;Barton;Allawah;1;7;R;0;6;0.40;;;
NSW;Barton;Allawah;1;8;R;0;3;0.20;;;
NSW;Barton;Arncliffe;1;1;R;0;316;32.48;;;
NSW;Barton;Arncliffe;1;2;R;0;602;61.87;;;
NSW;Barton;Arncliffe;1;3;R;0;11;1.13;;;
NSW;Barton;Arncliffe;1;4;R;0;23;2.36;;;
NSW;Barton;Arncliffe;1;5;R;0;12;1.23;;;
NSW;Barton;Arncliffe;1;6;R;0;6;0.62;;;
NSW;Barton;Arncliffe;1;7;R;0;2;0.21;;;
NSW;Barton;Arncliffe;1;8;R;0;1;0.10;;;
NSW;Barton;Arncliffe East;1;1;R;0;266;22.22;;;
NSW;Barton;Arncliffe East;1;2;R;0;872;72.85;;;
NSW;Barton;Arncliffe East;1;3;R;0;7;0.58;;;
NSW;Barton;Arncliffe East;1;4;R;0;16;1.34;;;
NSW;Barton;Arncliffe East;1;5;R;0;17;1.42;;;
NSW;Barton;Arncliffe East;1;6;R;0;6;0.50;;;
NSW;Barton;Arncliffe East;1;7;R;0;5;0.42;;;
NSW;Barton;Arncliffe East;1;8;R;0;8;0.67;;;
NSW;Barton;Arncliffe West;1;1;R;0;162;17.46;;;
NSW;Barton;Arncliffe West;1;2;R;0;724;78.02;;;
NSW;Barton;Arncliffe West;1;3;R;0;3;0.32;;;
NSW;Barton;Arncliffe West;1;4;R;0;26;2.80;;;
NSW;Barton;Arncliffe West;1;5;R;0;4;0.43;;;
NSW;Barton;Arncliffe West;1;6;R;0;2;0.22;;;
NSW;Barton;Arncliffe West;1;7;R;0;6;0.65;;;
NSW;Barton;Arncliffe West;1;8;R;0;1;0.11;;;
