Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Kingsford Smith (86647)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Qantas		2	4.55		0	0.00		1	2.27		0	0.00		0	0.00		0	0.00		2	4.55		0	0.00		0	0.00		19	43.18		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		16	36.36		1	2.27		0	0.00		3	6.82		0	0.00		0	0.00		0	0.00		0	0.00		44	95.65		2	4.35		46	0.06
Randwick Girls High		53	2.75		18	0.93		9	0.47		1	0.05		25	1.30		1	0.05		211	10.95		10	0.52		4	0.21		655	33.99		3	0.16		0	0.00		12	0.62		0	0.00		3	0.16		2	0.10		743	38.56		8	0.42		4	0.21		152	7.89		6	0.31		1	0.05		3	0.16		3	0.16		1927	96.16		77	3.84		2004	2.45
Sydney (Kingsford Smith)		4	2.16		1	0.54		0	0.00		0	0.00		2	1.08		0	0.00		22	11.89		4	2.16		0	0.00		73	39.46		0	0.00		0	0.00		2	1.08		0	0.00		0	0.00		0	0.00		61	32.97		0	0.00		0	0.00		16	8.65		0	0.00		0	0.00		0	0.00		0	0.00		185	96.86		6	3.14		191	0.23
The Rainbow		27	2.26		20	1.67		11	0.92		0	0.00		26	2.18		0	0.00		91	7.62		9	0.75		0	0.00		457	38.24		7	0.59		1	0.08		8	0.67		0	0.00		3	0.25		4	0.33		416	34.81		10	0.84		2	0.17		99	8.28		1	0.08		0	0.00		1	0.08		2	0.17		1195	97.08		36	2.92		1231	1.50
The Spot		33	3.04		14	1.29		4	0.37		0	0.00		12	1.10		1	0.09		138	12.71		7	0.64		1	0.09		371	34.16		2	0.18		0	0.00		2	0.18		0	0.00		1	0.09		0	0.00		376	34.62		3	0.28		1	0.09		115	10.59		0	0.00		0	0.00		4	0.37		1	0.09		1086	96.71		37	3.29		1123	1.37
Special Hospitals		7	3.15		4	1.80		0	0.00		0	0.00		0	0.00		1	0.45		2	0.90		1	0.45		3	1.35		107	48.20		0	0.00		0	0.00		0	0.00		0	0.00		1	0.45		0	0.00		85	38.29		0	0.00		0	0.00		11	4.95		0	0.00		0	0.00		0	0.00		0	0.00		222	100.00		0	0.00		222	0.27
Total Ordinary		2638	4.05		700	1.07		357	0.55		27	0.04		1189	1.82		72	0.11		4018	6.16		507	0.78		177	0.27		27827	42.69		251	0.39		38	0.06		345	0.53		25	0.04		53	0.08		83	0.13		22222	34.09		331	0.51		111	0.17		3876	5.95		32	0.05		24	0.04		260	0.40		20	0.03		65183	95.11		3352	4.89		68535	83.75
ABSENT		149	2.74		65	1.20		24	0.44		2	0.04		135	2.48		9	0.17		518	9.53		63	1.16		10	0.18		1906	35.06		37	0.68		1	0.02		38	0.70		4	0.07		2	0.04		13	0.24		1921	35.33		29	0.53		11	0.20		477	8.77		5	0.09		1	0.02		16	0.29		1	0.02		5437	97.58		135	2.42		5572	6.81
POSTAL		122	4.72		31	1.20		9	0.35		0	0.00		40	1.55		4	0.15		157	6.07		9	0.35		2	0.08		1025	39.64		5	0.19		0	0.00		6	0.23		1	0.04		0	0.00		0	0.00		1040	40.22		14	0.54		7	0.27		97	3.75		0	0.00		1	0.04		15	0.58		1	0.04		2586	98.70		34	1.30		2620	3.20
PRE_POLL		153	3.72		28	0.68		20	0.49		1	0.02		135	3.29		5	0.12		340	8.28		19	0.46		13	0.32		1516	36.90		15	0.37		1	0.02		17	0.41		1	0.02		1	0.02		10	0.24		1515	36.88		40	0.97		5	0.12		245	5.96		2	0.05		3	0.07		19	0.46		4	0.10		4108	98.07		81	1.93		4189	5.12
PROVISIONAL		24	2.73		11	1.25		7	0.80		0	0.00		27	3.07		0	0.00		50	5.69		16	1.82		0	0.00		368	41.87		10	1.14		2	0.23		6	0.68		1	0.11		1	0.11		5	0.57		284	32.31		10	1.14		5	0.57		51	5.80		0	0.00		0	0.00		1	0.11		0	0.00		879	96.17		35	3.83		914	1.12
Division Summary		3086	3.95		835	1.07		417	0.53		30	0.04		1526	1.95		90	0.12		5083	6.5		614	0.79		202	0.26		32642	41.75		318	0.41		42	0.05		412	0.53		32	0.04		57	0.07		111	0.14		26982	34.51		424	0.54		139	0.18		4746	6.07		39	0.05		29	0.04		311	0.4		26	0.03		78193	95.56		3637	4.44		81830	94.44
