Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Eden-Monaro (85815)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Queanbeyan East		89	4.52		29	1.47		0	0.00		1	0.05		25	1.27		5	0.25		192	9.74		20	1.01		4	0.20		659	33.43		15	0.76		1	0.05		18	0.91		0	0.00		2	0.10		3	0.15		755	38.31		16	0.81		0	0.00		127	6.44		0	0.00		0	0.00		9	0.46		1	0.05		1971	97.38		53	2.62		2024	2.46
Queanbeyan High		66	4.54		14	0.96		0	0.00		0	0.00		44	3.03		0	0.00		100	6.88		13	0.89		4	0.28		640	44.02		6	0.41		2	0.14		13	0.89		0	0.00		2	0.14		1	0.07		488	33.56		12	0.83		4	0.28		38	2.61		1	0.07		0	0.00		6	0.41		0	0.00		1454	94.91		78	5.09		1532	1.86
Queanbeyan Hospital		40	5.91		7	1.03		0	0.00		0	0.00		19	2.81		1	0.15		60	8.86		6	0.89		1	0.15		260	38.40		3	0.44		0	0.00		7	1.03		0	0.00		0	0.00		0	0.00		233	34.42		3	0.44		0	0.00		36	5.32		0	0.00		0	0.00		1	0.15		0	0.00		677	96.16		27	3.84		704	0.86
Queanbeyan North		57	4.26		22	1.64		2	0.15		0	0.00		32	2.39		0	0.00		116	8.67		15	1.12		2	0.15		521	38.94		10	0.75		1	0.07		15	1.12		0	0.00		2	0.15		4	0.30		434	32.44		13	0.97		5	0.37		82	6.13		0	0.00		0	0.00		3	0.22		2	0.15		1338	96.96		42	3.04		1380	1.68
Queanbeyan South		152	4.22		41	1.14		1	0.03		4	0.11		104	2.89		4	0.11		245	6.81		20	0.56		3	0.08		1701	47.28		18	0.50		1	0.03		47	1.31		2	0.06		3	0.08		3	0.08		1086	30.18		28	0.78		2	0.06		108	3.00		0	0.00		6	0.17		18	0.50		1	0.03		3598	96.20		142	3.80		3740	4.55
Queanbeyan West		82	4.92		22	1.32		1	0.06		4	0.24		47	2.82		2	0.12		124	7.45		9	0.54		0	0.00		691	41.50		10	0.60		0	0.00		20	1.20		2	0.12		6	0.36		4	0.24		563	33.81		8	0.48		1	0.06		59	3.54		0	0.00		0	0.00		10	0.60		0	0.00		1665	92.81		129	7.19		1794	2.18
South Durras		10	5.29		2	1.06		0	0.00		0	0.00		4	2.12		0	0.00		13	6.88		2	1.06		1	0.53		62	32.80		0	0.00		0	0.00		2	1.06		0	0.00		0	0.00		0	0.00		70	37.04		0	0.00		0	0.00		20	10.58		0	0.00		0	0.00		2	1.06		1	0.53		189	96.92		6	3.08		195	0.24
Sunshine Bay		93	4.69		49	2.47		0	0.00		1	0.05		35	1.77		1	0.05		92	4.64		14	0.71		5	0.25		592	29.87		6	0.30		0	0.00		13	0.66		1	0.05		3	0.15		2	0.10		991	50.00		9	0.45		4	0.20		63	3.18		0	0.00		0	0.00		7	0.35		1	0.05		1982	97.83		44	2.17		2026	2.46
Sutton (Eden-Monaro)		29	4.67		5	0.81		0	0.00		0	0.00		5	0.81		2	0.32		57	9.18		9	1.45		2	0.32		167	26.89		4	0.64		0	0.00		7	1.13		0	0.00		2	0.32		1	0.16		261	42.03		2	0.32		2	0.32		64	10.31		0	0.00		1	0.16		1	0.16		0	0.00		621	98.73		8	1.27		629	0.77
Sydney (Eden-Monaro)		3	5.88		0	0.00		0	0.00		0	0.00		2	3.92		0	0.00		7	13.73		0	0.00		0	0.00		16	31.37		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		21	41.18		0	0.00		0	0.00		2	3.92		0	0.00		0	0.00		0	0.00		0	0.00		51	98.08		1	1.92		52	0.06
