Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Hume (85640)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Murrumbateman		68	6.13		19	1.71		0	0.00		0	0.00		6	0.54		4	0.36		129	11.63		7	0.63		1	0.09		278	25.07		6	0.54		0	0.00		1	0.09		0	0.00		2	0.18		1	0.09		508	45.81		2	0.18		1	0.09		70	6.31		0	0.00		1	0.09		5	0.45		0	0.00		1109	98.23		20	1.77		1129	1.37
Murrumburrah		44	8.16		2	0.37		2	0.37		0	0.00		17	3.15		2	0.37		11	2.04		4	0.74		0	0.00		185	34.32		7	1.30		0	0.00		1	0.19		0	0.00		0	0.00		0	0.00		243	45.08		9	1.67		0	0.00		6	1.11		0	0.00		2	0.37		4	0.74		0	0.00		539	92.93		41	7.07		580	0.71
New Berrima		27	9.96		1	0.37		0	0.00		0	0.00		7	2.58		0	0.00		10	3.69		3	1.11		0	0.00		94	34.69		1	0.37		0	0.00		1	0.37		0	0.00		0	0.00		0	0.00		106	39.11		5	1.85		1	0.37		14	5.17		0	0.00		0	0.00		1	0.37		0	0.00		271	96.44		10	3.56		281	0.34
Oakdale		104	11.59		11	1.23		0	0.00		0	0.00		14	1.56		1	0.11		38	4.24		10	1.11		5	0.56		214	23.86		12	1.34		0	0.00		14	1.56		1	0.11		2	0.22		1	0.11		418	46.60		8	0.89		0	0.00		34	3.79		1	0.11		0	0.00		9	1.00		0	0.00		897	96.14		36	3.86		933	1.13
Orangeville		53	9.83		12	2.23		1	0.19		0	0.00		7	1.30		0	0.00		22	4.08		1	0.19		1	0.19		53	9.83		4	0.74		0	0.00		5	0.93		0	0.00		1	0.19		1	0.19		351	65.12		3	0.56		0	0.00		19	3.53		0	0.00		0	0.00		5	0.93		0	0.00		539	95.91		23	4.09		562	0.68
Picton		170	7.97		39	1.83		1	0.05		0	0.00		20	0.94		3	0.14		150	7.04		26	1.22		2	0.09		497	23.31		17	0.80		0	0.00		14	0.66		0	0.00		2	0.09		6	0.28		1022	47.94		21	0.98		2	0.09		122	5.72		1	0.05		1	0.05		14	0.66		2	0.09		2132	97.35		58	2.65		2190	2.66
Reids Flat		12	14.81		1	1.23		0	0.00		0	0.00		3	3.70		0	0.00		2	2.47		0	0.00		0	0.00		31	38.27		0	0.00		0	0.00		2	2.47		0	0.00		0	0.00		0	0.00		29	35.80		1	1.23		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		81	97.59		2	2.41		83	0.10
Rugby		4	7.27		0	0.00		0	0.00		0	0.00		2	3.64		0	0.00		1	1.82		0	0.00		0	0.00		12	21.82		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		36	65.45		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		55	98.21		1	1.79		56	0.07
Rye Park		19	13.19		8	5.56		0	0.00		1	0.69		1	0.69		0	0.00		4	2.78		2	1.39		0	0.00		28	19.44		1	0.69		1	0.69		3	2.08		0	0.00		0	0.00		1	0.69		73	50.69		0	0.00		0	0.00		2	1.39		0	0.00		0	0.00		0	0.00		0	0.00		144	97.96		3	2.04		147	0.18
Silverdale		42	8.43		4	0.80		0	0.00		0	0.00		19	3.82		1	0.20		15	3.01		4	0.80		3	0.60		95	19.08		4	0.80		1	0.20		3	0.60		0	0.00		0	0.00		2	0.40		294	59.04		2	0.40		0	0.00		7	1.41		0	0.00		0	0.00		2	0.40		0	0.00		498	97.27		14	2.73		512	0.62
