House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Hume (85640)											
		Candidate		"SCHULTZ, Alby"		              	"MERRIMAN, Jan"		              	Total	
				LP		                         	ALP		                        		
				Votes	%	                     	Votes	%	                     		
		Total	14	46	56.79		35	43.21		81	

	Rugby										
			1st Prefs	38	73.08		14	26.92		52	
		"WATCHIRS, Kevin (GRN)"	0	0	0.00		0	0.00		0	
		"ROXBURGH, James (DEM)"	1	0	0.00		1	100.00		1	
		"PRELL, Charlie (HAN)"	3	2	66.67		1	33.33		3	
		Total	4	40	71.43		16	28.57		56	

	Rye Park										
			1st Prefs	93	82.30		20	17.70		113	
		"WATCHIRS, Kevin (GRN)"	2	1	50.00		1	50.00		2	
		"ROXBURGH, James (DEM)"	6	1	16.67		5	83.33		6	
		"PRELL, Charlie (HAN)"	22	13	59.09		9	40.91		22	
		Total	30	108	75.52		35	24.48		143	

	Silverdale										
			1st Prefs	327	75.69		105	24.31		432	
		"WATCHIRS, Kevin (GRN)"	11	2	18.18		9	81.82		11	
		"ROXBURGH, James (DEM)"	10	5	50.00		5	50.00		10	
		"PRELL, Charlie (HAN)"	43	11	25.58		32	74.42		43	
		Total	64	345	69.56		151	30.44		496	

	Sutton (Hume)										
			1st Prefs	56	60.87		36	39.13		92	
		"WATCHIRS, Kevin (GRN)"	17	3	17.65		14	82.35		17	
		"ROXBURGH, James (DEM)"	9	1	11.11		8	88.89		9	
		"PRELL, Charlie (HAN)"	9	4	44.44		5	55.56		9	
		Total	35	64	50.39		63	49.61		127	

	Sydney (Hume)										
			1st Prefs	37	68.52		17	31.48		54	
		"WATCHIRS, Kevin (GRN)"	4	2	50.00		2	50.00		4	
		"ROXBURGH, James (DEM)"	5	1	20.00		4	80.00		5	
		"PRELL, Charlie (HAN)"	0	0	0.00		0	0.00		0	
		Total	9	40	63.49		23	36.51		63	

	Tahmoor										
			1st Prefs	1238	58.18		890	41.82		2128	
		"WATCHIRS, Kevin (GRN)"	143	34	23.78		109	76.22		143	
		"ROXBURGH, James (DEM)"	108	50	46.30		58	53.70		108	
		"PRELL, Charlie (HAN)"	245	88	35.92		157	64.08		245	
		Total	496	1410	53.73		1214	46.27		2624	

	Tallong										
			1st Prefs	88	55.35		71	44.65		159	
		"WATCHIRS, Kevin (GRN)"	9	3	33.33		6	66.67		9	
		"ROXBURGH, James (DEM)"	13	6	46.15		7	53.85		13	
		"PRELL, Charlie (HAN)"	25	14	56.00		11	44.00		25	
		Total	47	111	53.88		95	46.12		206	

	Tarago										
			1st Prefs	162	72.00		63	28.00		225	
		"WATCHIRS, Kevin (GRN)"	9	3	33.33		6	66.67		9	
		"ROXBURGH, James (DEM)"	22	7	31.82		15	68.18		22	
		"PRELL, Charlie (HAN)"	34	16	47.06		18	52.94		34	
		Total	65	188	64.83		102	35.17		290	

	Taralga										
			1st Prefs	280	81.40		64	18.60		344	
		"WATCHIRS, Kevin (GRN)"	11	4	36.36		7	63.64		11	
		"ROXBURGH, James (DEM)"	6	3	50.00		3	50.00		6	
		"PRELL, Charlie (HAN)"	57	29	50.88		28	49.12		57	
		Total	74	316	75.60		102	24.40		418	

	The Oaks										
			1st Prefs	889	69.62		388	30.38		1277	
		"WATCHIRS, Kevin (GRN)"	77	32	41.56		45	58.44		77	
		"ROXBURGH, James (DEM)"	67	32	47.76		35	52.24		67	
