Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Gilmore (83909)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Moss Vale		101	5.57		38	2.10		2	0.11		0	0.00		31	1.71		2	0.11		117	6.45		19	1.05		4	0.22		511	28.19		19	1.05		7	0.39		12	0.66		0	0.00		2	0.11		4	0.22		846	46.66		14	0.77		0	0.00		63	3.47		0	0.00		3	0.17		13	0.72		5	0.28		1813	95.98		76	4.02		1889	2.35
Moss Vale Central		93	4.92		39	2.06		1	0.05		1	0.05		29	1.53		0	0.00		139	7.35		14	0.74		0	0.00		480	25.40		17	0.90		1	0.05		7	0.37		1	0.05		1	0.05		1	0.05		952	50.37		16	0.85		3	0.16		82	4.34		0	0.00		1	0.05		9	0.48		3	0.16		1890	96.48		69	3.52		1959	2.44
Nowra		138	6.30		60	2.74		8	0.37		0	0.00		40	1.83		0	0.00		103	4.70		23	1.05		3	0.14		532	24.28		19	0.87		1	0.05		25	1.14		0	0.00		2	0.09		2	0.09		1121	51.16		16	0.73		2	0.09		83	3.79		0	0.00		1	0.05		12	0.55		0	0.00		2191	96.82		72	3.18		2263	2.81
Nowra Centre		69	6.21		28	2.52		4	0.36		0	0.00		11	0.99		2	0.18		60	5.40		12	1.08		3	0.27		245	22.05		8	0.72		1	0.09		6	0.54		0	0.00		0	0.00		1	0.09		604	54.37		9	0.81		2	0.18		40	3.60		1	0.09		1	0.09		3	0.27		1	0.09		1111	96.86		36	3.14		1147	1.43
Nowra East		120	6.31		44	2.31		23	1.21		2	0.11		50	2.63		2	0.11		63	3.31		31	1.63		2	0.11		612	32.18		8	0.42		2	0.11		15	0.79		1	0.05		1	0.05		4	0.21		832	43.74		21	1.10		1	0.05		54	2.84		0	0.00		0	0.00		14	0.74		0	0.00		1902	96.30		73	3.70		1975	2.46
Nowra Hill		25	8.25		1	0.33		1	0.33		0	0.00		0	0.00		0	0.00		18	5.94		1	0.33		1	0.33		59	19.47		2	0.66		1	0.33		2	0.66		0	0.00		0	0.00		0	0.00		189	62.38		0	0.00		0	0.00		2	0.66		0	0.00		0	0.00		1	0.33		0	0.00		303	98.38		5	1.62		308	0.38
Nowra Hospital		11	4.85		5	2.20		0	0.00		0	0.00		4	1.76		0	0.00		15	6.61		0	0.00		4	1.76		71	31.28		3	1.32		0	0.00		3	1.32		0	0.00		0	0.00		0	0.00		94	41.41		4	1.76		1	0.44		9	3.96		0	0.00		0	0.00		3	1.32		0	0.00		227	97.84		5	2.16		232	0.29
Nowra North		35	5.00		24	3.43		0	0.00		1	0.14		15	2.14		3	0.43		51	7.29		5	0.71		0	0.00		164	23.43		6	0.86		0	0.00		5	0.71		0	0.00		0	0.00		0	0.00		366	52.29		3	0.43		1	0.14		18	2.57		0	0.00		0	0.00		3	0.43		0	0.00		700	98.18		13	1.82		713	0.89
Nowra South		35	5.51		18	2.83		7	1.10		0	0.00		15	2.36		0	0.00		26	4.09		7	1.10		2	0.31		194	30.55		2	0.31		0	0.00		3	0.47		0	0.00		0	0.00		2	0.31		295	46.46		9	1.42		0	0.00		18	2.83		0	0.00		1	0.16		1	0.16		0	0.00		635	97.99		13	2.01		648	0.81
Orient Point		46	9.75		4	0.85		9	1.91		1	0.21		10	2.12		1	0.21		11	2.33		6	1.27		0	0.00		170	36.02		4	0.85		0	0.00		7	1.48		0	0.00		0	0.00		1	0.21		189	40.04		1	0.21		0	0.00		10	2.12		0	0.00		1	0.21		1	0.21		0	0.00		472	95.55		22	4.45		494	0.61
Penrose		15	10.95		0	0.00		1	0.73		2	1.46		2	1.46		0	0.00		14	10.22		4	2.92		0	0.00		27	19.71		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		57	41.61		0	0.00		0	0.00		15	10.95		0	0.00		0	0.00		0	0.00		0	0.00		137	97.86		3	2.14		140	0.17
Robertson		69	7.20		37	3.86		0	0.00		1	0.10		3	0.31		1	0.10		89	9.29		13	1.36		1	0.10		213	22.23		10	1.04		1	0.10		11	1.15		0	0.00		1	0.10		1	0.10		429	44.78		5	0.52		2	0.21		61	6.37		0	0.00		0	0.00		5	0.52		5	0.52		958	97.26		27	2.74		985	1.23
St Georges Basin		80	8.07		23	2.32		0	0.00		1	0.10		8	0.81		3	0.30		30	3.03		4	0.40		1	0.10		276	27.85		9	0.91		3	0.30		8	0.81		0	0.00		1	0.10		0	0.00		492	49.65		4	0.40		0	0.00		41	4.14		0	0.00		0	0.00		7	0.71		0	0.00		991	97.16		29	2.84		1020	1.27
Sanctuary Point		279	9.26		34	1.13		11	0.37		0	0.00		45	1.49		0	0.00		116	3.85		20	0.66		3	0.10		1114	36.97		11	0.37		0	0.00		29	0.96		1	0.03		5	0.17		2	0.07		1220	40.49		10	0.33		5	0.17		90	2.99		1	0.03		1	0.03		16	0.53		0	0.00		3013	95.38		146	4.62		3159	3.93
Shoalhaven Heads		158	7.62		32	1.54		0	0.00		2	0.10		18	0.87		1	0.05		100	4.82		17	0.82		2	0.10		706	34.06		8	0.39		3	0.14		13	0.63		0	0.00		2	0.10		2	0.10		917	44.24		10	0.48		1	0.05		69	3.33		2	0.10		0	0.00		8	0.39		2	0.10		2073	95.35		101	4.65		2174	2.70
Sussex Inlet		220	10.63		14	0.68		2	0.10		1	0.05		31	1.50		2	0.10		68	3.29		16	0.77		6	0.29		704	34.01		8	0.39		0	0.00		19	0.92		0	0.00		1	0.05		3	0.14		898	43.38		9	0.43		1	0.05		55	2.66		0	0.00		1	0.05		10	0.48		1	0.05		2070	97.00		64	3.00		2134	2.65
Sutton Forest		17	5.99		9	3.17		0	0.00		0	0.00		2	0.70		0	0.00		14	4.93		1	0.35		0	0.00		53	18.66		1	0.35		0	0.00		1	0.35		0	0.00		0	0.00		1	0.35		162	57.04		0	0.00		0	0.00		19	6.69		0	0.00		0	0.00		4	1.41		0	0.00		284	98.61		4	1.39		288	0.36
Sydney (Gilmore)		5	8.33		2	3.33		0	0.00		0	0.00		0	0.00		0	0.00		9	15.00		1	1.67		0	0.00		9	15.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		28	46.67		1	1.67		0	0.00		4	6.67		0	0.00		0	0.00		1	1.67		0	0.00		60	98.36		1	1.64		61	0.08
Terara		43	7.08		20	3.29		0	0.00		0	0.00		5	0.82		0	0.00		17	2.80		1	0.16		3	0.49		103	16.97		2	0.33		1	0.16		1	0.16		0	0.00		0	0.00		1	0.16		390	64.25		3	0.49		0	0.00		15	2.47		0	0.00		0	0.00		2	0.33		0	0.00		607	97.28		17	2.72		624	0.78
Tomerong		45	8.67		7	1.35		2	0.39		0	0.00		8	1.54		0	0.00		37	7.13		0	0.00		2	0.39		132	25.43		2	0.39		0	0.00		4	0.77		0	0.00		0	0.00		0	0.00		228	43.93		0	0.00		1	0.19		49	9.44		0	0.00		0	0.00		2	0.39		0	0.00		519	96.65		18	3.35		537	0.67
Ulladulla		220	6.43		38	1.11		1	0.03		2	0.06		40	1.17		4	0.12		160	4.67		44	1.29		7	0.20		967	28.25		10	0.29		1	0.03		31	0.91		0	0.00		3	0.09		0	0.00		1715	50.10		13	0.38		5	0.15		137	4.00		1	0.03		2	0.06		18	0.53		4	0.12		3423	96.94		108	3.06		3531	4.39
Vincentia		103	6.15		35	2.09		5	0.30		0	0.00		10	0.60		11	0.66		114	6.80		21	1.25		1	0.06		452	26.97		8	0.48		0	0.00		9	0.54		0	0.00		2	0.12		0	0.00		795	47.43		6	0.36		0	0.00		95	5.67		0	0.00		0	0.00		7	0.42		2	0.12		1676	96.05		69	3.95		1745	2.17
Werri Beach		51	5.76		18	2.03		3	0.34		0	0.00		7	0.79		1	0.11		82	9.26		7	0.79		3	0.34		200	22.57		6	0.68		1	0.11		14	1.58		1	0.11		0	0.00		2	0.23		394	44.47		4	0.45		0	0.00		85	9.59		1	0.11		0	0.00		4	0.45		2	0.23		886	96.30		34	3.70		920	1.14
Wingello		11	5.53		7	3.52		0	0.00		0	0.00		6	3.02		1	0.50		8	4.02		4	2.01		0	0.00		64	32.16		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		77	38.69		2	1.01		2	1.01		16	8.04		1	0.50		0	0.00		0	0.00		0	0.00		199	97.55		5	2.45		204	0.25
Special Hospitals		12	4.23		5	1.76		0	0.00		0	0.00		1	0.35		1	0.35		8	2.82		0	0.00		0	0.00		81	28.52		1	0.35		1	0.35		0	0.00		0	0.00		0	0.00		0	0.00		171	60.21		0	0.00		0	0.00		1	0.35		0	0.00		1	0.35		1	0.35		0	0.00		284	98.95		3	1.05		287	0.36
Total Ordinary		4158	6.65		1297	2.07		130	0.21		29	0.05		751	1.20		73	0.12		3945	6.31		543	0.87		98	0.16		16589	26.51		348	0.56		35	0.06		507	0.81		7	0.01		52	0.08		59	0.09		30050	48.03		305	0.49		73	0.12		3120	4.99		13	0.02		28	0.04		305	0.49		53	0.08		62568	96.78		2083	3.22		64651	80.41
ABSENT		273	5.95		79	1.72		10	0.22		0	0.00		76	1.66		15	0.33		364	7.93		69	1.50		11	0.24		1227	26.72		48	1.05		3	0.07		43	0.94		18	0.39		4	0.09		8	0.17		1934	42.12		23	0.50		7	0.15		338	7.36		1	0.02		3	0.07		34	0.74		4	0.09		4592	98.04		92	1.96		4684	5.83
POSTAL		226	7.83		51	1.77		4	0.14		1	0.03		21	0.73		6	0.21		161	5.57		12	0.42		3	0.10		651	22.54		12	0.42		2	0.07		12	0.42		4	0.14		2	0.07		2	0.07		1588	54.99		13	0.45		4	0.14		72	2.49		0	0.00		4	0.14		35	1.21		2	0.07		2888	98.84		34	1.16		2922	3.63
PRE_POLL		489	6.76		117	1.62		7	0.10		4	0.06		93	1.29		14	0.19		426	5.89		48	0.66		11	0.15		1825	25.22		40	0.55		1	0.01		53	0.73		0	0.00		3	0.04		8	0.11		3759	51.96		27	0.37		8	0.11		255	3.52		5	0.07		2	0.03		38	0.53		2	0.03		7235	98.02		146	1.98		7381	9.18
PROVISIONAL		47	6.29		22	2.95		4	0.54		1	0.13		21	2.81		0	0.00		39	5.22		18	2.41		3	0.40		229	30.66		10	1.34		0	0.00		16	2.14		0	0.00		1	0.13		0	0.00		282	37.75		9	1.20		0	0.00		37	4.95		0	0.00		0	0.00		8	1.07		0	0.00		747	98.29		13	1.71		760	0.95
Division Summary		5193	6.66		1566	2.01		155	0.2		35	0.04		962	1.23		108	0.14		4935	6.32		690	0.88		126	0.16		20521	26.3		458	0.59		41	0.05		631	0.81		29	0.04		62	0.08		77	0.1		37613	48.2		377	0.48		92	0.12		3822	4.9		19	0.02		37	0.05		420	0.54		61	0.08		78030	97.05		2368	2.95		80398	95.82
