Senate - 2001 Election: New South Wales																																																																																			
First Preference Votes by Group 																																																																																			
By Polling Place																																																																																			

Berowra (85766)																																																																																			
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 			
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent												
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		
Thompsons Corner (Berowra)		61	2.74		88	3.96		11	0.49		0	0.00		16	0.72		1	0.04		192	8.64		13	0.58		2	0.09		412	18.53		5	0.22		0	0.00		7	0.31		0	0.00		1	0.04		2	0.09		1268	57.04		10	0.45		2	0.09		124	5.58		0	0.00		1	0.04		4	0.18		3	0.13		2223	97.59		55	2.41		2278	2.79
Thornleigh		39	2.69		43	2.96		12	0.83		0	0.00		19	1.31		5	0.34		125	8.61		9	0.62		1	0.07		343	23.62		10	0.69		0	0.00		4	0.28		0	0.00		1	0.07		0	0.00		741	51.03		13	0.90		5	0.34		76	5.23		0	0.00		1	0.07		5	0.34		0	0.00		1452	96.54		52	3.46		1504	1.84
Waitara		42	2.01		37	1.77		20	0.96		0	0.00		19	0.91		2	0.10		171	8.19		17	0.81		3	0.14		471	22.56		8	0.38		0	0.00		3	0.14		0	0.00		2	0.10		5	0.24		1157	55.41		8	0.38		1	0.05		113	5.41		1	0.05		0	0.00		7	0.34		1	0.05		2088	97.48		54	2.52		2142	2.62
Waitara South		6	1.57		3	0.78		1	0.26		0	0.00		1	0.26		0	0.00		32	8.36		0	0.00		0	0.00		74	19.32		1	0.26		1	0.26		0	0.00		0	0.00		0	0.00		0	0.00		249	65.01		3	0.78		2	0.52		9	2.35		0	0.00		0	0.00		1	0.26		0	0.00		383	96.72		13	3.28		396	0.48
Westleigh		66	1.90		110	3.16		23	0.66		0	0.00		18	0.52		7	0.20		366	10.51		27	0.78		4	0.11		598	17.17		23	0.66		0	0.00		15	0.43		0	0.00		2	0.06		4	0.11		2020	58.01		10	0.29		5	0.14		170	4.88		0	0.00		1	0.03		11	0.32		2	0.06		3482	98.28		61	1.72		3543	4.33
Wisemans Ferry (Berowra)		7	4.46		0	0.00		0	0.00		0	0.00		2	1.27		0	0.00		5	3.18		4	2.55		0	0.00		37	23.57		2	1.27		0	0.00		1	0.64		0	0.00		0	0.00		0	0.00		88	56.05		2	1.27		0	0.00		9	5.73		0	0.00		0	0.00		0	0.00		0	0.00		157	96.91		5	3.09		162	0.20
Special Hospitals		9	1.95		27	5.84		0	0.00		0	0.00		4	0.87		3	0.65		23	4.98		0	0.00		1	0.22		59	12.77		1	0.22		0	0.00		1	0.22		0	0.00		0	0.00		0	0.00		326	70.56		1	0.22		0	0.00		5	1.08		0	0.00		1	0.22		1	0.22		0	0.00		462	97.06		14	2.94		476	0.58
Total Ordinary		1801	2.71		1733	2.61		703	1.06		17	0.03		565	0.85		65	0.10		5844	8.80		511	0.77		76	0.11		14085	21.20		306	0.46		17	0.03		281	0.42		12	0.02		42	0.06		74	0.11		36056	54.27		343	0.52		109	0.16		3444	5.18		13	0.02		17	0.03		277	0.42		44	0.07		66435	97.53		1685	2.47		68120	83.31
ABSENT		150	2.66		131	2.32		19	0.34		1	0.02		74	1.31		1	0.02		525	9.31		85	1.51		6	0.11		1064	18.86		41	0.73		3	0.05		55	0.97		0	0.00		1	0.02		11	0.19		2955	52.38		46	0.82		11	0.19		417	7.39		5	0.09		2	0.04		35	0.62		4	0.07		5642	98.34		95	1.66		5737	7.02
POSTAL		98	3.43		67	2.34		33	1.15		2	0.07		16	0.56		5	0.17		174	6.09		9	0.31		2	0.07		445	15.56		6	0.21		0	0.00		11	0.38		1	0.03		1	0.03		2	0.07		1869	65.37		16	0.56		1	0.03		84	2.94		3	0.10		0	0.00		14	0.49		0	0.00		2859	99.24		22	0.76		2881	3.52
PRE_POLL		153	3.39		98	2.17		59	1.31		2	0.04		64	1.42		9	0.20		404	8.96		35	0.78		1	0.02		942	20.89		29	0.64		2	0.04		23	0.51		2	0.04		2	0.04		3	0.07		2414	53.54		33	0.73		11	0.24		199	4.41		0	0.00		0	0.00		20	0.44		4	0.09		4509	98.84		53	1.16		4562	5.58
PROVISIONAL		9	2.00		12	2.67		4	0.89		0	0.00		10	2.22		0	0.00		40	8.89		13	2.89		1	0.22		94	20.89		5	1.11		0	0.00		4	0.89		0	0.00		0	0.00		0	0.00		229	50.89		4	0.89		0	0.00		23	5.11		0	0.00		0	0.00		2	0.44		0	0.00		450	96.15		18	3.85		468	0.57
Division Summary		2211	2.77		2041	2.55		818	1.02		22	0.03		729	0.91		80	0.1		6987	8.75		653	0.82		86	0.11		16630	20.81		387	0.48		22	0.03		374	0.47		15	0.02		46	0.06		90	0.11		43523	54.48		442	0.55		132	0.17		4167	5.22		21	0.03		19	0.02		348	0.44		52	0.07		79895	97.71		1873	2.29		81768	95.34
