House of Representatives - 2001 Election: New South Wales											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Richmond (81312)											
		Candidate		"ANTHONY, Larry"		             	"MCALLISTER, Jenny"		          	Total	
				NP		                         	CLR		                        		
				Votes	%	                     	Votes	%	                     		
	Alstonville										
		"ROLFE, Dell (HAN)"	5	3	60.00		2	40.00		5	
		"SIMPSON, Rob (IND)"	0	0	0.00		0	0.00		0	
		Total	41	65	50.00		65	50.00		130	

	Crystal Creek										
			1st Prefs	136	62.10		83	37.90		219	
		"NATHAN, Julie (IND)"	4	3	75.00		1	25.00		4	
		"PENHALIGON, John (IND)"	5	4	80.00		1	20.00		5	
		"FAULKNER, Nicolas de Bray (IND)"	1	1	100.00		0	0.00		1	
		"BARHAM, Jan (GRN)"	33	4	12.12		29	87.88		33	
		"PENIAZEV, Alexander (NCP)"	1	1	100.00		0	0.00		1	
		"BALK, Casey (DEM)"	4	0	0.00		4	100.00		4	
		"JEFFERYS, Dean (HMP)"	1	0	0.00		1	100.00		1	
		"ROLFE, Dell (HAN)"	11	10	90.91		1	9.09		11	
		"SIMPSON, Rob (IND)"	2	1	50.00		1	50.00		2	
		Total	62	160	56.94		121	43.06		281	

	Cudgen										
			1st Prefs	254	49.22		262	50.78		516	
		"NATHAN, Julie (IND)"	2	2	100.00		0	0.00		2	
		"PENHALIGON, John (IND)"	3	3	100.00		0	0.00		3	
		"FAULKNER, Nicolas de Bray (IND)"	0	0	0.00		0	0.00		0	
		"BARHAM, Jan (GRN)"	16	1	6.25		15	93.75		16	
		"PENIAZEV, Alexander (NCP)"	0	0	0.00		0	0.00		0	
		"BALK, Casey (DEM)"	9	4	44.44		5	55.56		9	
		"JEFFERYS, Dean (HMP)"	3	0	0.00		3	100.00		3	
		"ROLFE, Dell (HAN)"	22	14	63.64		8	36.36		22	
		"SIMPSON, Rob (IND)"	2	2	100.00		0	0.00		2	
		Total	57	280	48.87		293	51.13		573	

	Dungay										
			1st Prefs	164	70.39		69	29.61		233	
		"NATHAN, Julie (IND)"	3	3	100.00		0	0.00		3	
		"PENHALIGON, John (IND)"	11	9	81.82		2	18.18		11	
		"FAULKNER, Nicolas de Bray (IND)"	0	0	0.00		0	0.00		0	
		"BARHAM, Jan (GRN)"	20	4	20.00		16	80.00		20	
		"PENIAZEV, Alexander (NCP)"	1	1	100.00		0	0.00		1	
		"BALK, Casey (DEM)"	13	3	23.08		10	76.92		13	
		"JEFFERYS, Dean (HMP)"	2	0	0.00		2	100.00		2	
		"ROLFE, Dell (HAN)"	11	4	36.36		7	63.64		11	
		"SIMPSON, Rob (IND)"	0	0	0.00		0	0.00		0	
		Total	61	188	63.95		106	36.05		294	

	Duranbah										
			1st Prefs	67	61.47		42	38.53		109	
		"NATHAN, Julie (IND)"	0	0	0.00		0	0.00		0	
		"PENHALIGON, John (IND)"	1	1	100.00		0	0.00		1	
		"FAULKNER, Nicolas de Bray (IND)"	0	0	0.00		0	0.00		0	
		"BARHAM, Jan (GRN)"	6	0	0.00		6	100.00		6	
		"PENIAZEV, Alexander (NCP)"	0	0	0.00		0	0.00		0	
		"BALK, Casey (DEM)"	6	1	16.67		5	83.33		6	
		"JEFFERYS, Dean (HMP)"	1	0	0.00		1	100.00		1	
		"ROLFE, Dell (HAN)"	6	6	100.00		0	0.00		6	
		"SIMPSON, Rob (IND)"	0	0	0.00		0	0.00		0	
		Total	20	75	58.14		54	41.86		129	

	Durrumbul										
			1st Prefs	57	54.29		48	45.71		105	
		"NATHAN, Julie (IND)"	4	2	50.00		2	50.00		4	
		"PENHALIGON, John (IND)"	0	0	0.00		0	0.00		0	
		"FAULKNER, Nicolas de Bray (IND)"	4	1	25.00		3	75.00		4	
		"BARHAM, Jan (GRN)"	29	0	0.00		29	100.00		29	
		"PENIAZEV, Alexander (NCP)"	0	0	0.00		0	0.00		0	
		"BALK, Casey (DEM)"	5	1	20.00		4	80.00		5	
		"JEFFERYS, Dean (HMP)"	5	1	20.00		4	80.00		5	
		"ROLFE, Dell (HAN)"	4	4	100.00		0	0.00		4	
		"SIMPSON, Rob (IND)"	0	0	0.00		0	0.00		0	
		Total	51	66	42.31		90	57.69		156	

	Eureka										
			1st Prefs	90	60.00		60	40.00		150	
		"NATHAN, Julie (IND)"	3	1	33.33		2	66.67		3	
		"PENHALIGON, John (IND)"	2	1	50.00		1	50.00		2	
		"FAULKNER, Nicolas de Bray (IND)"	0	0	0.00		0	0.00		0	
		"BARHAM, Jan (GRN)"	24	3	12.50		21	87.50		24	
		"PENIAZEV, Alexander (NCP)"	0	0	0.00		0	0.00		0	
		"BALK, Casey (DEM)"	6	1	16.67		5	83.33		6	
		"JEFFERYS, Dean (HMP)"	8	2	25.00		6	75.00		8	
		"ROLFE, Dell (HAN)"	4	1	25.00		3	75.00		4	
		"SIMPSON, Rob (IND)"	1	0	0.00		1	100.00		1	
		Total	48	99	50.00		99	50.00		198	

	Ewingsdale										
			1st Prefs	159	63.86		90	36.14		249	
		"NATHAN, Julie (IND)"	7	4	57.14		3	42.86		7	
		"PENHALIGON, John (IND)"	3	1	33.33		2	66.67		3	
		"FAULKNER, Nicolas de Bray (IND)"	1	1	100.00		0	0.00		1	
		"BARHAM, Jan (GRN)"	70	9	12.86		61	87.14		70	
		"PENIAZEV, Alexander (NCP)"	0	0	0.00		0	0.00		0	
		"BALK, Casey (DEM)"	6	4	66.67		2	33.33		6	
		"JEFFERYS, Dean (HMP)"	3	0	0.00		3	100.00		3	
		"ROLFE, Dell (HAN)"	10	4	40.00		6	60.00		10	
		"SIMPSON, Rob (IND)"	2	1	50.00		1	50.00		2	
		Total	102	183	52.14		168	47.86		351	

	Federal										
			1st Prefs	87	45.08		106	54.92		193	
		"NATHAN, Julie (IND)"	10	6	60.00		4	40.00		10	
		"PENHALIGON, John (IND)"	5	4	80.00		1	20.00		5	
		"FAULKNER, Nicolas de Bray (IND)"	2	1	50.00		1	50.00		2	
		"BARHAM, Jan (GRN)"	129	10	7.75		119	92.25		129	
		"PENIAZEV, Alexander (NCP)"	0	0	0.00		0	0.00		0	
		"BALK, Casey (DEM)"	23	3	13.04		20	86.96		23	
		"JEFFERYS, Dean (HMP)"	11	2	18.18		9	81.82		11	
		"ROLFE, Dell (HAN)"	8	5	62.50		3	37.50		8	
		"SIMPSON, Rob (IND)"	1	1	100.00		0	0.00		1	
		Total	189	119	31.15		263	68.85		382	

	Fernleigh										
			1st Prefs	115	62.50		69	37.50		184	
		"NATHAN, Julie (IND)"	0	0	0.00		0	0.00		0	
		"PENHALIGON, John (IND)"	2	2	100.00		0	0.00		2	
		"FAULKNER, Nicolas de Bray (IND)"	0	0	0.00		0	0.00		0	
		"BARHAM, Jan (GRN)"	32	9	28.13		23	71.88		32	
		"PENIAZEV, Alexander (NCP)"	0	0	0.00		0	0.00		0	
		"BALK, Casey (DEM)"	8	5	62.50		3	37.50		8	
		"JEFFERYS, Dean (HMP)"	0	0	0.00		0	0.00		0	
		"ROLFE, Dell (HAN)"	15	10	66.67		5	33.33		15	
