Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Macquarie (86364)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Windsor		125	7.48		23	1.38		0	0.00		0	0.00		22	1.32		2	0.12		84	5.03		21	1.26		2	0.12		401	24.00		12	0.72		1	0.06		9	0.54		0	0.00		2	0.12		1	0.06		872	52.18		10	0.60		1	0.06		72	4.31		0	0.00		0	0.00		10	0.60		1	0.06		1671	96.53		60	3.47		1731	2.10
Windsor South		154	7.67		24	1.19		2	0.10		1	0.05		36	1.79		1	0.05		81	4.03		31	1.54		6	0.30		587	29.22		18	0.90		4	0.20		18	0.90		1	0.05		4	0.20		2	0.10		917	45.64		28	1.39		1	0.05		77	3.83		0	0.00		0	0.00		16	0.80		0	0.00		2009	94.72		112	5.28		2121	2.58
Winmalee		158	5.58		113	3.99		0	0.00		1	0.04		10	0.35		3	0.11		245	8.65		17	0.60		3	0.11		691	24.39		17	0.60		1	0.04		19	0.67		1	0.04		2	0.07		1	0.04		1391	49.10		13	0.46		4	0.14		128	4.52		0	0.00		2	0.07		10	0.35		3	0.11		2833	98.40		46	1.60		2879	3.50
Wisemans Ferry (Macquarie)		11	5.61		2	1.02		0	0.00		0	0.00		1	0.51		1	0.51		8	4.08		1	0.51		0	0.00		41	20.92		0	0.00		0	0.00		3	1.53		0	0.00		1	0.51		0	0.00		110	56.12		0	0.00		0	0.00		13	6.63		0	0.00		0	0.00		4	2.04		0	0.00		196	97.03		6	2.97		202	0.25
Woodford		51	5.80		24	2.73		0	0.00		0	0.00		4	0.46		3	0.34		102	11.60		9	1.02		1	0.11		249	28.33		8	0.91		0	0.00		11	1.25		0	0.00		0	0.00		0	0.00		306	34.81		0	0.00		0	0.00		106	12.06		0	0.00		1	0.11		4	0.46		0	0.00		879	98.32		15	1.68		894	1.09
Yarramundi		22	8.12		8	2.95		1	0.37		0	0.00		7	2.58		0	0.00		14	5.17		0	0.00		0	0.00		32	11.81		3	1.11		0	0.00		2	0.74		0	0.00		0	0.00		0	0.00		167	61.62		1	0.37		0	0.00		11	4.06		0	0.00		1	0.37		2	0.74		0	0.00		271	97.48		7	2.52		278	0.34
Special Hospitals		6	2.84		4	1.90		0	0.00		0	0.00		7	3.32		1	0.47		5	2.37		0	0.00		2	0.95		65	30.81		0	0.00		0	0.00		1	0.47		0	0.00		1	0.47		1	0.47		117	55.45		0	0.00		0	0.00		1	0.47		0	0.00		0	0.00		0	0.00		0	0.00		211	95.91		9	4.09		220	0.27
Total Ordinary		3705	5.51		1971	2.93		39	0.06		16	0.02		649	0.97		95	0.14		5580	8.30		651	0.97		97	0.14		15615	23.22		379	0.56		35	0.05		413	0.61		20	0.03		77	0.11		74	0.11		31752	47.22		316	0.47		69	0.10		5228	7.78		28	0.04		31	0.05		353	0.53		44	0.07		67237	97.33		1848	2.67		69085	83.92
ABSENT		334	5.58		143	2.39		7	0.12		1	0.02		115	1.92		4	0.07		568	9.49		91	1.52		16	0.27		1327	22.18		71	1.19		3	0.05		63	1.05		0	0.00		14	0.23		11	0.18		2498	41.75		44	0.74		12	0.20		596	9.96		3	0.05		6	0.10		47	0.79		9	0.15		5983	98.31		103	1.69		6086	7.39
POSTAL		142	5.25		55	2.03		1	0.04		0	0.00		20	0.74		8	0.30		191	7.06		10	0.37		3	0.11		602	22.26		11	0.41		0	0.00		11	0.41		0	0.00		3	0.11		1	0.04		1480	54.71		18	0.67		4	0.15		128	4.73		1	0.04		2	0.07		13	0.48		1	0.04		2705	98.79		33	1.21		2738	3.33
PRE_POLL		216	5.58		103	2.66		3	0.08		3	0.08		42	1.09		8	0.21		371	9.59		34	0.88		8	0.21		919	23.75		33	0.85		0	0.00		31	0.80		0	0.00		5	0.13		4	0.10		1758	45.43		27	0.70		5	0.13		280	7.24		2	0.05		1	0.03		13	0.34		4	0.10		3870	99.05		37	0.95		3907	4.75
PROVISIONAL		27	5.44		13	2.62		0	0.00		0	0.00		9	1.81		0	0.00		40	8.06		12	2.42		0	0.00		123	24.80		6	1.21		0	0.00		5	1.01		0	0.00		3	0.60		2	0.40		206	41.53		5	1.01		1	0.20		39	7.86		0	0.00		0	0.00		5	1.01		0	0.00		496	97.25		14	2.75		510	0.62
Division Summary		4424	5.51		2285	2.85		50	0.06		20	0.02		835	1.04		115	0.14		6750	8.41		798	0.99		124	0.15		18586	23.15		500	0.62		38	0.05		523	0.65		20	0.02		102	0.13		92	0.11		37694	46.95		410	0.51		91	0.11		6271	7.81		34	0.04		40	0.05		431	0.54		58	0.07		80291	97.53		2035	2.47		82326	95.32
