Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Throsby (84412)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Warrawong Central		60	5.05		10	0.84		1	0.08		3	0.25		63	5.30		1	0.08		39	3.28		13	1.09		6	0.50		730	61.40		9	0.76		4	0.34		12	1.01		1	0.08		1	0.08		2	0.17		166	13.96		9	0.76		3	0.25		40	3.36		0	0.00		8	0.67		7	0.59		1	0.08		1189	90.63		123	9.38		1312	1.63
West Dapto		114	4.28		53	1.99		0	0.00		1	0.04		49	1.84		3	0.11		204	7.65		18	0.68		7	0.26		1222	45.85		23	0.86		2	0.08		24	0.90		1	0.04		3	0.11		4	0.15		832	31.22		22	0.83		0	0.00		59	2.21		1	0.04		5	0.19		17	0.64		1	0.04		2665	97.30		74	2.70		2739	3.39
Windang		123	7.84		24	1.53		2	0.13		2	0.13		42	2.68		1	0.06		71	4.53		19	1.21		8	0.51		756	48.18		4	0.25		0	0.00		23	1.47		0	0.00		2	0.13		2	0.13		421	26.83		10	0.64		7	0.45		33	2.10		1	0.06		12	0.76		5	0.32		1	0.06		1569	95.15		80	4.85		1649	2.04
Special Hospitals		2	2.99		3	4.48		0	0.00		0	0.00		6	8.96		0	0.00		4	5.97		1	1.49		0	0.00		30	44.78		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		14	20.90		2	2.99		1	1.49		3	4.48		0	0.00		0	0.00		1	1.49		0	0.00		67	95.71		3	4.29		70	0.09
Total Ordinary		4090	6.06		1482	2.19		46	0.07		39	0.06		1946	2.88		73	0.11		4022	5.95		705	1.04		215	0.32		33713	49.91		554	0.82		65	0.10		736	1.09		20	0.03		94	0.14		85	0.13		16415	24.30		560	0.83		79	0.12		1954	2.89		39	0.06		181	0.27		418	0.62		16	0.02		67547	95.77		2981	4.23		70528	87.37
ABSENT		249	5.93		82	1.95		3	0.07		2	0.05		161	3.84		5	0.12		346	8.25		67	1.60		2	0.05		1647	39.25		60	1.43		1	0.02		71	1.69		1	0.02		12	0.29		4	0.10		1193	28.43		45	1.07		8	0.19		193	4.60		0	0.00		10	0.24		32	0.76		2	0.05		4196	97.81		94	2.19		4290	5.31
POSTAL		149	6.46		44	1.91		1	0.04		0	0.00		41	1.78		3	0.13		151	6.55		8	0.35		3	0.13		1045	45.32		17	0.74		1	0.04		9	0.39		3	0.13		3	0.13		2	0.09		747	32.39		13	0.56		1	0.04		47	2.04		0	0.00		3	0.13		14	0.61		1	0.04		2306	99.05		22	0.95		2328	2.88
PRE_POLL		185	6.48		51	1.79		1	0.04		2	0.07		105	3.68		5	0.18		206	7.21		23	0.81		8	0.28		1245	43.59		18	0.63		2	0.07		41	1.44		0	0.00		6	0.21		4	0.14		830	29.06		17	0.60		5	0.18		79	2.77		0	0.00		6	0.21		17	0.60		0	0.00		2856	98.65		39	1.35		2895	3.59
PROVISIONAL		41	6.30		6	0.92		0	0.00		1	0.15		42	6.45		1	0.15		35	5.38		13	2.00		4	0.61		327	50.23		8	1.23		1	0.15		14	2.15		0	0.00		2	0.31		1	0.15		123	18.89		5	0.77		0	0.00		20	3.07		1	0.15		1	0.15		5	0.77		0	0.00		651	95.88		28	4.12		679	0.84
Division Summary		4714	6.08		1665	2.15		51	0.07		44	0.06		2295	2.96		87	0.11		4760	6.14		816	1.05		232	0.3		37977	48.97		657	0.85		70	0.09		871	1.12		24	0.03		117	0.15		96	0.12		19308	24.9		640	0.83		93	0.12		2293	2.96		40	0.05		201	0.26		486	0.63		19	0.02		77556	96.08		3164	3.92		80720	95.63
