Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Bennelong (86896)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Ryde North		77	2.41		57	1.78		25	0.78		3	0.09		58	1.81		3	0.09		254	7.94		19	0.59		6	0.19		1003	31.34		7	0.22		2	0.06		15	0.47		1	0.03		5	0.16		1	0.03		1520	47.50		12	0.38		4	0.13		113	3.53		1	0.03		1	0.03		10	0.31		3	0.09		3200	94.81		175	5.19		3375	4.09
Ryde South		27	3.95		2	0.29		2	0.29		0	0.00		8	1.17		2	0.29		42	6.15		6	0.88		1	0.15		205	30.01		1	0.15		1	0.15		2	0.29		0	0.00		1	0.15		0	0.00		356	52.12		3	0.44		1	0.15		18	2.64		1	0.15		0	0.00		4	0.59		0	0.00		683	95.13		35	4.87		718	0.87
Sydney (Bennelong)		3	1.59		3	1.59		3	1.59		0	0.00		3	1.59		2	1.06		20	10.58		5	2.65		0	0.00		59	31.22		3	1.59		0	0.00		0	0.00		0	0.00		0	0.00		1	0.53		59	31.22		2	1.06		0	0.00		25	13.23		0	0.00		0	0.00		1	0.53		0	0.00		189	96.92		6	3.08		195	0.24
Truscott		52	3.49		22	1.48		8	0.54		1	0.07		16	1.07		1	0.07		107	7.18		10	0.67		1	0.07		389	26.09		5	0.34		0	0.00		4	0.27		0	0.00		1	0.07		3	0.20		794	53.25		5	0.34		4	0.27		60	4.02		0	0.00		1	0.07		5	0.34		2	0.13		1491	95.82		65	4.18		1556	1.89
Water Tanks		45	3.42		26	1.98		11	0.84		1	0.08		20	1.52		2	0.15		84	6.39		14	1.07		3	0.23		398	30.29		5	0.38		0	0.00		5	0.38		0	0.00		1	0.08		2	0.15		639	48.63		12	0.91		1	0.08		42	3.20		0	0.00		0	0.00		3	0.23		0	0.00		1314	96.33		50	3.67		1364	1.65
West Ryde		124	3.71		47	1.41		66	1.97		2	0.06		43	1.29		2	0.06		312	9.34		26	0.78		5	0.15		1221	36.54		9	0.27		0	0.00		8	0.24		0	0.00		4	0.12		5	0.15		1318	39.44		21	0.63		5	0.15		114	3.41		0	0.00		1	0.03		9	0.27		0	0.00		3342	96.45		123	3.55		3465	4.20
Wicks		11	3.48		3	0.95		2	0.63		0	0.00		2	0.63		0	0.00		28	8.86		3	0.95		1	0.32		70	22.15		2	0.63		0	0.00		1	0.32		0	0.00		0	0.00		0	0.00		172	54.43		0	0.00		0	0.00		19	6.01		1	0.32		0	0.00		1	0.32		0	0.00		316	97.53		8	2.47		324	0.39
Special Hospitals		4	1.34		9	3.02		0	0.00		0	0.00		0	0.00		0	0.00		7	2.35		0	0.00		0	0.00		60	20.13		0	0.00		1	0.34		0	0.00		1	0.34		0	0.00		0	0.00		215	72.15		0	0.00		0	0.00		1	0.34		0	0.00		0	0.00		0	0.00		0	0.00		298	95.82		13	4.18		311	0.38
Total Ordinary		1902	2.85		1271	1.91		1125	1.69		32	0.05		667	1.00		59	0.09		5864	8.80		445	0.67		99	0.15		19146	28.73		201	0.30		23	0.03		244	0.37		9	0.01		59	0.09		62	0.09		31795	47.71		281	0.42		107	0.16		2969	4.46		14	0.02		16	0.02		218	0.33		36	0.05		66644	96.39		2497	3.61		69141	83.86
ABSENT		156	2.75		101	1.78		31	0.55		1	0.02		79	1.39		16	0.28		561	9.90		74	1.31		4	0.07		1374	24.25		40	0.71		2	0.04		51	0.90		3	0.05		7	0.12		16	0.28		2642	46.62		32	0.56		13	0.23		425	7.50		3	0.05		4	0.07		27	0.48		5	0.09		5667	98.15		107	1.85		5774	7.00
POSTAL		119	3.47		56	1.63		39	1.14		0	0.00		21	0.61		2	0.06		214	6.24		6	0.17		4	0.12		750	21.86		4	0.12		0	0.00		10	0.29		0	0.00		1	0.03		4	0.12		2076	60.51		21	0.61		11	0.32		75	2.19		0	0.00		0	0.00		18	0.52		0	0.00		3431	99.05		33	0.95		3464	4.20
PRE_POLL		71	2.03		64	1.83		96	2.74		1	0.03		63	1.80		6	0.17		343	9.78		18	0.51		4	0.11		950	27.10		9	0.26		2	0.06		14	0.40		4	0.11		0	0.00		8	0.23		1622	46.26		32	0.91		13	0.37		161	4.59		0	0.00		1	0.03		24	0.68		0	0.00		3506	98.35		59	1.65		3565	4.32
PROVISIONAL		8	1.64		8	1.64		7	1.43		0	0.00		11	2.25		0	0.00		42	8.61		4	0.82		1	0.20		177	36.27		2	0.41		1	0.20		3	0.61		0	0.00		0	0.00		1	0.20		198	40.57		2	0.41		0	0.00		20	4.10		0	0.00		0	0.00		3	0.61		0	0.00		488	96.25		19	3.75		507	0.61
Division Summary		2256	2.83		1500	1.88		1298	1.63		34	0.04		841	1.05		83	0.1		7024	8.81		547	0.69		112	0.14		22397	28.09		256	0.32		28	0.04		322	0.4		16	0.02		67	0.08		91	0.11		38333	48.07		368	0.46		144	0.18		3650	4.58		17	0.02		21	0.03		290	0.36		41	0.05		79736	96.71		2715	3.29		82451	94.88
