Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Paterson (82782)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Seaham		72	7.19		14	1.40		0	0.00		2	0.20		7	0.70		2	0.20		77	7.69		7	0.70		3	0.30		246	24.58		4	0.40		1	0.10		15	1.50		0	0.00		0	0.00		1	0.10		512	51.15		3	0.30		1	0.10		32	3.20		0	0.00		0	0.00		2	0.20		0	0.00		1001	97.37		27	2.63		1028	1.28
Shoal Bay		52	5.81		6	0.67		1	0.11		0	0.00		14	1.56		1	0.11		27	3.02		15	1.68		0	0.00		328	36.65		5	0.56		0	0.00		9	1.01		0	0.00		0	0.00		2	0.22		402	44.92		0	0.00		1	0.11		27	3.02		0	0.00		0	0.00		5	0.56		0	0.00		895	95.31		44	4.69		939	1.17
Soldiers Point		38	4.51		8	0.95		0	0.00		0	0.00		10	1.19		0	0.00		33	3.91		9	1.07		1	0.12		270	32.03		2	0.24		0	0.00		7	0.83		0	0.00		2	0.24		0	0.00		428	50.77		6	0.71		0	0.00		24	2.85		0	0.00		0	0.00		5	0.59		0	0.00		843	96.67		29	3.33		872	1.09
Stratford		17	9.04		4	2.13		0	0.00		0	0.00		5	2.66		0	0.00		7	3.72		1	0.53		0	0.00		28	14.89		1	0.53		0	0.00		3	1.60		0	0.00		0	0.00		0	0.00		114	60.64		2	1.06		1	0.53		3	1.60		0	0.00		0	0.00		2	1.06		0	0.00		188	95.92		8	4.08		196	0.24
Stroud		44	8.03		2	0.36		0	0.00		1	0.18		5	0.91		0	0.00		21	3.83		4	0.73		1	0.18		136	24.82		0	0.00		0	0.00		5	0.91		0	0.00		0	0.00		1	0.18		305	55.66		5	0.91		0	0.00		17	3.10		0	0.00		0	0.00		1	0.18		0	0.00		548	97.16		16	2.84		564	0.70
Stroud Road		15	7.98		4	2.13		0	0.00		0	0.00		3	1.60		0	0.00		2	1.06		1	0.53		0	0.00		46	24.47		0	0.00		0	0.00		0	0.00		0	0.00		1	0.53		0	0.00		112	59.57		0	0.00		0	0.00		4	2.13		0	0.00		0	0.00		0	0.00		0	0.00		188	98.95		2	1.05		190	0.24
Sydney (Paterson)		0	0.00		0	0.00		0	0.00		0	0.00		1	3.03		0	0.00		2	6.06		0	0.00		0	0.00		5	15.15		1	3.03		0	0.00		0	0.00		0	0.00		0	0.00		2	6.06		20	60.61		0	0.00		0	0.00		2	6.06		0	0.00		0	0.00		0	0.00		0	0.00		33	100.00		0	0.00		33	0.04
Tanilba Bay		117	7.91		23	1.56		1	0.07		3	0.20		18	1.22		1	0.07		78	5.27		21	1.42		5	0.34		605	40.91		8	0.54		1	0.07		20	1.35		1	0.07		2	0.14		4	0.27		520	35.16		12	0.81		1	0.07		34	2.30		0	0.00		0	0.00		3	0.20		1	0.07		1479	97.50		38	2.50		1517	1.89
Tarro		40	5.95		9	1.34		0	0.00		0	0.00		15	2.23		0	0.00		29	4.32		10	1.49		2	0.30		332	49.40		5	0.74		0	0.00		8	1.19		0	0.00		0	0.00		0	0.00		205	30.51		3	0.45		0	0.00		10	1.49		0	0.00		1	0.15		3	0.45		0	0.00		672	96.00		28	4.00		700	0.87
Tea Gardens		75	7.00		4	0.37		0	0.00		4	0.37		13	1.21		1	0.09		39	3.64		11	1.03		0	0.00		356	33.24		0	0.00		1	0.09		18	1.68		0	0.00		0	0.00		2	0.19		512	47.81		3	0.28		0	0.00		26	2.43		0	0.00		0	0.00		6	0.56		0	0.00		1071	97.28		30	2.72		1101	1.37
Thornton		184	5.74		54	1.68		2	0.06		3	0.09		41	1.28		0	0.00		205	6.39		20	0.62		6	0.19		1497	46.68		28	0.87		5	0.16		30	0.94		1	0.03		1	0.03		2	0.06		1012	31.56		30	0.94		4	0.12		63	1.96		1	0.03		0	0.00		17	0.53		1	0.03		3207	97.89		69	2.11		3276	4.08
Tomago		16	13.91		0	0.00		0	0.00		0	0.00		2	1.74		0	0.00		10	8.70		2	1.74		1	0.87		37	32.17		0	0.00		0	0.00		3	2.61		0	0.00		1	0.87		0	0.00		39	33.91		1	0.87		0	0.00		3	2.61		0	0.00		0	0.00		0	0.00		0	0.00		115	99.14		1	0.86		116	0.14
Tuncurry		195	8.32		22	0.94		0	0.00		0	0.00		35	1.49		1	0.04		54	2.30		29	1.24		8	0.34		825	35.21		10	0.43		4	0.17		13	0.55		0	0.00		2	0.09		0	0.00		1096	46.78		8	0.34		0	0.00		36	1.54		0	0.00		0	0.00		5	0.21		0	0.00		2343	96.14		94	3.86		2437	3.04
Tuncurry South		65	7.30		1	0.11		0	0.00		1	0.11		7	0.79		3	0.34		22	2.47		12	1.35		2	0.22		283	31.80		0	0.00		0	0.00		11	1.24		0	0.00		1	0.11		1	0.11		460	51.69		7	0.79		0	0.00		12	1.35		0	0.00		0	0.00		2	0.22		0	0.00		890	97.59		22	2.41		912	1.14
Vacy		27	6.72		4	1.00		1	0.25		0	0.00		4	1.00		0	0.00		30	7.46		2	0.50		0	0.00		117	29.10		2	0.50		1	0.25		6	1.49		0	0.00		0	0.00		0	0.00		185	46.02		2	0.50		1	0.25		17	4.23		0	0.00		0	0.00		3	0.75		0	0.00		402	97.81		9	2.19		411	0.51
