Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Richmond (81312)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Mooball		15	7.81		4	2.08		0	0.00		0	0.00		4	2.08		1	0.52		6	3.13		2	1.04		0	0.00		63	32.81		0	0.00		0	0.00		1	0.52		0	0.00		1	0.52		0	0.00		86	44.79		1	0.52		0	0.00		8	4.17		0	0.00		0	0.00		0	0.00		0	0.00		192	96.97		6	3.03		198	0.26
Mullumbimby		123	4.70		35	1.34		3	0.11		1	0.04		23	0.88		81	3.09		202	7.72		60	2.29		16	0.61		639	24.41		10	0.38		3	0.11		12	0.46		1	0.04		0	0.00		2	0.08		834	31.86		14	0.53		1	0.04		550	21.01		0	0.00		1	0.04		5	0.19		2	0.08		2618	97.91		56	2.09		2674	3.48
Murwillumbah		206	7.71		93	3.48		2	0.07		1	0.04		39	1.46		22	0.82		145	5.43		33	1.24		4	0.15		825	30.89		8	0.30		2	0.07		23	0.86		3	0.11		7	0.26		3	0.11		1015	38.00		20	0.75		5	0.19		206	7.71		1	0.04		1	0.04		7	0.26		0	0.00		2671	97.66		64	2.34		2735	3.56
Murwillumbah South		101	9.43		12	1.12		1	0.09		1	0.09		12	1.12		2	0.19		50	4.67		15	1.40		5	0.47		338	31.56		7	0.65		0	0.00		9	0.84		0	0.00		5	0.47		0	0.00		453	42.30		7	0.65		2	0.19		48	4.48		0	0.00		2	0.19		1	0.09		0	0.00		1071	96.57		38	3.43		1109	1.44
Newrybar		23	4.88		12	2.55		2	0.42		0	0.00		3	0.64		2	0.42		41	8.70		5	1.06		2	0.42		120	25.48		3	0.64		0	0.00		7	1.49		0	0.00		0	0.00		2	0.42		183	38.85		2	0.42		0	0.00		61	12.95		1	0.21		0	0.00		2	0.42		0	0.00		471	97.92		10	2.08		481	0.63
Ocean Shores		95	5.09		25	1.34		2	0.11		1	0.05		23	1.23		15	0.80		125	6.70		31	1.66		21	1.13		658	35.26		8	0.43		0	0.00		13	0.70		0	0.00		4	0.21		3	0.16		582	31.19		3	0.16		0	0.00		245	13.13		0	0.00		1	0.05		9	0.48		2	0.11		1866	97.59		46	2.41		1912	2.49
Piggabeen		69	9.82		3	0.43		0	0.00		0	0.00		10	1.42		1	0.14		38	5.41		9	1.28		2	0.28		200	28.45		4	0.57		1	0.14		6	0.85		0	0.00		1	0.14		0	0.00		328	46.66		4	0.57		0	0.00		21	2.99		1	0.14		0	0.00		5	0.71		0	0.00		703	97.10		21	2.90		724	0.94
Pottsville Beach		155	9.04		17	0.99		0	0.00		0	0.00		19	1.11		3	0.18		93	5.43		22	1.28		2	0.12		618	36.06		3	0.18		0	0.00		9	0.53		0	0.00		0	0.00		1	0.06		654	38.16		6	0.35		0	0.00		107	6.24		0	0.00		0	0.00		4	0.23		1	0.06		1714	97.17		50	2.83		1764	2.29
Rous		22	10.43		6	2.84		0	0.00		0	0.00		0	0.00		2	0.95		13	6.16		3	1.42		0	0.00		38	18.01		1	0.47		0	0.00		2	0.95		0	0.00		0	0.00		1	0.47		114	54.03		1	0.47		0	0.00		6	2.84		0	0.00		0	0.00		2	0.95		0	0.00		211	99.53		1	0.47		212	0.28
Stokers Siding		12	3.80		2	0.63		1	0.32		0	0.00		1	0.32		1	0.32		33	10.44		9	2.85		0	0.00		104	32.91		1	0.32		1	0.32		1	0.32		0	0.00		0	0.00		0	0.00		118	37.34		3	0.95		0	0.00		29	9.18		0	0.00		0	0.00		0	0.00		0	0.00		316	96.34		12	3.66		328	0.43
