House of Representatives - 2001 Election: New South Wales							
Swing to ALP							
By Division by Polling Place							
							
Banks							
							
Polling Place	Formal	MELHAM		WATZLAFF		Swing	
Martindale St	1756	1102	62.76	654	37.24	-0.30	
Martinsville	177	74	41.81	103	58.19	-11.48	
Morisset	1560	841	53.91	719	46.09	-4.69	
Mount Hutton (Charlton)	421	221	52.49	200	47.51	-7.70	
New Lambton Heights	525	240	45.71	285	54.29	-1.42	
Rathmines	2320	1244	53.62	1076	46.38	-2.71	
Silver Ridge	689	370	53.70	319	46.30	-13.86	
Special Hospital Team 1	237	137	57.81	100	42.19	7.81	
Special Hospital Team 2	125	50	40.00	75	60.00	-	
Speers Point	2125	1222	57.51	903	42.49	-6.30	
Sunshine	715	379	53.01	336	46.99	-4.58	
Sydney (Charlton)	34	15	44.12	19	55.88	-7.73	
Teralba	870	539	61.95	331	38.05	-9.06	
Toronto	433	296	68.36	137	31.64	4.61	
Toronto North	1109	609	54.91	500	45.09	-4.39	
Wallsend South	2927	1591	54.36	1336	45.64	-2.67	
Wangi Wangi	1645	940	57.14	705	42.86	-8.19	
Warners Bay	2634	1439	54.63	1195	45.37	-6.14	
Warners Bay Central	576	308	53.47	268	46.53	-8.29	
West Wallsend	1931	1396	72.29	535	27.71	-5.80	
Woodrising	317	218	68.77	99	31.23	-1.56	
Wyee	1176	594	50.51	582	49.49	-2.58	
Wyee Point	241	155	64.32	86	35.68	3.45	
ABSENT	5025	2794	55.60	2231	44.40	-	
POSTAL	2914	1400	48.04	1514	51.96	-	
PRE POLL	4155	1742	41.93	2413	58.07	-	
PROVISIONAL	452	294	65.04	158	34.96	-	
Division Total	76162	43151	56.66	33011	43.34	-5.54	
							
							
Chifley							
							
Polling Place	Formal	PRICE		ASARLOGLOU		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Bennett Road	3512	2037	58.00	1475	42.00	-7.45	
Bidwill	1952	1450	74.28	502	25.72	-6.93	
Blackett	1713	1247	72.80	466	27.20	-7.50	
Blacktown West (Chifley)	2159	1266	58.64	893	41.36	-8.94	
Dharruk	1481	1071	72.32	410	27.68	-5.73	
Doonside	1888	1253	66.37	635	33.63	-6.70	
Doonside North	3668	2377	64.80	1291	35.20	-5.85	
Eastern Creek	607	378	62.27	229	37.73	-6.03	
Emerton	952	653	68.59	299	31.41	-10.82	
Glendenning	2103	1435	68.24	668	31.76	-4.60	
Hassall Grove	2824	1978	70.04	846	29.96	-3.25	
Hebersham	1871	1298	69.37	573	30.63	-6.64	
Lethbridge Park	1997	1419	71.06	578	28.94	-6.86	
Madang	683	491	71.89	192	28.11	-6.81	
Marayong (Chifley)	439	275	62.64	164	37.36	-7.48	
Marayong South	931	581	62.41	350	37.59	-7.72	
Marayong West (Chifley)	311	192	61.74	119	38.26	-8.47	
Minchinbury	2415	1373	56.85	1042	43.15	-8.18	
Mount Druitt Hospital	619	480	77.54	139	22.46	-6.01	
Mount Druitt North	1616	1155	71.47	461	28.53	-9.04	
Mount Druitt South	2474	1477	59.70	997	40.30	-7.12	
O.L.C. Home	593	329	55.48	264	44.52	-8.03	
Oxley Park	2216	1265	57.08	951	42.92	-8.38	
Plumpton	3648	2570	70.45	1078	29.55	-2.46	
Rooty Hill North	3031	1964	64.80	1067	35.20	-6.84	
Rooty Hill South	1628	1102	67.69	526	32.31	-6.78	
Shalvey	1477	1028	69.60	449	30.40	-6.04	
Special Hospital Team 1	8	6	75.00	2	25.00	25.00	
St Marys	1216	735	60.44	481	39.56	-10.45	
St Marys North	1869	1201	64.26	668	35.74	-10.27	
St Marys South	2282	1338	58.63	944	41.37	-6.58	
Sydney (Chifley)	74	49	66.22	25	33.78	-9.15	
Tregear	1650	1133	68.67	517	31.33	-11.66	
Walters Road (Chifley)	2390	1506	63.01	884	36.99	-4.21	
