House of Representatives - 2001 Election: New South Wales							
Swing to ALP							
By Division by Polling Place							
							
Banks							
							
Polling Place	Formal	MELHAM		WATZLAFF		Swing	
Armidale	2596	1226	47.23	1370	52.77	-	
Armidale East	1239	615	49.64	624	50.36	-	
Armidale Hospital	849	419	49.35	430	50.65	-	
Armidale South	1078	491	45.55	587	54.45	-	
Armidale University	453	202	44.59	251	55.41	-	
Armidale West	2280	1061	46.54	1219	53.46	-	
Ashford	462	192	41.56	270	58.44	-	
Attunga	460	143	31.09	317	68.91	-	
Barraba	1192	432	36.24	760	63.76	-	
Ben Lomond	114	24	21.05	90	78.95	-	
Ben Venue	2489	1077	43.27	1412	56.73	-	
Bendemeer	312	93	29.81	219	70.19	-	
Bingara	1140	410	35.96	730	64.04	-	
Black Mountain	144	46	31.94	98	68.06	-	
Bonshaw	84	20	23.81	64	76.19	-	
Bundarra	390	118	30.26	272	69.74	-	
Calala	1136	319	28.08	817	71.92	-	
Currabubula	200	80	40.00	120	60.00	-	
Dangarsleigh	180	34	18.89	146	81.11	-	
Deepwater	380	97	25.53	283	74.47	-	
Delungra	344	82	23.84	262	76.16	-	
Drake	167	78	46.71	89	53.29	-	
Dungowan	288	65	22.57	223	77.43	-	
Duri	313	73	23.32	240	76.68	-	
Ebor	142	40	28.17	102	71.83	-	
Elsmore	123	35	28.46	88	71.54	-	
Emmaville	378	168	44.44	210	55.56	-	
Gilgai	385	145	37.66	240	62.34	-	
Glen Innes	1972	648	32.86	1324	67.14	-	
Glen Innes Hospital	647	229	35.39	418	64.61	-	
Glen Innes West	1416	512	36.16	904	63.84	-	
Glencoe	119	32	26.89	87	73.11	-	
Graman	81	22	27.16	59	72.84	-	
Gum Flat	118	20	16.95	98	83.05	-	
Guyra	1516	342	22.56	1174	77.44	-	
Hallsville	313	69	22.04	244	77.96	-	
Hillgrove	86	30	34.88	56	65.12	-	
Hillvue	2440	700	28.69	1740	71.31	-	
Inverell	2359	838	35.52	1521	64.48	-	
Inverell East	1664	547	32.87	1117	67.13	-	
Jennings	101	44	43.56	57	56.44	-	
Jubullum	42	38	90.48	4	9.52	-	
Kentucky	193	62	32.12	131	67.88	-	
Kingstown	98	19	19.39	79	80.61	-	
Kootingal	1281	425	33.18	856	66.82	-	
Legume	152	25	16.45	127	83.55	-	
Liston	141	39	27.66	102	72.34	-	
Loomberah	175	31	17.71	144	82.29	-	
Manilla	1801	758	42.09	1043	57.91	-	
Martins Gully	664	264	39.76	400	60.24	-	
Mole Crossing	90	18	20.00	72	80.00	-	
Moonbi	525	164	31.24	361	68.76	-	
Moor Creek	459	103	22.44	356	77.56	-	
Nazareth House	190	50	26.32	140	73.68	-	
Nemingha	704	186	26.42	518	73.58	-	
Niangala	113	16	14.16	97	85.84	-	
Nowendoc	86	14	16.28	72	83.72	-	
Nundle	402	150	37.31	252	62.69	-	
Oxley Vale	1563	557	35.64	1006	64.36	-	
Peel High	1620	797	49.20	823	50.80	-	
Red Range	143	36	25.17	107	74.83	-	
Rocky River	217	117	53.92	100	46.08	-	
Ross Hill	1871	588	31.43	1283	68.57	-	
Somerton	196	41	20.92	155	79.08	-	
Special Hospital Team 1	93	37	39.78	56	60.21	-	
Special Hospital Team 2	71	21	29.58	50	70.42	-	
Special Hospital Team 3	171	53	30.99	118	69.01	-	
Sunnyside	157	21	13.38	136	86.62	-	
Sydney (New England)	44	21	47.73	23	52.27	-	
Tamworth	1584	547	34.53	1037	65.47	-	
Tamworth High	4324	1819	42.07	2505	57.93	-	
Tamworth Primary	3465	1141	32.93	2324	67.07	-	
Tamworth West	1937	722	37.27	1215	62.73	-	
Tenterfield	2167	778	35.90	1389	64.10	-	
Timbumburi	432	90	20.83	342	79.17	-	
Tingha	490	218	44.49	272	55.51	-	
Upper Horton	107	25	23.36	82	76.64	-	
Uralla	1726	818	47.39	908	52.61	-	
Urbenville	159	44	27.67	115	72.33	-	
Walcha	1527	429	28.09	1098	71.91	-	
Werris Creek	939	600	63.90	339	36.10	-	
Westdale	1042	333	31.96	709	68.04	-	
Wollomombi	104	27	25.96	77	74.04	-	
Woolbrook	122	27	22.13	95	77.87	-	
Woolomin	184	70	38.04	114	61.96	-	
Yarrowitch	104	7	6.73	97	93.27	-	
Yetman	136	52	38.24	84	61.76	-	
ABSENT	4221	1562	37.01	2659	62.99	-	
POSTAL	2976	833	27.99	2143	72.01	-	
PRE POLL	5712	1821	31.88	3891	68.12	-	
PROVISIONAL	769	334	43.43	435	56.57	-	
Division Total	79903	28886	36.15	51017	63.85		
							
							
North Sydney							
							
Polling Place	Formal	TEIRNEY		HOCKEY		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Artarmon	1383	621	44.90	762	55.10	0.11	
Artarmon Central	2086	904	43.34	1182	56.66	-3.63	
Boronia Park (North Sydney)	1414	588	41.58	826	58.42	-0.99	
Cammeray	2956	1103	37.31	1853	62.69	1.40	
Castlecrag	1160	433	37.33	727	62.67	5.48	
Chatswood (North Sydney)	206	82	39.81	124	60.19	-4.55	
Chatswood East (North Sydney)	402	157	39.05	245	60.95	0.06	
Chatswood South (North Sydney)	784	315	40.18	469	59.82	-4.15	
Cremorne	2598	821	31.60	1777	68.40	0.74	
Cremorne South (North Sydney)	1977	671	33.94	1306	66.06	1.77	
Crows Nest	1424	558	39.19	866	60.81	-2.32	
Crows Nest East	1245	522	41.93	723	58.07	-2.40	
Cullen	1432	498	34.78	934	65.22	4.90	
Gladesville (North Sydney)	946	409	43.23	537	56.77	4.38	
Greenwich	1771	710	40.09	1061	59.91	1.67	
Greenwich North	721	290	40.22	431	59.78	6.23	
Henley	372	124	33.33	248	66.67	-1.21	
Hunters Hill	1698	443	26.09	1255	73.91	1.38	
Hunters Hill West	1107	411	37.13	696	62.87	1.22	
Kirribilli	1570	660	42.04	910	57.96	-5.07	
Lane Cove	3503	1381	39.42	2122	60.58	0.90	
Lane Cove South	1154	395	34.23	759	65.77	2.61	
Lane Cove West	1724	617	35.79	1107	64.21	-0.67	
Longueville	1735	522	30.09	1213	69.91	5.33	
Mcmahons Point	1801	764	42.42	1037	57.58	-1.37	
Middle Harbour (North Sydney)	305	95	31.15	210	68.85	0.23	
Milsons Point	798	297	37.22	501	62.78	-0.28	
Mowbray (North Sydney)	865	385	44.51	480	55.49	2.76	
Naremburn	2968	1166	39.29	1802	60.71	-1.08	
Neutral Bay	3949	1406	35.60	2543	64.40	0.95	
Neutral Bay West	995	358	35.98	637	64.02	1.19	
North Sydney	1978	776	39.23	1202	60.77	-2.18	
Northbridge	1091	376	34.46	715	65.54	-4.75	
Northbridge East	2122	619	29.17	1503	70.83	0.26	
Parklands	1517	601	39.62	916	60.38	-3.51	
Royal North Shore Hospital	425	182	42.82	243	57.18	-1.72	
Special Hospital Team 1	168	37	22.02	131	77.98	-27.98	
Special Hospital Team 2	152	31	20.39	121	79.61	-	
Special Hospital Team 3	136	34	25.00	102	75.00	-	
Special Hospital Team 4	172	60	34.88	112	65.12	-	
Sydney (North Sydney)	205	86	41.95	119	58.05	-11.56	
Waverton	1187	501	42.21	686	57.79	1.00	
Willoughby (North Sydney)	2724	1134	41.63	1590	58.37	-0.55	
Willoughby North (North Sydney)	1511	552	36.53	959	63.47	-1.09	
Wollstonecraft	2578	990	38.40	1588	61.60	1.00	
Woolwich	680	205	30.15	475	69.85	2.26	
ABSENT	6397	2269	35.47	4128	64.53	-	
POSTAL	3536	987	27.91	2549	72.09	-	
PRE POLL	4939	1746	35.35	3193	64.65	-	
PROVISIONAL	422	163	38.63	259	61.37	-	
Division Total	78989	29055	36.78	49934	63.22	-0.55	
							
							
Page							
							
Polling Place	Formal	FLANAGAN		CAUSLEY		Swing	
	Votes	(ALP)	%	(NP)	%	%	
Ballina	4110	2008	48.86	2102	51.14	1.37	
Ballina East	2276	1010	44.38	1266	55.62	1.80	
Ballina Hospital	1571	749	47.68	822	52.32	3.35	
Ballina West	965	390	40.41	575	59.59	-4.70	
Baryulgil	43	12	27.91	31	72.09	-8.30	
Bentley	257	94	36.58	163	63.42	9.03	
Bexhill	495	189	38.18	306	61.82	-2.91	
Bonalbo	358	142	39.66	216	60.34	7.28	
Broadwater	391	216	55.24	175	44.76	6.73	
Caniaba	277	88	31.77	189	68.23	-1.26	
Casino	3061	1334	43.58	1727	56.42	-0.35	
Casino High	799	401	50.19	398	49.81	-0.76	
Casino Hospital	537	242	45.07	295	54.93	-5.60	
Casino South	1027	443	43.14	584	56.86	1.78	
Casino West	793	405	51.07	388	48.93	2.57	
Cawongla	359	271	75.49	88	24.51	-2.12	
Chatsworth Island	358	142	39.66	216	60.34	-0.14	
Clovass	263	68	25.86	195	74.14	1.29	
Clunes	383	191	49.87	192	50.13	-5.36	
Copmanhurst	344	144	41.86	200	58.14	-1.65	
Coraki	911	382	41.93	529	58.07	0.54	
Corndale	140	71	50.71	69	49.29	4.77	
Coutts Crossing	572	249	43.53	323	56.47	-0.21	
Cowper (Page)	224	92	41.07	132	58.93	-9.77	
Dundurrabin	137	81	59.12	56	40.88	-7.32	
Dunoon	546	319	58.42	227	41.58	3.04	
Eltham	238	90	37.82	148	62.18	-4.46	
Empire Vale	238	107	44.96	131	55.04	9.39	
Evans Head	1578	782	49.56	796	50.44	-2.39	
Fairy Hill	390	124	31.79	266	68.21	-1.81	
Gillwinga	546	264	48.35	282	51.65	-2.15	
Goolmangar	421	184	43.71	237	56.29	1.16	
Goonellabah	2267	973	42.92	1294	57.08	-0.54	
Goonellabah South	1976	867	43.88	1109	56.12	-0.60	
Grafton	1735	905	52.16	830	47.84	9.06	
Grafton East	1278	583	45.62	695	54.38	-3.92	
Grafton Hospital	291	148	50.86	143	49.14	0.24	
Grafton North	1700	797	46.88	903	53.12	1.22	
Grafton South	976	492	50.41	484	49.59	1.81	
Grevillia	146	44	30.14	102	69.86	-2.28	
Gundurimba South	154	56	36.36	98	63.64	4.05	
Harwood Island	275	126	45.82	149	54.18	1.33	
Horseshoe Creek	175	90	51.43	85	48.57	1.43	
Iluka	1083	539	49.77	544	50.23	-1.24	
Jiggi	213	132	61.97	81	38.03	0.70	
Junction Hill	725	288	39.72	437	60.28	2.31	
Kyogle	1707	685	40.13	1022	59.87	-1.63	
Kyogle Hospital	721	305	42.30	416	57.70	4.29	
Lawrence	553	283	51.18	270	48.82	0.49	
Leeville	264	91	34.47	173	65.53	2.14	
Lismore	2224	1271	57.15	953	42.85	1.39	
Lismore Central	1516	820	54.09	696	45.91	-2.28	
Lismore East	1708	839	49.12	869	50.88	-2.37	
Lismore Heights	931	447	48.01	484	51.99	1.92	
Lismore Hospital	346	183	52.89	163	47.11	-3.36	
Lismore North	503	297	59.05	206	40.95	-0.65	
Lismore South	1609	837	52.02	772	47.98	0.44	
Lismore St Vincents Hospital	722	317	43.91	405	56.09	-6.09	
Maclean (Page)	304	137	45.07	167	54.93	-5.77	
Mallanganee	239	86	35.98	153	64.02	-5.44	
Meerschaum Vale	308	117	37.99	191	62.01	-8.33	
Modanville	370	151	40.81	219	59.19	-3.70	
Nimbin	958	736	76.83	222	23.17	0.43	
Nymboida	121	75	61.98	46	38.02	1.98	
Pimlico	140	43	30.71	97	69.29	0.37	
Pound Hill	1468	734	50.00	734	50.00	-0.24	
Rappville	142	58	40.85	84	59.15	7.51	
Rosebank	246	173	70.33	73	29.67	-3.75	
Southgate	111	29	26.13	82	73.87	1.48	
Special Hospital Team 1	60	21	35.00	39	65.00	-15.00	
Special Hospital Team 2	22	14	63.64	8	36.36	-	
Special Hospital Team 3	106	35	33.02	71	66.98	-	
Special Hospital Team 4	138	47	34.06	91	65.94	-	
Special Hospital Team 5	102	41	40.20	61	59.80	-	
Sydney (Page)	23	15	65.22	8	34.78	-7.00	
Tabulam	183	77	42.08	106	57.92	-4.17	
The Channon	385	295	76.62	90	23.38	0.57	
Tregeagle	453	152	33.55	301	66.45	2.23	
Vere Street (Page)	2049	1062	51.83	987	48.17	1.35	
Wardell	525	265	50.48	260	49.52	5.18	
Waterview Heights	913	414	45.35	499	54.65	1.79	
Westlawn	884	416	47.06	468	52.94	1.69	
Whiporie	88	34	38.64	54	61.36	-9.33	
Wiangaree	345	138	40.00	207	60.00	3.33	
Woodburn	836	407	48.68	429	51.32	-2.87	
Woodenbong	260	73	28.08	187	71.92	1.10	
Woombah	344	182	52.91	162	47.09	0.79	
Wyrallah	384	151	39.32	233	60.68	6.31	
ABSENT	3495	1688	48.30	1807	51.70	-	
POSTAL	3122	1380	44.20	1742	55.80	-	
PRE POLL	4433	1906	43.00	2527	57.00	-	
PROVISIONAL	592	362	61.15	230	38.85	-	
Division Total	74555	35213	47.23	39342	52.77	0.59	
							
							
Parkes							
							
Polling Place	Formal	KNAGGE		COBB		Swing	
	Votes	(ALP)	%	(NP)	%	%	
Albert	97	15	15.46	82	84.54	5.94	
Alectown	174	49	28.16	125	71.84	-1.51	
Alma	1846	1349	73.08	497	26.92	-6.30	
Ballimore	109	38	34.86	71	65.14	-3.94	
Barmedman	241	71	29.46	170	70.54	-5.93	
Bedgerebong	133	17	12.78	116	87.22	-3.48	
Bogan Gate	223	60	26.91	163	73.09	2.48	
Broken Hill	1536	1018	66.28	518	33.72	-4.47	
Broken Hill Hospital	157	115	73.25	42	26.75	-2.14	
Broken Hill North	2063	1364	66.12	699	33.88	-5.80	
Broken Hill West	1075	690	64.19	385	35.81	-5.76	
Burcher	76	5	6.58	71	93.42	1.22	
Caragabal	160	29	18.13	131	81.88	2.01	
Churchill Gardens	1639	622	37.95	1017	62.05	-2.29	
Cobar	2029	918	45.24	1111	54.76	-0.08	
Condobolin	1926	687	35.67	1239	64.33	-8.81	
Cookamidgera	68	21	30.88	47	69.12	-8.59	
Coolabah	36	9	25.00	27	75.00	6.63	
Dubbo	1671	654	39.14	1017	60.86	2.44	
Dubbo East	2670	996	37.30	1674	62.70	1.12	
Dubbo Grove	2502	877	35.05	1625	64.95	0.41	
Dubbo Hospital	220	91	41.36	129	58.64	3.37	
Dubbo North	2135	872	40.84	1263	59.16	1.74	
Dubbo South	1917	736	38.39	1181	61.61	3.65	
Dubbo West	1779	717	40.30	1062	59.70	-1.90	
Emmagool	108	14	12.96	94	87.04	-3.04	
Euabalong	140	55	39.29	85	60.71	-17.27	
Eumungerie	182	52	28.57	130	71.43	4.74	
Excelsior	1280	826	64.53	454	35.47	-6.49	
Fifield	72	21	29.17	51	70.83	-9.29	
Forbes	2873	1088	37.87	1785	62.13	-4.53	
Forbes Hospital	343	108	31.49	235	68.51	-10.43	
Forbes North	1318	609	46.21	709	53.79	-4.48	
Forbes South	497	185	37.22	312	62.78	-8.52	
Garema	84	12	14.29	72	85.71	2.38	
Girilambone	49	16	32.65	33	67.35	9.93	
Gordon Centre	212	166	78.30	46	21.70	37.53	
Greenethorpe	189	54	28.57	135	71.43	3.57	
Grenfell	1664	502	30.17	1162	69.83	-0.15	
Gunningbland	95	8	8.42	87	91.58	-11.58	
Hermidale	103	8	7.77	95	92.23	-4.89	
Hillside	1446	969	67.01	477	32.99	-7.20	
Hillston	856	304	35.51	552	64.49	4.84	
Ivanhoe	143	43	30.07	100	69.93	-7.28	
Lake Cargelligo	891	283	31.76	608	68.24	1.58	
Lourdes Hospital	521	223	42.80	298	57.20	4.16	
Menindee	385	261	67.79	124	32.21	-3.91	
Merriwagga	56	13	23.21	43	76.79	6.80	
Mirrool	71	4	5.63	67	94.37	1.42	
Morgan Street	1323	778	58.81	545	41.19	-6.69	
Murrin Bridge	53	42	79.25	11	20.75	4.25	
Narromine	2570	950	36.96	1620	63.04	-1.79	
Nevertire	162	39	24.07	123	75.93	4.47	
Nymagee	86	12	13.95	74	86.05	-5.09	
Nyngan	1292	544	42.11	748	57.89	-5.97	
Ootha	43	4	9.30	39	90.70	-1.34	
Orana Heights	2898	989	34.13	1909	65.87	-1.25	
Parkes	1658	653	39.38	1005	60.62	-8.78	
Parkes East	1156	393	34.00	763	66.00	-6.56	
Parkes High	732	284	38.80	448	61.20	-5.22	
Parkes Hospital	650	247	38.00	403	62.00	-9.83	
Parkes South	855	393	45.96	462	54.04	-12.32	
Peak Hill	760	273	35.92	487	64.08	-1.80	
Quandialla	207	52	25.12	155	74.88	5.96	
Rees Avenue	978	412	42.13	566	57.87	-2.39	
Special Hospital Team 1	142	113	79.58	29	20.42	29.58	
Special Hospital Team 10	102	36	35.29	66	64.71	-	
Special Hospital Team 11	36	15	41.67	21	58.33	-	
Special Hospital Team 12	11	3	27.27	8	72.73	-	
Special Hospital Team 2	111	54	48.65	57	51.35	-	
Special Hospital Team 3	20	8	40.00	12	60.00	-	
Special Hospital Team 4	48	20	41.67	28	58.33	-	
Special Hospital Team 5	13	6	46.15	7	53.85	-	
Special Hospital Team 6	9	1	11.11	8	88.89	-	
Special Hospital Team 7	8	5	62.50	3	37.50	-	
Special Hospital Team 8	19	8	42.11	11	57.89	-	
Special Hospital Team 9	10	5	50.00	5	50.00	-	
Sydney (Parkes)	26	4	15.38	22	84.62	-10.93	
Tallimba	147	18	12.24	129	87.76	5.50	
Tibooburra	82	32	39.02	50	60.98	-0.26	
Tilpa	43	12	27.91	31	72.09	-	
Tomingley	184	46	25.00	138	75.00	4.05	
Tottenham	417	113	27.10	304	72.90	-1.71	
Trangie	785	302	38.47	483	61.53	0.78	
Trundle	498	121	24.30	377	75.70	-2.09	
Tullamore	292	68	23.29	224	76.71	2.77	
Tullibigeal	193	19	9.84	174	90.16	2.22	
Ungarie	396	104	26.26	292	73.74	3.62	
Warren	1229	509	41.42	720	58.58	0.27	
Warroo	106	24	22.64	82	77.36	13.46	
Weethalle	254	58	22.83	196	77.17	4.37	
West Wyalong	1625	571	35.14	1054	64.86	6.49	
White Cliffs	110	34	30.91	76	69.09	-1.94	
Wilcannia	285	155	54.39	130	45.61	-14.17	
Wirrinya	96	11	11.46	85	88.54	-1.24	
Wongarbon	325	106	32.62	219	67.38	-2.18	
Wyalong	662	229	34.59	433	65.41	2.52	
ABSENT	4776	1595	33.40	3181	66.60	-	
POSTAL	3088	957	30.99	2131	69.01	-	
PRE POLL	4390	2043	46.54	2347	53.46	-	
PROVISIONAL	557	282	50.63	275	49.37	-	
Division Total	76578	31596	41.26	44982	58.74	-2.36	
							
							
Parramatta							
							
Polling Place	Formal	BORGER		CAMERON		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Ballandella Road	1142	548	47.99	594	52.01	-4.23	
Carlingford (Parramatta)	677	312	46.09	365	53.91	4.70	
Carlingford North	1940	717	36.96	1223	63.04	0.68	
Cumberland High	2719	1133	41.67	1586	58.33	0.75	
Darcy Road	1678	920	54.83	758	45.17	-2.93	
Dundas	2590	1264	48.80	1326	51.20	-2.84	
Dundas Valley	761	378	49.67	383	50.33	-5.43	
Ermington	640	297	46.41	343	53.59	-12.26	
Ermington Central	1254	660	52.63	594	47.37	-5.36	
Ermington West	2316	1153	49.78	1163	50.22	-4.61	
Girraween	2049	1128	55.05	921	44.95	-3.60	
Granville North (Parramatta)	292	204	69.86	88	30.14	1.00	
Lake Parramatta	1281	603	47.07	678	52.93	-0.40	
Macarthur High	1700	929	54.65	771	45.35	-2.00	
Noller Park	462	251	54.33	211	45.67	-9.69	
North Rocks (Parramatta)	926	320	34.56	606	65.44	-5.58	
Northmead	3128	1284	41.05	1844	58.95	-1.87	
Oatlands	2533	792	31.27	1741	68.73	-0.32	
Old Toongabbie	4269	2107	49.36	2162	50.64	-6.11	
Parramatta	1998	1344	67.27	654	32.73	-4.17	
Parramatta East	1074	540	50.28	534	49.72	-4.07	
Parramatta High	596	308	51.68	288	48.32	-7.87	
Parramatta North	1676	897	53.52	779	46.48	-1.49	
Pendle Hill	2349	1303	55.47	1046	44.53	-5.41	
Pendle Hill Central	322	176	54.66	146	45.34	-8.03	
Pendle Hill North	815	394	48.34	421	51.66	-1.38	
Pitt Row	952	514	53.99	438	46.01	-9.86	
Prison Mobile Team 1	0	0	0.00	0	0.00	-	
Rosehill	1403	830	59.16	573	40.84	-11.59	
Rowland Hassall	968	569	58.78	399	41.22	-6.94	
Rydalmere	1354	693	51.18	661	48.82	-7.16	
Special Hospital Team 1	72	35	48.61	37	51.39	-1.19	
Special Hospital Team 2	99	32	32.32	67	67.68	-	
Special Hospital Team 3	125	48	38.40	77	61.60	-	
Sydney (Parramatta)	135	72	53.33	63	46.67	-10.67	
Telopea	2293	1136	49.54	1157	50.46	-5.05	
Toongabbie East	838	481	57.40	357	42.60	-7.29	
Wentworthville	2134	1253	58.72	881	41.28	-5.12	
Wentworthville Central	632	382	60.44	250	39.56	1.89	
Westmead	2560	1554	60.70	1006	39.30	-5.88	
Westmead Hospital	282	148	52.48	134	47.52	2.29	
Westmead North	665	361	54.29	304	45.71	-5.53	
Winston Heights	1576	581	36.87	995	63.13	-4.50	
Winston Hills	3309	1157	34.97	2152	65.03	-4.11	
Winston Hills South	371	163	43.94	208	56.06	2.24	
Woodberry Village	359	104	28.97	255	71.03	-2.67	
Yates Avenue	1947	931	47.82	1016	52.18	-4.90	
ABSENT	6124	2878	47.00	3246	53.00	-	
POSTAL	3941	1831	46.46	2110	53.54	-	
PRE POLL	3111	1562	50.21	1549	49.79	-	
PROVISIONAL	523	316	60.42	207	39.58	-	
Division Total	76960	37593	48.85	39367	51.15	-3.64	
							
							
Paterson							
							
Polling Place	Formal	HORNE		BALDWIN		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Anna Bay	2174	1169	53.77	1005	46.23	-3.91	
Bandon Grove	123	41	33.33	82	66.67	7.06	
Barrington	335	95	28.36	240	71.64	2.28	
Beresfield	2172	1438	66.21	734	33.79	-3.49	
Bobs Farm	275	110	40.00	165	60.00	-5.19	
Booral	407	171	42.01	236	57.99	2.37	
Bulahdelah	973	405	41.62	568	58.38	4.20	
Bungwahl	258	128	49.61	130	50.39	2.50	
Bunyah	44	12	27.27	32	72.73	-9.76	
Clarence Town	918	519	56.54	399	43.46	1.13	
Coolongolook	167	70	41.92	97	58.08	3.21	
Coomba Park	325	144	44.31	181	55.69	-1.18	
Corlette	1568	556	35.46	1012	64.54	-3.31	
Dungog	1731	816	47.14	915	52.86	1.50	
Failford	237	83	35.02	154	64.98	2.43	
Fern Bay	737	519	70.42	218	29.58	-4.58	
Fingal Bay	824	411	49.88	413	50.12	3.45	
Forster	1171	570	48.68	601	51.32	2.87	
Forster East	1457	563	38.64	894	61.36	-2.25	
Forster Keys	1534	557	36.31	977	63.69	-2.14	
Forster South	2539	1082	42.62	1457	57.38	-2.73	
Glen William	122	51	41.80	71	58.20	2.55	
Gloucester	1570	469	29.87	1101	70.13	1.36	
Gloucester Hospital	460	119	25.87	341	74.13	3.05	
Grahamstown	843	436	51.72	407	48.28	1.02	
Green Point Wallis Lake	258	130	50.39	128	49.61	0.39	
Gresford	524	193	36.83	331	63.17	0.59	
Hawks Nest	813	370	45.51	443	54.49	-3.20	
Hinton	582	230	39.52	352	60.48	-0.48	
Karuah	859	493	57.39	366	42.61	0.25	
Lemon Tree Passage	1198	673	56.18	525	43.82	-0.41	
Mallabula	569	341	59.93	228	40.07	-4.09	
Martins Creek	203	101	49.75	102	50.25	-1.47	
Medowie	1698	775	45.64	923	54.36	-3.53	
Millers Forest	259	106	40.93	153	59.07	5.74	
Morpeth	792	432	54.55	360	45.45	1.27	
Mount Kanwary	202	82	40.59	120	59.41	5.81	
Nabiac	502	177	35.26	325	64.74	-0.85	
Nelson Bay	1021	408	39.96	613	60.04	-1.77	
Nelson Bay Central	848	399	47.05	449	52.95	-2.54	
Nelson Bay East	382	190	49.74	192	50.26	-1.77	
Nelson Bay West	506	209	41.30	297	58.70	0.93	
North Arm Cove	243	97	39.92	146	60.08	-7.48	
Pacific Palms	902	479	53.10	423	46.90	3.61	
Paterson	505	225	44.55	280	55.45	1.70	
Raymond Terrace	1677	945	56.35	732	43.65	-0.71	
Raymond Terrace Central	1565	865	55.27	700	44.73	2.85	
Raymond Terrace East	1313	820	62.45	493	37.55	3.95	
Raymond Terrace North	1401	868	61.96	533	38.04	2.02	
Rookhurst	83	18	21.69	65	78.31	-5.59	
Salamander	1155	480	41.56	675	58.44	4.89	
Salamander Bay	1451	608	41.90	843	58.10	-5.21	
Salisbury	67	8	11.94	59	88.06	-1.39	
Salt Ash	674	316	46.88	358	53.12	2.94	
Seaham	992	433	43.65	559	56.35	-2.04	
Shoal Bay	893	438	49.05	455	50.95	-4.42	
Soldiers Point	835	360	43.11	475	56.89	-4.71	
Special Hospital Team 1	65	30	46.15	35	53.85	-3.98	
Special Hospital Team 2	72	42	58.33	30	41.67	-	
Special Hospital Team 3	75	34	45.33	41	54.67	-	
Stratford	188	52	27.66	136	72.34	3.56	
Stroud	537	194	36.13	343	63.87	2.93	
Stroud Road	182	67	36.81	115	63.19	-0.69	
Sydney (Paterson)	35	17	48.57	18	51.43	-12.97	
Tanilba Bay	1470	849	57.76	621	42.24	-1.31	
Tarro	663	424	63.95	239	36.05	-6.77	
Tea Gardens	1063	493	46.38	570	53.62	-4.19	
Thornton	3169	2012	63.49	1157	36.51	-3.63	
Tomago	110	67	60.91	43	39.09	-1.99	
Tuncurry	2344	1050	44.80	1294	55.20	-0.13	
Tuncurry South	885	364	41.13	521	58.87	-3.77	
Vacy	394	185	46.95	209	53.05	1.56	
Wallarobba	147	56	38.10	91	61.90	2.52	
Wards River	114	46	40.35	68	59.65	8.00	
Williamtown	604	263	43.54	341	56.46	0.46	
Wirreanda Medowie	1890	867	45.87	1023	54.13	1.19	
Woodberry	1737	1238	71.27	499	28.73	-5.25	
Woodville	407	188	46.19	219	53.81	2.34	
Wootton	111	44	39.64	67	60.36	5.49	
ABSENT	3959	2007	50.69	1952	49.31	-	
POSTAL	3354	1482	44.19	1872	55.81	-	
PRE POLL	5140	2314	45.02	2826	54.98	-	
PROVISIONAL	470	275	58.51	195	41.49	-	
Division Total	77121	37463	48.58	39658	51.42	-0.17	
							
							
Prospect							
							
Polling Place	Formal	CROSIO		PERKINS		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Abbotsbury	1445	739	51.14	706	48.86	-6.51	
Banks Drive	3774	2094	55.48	1680	44.52	-2.67	
Blackwell	2432	1325	54.48	1107	45.52	1.11	
Bossley Park	3017	1995	66.13	1022	33.87	-4.27	
Bossley Park High	1785	1123	62.91	662	37.09	-1.59	
Clairgate	2188	1143	52.24	1045	47.76	-6.65	
Erskine Park	3258	1709	52.46	1549	47.54	-8.57	
Fairfield	1492	1151	77.14	341	22.86	-9.19	
Fairfield Central	1084	878	81.00	206	19.00	-5.81	
Fairfield East (Prospect)	764	577	75.52	187	24.48	-2.65	
Fairfield Heights	3441	2414	70.15	1027	29.85	-4.70	
Fairfield North	1561	1232	78.92	329	21.08	-4.11	
Fairfield South	2121	1574	74.21	547	25.79	-3.00	
Fairfield West	3073	2256	73.41	817	26.59	-2.03	
Fairvale High	1543	1117	72.39	426	27.61	-3.90	
Governor Philip King	1830	1296	70.82	534	29.18	-1.51	
Greystanes	3279	1720	52.46	1559	47.54	-5.55	
Greystanes North	1916	1139	59.45	777	40.55	-1.91	
Holroyd	1115	612	54.89	503	45.11	-1.19	
Horsley Park	1270	493	38.82	777	61.18	0.22	
Kemps Creek (Prospect)	505	148	29.31	357	70.69	4.45	
Pendle Hill South	1625	877	53.97	748	46.03	-3.15	
Prairievale	2511	1823	72.60	688	27.40	-6.00	
Ringrose	2202	1232	55.95	970	44.05	-3.36	
Smithfield	1985	1373	69.17	612	30.83	-1.85	
Smithfield East	1646	1163	70.66	483	29.34	-1.76	
Smithfield West	3484	2292	65.79	1192	34.21	-4.99	
Special Hospital Team 1	13	11	84.61	2	15.38	34.61	
St Clair	1534	833	54.30	701	45.70	-4.97	
St Johns Park High	2435	1804	74.09	631	25.91	-3.93	
