Senate - 1996 Election: South Australia																																																	
First Preference Votes by Group																																																	
By Polling Place																																																	


Adelaide (81751)																																																	
	   		Group Total ASP			Group Total GRY			Group Total GRN			Group Total ALP			Group Total CTA			Group Total - Unendorsed Group F			Group Total AFI			Group Total EFF			Group Total AWP			Group Total - Unendorsed Group J			Group Total LP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Unley		                                      	9	0.33	 	9	0.33	 	99	3.61	 	885	32.29	 	16	0.58	 	2	0.07	 	16	0.58	 	5	0.18	 	35	1.28	 	8	0.29	 	1154	42.1	 	501	18.28	 	2	0.07	 	2741	96.99	 	85	3.01	 	2826	3.62
Walkerville		                                	7	0.29	 	13	0.53	 	48	1.97	 	443	18.19	 	3	0.12	 	1	0.04	 	15	0.62	 	1	0.04	 	11	0.45	 	5	0.21	 	1557	63.92	 	329	13.51	 	3	0.12	 	2436	97.56	 	61	2.44	 	2497	3.2
Wayville		                                   	3	0.48	 	1	0.16	 	19	3.07	 	162	26.17	 	1	0.16	 	1	0.16	 	4	0.65	 	0	0	 	2	0.32	 	1	0.16	 	302	48.79	 	120	19.39	 	3	0.48	 	619	95.97	 	26	4.03	 	645	0.83
West Croydon (Adelaide)		                    	10	0.86	 	10	0.86	 	35	3	 	589	50.56	 	5	0.43	 	1	0.09	 	10	0.86	 	7	0.6	 	14	1.2	 	8	0.69	 	332	28.5	 	143	12.27	 	1	0.09	 	1165	93.57	 	80	6.43	 	1245	1.6
Special Hospitals		                          	10	1.3	 	5	0.65	 	1	0.13	 	200	25.97	 	0	0	 	1	0.13	 	2	0.26	 	4	0.52	 	2	0.26	 	4	0.52	 	506	65.71	 	34	4.42	 	1	0.13	 	770	95.18	 	39	4.82	 	809	1.04
Total Ordinary		                             	478	0.75	 	439	0.69	 	1510	2.36	 	22034	34.48	 	312	0.49	 	83	0.13	 	412	0.64	 	146	0.23	 	465	0.73	 	346	0.54	 	27818	43.53	 	9804	15.34	 	65	0.1	 	63912	96.34	 	2427	3.66	 	66339	85.02
ABSENT		                                     	44	0.92	 	26	0.55	 	222	4.66	 	1607	33.75	 	24	0.5	 	7	0.15	 	58	1.22	 	10	0.21	 	38	0.8	 	12	0.25	 	1908	40.08	 	794	16.68	 	11	0.23	 	4761	97.76	 	109	2.24	 	4870	6.24
POSTAL		                                     	6	0.19	 	45	1.42	 	55	1.74	 	913	28.88	 	18	0.57	 	1	0.03	 	26	0.82	 	9	0.28	 	25	0.79	 	14	0.44	 	1700	53.78	 	346	10.95	 	3	0.09	 	3161	98.69	 	42	1.31	 	3203	4.1
PRE_POLL		                                   	13	0.52	 	11	0.44	 	114	4.6	 	811	32.74	 	10	0.4	 	1	0.04	 	19	0.77	 	5	0.2	 	31	1.25	 	3	0.12	 	1053	42.51	 	403	16.27	 	3	0.12	 	2477	98.45	 	39	1.55	 	2516	3.22
PROVISIONAL		                                	7	0.65	 	4	0.37	 	51	4.76	 	490	45.71	 	1	0.09	 	1	0.09	 	5	0.47	 	5	0.47	 	14	1.31	 	0	0	 	331	30.88	 	163	15.21	 	0	0	 	1072	97.45	 	28	2.55	 	1100	1.41
ADJUSTMENT		                                 	-1		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	-1		       	0		       	-1	
Division Summary		                           	547	0.73	 	525	0.7	 	1952	2.59	 	25855	34.3	 	365	0.48	 	93	0.12	 	520	0.69	 	175	0.23	 	573	0.76	 	375	0.5	 	32810	43.52	 	11510	15.27	 	82	0.11	 	75382	96.61	 	2645	3.39	 	78027	95.44
 																																																	


Barker (84479)																																																	
	   		Group Total ASP			Group Total GRY			Group Total GRN			Group Total ALP			Group Total CTA			Group Total - Unendorsed Group J			Group Total AFI			Group Total EFF			Group Total AWP			Group Total - Unendorsed Group J			Group Total LP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
