Senate - 1996 Election: South Australia																																																	
First Preference Votes by Group																																																	
By Polling Place																																																	


Adelaide (81751)																																																	
	   		Group Total ASP			Group Total GRY			Group Total GRN			Group Total ALP			Group Total CTA			Group Total - Unendorsed Group F			Group Total AFI			Group Total EFF			Group Total AWP			Group Total - Unendorsed Group J			Group Total LP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Iron Knob		                                  	4	2.8	 	2	1.4	 	1	0.7	 	68	47.55	 	3	2.1	 	1	0.7	 	1	0.7	 	1	0.7	 	1	0.7	 	1	0.7	 	45	31.47	 	15	10.49	 	0	0	 	143	95.33	 	7	4.67	 	150	0.19
Jamestown		                                  	17	1.3	 	14	1.07	 	13	0.99	 	201	15.33	 	4	0.31	 	0	0	 	17	1.3	 	0	0	 	6	0.46	 	7	0.53	 	943	71.93	 	89	6.79	 	0	0	 	1311	97.04	 	40	2.96	 	1351	1.69
Karkoo		                                     	0	0	 	0	0	 	0	0	 	4	3.88	 	0	0	 	0	0	 	2	1.94	 	0	0	 	0	0	 	0	0	 	96	93.2	 	1	0.97	 	0	0	 	103	99.04	 	1	0.96	 	104	0.13
Kimba		                                      	5	0.67	 	8	1.07	 	3	0.4	 	69	9.21	 	2	0.27	 	0	0	 	3	0.4	 	0	0	 	5	0.67	 	4	0.53	 	589	78.64	 	61	8.14	 	0	0	 	749	97.65	 	18	2.35	 	767	0.96
Kirton Point		                               	16	1.8	 	11	1.24	 	17	1.92	 	280	31.57	 	7	0.79	 	0	0	 	15	1.69	 	1	0.11	 	3	0.34	 	0	0	 	464	52.31	 	73	8.23	 	0	0	 	887	97.26	 	25	2.74	 	912	1.14
Laura		                                      	5	1.03	 	3	0.62	 	5	1.03	 	93	19.1	 	6	1.23	 	0	0	 	5	1.03	 	0	0	 	3	0.62	 	2	0.41	 	300	61.6	 	62	12.73	 	3	0.62	 	487	94.56	 	28	5.44	 	515	0.65
Leigh Creek		                                	15	2.66	 	4	0.71	 	7	1.24	 	305	54.17	 	2	0.36	 	0	0	 	9	1.6	 	1	0.18	 	10	1.78	 	3	0.53	 	156	27.71	 	51	9.06	 	0	0	 	563	97.57	 	14	2.43	 	577	0.72
Lochiel		                                    	3	2.52	 	1	0.84	 	0	0	 	22	18.49	 	3	2.52	 	0	0	 	0	0	 	1	0.84	 	0	0	 	0	0	 	80	67.23	 	9	7.56	 	0	0	 	119	99.17	 	1	0.83	 	120	0.15
Lock		                                       	0	0	 	6	1.86	 	3	0.93	 	28	8.67	 	0	0	 	0	0	 	6	1.86	 	0	0	 	1	0.31	 	1	0.31	 	270	83.59	 	8	2.48	 	0	0	 	323	98.48	 	5	1.52	 	328	0.41
Melrose		                                    	0	0	 	1	0.42	 	3	1.25	 	32	13.33	 	8	3.33	 	0	0	 	4	1.67	 	1	0.42	 	0	0	 	1	0.42	 	158	65.83	 	32	13.33	 	0	0	 	240	95.24	 	12	4.76	 	252	0.32
Minnipa		                                    	2	1.23	 	1	0.62	 	0	0	 	25	15.43	 	4	2.47	 	0	0	 	2	1.23	 	1	0.62	 	0	0	 	1	0.62	 	116	71.6	 	10	6.17	 	0	0	 	162	96.43	 	6	3.57	 	168	0.21
Napperby		                                   	12	2.73	 	2	0.45	 	3	0.68	 	161	36.59	 	2	0.45	 	1	0.23	 	5	1.14	 	1	0.23	 	1	0.23	 	0	0	 	205	46.59	 	47	10.68	 	0	0	 	440	96.07	 	18	3.93	 	458	0.57
North Shields		                              	3	0.87	 	3	0.87	 	1	0.29	 	59	17.05	 	2	0.58	 	0	0	 	7	2.02	 	1	0.29	 	0	0	 	4	1.16	 	244	70.52	 	22	6.36	 	0	0	 	346	98.02	 	7	1.98	 	353	0.44
Orroroo		                                    	4	0.72	 	2	0.36	 	3	0.54	 	52	9.42	 	0	0	 	0	0	 	6	1.09	 	0	0	 	1	0.18	 	4	0.72	 	453	82.07	 	27	4.89	 	0	0	 	552	96.67	 	19	3.33	 	571	0.72
Peterborough		                               	32	2.58	 	14	1.13	 	18	1.45	 	517	41.69	 	7	0.56	 	1	0.08	 	9	0.73	 	4	0.32	 	9	0.73	 	0	0	 	520	41.94	 	108	8.71	 	1	0.08	 	1240	95.9	 	53	4.1	 	1293	1.62
Pirie South		                                	20	1.17	 	15	0.87	 	16	0.93	 	913	53.24	 	12	0.7	 	0	0	 	19	1.11	 	7	0.41	 	7	0.41	 	6	0.35	 	550	32.07	 	150	8.75	 	0	0	 	1715	96.84	 	56	3.16	 	1771	2.22
Poochera		                                   	3	2.22	 	1	0.74	 	0	0	 	0	0	 	4	2.96	 	0	0	 	1	0.74	 	0	0	 	1	0.74	 	0	0	 	110	81.48	 	15	11.11	 	0	0	 	135	97.83	 	3	2.17	 	138	0.17
Port Augusta		                               	17	1.93	 	5	0.57	 	17	1.93	 	430	48.75	 	7	0.79	 	2	0.23	 	12	1.36	 	0	0	 	0	0	 	3	0.34	 	311	35.26	 	78	8.84	 	0	0	 	882	95.97	 	37	4.03	 	919	1.15
Port Augusta West		                          	45	2.24	 	40	1.99	 	46	2.29	 	998	49.7	 	2	0.1	 	0	0	 	34	1.69	 	1	0.05	 	18	0.9	 	3	0.15	 	633	31.52	 	186	9.26	 	2	0.1	 	2008	97.43	 	53	2.57	 	2061	2.58
Port Broughton		                             	7	0.69	 	16	1.57	 	7	0.69	 	269	26.4	 	1	0.1	 	1	0.1	 	11	1.08	 	4	0.39	 	4	0.39	 	13	1.28	 	624	61.24	 	62	6.08	 	0	0	 	1019	97.23	 	29	2.77	 	1048	1.31
Port Germein		                               	7	2.41	 	4	1.38	 	9	3.1	 	94	32.41	 	1	0.34	 	0	0	 	4	1.38	 	0	0	 	5	1.72	 	1	0.34	 	147	50.69	 	18	6.21	 	0	0	 	290	98.31	 	5	1.69	 	295	0.37
Port Kenny		                                 	3	1.92	 	2	1.28	 	3	1.92	 	18	11.54	 	2	1.28	 	0	0	 	3	1.92	 	0	0	 	0	0	 	1	0.64	 	109	69.87	 	15	9.62	 	0	0	 	156	96.3	 	6	3.7	 	162	0.2
Port Lincoln		                               	33	1.02	 	32	0.99	 	83	2.56	 	867	26.74	 	23	0.71	 	0	0	 	36	1.11	 	2	0.06	 	23	0.71	 	9	0.28	 	1820	56.14	 	314	9.69	 	0	0	 	3242	96.98	 	101	3.02	 	3343	4.19
Port Lincoln Central		                       	15	0.88	 	9	0.53	 	18	1.05	 	328	19.14	 	11	0.64	 	1	0.06	 	32	1.87	 	2	0.12	 	9	0.53	 	6	0.35	 	1104	64.41	 	179	10.44	 	0	0	 	1714	97.66	 	41	2.34	 	1755	2.2
Port Lincoln South		                         	19	1.49	 	11	0.86	 	30	2.36	 	552	43.36	 	13	1.02	 	0	0	 	18	1.41	 	8	0.63	 	13	1.02	 	5	0.39	 	492	38.65	 	112	8.8	 	0	0	 	1273	95.71	 	57	4.29	 	1330	1.67
Port Neill		                                 	3	1.23	 	1	0.41	 	3	1.23	 	39	16.05	 	0	0	 	0	0	 	4	1.65	 	0	0	 	0	0	 	0	0	 	177	72.84	 	16	6.58	 	0	0	 	243	96.43	 	9	3.57	 	252	0.32
Port Pirie West		                            	34	1.3	 	23	0.88	 	49	1.87	 	1497	57.2	 	13	0.5	 	3	0.11	 	30	1.15	 	9	0.34	 	19	0.73	 	2	0.08	 	705	26.94	 	232	8.87	 	1	0.04	 	2617	96.6	 	92	3.4	 	2709	3.4
Quorn		                                      	25	3.24	 	5	0.65	 	9	1.17	 	213	27.59	 	4	0.52	 	2	0.26	 	4	0.52	 	2	0.26	 	7	0.91	 	2	0.26	 	424	54.92	 	75	9.72	 	0	0	 	772	96.86	 	25	3.14	 	797	1
Redhill		                                    	0	0	 	1	0.49	 	1	0.49	 	18	8.82	 	0	0	 	0	0	 	2	0.98	 	0	0	 	1	0.49	 	0	0	 	161	78.92	 	20	9.8	 	0	0	 	204	97.61	 	5	2.39	 	209	0.26
Risdon Park East		                           	29	1.22	 	22	0.93	 	24	1.01	 	1084	45.76	 	13	0.55	 	3	0.13	 	19	0.8	 	1	0.04	 	11	0.46	 	5	0.21	 	922	38.92	 	236	9.96	 	0	0	 	2369	97.17	 	69	2.83	 	2438	3.06
Risdon Park South		                          	14	1	 	8	0.57	 	24	1.71	 	708	50.32	 	8	0.57	 	1	0.07	 	8	0.57	 	5	0.36	 	6	0.43	 	2	0.14	 	507	36.03	 	116	8.24	 	0	0	 	1407	97.17	 	41	2.83	 	1448	1.81
Roxby Downs		                                	21	1.94	 	4	0.37	 	32	2.95	 	359	33.15	 	10	0.92	 	0	0	 	18	1.66	 	3	0.28	 	6	0.55	 	2	0.18	 	553	51.06	 	74	6.83	 	1	0.09	 	1083	97.74	 	25	2.26	 	1108	1.39
Scott		                                      	31	1.44	 	14	0.65	 	60	2.79	 	1280	59.51	 	3	0.14	 	5	0.23	 	20	0.93	 	7	0.33	 	20	0.93	 	7	0.33	 	474	22.04	 	229	10.65	 	1	0.05	 	2151	97.6	 	53	2.4	 	2204	2.76
Smoky Bay		                                  	1	0.62	 	2	1.24	 	2	1.24	 	20	12.42	 	0	0	 	0	0	 	4	2.48	 	0	0	 	0	0	 	0	0	 	125	77.64	 	7	4.35	 	0	0	 	161	95.83	 	7	4.17	 	168	0.21
Snowtown		                                   	5	1.22	 	5	1.22	 	9	2.19	 	79	19.22	 	2	0.49	 	0	0	 	0	0	 	1	0.24	 	3	0.73	 	1	0.24	 	277	67.4	 	29	7.06	 	0	0	 	411	95.8	 	18	4.2	 	429	0.54
Solomontown		                                	14	1.48	 	13	1.37	 	25	2.64	 	547	57.82	 	1	0.11	 	0	0	 	15	1.59	 	2	0.21	 	7	0.74	 	4	0.42	 	249	26.32	 	68	7.19	 	1	0.11	 	946	95.46	 	45	4.54	 	991	1.24
Spalding		                                   	8	2.89	 	2	0.72	 	0	0	 	57	20.58	 	1	0.36	 	0	0	 	3	1.08	 	0	0	 	1	0.36	 	0	0	 	193	69.68	 	12	4.33	 	0	0	 	277	98.23	 	5	1.77	 	282	0.35
Stirling North		                             	16	1.73	 	8	0.87	 	20	2.17	 	381	41.28	 	4	0.43	 	1	0.11	 	23	2.49	 	6	0.65	 	5	0.54	 	1	0.11	 	369	39.98	 	89	9.64	 	0	0	 	923	96.95	 	29	3.05	 	952	1.19
Streaky Bay		                                	15	1.87	 	14	1.75	 	25	3.12	 	121	15.09	 	5	0.62	 	1	0.12	 	10	1.25	 	4	0.5	 	5	0.62	 	6	0.75	 	533	66.46	 	63	7.86	 	0	0	 	802	96.86	 	26	3.14	 	828	1.04
Terowie		                                    	3	2.48	 	3	2.48	 	5	4.13	 	28	23.14	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	2	1.65	 	71	58.68	 	8	6.61	 	1	0.83	 	121	94.53	 	7	5.47	 	128	0.16
Tumby Bay		                                  	8	0.75	 	8	0.75	 	10	0.93	 	168	15.67	 	8	0.75	 	0	0	 	11	1.03	 	0	0	 	2	0.19	 	1	0.09	 	786	73.32	 	70	6.53	 	0	0	 	1072	97.37	 	29	2.63	 	1101	1.38
Ungarra		                                    	2	1.4	 	1	0.7	 	3	2.1	 	15	10.49	 	7	4.9	 	0	0	 	2	1.4	 	2	1.4	 	0	0	 	0	0	 	104	72.73	 	7	4.9	 	0	0	 	143	97.95	 	3	2.05	 	146	0.18
Wangary		                                    	3	1.21	 	2	0.81	 	6	2.43	 	27	10.93	 	1	0.4	 	0	0	 	7	2.83	 	0	0	 	1	0.4	 	1	0.4	 	179	72.47	 	20	8.1	 	0	0	 	247	98.02	 	5	1.98	 	252	0.32
Warramboo		                                  	0	0	 	0	0	 	1	0.93	 	5	4.63	 	3	2.78	 	1	0.93	 	0	0	 	0	0	 	0	0	 	0	0	 	95	87.96	 	3	2.78	 	0	0	 	108	99.08	 	1	0.92	 	109	0.14
Whyalla		                                    	13	1.29	 	9	0.89	 	24	2.38	 	383	38	 	11	1.09	 	0	0	 	10	0.99	 	1	0.1	 	5	0.5	 	3	0.3	 	413	40.97	 	135	13.39	 	1	0.1	 	1008	97.49	 	26	2.51	 	1034	1.3
Whyalla Norrie		                             	25	1.43	 	13	0.74	 	33	1.89	 	1006	57.62	 	31	1.78	 	2	0.11	 	21	1.2	 	0	0	 	13	0.74	 	10	0.57	 	429	24.57	 	162	9.28	 	1	0.06	 	1746	97.27	 	49	2.73	 	1795	2.25
Whyalla Norrie South		                       	9	0.56	 	17	1.06	 	34	2.13	 	1009	63.06	 	11	0.69	 	0	0	 	11	0.69	 	2	0.13	 	13	0.81	 	1	0.06	 	340	21.25	 	153	9.56	 	0	0	 	1600	98.1	 	31	1.9	 	1631	2.04
Whyalla South		                              	33	1.56	 	27	1.28	 	31	1.47	 	943	44.71	 	21	1	 	2	0.09	 	22	1.04	 	4	0.19	 	11	0.52	 	4	0.19	 	769	36.46	 	242	11.47	 	0	0	 	2109	97.01	 	65	2.99	 	2174	2.72
Whyalla Stuart		                             	11	0.85	 	5	0.39	 	29	2.23	 	761	58.63	 	18	1.39	 	2	0.15	 	12	0.92	 	2	0.15	 	7	0.54	 	4	0.31	 	314	24.19	 	132	10.17	 	1	0.08	 	1298	98.41	 	21	1.59	 	1319	1.65
Whyalla West		                               	27	1.31	 	17	0.83	 	49	2.39	 	1056	51.41	 	24	1.17	 	3	0.15	 	17	0.83	 	3	0.15	 	8	0.39	 	10	0.49	 	624	30.38	 	215	10.47	 	1	0.05	 	2054	97.48	 	53	2.52	 	2107	2.64
Willsden		                                   	24	1.96	 	8	0.65	 	19	1.55	 	658	53.67	 	5	0.41	 	3	0.24	 	7	0.57	 	3	0.24	 	10	0.82	 	4	0.33	 	355	28.96	 	130	10.6	 	0	0	 	1226	96.46	 	45	3.54	 	1271	1.59
Wilmington		                                 	5	1.36	 	2	0.54	 	6	1.63	 	79	21.47	 	3	0.82	 	0	0	 	6	1.63	 	0	0	 	1	0.27	 	0	0	 	230	62.5	 	36	9.78	 	0	0	 	368	97.61	 	9	2.39	 	377	0.47
Wirrabara		                                  	3	0.78	 	1	0.26	 	7	1.82	 	53	13.8	 	3	0.78	 	0	0	 	6	1.56	 	0	0	 	3	0.78	 	2	0.52	 	268	69.79	 	38	9.9	 	0	0	 	384	97.22	 	11	2.78	 	395	0.5
Wirrulla		                                   	0	0	 	0	0	 	1	0.87	 	1	0.87	 	0	0	 	0	0	 	1	0.87	 	0	0	 	0	0	 	0	0	 	110	95.65	 	2	1.74	 	0	0	 	115	96.64	 	4	3.36	 	119	0.15
Woomera		                                    	6	1.73	 	1	0.29	 	10	2.89	 	141	40.75	 	1	0.29	 	0	0	 	2	0.58	 	0	0	 	6	1.73	 	3	0.87	 	130	37.57	 	46	13.29	 	0	0	 	346	96.65	 	12	3.35	 	358	0.45
Wudinna		                                    	1	0.17	 	2	0.34	 	1	0.17	 	53	8.91	 	9	1.51	 	0	0	 	3	0.5	 	1	0.17	 	0	0	 	2	0.34	 	498	83.7	 	25	4.2	 	0	0	 	595	97.38	 	16	2.62	 	611	0.77
Yacka		                                      	0	0	 	0	0	 	0	0	 	9	8.49	 	2	1.89	 	0	0	 	1	0.94	 	1	0.94	 	0	0	 	3	2.83	 	81	76.42	 	9	8.49	 	0	0	 	106	95.5	 	5	4.5	 	111	0.14
Special Hospitals		                          	2	0.43	 	9	1.93	 	4	0.86	 	171	36.62	 	1	0.21	 	1	0.21	 	2	0.43	 	4	0.86	 	2	0.43	 	1	0.21	 	251	53.75	 	19	4.07	 	0	0	 	467	96.09	 	19	3.91	 	486	0.61
Remote Mobiles		                             	23	1.87	 	6	0.49	 	20	1.63	 	732	59.61	 	3	0.24	 	0	0	 	10	0.81	 	1	0.08	 	5	0.41	 	2	0.16	 	372	30.29	 	54	4.4	 	0	0	 	1228	98.87	 	14	1.13	 	1242	1.56
Prison Mobiles		                             	0	0	 	0	0	 	2	9.52	 	18	85.71	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	1	4.76	 	0	0	 	0	0	 	21	100	 	0	0	 	21	0.03
Total Ordinary		                             	925	1.38	 	574	0.86	 	1108	1.66	 	24559	36.73	 	451	0.67	 	50	0.07	 	690	1.03	 	132	0.2	 	373	0.56	 	220	0.33	 	31884	47.68	 	5880	8.79	 	20	0.03	 	66866	97.08	 	2013	2.92	 	68879	86.33
ABSENT		                                     	78	1.81	 	46	1.07	 	125	2.9	 	1327	30.8	 	21	0.49	 	4	0.09	 	62	1.44	 	13	0.3	 	40	0.93	 	13	0.3	 	2024	46.98	 	554	12.86	 	1	0.02	 	4308	98.13	 	82	1.87	 	4390	5.5
POSTAL		                                     	30	0.96	 	26	0.83	 	47	1.51	 	636	20.37	 	22	0.7	 	3	0.1	 	36	1.15	 	8	0.26	 	24	0.77	 	4	0.13	 	2034	65.15	 	251	8.04	 	1	0.03	 	3122	99.21	 	25	0.79	 	3147	3.94
PRE_POLL		                                   	34	1.61	 	18	0.85	 	61	2.88	 	778	36.78	 	21	0.99	 	3	0.14	 	28	1.32	 	6	0.28	 	27	1.28	 	1	0.05	 	932	44.07	 	206	9.74	 	0	0	 	2115	98.51	 	32	1.49	 	2147	2.69
PROVISIONAL		                                	24	2.02	 	10	0.84	 	42	3.53	 	626	52.56	 	9	0.76	 	2	0.17	 	32	2.69	 	2	0.17	 	18	1.51	 	2	0.17	 	343	28.8	 	81	6.8	 	0	0	 	1191	97.62	 	29	2.38	 	1220	1.53
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	1		       	-1		       	0		       	0		       	0		       	0		       	0		       	0	
Division Summary		                           	1091	1.41	 	674	0.87	 	1383	1.78	 	27926	35.99	 	524	0.68	 	62	0.08	 	848	1.09	 	161	0.21	 	483	0.62	 	239	0.31	 	37217	47.96	 	6972	8.98	 	22	0.03	 	77602	97.27	 	2181	2.73	 	79783	95.47
 																																																	


Hindmarsh (83918)																																																	
	   		Group Total ASP			Group Total GRY			Group Total GRN			Group Total ALP			Group Total CTA			Group Total - Unendorsed Group F			Group Total AFI			Group Total EFF			Group Total AWP			Group Total - Unendorsed Group J			Group Total LP			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Adelaide (Hindmarsh)		                       	0	0	 	1	0.56	 	8	4.49	 	67	37.64	 	3	1.69	 	1	0.56	 	0	0	 	0	0	 	1	0.56	 	0	0	 	60	33.71	 	36	20.22	 	1	0.56	 	178	97.27	 	5	2.73	 	183	0.23
Ascot Park South		                           	7	0.72	 	11	1.14	 	10	1.03	 	387	40.02	 	9	0.93	 	2	0.21	 	5	0.52	 	5	0.52	 	9	0.93	 	15	1.55	 	377	38.99	 	128	13.24	 	2	0.21	 	967	95.18	 	49	4.82	 	1016	1.26
Brooklyn Park		                              	16	0.89	 	7	0.39	 	21	1.17	 	656	36.63	 	23	1.28	 	5	0.28	 	14	0.78	 	6	0.34	 	8	0.45	 	21	1.17	 	792	44.22	 	222	12.4	 	0	0	 	1791	94.61	 	102	5.39	 	1893	2.34
Brooklyn Park South		                        	8	0.69	 	6	0.52	 	25	2.15	 	405	34.76	 	11	0.94	 	0	0	 	3	0.26	 	3	0.26	 	4	0.34	 	6	0.52	 	537	46.09	 	157	13.48	 	0	0	 	1165	96.04	 	48	3.96	 	1213	1.5
Camden Park		                                	5	0.36	 	14	1.02	 	21	1.53	 	458	33.43	 	6	0.44	 	2	0.15	 	14	1.02	 	5	0.36	 	8	0.58	 	14	1.02	 	641	46.79	 	182	13.28	 	0	0	 	1370	95.87	 	59	4.13	 	1429	1.77
Cowandilla		                                 	18	0.91	 	4	0.2	 	48	2.43	 	1037	52.45	 	10	0.51	 	0	0	 	18	0.91	 	2	0.1	 	20	1.01	 	7	0.35	 	589	29.79	 	223	11.28	 	1	0.05	 	1977	94.59	 	113	5.41	 	2090	2.58
Cowandilla West		                            	5	0.9	 	8	1.44	 	12	2.17	 	213	38.45	 	1	0.18	 	2	0.36	 	2	0.36	 	3	0.54	 	6	1.08	 	6	1.08	 	221	39.89	 	75	13.54	 	0	0	 	554	95.35	 	27	4.65	 	581	0.72
Edwardstown		                                	16	1.04	 	26	1.69	 	30	1.96	 	549	35.79	 	17	1.11	 	0	0	 	8	0.52	 	4	0.26	 	7	0.46	 	15	0.98	 	617	40.22	 	244	15.91	 	1	0.07	 	1534	95.93	 	65	4.07	 	1599	1.98
Flinders Park		                              	28	0.98	 	21	0.73	 	54	1.89	 	1163	40.61	 	9	0.31	 	6	0.21	 	10	0.35	 	12	0.42	 	14	0.49	 	20	0.7	 	1149	40.12	 	378	13.2	 	0	0	 	2864	95.4	 	138	4.6	 	3002	3.71
Forbes		                                     	30	1.23	 	29	1.19	 	51	2.09	 	886	36.22	 	11	0.45	 	0	0	 	17	0.7	 	12	0.49	 	12	0.49	 	55	2.25	 	1049	42.89	 	294	12.02	 	0	0	 	2446	96.11	 	99	3.89	 	2545	3.15
Fulham		                                     	12	0.69	 	6	0.34	 	20	1.14	 	473	27.07	 	9	0.52	 	1	0.06	 	8	0.46	 	3	0.17	 	2	0.11	 	14	0.8	 	1004	57.47	 	195	11.16	 	0	0	 	1747	96.36	 	66	3.64	 	1813	2.24
Fulham Gardens		                             	44	1.32	 	18	0.54	 	74	2.22	 	1185	35.53	 	9	0.27	 	5	0.15	 	8	0.24	 	3	0.09	 	10	0.3	 	21	0.63	 	1531	45.91	 	423	12.68	 	4	0.12	 	3335	96.05	 	137	3.95	 	3472	4.29
Glandore		                                   	6	0.53	 	6	0.53	 	27	2.39	 	353	31.29	 	7	0.62	 	2	0.18	 	9	0.8	 	6	0.53	 	3	0.27	 	11	0.98	 	528	46.81	 	169	14.98	 	1	0.09	 	1128	96.82	 	37	3.18	 	1165	1.44
Glandore South		                             	13	0.98	 	16	1.21	 	22	1.67	 	454	34.39	 	15	1.14	 	1	0.08	 	6	0.45	 	11	0.83	 	8	0.61	 	15	1.14	 	553	41.89	 	206	15.61	 	0	0	 	1320	96.77	 	44	3.23	 	1364	1.69
Glenelg Central		                            	7	0.46	 	9	0.59	 	48	3.15	 	395	25.88	 	5	0.33	 	1	0.07	 	9	0.59	 	3	0.2	 	2	0.13	 	12	0.79	 	816	53.47	 	219	14.35	 	0	0	 	1526	96.64	 	53	3.36	 	1579	1.95
Glenelg East		                               	6	0.36	 	15	0.9	 	44	2.64	 	455	27.34	 	6	0.36	 	2	0.12	 	12	0.72	 	3	0.18	 	6	0.36	 	8	0.48	 	862	51.8	 	244	14.66	 	1	0.06	 	1664	97.08	 	50	2.92	 	1714	2.12
Glenelg North		                              	9	0.39	 	18	0.78	 	63	2.72	 	574	24.74	 	5	0.22	 	2	0.09	 	13	0.56	 	9	0.39	 	13	0.56	 	16	0.69	 	1278	55.09	 	320	13.79	 	0	0	 	2320	96.99	 	72	3.01	 	2392	2.96
Glenelg South		                              	6	0.33	 	27	1.49	 	35	1.93	 	352	19.43	 	6	0.33	 	0	0	 	15	0.83	 	7	0.39	 	8	0.44	 	11	0.61	 	1130	62.36	 	213	11.75	 	2	0.11	 	1812	95.82	 	79	4.18	 	1891	2.34
Glengowrie		                                 	5	0.31	 	25	1.54	 	15	0.92	 	398	24.54	 	6	0.37	 	1	0.06	 	14	0.86	 	3	0.18	 	5	0.31	 	24	1.48	 	872	53.76	 	254	15.66	 	0	0	 	1622	96.84	 	53	3.16	 	1675	2.07
Grovene		                                    	5	0.4	 	10	0.8	 	19	1.51	 	266	21.18	 	2	0.16	 	1	0.08	 	4	0.32	 	3	0.24	 	2	0.16	 	13	1.04	 	784	62.42	 	147	11.7	 	0	0	 	1256	97.14	 	37	2.86	 	1293	1.6
Henley Beach		                               	8	0.36	 	19	0.86	 	88	3.99	 	717	32.52	 	6	0.27	 	1	0.05	 	18	0.82	 	7	0.32	 	9	0.41	 	30	1.36	 	933	42.31	 	368	16.69	 	1	0.05	 	2205	96.84	 	72	3.16	 	2277	2.81
Henley South		                               	6	0.4	 	9	0.6	 	40	2.66	 	459	30.56	 	4	0.27	 	0	0	 	7	0.47	 	5	0.33	 	10	0.67	 	10	0.67	 	738	49.13	 	212	14.11	 	2	0.13	 	1502	97.53	 	38	2.47	 	1540	1.9
Kidman Park		                                	10	0.96	 	5	0.48	 	13	1.24	 	386	36.9	 	2	0.19	 	2	0.19	 	3	0.29	 	4	0.38	 	6	0.57	 	5	0.48	 	463	44.26	 	147	14.05	 	0	0	 	1046	95.26	 	52	4.74	 	1098	1.36
Kidman Park South		                          	18	0.8	 	4	0.18	 	28	1.24	 	801	35.52	 	10	0.44	 	2	0.09	 	6	0.27	 	2	0.09	 	8	0.35	 	12	0.53	 	1100	48.78	 	263	11.66	 	1	0.04	 	2255	95.47	 	107	4.53	 	2362	2.92
Kurralta Park		                              	17	1.33	 	4	0.31	 	36	2.81	 	504	39.31	 	9	0.7	 	1	0.08	 	4	0.31	 	4	0.31	 	4	0.31	 	12	0.94	 	524	40.87	 	162	12.64	 	1	0.08	 	1282	95.74	 	57	4.26	 	1339	1.66
Lockleys		                                   	9	0.49	 	8	0.44	 	20	1.1	 	470	25.8	 	10	0.55	 	2	0.11	 	13	0.71	 	1	0.05	 	9	0.49	 	15	0.82	 	1037	56.92	 	227	12.46	 	1	0.05	 	1822	95.14	 	93	4.86	 	1915	2.37
Lockleys North		                             	6	0.47	 	6	0.47	 	24	1.89	 	411	32.36	 	9	0.71	 	3	0.24	 	8	0.63	 	5	0.39	 	6	0.47	 	12	0.94	 	616	48.5	 	163	12.83	 	1	0.08	 	1270	96.73	 	43	3.27	 	1313	1.62
Morphettville		                              	8	0.6	 	12	0.9	 	29	2.18	 	418	31.4	 	7	0.53	 	1	0.08	 	18	1.35	 	8	0.6	 	8	0.6	 	27	2.03	 	592	44.48	 	202	15.18	 	1	0.08	 	1331	96.17	 	53	3.83	 	1384	1.71
Netley		                                     	21	1.08	 	19	0.98	 	19	0.98	 	678	34.98	 	6	0.31	 	5	0.26	 	11	0.57	 	8	0.41	 	7	0.36	 	30	1.55	 	841	43.4	 	291	15.02	 	2	0.1	 	1938	95.66	 	88	4.34	 	2026	2.5
Novar Gardens		                              	4	0.22	 	14	0.76	 	20	1.09	 	438	23.79	 	3	0.16	 	0	0	 	8	0.43	 	5	0.27	 	3	0.16	 	15	0.81	 	1112	60.4	 	219	11.9	 	0	0	 	1841	96.04	 	76	3.96	 	1917	2.37
Park Holme		                                 	13	0.84	 	13	0.84	 	31	2	 	606	39.15	 	19	1.23	 	5	0.32	 	13	0.84	 	4	0.26	 	11	0.71	 	16	1.03	 	583	37.66	 	233	15.05	 	1	0.06	 	1548	95.2	 	78	4.8	 	1626	2.01
Park Holme South		                           	8	0.45	 	13	0.73	 	25	1.41	 	671	37.93	 	8	0.45	 	3	0.17	 	14	0.79	 	6	0.34	 	17	0.96	 	21	1.19	 	720	40.7	 	263	14.87	 	0	0	 	1769	95.16	 	90	4.84	 	1859	2.3
Plympton		                                   	7	0.4	 	11	0.62	 	57	3.22	 	615	34.71	 	4	0.23	 	2	0.11	 	9	0.51	 	8	0.45	 	10	0.56	 	9	0.51	 	813	45.88	 	223	12.58	 	4	0.23	 	1772	95.53	 	83	4.47	 	1855	2.29
