Senate - 1996 Election: Western Australia																																								
First Preference Votes by Group																																								
By Polling Place																																								


Brand (92099)																																								
	   		Group Total AWP			Group Total LP			Group Total - Unendorsed Group C			Group Total CTA			Group Total NP			Group Total AFI			Group Total ALP			Group Total GWA			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Total Ordinary		                             	568	0.93	 	25110	41.17	 	75	0.12	 	859	1.41	 	392	0.64	 	829	1.36	 	23852	39.11	 	2990	4.9	 	6187	10.14	 	130	0.21	 	60992	96.62	 	2132	3.38	 	63124	86.28
ABSENT		                                     	61	1.1	 	2241	40.29	 	19	0.34	 	90	1.62	 	63	1.13	 	97	1.74	 	2052	36.89	 	362	6.51	 	569	10.23	 	8	0.14	 	5562	98.22	 	101	1.78	 	5663	7.74
POSTAL		                                     	24	1.64	 	692	47.17	 	4	0.27	 	27	1.84	 	19	1.3	 	27	1.84	 	502	34.22	 	48	3.27	 	118	8.04	 	6	0.41	 	1467	98.13	 	28	1.87	 	1495	2.04
PRE_POLL		                                   	15	0.77	 	864	44.4	 	1	0.05	 	22	1.13	 	15	0.77	 	29	1.49	 	685	35.2	 	129	6.63	 	179	9.2	 	7	0.36	 	1946	98.48	 	30	1.52	 	1976	2.7
PROVISIONAL		                                	18	2.04	 	281	31.79	 	3	0.34	 	3	0.34	 	2	0.23	 	16	1.81	 	415	46.95	 	66	7.47	 	79	8.94	 	1	0.11	 	884	97.46	 	23	2.54	 	907	1.24
ADJUSTMENT		                                 	1		       	4		       	1		       	0		       	1		       	2		       	4		       	1		       	2		       	1		       	17		       	-17		       	0	
Division Summary		                           	687	0.97	 	29192	41.19	 	103	0.15	 	1001	1.41	 	492	0.69	 	1000	1.41	 	27510	38.82	 	3596	5.07	 	7134	10.07	 	153	0.22	 	70868	96.86	 	2297	3.14	 	73165	96.16
 																																								


Cowan (81739)																																								
	   		Group Total AWP			Group Total LP			Group Total - Unendorsed Group C			Group Total CTA			Group Total NP			Group Total AFI			Group Total ALP			Group Total GWA			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Alexander Heights		                          	22	1.07	 	900	43.8	 	2	0.1	 	24	1.17	 	14	0.68	 	27	1.31	 	771	37.52	 	63	3.07	 	230	11.19	 	2	0.1	 	2055	97.86	 	45	2.14	 	2100	2.66
Alexander Heights West		                     	12	1.12	 	417	39.04	 	3	0.28	 	20	1.87	 	8	0.75	 	11	1.03	 	441	41.29	 	45	4.21	 	107	10.02	 	4	0.37	 	1068	97.09	 	32	2.91	 	1100	1.39
Balga (Cowan)		                              	11	1.08	 	279	27.38	 	2	0.2	 	10	0.98	 	3	0.29	 	13	1.28	 	560	54.96	 	57	5.59	 	83	8.15	 	1	0.1	 	1019	93.74	 	68	6.26	 	1087	1.38
Balga North		                                	30	1.81	 	422	25.48	 	6	0.36	 	31	1.87	 	7	0.42	 	24	1.45	 	887	53.56	 	114	6.88	 	132	7.97	 	3	0.18	 	1656	95.06	 	86	4.94	 	1742	2.21
Ballajura		                                  	12	0.5	 	1176	48.55	 	3	0.12	 	32	1.32	 	11	0.45	 	21	0.87	 	887	36.62	 	73	3.01	 	206	8.51	 	1	0.04	 	2422	97	 	75	3	 	2497	3.16
Ballajura Central		                          	104	2.38	 	1855	42.44	 	1	0.02	 	31	0.71	 	16	0.37	 	42	0.96	 	1779	40.7	 	123	2.81	 	413	9.45	 	7	0.16	 	4371	97.7	 	103	2.3	 	4474	5.67
Ballajura South		                            	19	1.01	 	624	33.07	 	1	0.05	 	29	1.54	 	12	0.64	 	24	1.27	 	914	48.44	 	92	4.88	 	168	8.9	 	4	0.21	 	1887	97.82	 	42	2.18	 	1929	2.44
Beechboro West		                             	9	0.86	 	394	37.45	 	0	0	 	23	2.19	 	2	0.19	 	11	1.05	 	489	46.48	 	25	2.38	 	96	9.13	 	3	0.29	 	1052	96.96	 	33	3.04	 	1085	1.37
Bunbury Central (Cowan)		                    	2	3.64	 	28	50.91	 	0	0	 	0	0	 	0	0	 	2	3.64	 	15	27.27	 	1	1.82	 	7	12.73	 	0	0	 	55	94.83	 	3	5.17	 	58	0.07
Busselton (Cowan)		                          	1	0.63	 	82	51.25	 	0	0	 	1	0.63	 	1	0.63	 	1	0.63	 	54	33.75	 	6	3.75	 	14	8.75	 	0	0	 	160	97.56	 	4	2.44	 	164	0.21
Busselton West (Cowan)		                     	0	0	 	37	62.71	 	0	0	 	2	3.39	 	0	0	 	0	0	 	11	18.64	 	1	1.69	 	8	13.56	 	0	0	 	59	98.33	 	1	1.67	 	60	0.08
Camboon		                                    	13	0.53	 	1278	52.33	 	2	0.08	 	14	0.57	 	8	0.33	 	13	0.53	 	819	33.54	 	69	2.83	 	219	8.97	 	7	0.29	 	2442	95.54	 	114	4.46	 	2556	3.24
Dunsborough (Cowan)		                        	0	0	 	40	45.45	 	0	0	 	0	0	 	1	1.14	 	1	1.14	 	26	29.55	 	6	6.82	 	13	14.77	 	1	1.14	 	88	97.78	 	2	2.22	 	90	0.11
Falcon (Cowan)		                             	0	0	 	91	63.64	 	1	0.7	 	1	0.7	 	2	1.4	 	1	0.7	 	31	21.68	 	4	2.8	 	11	7.69	 	1	0.7	 	143	97.28	 	4	2.72	 	147	0.19
Girrawheen		                                 	21	0.98	 	551	25.59	 	6	0.28	 	20	0.93	 	11	0.51	 	27	1.25	 	1230	57.13	 	74	3.44	 	211	9.8	 	2	0.09	 	2153	95.06	 	112	4.94	 	2265	2.87
Girrawheen Central		                         	10	1.89	 	128	24.24	 	1	0.19	 	1	0.19	 	1	0.19	 	8	1.52	 	297	56.25	 	36	6.82	 	45	8.52	 	1	0.19	 	528	96.35	 	20	3.65	 	548	0.69
Girrawheen East		                            	31	1.84	 	389	23.11	 	3	0.18	 	22	1.31	 	12	0.71	 	22	1.31	 	998	59.3	 	60	3.57	 	141	8.38	 	5	0.3	 	1683	94.98	 	89	5.02	 	1772	2.24
Greenwood		                                  	32	0.87	 	1853	50.61	 	5	0.14	 	25	0.68	 	14	0.38	 	45	1.23	 	1075	29.36	 	196	5.35	 	410	11.2	 	6	0.16	 	3661	97.42	 	97	2.58	 	3758	4.76
Greenwood East		                             	3	0.4	 	334	44.36	 	0	0	 	11	1.46	 	3	0.4	 	8	1.06	 	271	35.99	 	51	6.77	 	70	9.3	 	2	0.27	 	753	96.66	 	26	3.34	 	779	0.99
Greenwood West		                             	9	0.52	 	804	46.5	 	4	0.23	 	11	0.64	 	16	0.93	 	24	1.39	 	496	28.69	 	109	6.3	 	251	14.52	 	5	0.29	 	1729	97.9	 	37	2.1	 	1766	2.24
Hamersley		                                  	20	0.88	 	1153	50.59	 	1	0.04	 	11	0.48	 	11	0.48	 	27	1.18	 	679	29.79	 	101	4.43	 	272	11.94	 	4	0.18	 	2279	96.2	 	90	3.8	 	2369	3
Hamersley East		                             	8	0.91	 	426	48.69	 	0	0	 	8	0.91	 	3	0.34	 	5	0.57	 	302	34.51	 	37	4.23	 	84	9.6	 	2	0.23	 	875	96.58	 	31	3.42	 	906	1.15
Hampton		                                    	27	1.17	 	866	37.65	 	6	0.26	 	22	0.96	 	12	0.52	 	21	0.91	 	1057	45.96	 	76	3.3	 	209	9.09	 	4	0.17	 	2300	96.03	 	95	3.97	 	2395	3.03
Hampton Park		                               	22	0.89	 	1067	43.13	 	4	0.16	 	13	0.53	 	13	0.53	 	18	0.73	 	1025	41.43	 	75	3.03	 	232	9.38	 	5	0.2	 	2474	94.07	 	156	5.93	 	2630	3.33
Kingsley		                                   	24	0.66	 	1839	50.31	 	2	0.05	 	21	0.57	 	15	0.41	 	33	0.9	 	1191	32.59	 	112	3.06	 	411	11.24	 	7	0.19	 	3655	97.81	 	82	2.19	 	3737	4.73
Kingsley East		                              	9	0.77	 	605	51.58	 	0	0	 	8	0.68	 	5	0.43	 	11	0.94	 	336	28.64	 	44	3.75	 	155	13.21	 	0	0	 	1173	98.16	 	22	1.84	 	1195	1.51
Kingsley South		                             	11	0.45	 	1281	52.72	 	2	0.08	 	23	0.95	 	8	0.33	 	23	0.95	 	689	28.35	 	104	4.28	 	287	11.81	 	2	0.08	 	2430	98.02	 	49	1.98	 	2479	3.14
Koondoola		                                  	39	1.9	 	578	28.21	 	2	0.1	 	22	1.07	 	7	0.34	 	17	0.83	 	1119	54.61	 	97	4.73	 	165	8.05	 	3	0.15	 	2049	95.13	 	105	4.87	 	2154	2.73
Lancelin (Cowan)		                           	0	0	 	60	57.69	 	0	0	 	2	1.92	 	0	0	 	4	3.85	 	22	21.15	 	4	3.85	 	12	11.54	 	0	0	 	104	98.11	 	2	1.89	 	106	0.13
Mandurah Central (Cowan)		                   	0	0	 	59	44.36	 	0	0	 	1	0.75	 	2	1.5	 	2	1.5	 	49	36.84	 	6	4.51	 	14	10.53	 	0	0	 	133	99.25	 	1	0.75	 	134	0.17
Marangaroo		                                 	21	0.95	 	906	40.79	 	5	0.23	 	31	1.4	 	9	0.41	 	18	0.81	 	1010	45.48	 	70	3.15	 	147	6.62	 	4	0.18	 	2221	95.77	 	98	4.23	 	2319	2.94
Marangaroo Central		                         	20	0.9	 	725	32.53	 	2	0.09	 	40	1.79	 	11	0.49	 	30	1.35	 	1088	48.81	 	105	4.71	 	205	9.2	 	3	0.13	 	2229	96.83	 	73	3.17	 	2302	2.92
Margaret River (Cowan)		                     	0	0	 	44	47.31	 	0	0	 	0	0	 	1	1.08	 	1	1.08	 	25	26.88	 	12	12.9	 	10	10.75	 	0	0	 	93	98.94	 	1	1.06	 	94	0.12
Morley (Cowan)		                             	28	1.57	 	765	42.86	 	1	0.06	 	15	0.84	 	8	0.45	 	15	0.84	 	710	39.78	 	75	4.2	 	165	9.24	 	3	0.17	 	1785	95.1	 	92	4.9	 	1877	2.38
Morley North		                               	12	0.91	 	614	46.34	 	2	0.15	 	6	0.45	 	10	0.75	 	21	1.58	 	442	33.36	 	55	4.15	 	162	12.23	 	1	0.08	 	1325	96.36	 	50	3.64	 	1375	1.74
Nannup (Cowan)		                             	1	3.03	 	12	36.36	 	0	0	 	0	0	 	1	3.03	 	0	0	 	11	33.33	 	3	9.09	 	4	12.12	 	1	3.03	 	33	100	 	0	0	 	33	0.04
Noranda		                                    	14	0.61	 	1037	45.32	 	3	0.13	 	22	0.96	 	6	0.26	 	16	0.7	 	901	39.38	 	44	1.92	 	243	10.62	 	2	0.09	 	2288	95.93	 	97	4.07	 	2385	3.02
Noranda West (Cowan)		                       	10	0.51	 	1006	50.94	 	3	0.15	 	4	0.2	 	14	0.71	 	20	1.01	 	665	33.67	 	65	3.29	 	188	9.52	 	0	0	 	1975	96.29	 	76	3.71	 	2051	2.6
Perth (Cowan)		                              	2	1.79	 	32	28.57	 	0	0	 	3	2.68	 	1	0.89	 	4	3.57	 	53	47.32	 	11	9.82	 	6	5.36	 	0	0	 	112	98.25	 	2	1.75	 	114	0.14
Rottnest (Cowan)		                           	1	1.15	 	41	47.13	 	0	0	 	0	0	 	1	1.15	 	2	2.3	 	19	21.84	 	6	6.9	 	17	19.54	 	0	0	 	87	98.86	 	1	1.14	 	88	0.11
Warwick		                                    	19	0.82	 	1131	48.71	 	1	0.04	 	13	0.56	 	11	0.47	 	30	1.29	 	750	32.3	 	111	4.78	 	250	10.77	 	6	0.26	 	2322	96.79	 	77	3.21	 	2399	3.04
Woodvale		                                   	6	0.42	 	739	52.3	 	4	0.28	 	8	0.57	 	7	0.5	 	14	0.99	 	420	29.72	 	37	2.62	 	177	12.53	 	1	0.07	 	1413	97.92	 	30	2.08	 	1443	1.83
Woodvale North		                             	14	0.47	 	1572	52.82	 	4	0.13	 	11	0.37	 	16	0.54	 	29	0.97	 	898	30.17	 	89	2.99	 	336	11.29	 	7	0.24	 	2976	98.19	 	55	1.81	 	3031	3.84
Yallingup (Cowan)		                          	0	0	 	20	58.82	 	0	0	 	0	0	 	0	0	 	1	2.94	 	9	26.47	 	2	5.88	 	2	5.88	 	0	0	 	34	100	 	0	0	 	34	0.04
Special Hospitals		                          	4	2.25	 	110	61.8	 	0	0	 	1	0.56	 	4	2.25	 	1	0.56	 	51	28.65	 	2	1.12	 	5	2.81	 	0	0	 	178	95.7	 	8	4.3	 	186	0.24
Total Ordinary		                             	653	1	 	28370	43.3	 	82	0.13	 	593	0.9	 	318	0.49	 	688	1.05	 	25572	39.03	 	2548	3.89	 	6593	10.06	 	110	0.17	 	65527	96.63	 	2286	3.37	 	67813	85.88
ABSENT		                                     	66	1.07	 	2456	39.73	 	10	0.16	 	54	0.87	 	59	0.95	 	93	1.5	 	2394	38.73	 	406	6.57	 	625	10.11	 	19	0.31	 	6182	97.43	 	163	2.57	 	6345	8.04
POSTAL		                                     	28	1.65	 	773	45.55	 	0	0	 	13	0.77	 	18	1.06	 	35	2.06	 	597	35.18	 	57	3.36	 	168	9.9	 	8	0.47	 	1697	98.72	 	22	1.28	 	1719	2.18
PRE_POLL		                                   	20	0.86	 	1096	47.16	 	1	0.04	 	12	0.52	 	17	0.73	 	25	1.08	 	810	34.85	 	116	4.99	 	220	9.47	 	7	0.3	 	2324	98.52	 	35	1.48	 	2359	2.99
PROVISIONAL		                                	13	1.88	 	235	33.91	 	1	0.14	 	4	0.58	 	6	0.87	 	4	0.58	 	328	47.33	 	44	6.35	 	58	8.37	 	0	0	 	693	95.32	 	34	4.68	 	727	0.92
ADJUSTMENT		                                 	1		       	0		       	7		       	0		       	0		       	0		       	12		       	-2		       	-1		       	0		       	17		       	-13		       	4	
Division Summary		                           	781	1.02	 	32930	43.08	 	101	0.13	 	676	0.88	 	418	0.55	 	845	1.11	 	29713	38.87	 	3169	4.15	 	7663	10.02	 	144	0.19	 	76440	96.8	 	2527	3.2	 	78967	96.61
 																																								


Curtin (73941)																																								
	   		Group Total AWP			Group Total LP			Group Total - Unendorsed Group C			Group Total CTA			Group Total NP			Group Total AFI			Group Total ALP			Group Total GWA			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Bunbury Central (Curtin)		                   	2	2.38	 	40	47.62	 	0	0	 	0	0	 	1	1.19	 	2	2.38	 	18	21.43	 	7	8.33	 	14	16.67	 	0	0	 	84	97.67	 	2	2.33	 	86	0.12
Busselton (Curtin)		                         	1	0.59	 	102	60	 	0	0	 	0	0	 	3	1.76	 	2	1.18	 	32	18.82	 	16	9.41	 	14	8.24	 	0	0	 	170	98.27	 	3	1.73	 	173	0.24
Busselton West (Curtin)		                    	0	0	 	23	58.97	 	0	0	 	0	0	 	1	2.56	 	0	0	 	8	20.51	 	2	5.13	 	5	12.82	 	0	0	 	39	92.86	 	3	7.14	 	42	0.06
City Beach		                                 	10	0.52	 	1267	66.34	 	2	0.1	 	8	0.42	 	27	1.41	 	26	1.36	 	292	15.29	 	114	5.97	 	161	8.43	 	3	0.16	 	1910	98.2	 	35	1.8	 	1945	2.74
City Beach North		                           	10	0.45	 	1544	69.86	 	7	0.32	 	15	0.68	 	30	1.36	 	12	0.54	 	278	12.58	 	112	5.07	 	198	8.96	 	4	0.18	 	2210	98.62	 	31	1.38	 	2241	3.16
Claremont		                                  	20	0.79	 	1632	64.35	 	3	0.12	 	5	0.2	 	42	1.66	 	30	1.18	 	366	14.43	 	175	6.9	 	254	10.02	 	9	0.35	 	2536	97.99	 	52	2.01	 	2588	3.65
Claremont East		                             	8	1.03	 	459	58.85	 	0	0	 	3	0.38	 	12	1.54	 	4	0.51	 	117	15	 	75	9.62	 	98	12.56	 	4	0.51	 	780	95.59	 	36	4.41	 	816	1.15
Cottesloe		                                  	28	1.19	 	1409	59.91	 	3	0.13	 	9	0.38	 	36	1.53	 	23	0.98	 	383	16.28	 	214	9.1	 	236	10.03	 	11	0.47	 	2352	97.71	 	55	2.29	 	2407	3.39
Cottesloe East		                             	15	0.85	 	1021	57.72	 	1	0.06	 	7	0.4	 	29	1.64	 	21	1.19	 	294	16.62	 	189	10.68	 	190	10.74	 	2	0.11	 	1769	98.17	 	33	1.83	 	1802	2.54
Cottesloe South		                            	6	0.72	 	567	67.74	 	1	0.12	 	1	0.12	 	12	1.43	 	7	0.84	 	125	14.93	 	56	6.69	 	57	6.81	 	5	0.6	 	837	97.1	 	25	2.9	 	862	1.22
Dalkeith		                                   	15	0.64	 	1748	74.19	 	0	0	 	6	0.25	 	32	1.36	 	25	1.06	 	209	8.87	 	115	4.88	 	203	8.62	 	3	0.13	 	2356	98.08	 	46	1.92	 	2402	3.39
Dunsborough (Curtin)		                       	1	0.29	 	240	68.97	 	0	0	 	2	0.57	 	2	0.57	 	6	1.72	 	38	10.92	 	25	7.18	 	34	9.77	 	0	0	 	348	98.31	 	6	1.69	 	354	0.5
Falcon (Curtin)		                            	0	0	 	85	78.7	 	0	0	 	0	0	 	0	0	 	1	0.93	 	9	8.33	 	8	7.41	 	5	4.63	 	0	0	 	108	99.08	 	1	0.92	 	109	0.15
Floreat		                                    	13	0.69	 	1238	65.99	 	3	0.16	 	2	0.11	 	22	1.17	 	14	0.75	 	320	17.06	 	88	4.69	 	170	9.06	 	6	0.32	 	1876	98.79	 	23	1.21	 	1899	2.68
Floreat East		                               	20	1.28	 	964	61.72	 	0	0	 	4	0.26	 	15	0.96	 	10	0.64	 	309	19.78	 	77	4.93	 	162	10.37	 	1	0.06	 	1562	96.78	 	52	3.22	 	1614	2.28
Floreat North		                              	12	1.2	 	619	61.71	 	2	0.2	 	11	1.1	 	18	1.79	 	12	1.2	 	182	18.15	 	51	5.08	 	96	9.57	 	0	0	 	1003	99.11	 	9	0.89	 	1012	1.43
Graylands		                                  	24	1	 	1378	57.66	 	2	0.08	 	3	0.13	 	21	0.88	 	26	1.09	 	538	22.51	 	154	6.44	 	232	9.71	 	12	0.5	 	2390	96.1	 	97	3.9	 	2487	3.51
Jolimont		                                   	10	0.89	 	534	47.51	 	2	0.18	 	4	0.36	 	21	1.87	 	13	1.16	 	275	24.47	 	110	9.79	 	150	13.35	 	5	0.44	 	1124	96.98	 	35	3.02	 	1159	1.63
Joondanna		                                  	16	1.03	 	685	44.17	 	0	0	 	8	0.52	 	16	1.03	 	11	0.71	 	555	35.78	 	101	6.51	 	157	10.12	 	2	0.13	 	1551	93.6	 	106	6.4	 	1657	2.34
King Edward Memorial Hospital		              	4	1.6	 	115	46	 	0	0	 	3	1.2	 	7	2.8	 	2	0.8	 	70	28	 	20	8	 	28	11.2	 	1	0.4	 	250	98.04	 	5	1.96	 	255	0.36
Lancelin (Curtin)		                          	0	0	 	39	59.09	 	0	0	 	0	0	 	0	0	 	0	0	 	16	24.24	 	3	4.55	 	8	12.12	 	0	0	 	66	100	 	0	0	 	66	0.09
Leederville		                                	19	2.21	 	309	35.93	 	2	0.23	 	6	0.7	 	8	0.93	 	12	1.4	 	289	33.6	 	95	11.05	 	116	13.49	 	4	0.47	 	860	94.3	 	52	5.7	 	912	1.29
Leederville North		                          	24	1.92	 	476	38.02	 	4	0.32	 	7	0.56	 	5	0.4	 	11	0.88	 	482	38.5	 	99	7.91	 	140	11.18	 	4	0.32	 	1252	91.92	 	110	8.08	 	1362	1.92
Leederville West		                           	21	1.3	 	707	43.78	 	6	0.37	 	10	0.62	 	9	0.56	 	17	1.05	 	517	32.01	 	145	8.98	 	175	10.84	 	8	0.5	 	1615	96.94	 	51	3.06	 	1666	2.35
Mandurah Central (Curtin)		                  	1	1.15	 	60	68.97	 	0	0	 	0	0	 	1	1.15	 	0	0	 	16	18.39	 	2	2.3	 	7	8.05	 	0	0	 	87	98.86	 	1	1.14	 	88	0.12
Margaret River (Curtin)		                    	0	0	 	193	63.7	 	1	0.33	 	0	0	 	1	0.33	 	5	1.65	 	50	16.5	 	30	9.9	 	21	6.93	 	2	0.66	 	303	99.67	 	1	0.33	 	304	0.43
Mosman Park		                                	28	1.14	 	1222	49.9	 	0	0	 	10	0.41	 	21	0.86	 	39	1.59	 	680	27.77	 	200	8.17	 	245	10	 	4	0.16	 	2449	96.15	 	98	3.85	 	2547	3.59
Mosman Park South		                          	1	0.18	 	325	57.93	 	0	0	 	4	0.71	 	9	1.6	 	4	0.71	 	142	25.31	 	38	6.77	 	37	6.6	 	1	0.18	 	561	96.56	 	20	3.44	 	581	0.82
Mount Hawthorn		                             	14	0.91	 	609	39.49	 	1	0.06	 	7	0.45	 	13	0.84	 	5	0.32	 	602	39.04	 	128	8.3	 	160	10.38	 	3	0.19	 	1542	93.45	 	108	6.55	 	1650	2.33
Mount Hawthorn East		                        	9	0.78	 	465	40.09	 	1	0.09	 	2	0.17	 	8	0.69	 	10	0.86	 	464	40	 	76	6.55	 	119	10.26	 	6	0.52	 	1160	92.14	 	99	7.86	 	1259	1.78
Mount Hawthorn West		                        	15	1.79	 	326	38.81	 	3	0.36	 	4	0.48	 	12	1.43	 	7	0.83	 	306	36.43	 	63	7.5	 	102	12.14	 	2	0.24	 	840	93.23	 	61	6.77	 	901	1.27
Nannup (Curtin)		                            	2	3.85	 	13	25	 	0	0	 	0	0	 	2	3.85	 	0	0	 	11	21.15	 	15	28.85	 	9	17.31	 	0	0	 	52	98.11	 	1	1.89	 	53	0.07
Nedlands Central		                           	5	0.98	 	229	44.81	 	0	0	 	2	0.39	 	10	1.96	 	4	0.78	 	113	22.11	 	65	12.72	 	82	16.05	 	1	0.2	 	511	98.65	 	7	1.35	 	518	0.73
Nedlands East		                              	13	0.88	 	922	62.42	 	3	0.2	 	1	0.07	 	23	1.56	 	16	1.08	 	206	13.95	 	111	7.52	 	174	11.78	 	8	0.54	 	1477	96.98	 	46	3.02	 	1523	2.15
Nedlands North		                             	11	0.88	 	640	51.36	 	4	0.32	 	8	0.64	 	14	1.12	 	13	1.04	 	272	21.83	 	131	10.51	 	151	12.12	 	2	0.16	 	1246	97.57	 	31	2.43	 	1277	1.8
Nedlands South		                             	20	1.1	 	1020	56.11	 	1	0.06	 	10	0.55	 	19	1.05	 	19	1.05	 	323	17.77	 	172	9.46	 	221	12.16	 	13	0.72	 	1818	97.74	 	42	2.26	 	1860	2.62
Peppermint Grove		                           	8	1.36	 	440	74.7	 	0	0	 	3	0.51	 	6	1.02	 	5	0.85	 	50	8.49	 	35	5.94	 	40	6.79	 	2	0.34	 	589	98.33	 	10	1.67	 	599	0.84
Perth (Curtin)		                             	3	1.33	 	94	41.59	 	0	0	 	3	1.33	 	3	1.33	 	2	0.88	 	70	30.97	 	28	12.39	 	21	9.29	 	2	0.88	 	226	98.26	 	4	1.74	 	230	0.32
Rottnest (Curtin)		                          	2	0.61	 	205	62.88	 	0	0	 	0	0	 	2	0.61	 	4	1.23	 	60	18.4	 	24	7.36	 	29	8.9	 	0	0	 	326	98.19	 	6	1.81	 	332	0.47
Shenton Park East		                          	6	0.85	 	323	45.88	 	0	0	 	2	0.28	 	33	4.69	 	6	0.85	 	173	24.57	 	67	9.52	 	91	12.93	 	3	0.43	 	704	96.17	 	28	3.83	 	732	1.03
Shenton Park West		                          	16	1.34	 	532	44.71	 	2	0.17	 	3	0.25	 	24	2.02	 	9	0.76	 	297	24.96	 	133	11.18	 	163	13.7	 	11	0.92	 	1190	97.22	 	34	2.78	 	1224	1.73
Sir Charles Gairdner Hospital		              	2	0.85	 	111	47.44	 	0	0	 	2	0.85	 	4	1.71	 	2	0.85	 	57	24.36	 	19	8.12	 	34	14.53	 	3	1.28	 	234	98.73	 	3	1.27	 	237	0.33
Subiaco		                                    	29	1.25	 	1075	46.18	 	2	0.09	 	6	0.26	 	61	2.62	 	12	0.52	 	593	25.47	 	269	11.55	 	271	11.64	 	10	0.43	 	2328	98.23	 	42	1.77	 	2370	3.34
Subiaco Home of Peace		                      	6	1.53	 	201	51.41	 	0	0	 	1	0.26	 	3	0.77	 	3	0.77	 	101	25.83	 	35	8.95	 	40	10.23	 	1	0.26	 	391	96.31	 	15	3.69	 	406	0.57
Subiaco North		                              	4	0.97	 	177	43.07	 	2	0.49	 	1	0.24	 	3	0.73	 	5	1.22	 	154	37.47	 	27	6.57	 	36	8.76	 	2	0.49	 	411	95.14	 	21	4.86	 	432	0.61
Swanbourne		                                 	18	1.02	 	1027	58.29	 	1	0.06	 	4	0.23	 	26	1.48	 	25	1.42	 	321	18.22	 	149	8.46	 	189	10.73	 	2	0.11	 	1762	98.49	 	27	1.51	 	1789	2.52
Wembley Central		                            	1	0.13	 	391	52.77	 	2	0.27	 	5	0.67	 	10	1.35	 	10	1.35	 	185	24.97	 	47	6.34	 	88	11.88	 	2	0.27	 	741	95.37	 	36	4.63	 	777	1.1
Wembley North		                              	18	1.04	 	691	40.01	 	4	0.23	 	13	0.75	 	26	1.51	 	17	0.98	 	625	36.19	 	129	7.47	 	201	11.64	 	3	0.17	 	1727	96.91	 	55	3.09	 	1782	2.51
Wembley South		                              	6	1.24	 	243	50.31	 	0	0	 	4	0.83	 	9	1.86	 	4	0.83	 	135	27.95	 	31	6.42	 	50	10.35	 	1	0.21	 	483	97.77	 	11	2.23	 	494	0.7
Wembley West		                               	29	1.29	 	1086	48.18	 	1	0.04	 	13	0.58	 	27	1.2	 	32	1.42	 	597	26.49	 	166	7.36	 	301	13.35	 	2	0.09	 	2254	98.21	 	41	1.79	 	2295	3.24
West Perth (Curtin)		                        	3	0.63	 	200	42.19	 	0	0	 	4	0.84	 	6	1.27	 	1	0.21	 	175	36.92	 	39	8.23	 	44	9.28	 	2	0.42	 	474	95.56	 	22	4.44	 	496	0.7
West Perth Central		                         	3	0.8	 	191	51.07	 	1	0.27	 	1	0.27	 	0	0	 	7	1.87	 	116	31.02	 	18	4.81	 	32	8.56	 	5	1.34	 	374	95.41	 	18	4.59	 	392	0.55
Yallingup (Curtin)		                         	2	0.87	 	137	59.83	 	0	0	 	0	0	 	3	1.31	 	2	0.87	 	28	12.23	 	32	13.97	 	25	10.92	 	0	0	 	229	98.28	 	4	1.72	 	233	0.33
Special Hospitals		                          	14	1.03	 	968	71.54	 	7	0.52	 	6	0.44	 	21	1.55	 	9	0.67	 	227	16.78	 	20	1.48	 	81	5.99	 	0	0	 	1353	94.15	 	84	5.85	 	1437	2.03
Total Ordinary		                             	568	1	 	31317	55.05	 	74	0.13	 	233	0.41	 	769	1.35	 	564	0.99	 	12871	22.62	 	4350	7.65	 	5967	10.49	 	177	0.31	 	56890	96.86	 	1844	3.14	 	58734	82.82
ABSENT		                                     	57	1.19	 	2273	47.58	 	4	0.08	 	15	0.31	 	58	1.21	 	38	0.8	 	1283	26.86	 	538	11.26	 	488	10.22	 	23	0.48	 	4777	98.05	 	95	1.95	 	4872	6.87
POSTAL		                                     	17	0.78	 	1271	58.28	 	1	0.05	 	8	0.37	 	37	1.7	 	29	1.33	 	478	21.92	 	140	6.42	 	189	8.67	 	11	0.5	 	2181	98.38	 	36	1.62	 	2217	3.13
PRE_POLL		                                   	40	0.98	 	2464	60.51	 	4	0.1	 	16	0.39	 	45	1.11	 	32	0.79	 	751	18.44	 	351	8.62	 	360	8.84	 	9	0.22	 	4072	98.88	 	46	1.12	 	4118	5.81
