House of Representatives - 1993 Election				
National List of Candidates				

				
				
Candidate	Party		Division	State
"HALL, Stephen Louis George"	GWA		Pearce	WA
"HALVERSON, Bob"	LP		Casey	VIC
"HANIEH, Adam"			Adelaide	SA
"HANNA, Joe"	NP		Groom	QLD
"HANNAFORD, Bruce"	IND		Bonython	SA
"HARDING, Col"	EFF		Watson	NSW
"HARDY, Geoffrey Edward"	IND		Ballarat	VIC
"HARRIS, Christine"	NLP		Kooyong	VIC
"HARRISON, Doug"			Bendigo	VIC
"HARRISON, Karey"	QG		Groom	QLD
"HARTSHORNE, Trevor John"	LP		Wide Bay	QLD
"HARVEY, Warren"	CAP		Herbert	QLD
"HASSETT, Denise"	ALP		Flinders	VIC
"HATFIELD, Bronia"	NLP		Sydney	NSW
"HAUSFELD, Glen"	IND		New England	NSW
"HAVILAND, Chris"	ALP		Macarthur	NSW
"HAWKER, David"	LP		Wannon	VIC
"HAY, John"	IND		Banks	NSW
"HAYNES, Tom"	NLP		Fremantle	WA
"HAZARD, Peter"	LP		Herbert	QLD
"HEFFERNAN, Bill"	LP		Riverina	NSW
"HEINIGER, Neil"	IND		Dawson	QLD
"HELPER, Joe"	ALP		Bendigo	VIC
"HEMINGWAY, Les"	IND		Wannon	VIC
"HENDERSON, John"	IND		Fairfax	QLD
"HENDSTOCK, Kevin"	CAP		Bowman	QLD
"HENMAN, Murray"	DEM		Bowman	QLD
"HENNESSY, Peter Gerard"	DEM		Blaxland	NSW
"HENZELL, Marjorie"	ALP		Capricornia	QLD
"HERBERT, Geoff"	DEM		Goldstein	VIC
"HERBERT, Peter"	EFF		La Trobe	VIC
"HERGSTROM, Ingrid"	NLP		Wakefield	SA
"HETHERINGTON, Maurice Verney"	CEG		Hinkler	QLD
"HEWSON, John Robert"	LP		Wentworth	NSW
"HICKS, Armon"	DEM		Wentworth	NSW
"HICKS, Noel"	NP		Riverina	NSW
"HICKS, Robert Gordon"	LP		Hotham	VIC
"HIDDING, Rene"	LP		Lyons	TAS
"HIGGINS, Bill"	ALP		Farrer	NSW
"HILBERT, Bryan"	LP		Swan	WA
"HILL, Sharon E."	NLP		Bendigo	VIC
"HILLMAN, Jon"	IND		Blaxland	NSW
"HINTON, Mavis Elizabeth"	CAP		Capricornia	QLD
"HOBBS, Andrew"	NLP		Port Adelaide	SA
"HOCKLEY, Caroline"	NLP		Melbourne Ports	VIC
"HOLDING, Clyde"	ALP		Melbourne Ports	VIC
"HOLLAND, Ian"	DEM		Moreton	QLD
"HOLLIS, Colin"	ALP		Throsby	NSW
"HOLST, Taylor"	DEM		Corinella	VIC
"HOOD, Dennis"	CTA		Bonython	SA
"HOOPER, Brian"	IND		Maranoa	QLD
"HOPPER, Maureen"	LP		Maribyrnong	VIC
"HOPPNER, Helen"	IND		McMillan	VIC
"HORIN, Judee"	NLP		Isaacs	VIC
"HORNE, Bob"	ALP		Paterson	NSW
"HORSHAM, Yasmin"	NLP		Wannon	VIC
"HOVANE, Michelle"			Perth	WA
"HOWARD, John Winston"	LP		Bennelong	NSW
"HOWE, Brian"	ALP		Batman	VIC
"HOWE, Pat"	DEM		O'Connor	WA
"HUDSON, Bob"	IND		Dobell	NSW
"HUGHES, Brian"	CTA		Throsby	NSW
"HUGHES, David"	AFI		Throsby	NSW
"HULLS, Rob"	ALP		Kennedy	QLD
"HUMPHREYS, Ben"	ALP		Griffith	QLD
"HUNNERUP, David"	TG		Bass	TAS
"HUTCHINSON, Garth"	IND		Macquarie	NSW
"HYDE, Nicholas J"	NLP		Fowler	NSW
