Senate -  1998 Election: New South Wales																																																																															
First Preference Votes by Group																																																																															
By Polling Place																																																																															


Banks (80108)																																																																															

	   		Group Total FST			Group Total NAN			Group Total NDP			Group Total - Unendorsed Group D			Group Total NLP			Group Total ACS			Group Total - Unendorsed Group G			Group Total ALP			Group Total CEC			Group Total - Unendorsed Group J			Group Total HAN			Group Total LNP			Group Total DEM			Group Total DSL			Group Total RAR			Group Total - Unendorsed Group P			Group Total SEP			Group Total - Unendorsed Group R			Group Total - Unendorsed Group S			Group Total CDP			Group Total GRN			Group Total UNI			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Old Guildford		                              	16	1.77	  	0	0	  	1	0.11	  	1	0.11	  	6	0.66	  	1	0.11	  	1	0.11	  	530	58.56	  	4	0.44	  	1	0.11	  	64	7.07	  	197	21.77	  	39	4.31	  	2	0.22	  	1	0.11	  	0	0	  	0	0	  	0	0	  	0	0	  	9	0.99	  	9	0.99	  	23	2.54	  	0	0	  	905	95.16	  	46	4.84	  	951	1.27
Pendle Hill South		                          	14	0.96	  	4	0.27	  	2	0.14	  	0	0	  	1	0.07	  	3	0.21	  	4	0.27	  	678	46.44	  	1	0.07	  	0	0	  	118	8.08	  	509	34.86	  	77	5.27	  	2	0.14	  	4	0.27	  	0	0	  	1	0.07	  	0	0	  	0	0	  	11	0.75	  	20	1.37	  	10	0.68	  	1	0.07	  	1460	93.41	  	103	6.59	  	1563	2.09
Prairievale		                                	19	0.77	  	1	0.04	  	1	0.04	  	0	0	  	1	0.04	  	3	0.12	  	4	0.16	  	1595	64.52	  	5	0.2	  	3	0.12	  	138	5.58	  	478	19.34	  	69	2.79	  	6	0.24	  	2	0.08	  	1	0.04	  	5	0.2	  	1	0.04	  	0	0	  	20	0.81	  	23	0.93	  	95	3.84	  	2	0.08	  	2472	97.48	  	64	2.52	  	2536	3.4
Ringrose		                                   	21	0.94	  	6	0.27	  	3	0.13	  	0	0	  	5	0.22	  	1	0.04	  	5	0.22	  	1010	45.37	  	4	0.18	  	1	0.04	  	229	10.29	  	719	32.3	  	136	6.11	  	5	0.22	  	12	0.54	  	0	0	  	2	0.09	  	0	0	  	0	0	  	22	0.99	  	27	1.21	  	17	0.76	  	1	0.04	  	2226	94.8	  	122	5.2	  	2348	3.15
St Johns Park High		                         	21	0.9	  	7	0.3	  	2	0.09	  	1	0.04	  	1	0.04	  	3	0.13	  	2	0.09	  	1565	67.23	  	5	0.21	  	1	0.04	  	94	4.04	  	421	18.08	  	75	3.22	  	4	0.17	  	3	0.13	  	0	0	  	1	0.04	  	0	0	  	0	0	  	24	1.03	  	13	0.56	  	84	3.61	  	1	0.04	  	2328	95.88	  	100	4.12	  	2428	3.25
Sherwood Grange (Prospect)		                 	6	1.03	  	2	0.34	  	3	0.51	  	0	0	  	0	0	  	2	0.34	  	0	0	  	259	44.43	  	1	0.17	  	1	0.17	  	54	9.26	  	192	32.93	  	36	6.17	  	3	0.51	  	2	0.34	  	0	0	  	0	0	  	0	0	  	0	0	  	8	1.37	  	9	1.54	  	5	0.86	  	0	0	  	583	94.95	  	31	5.05	  	614	0.82
Smithfield		                                 	17	0.84	  	5	0.25	  	3	0.15	  	5	0.25	  	7	0.35	  	3	0.15	  	6	0.3	  	1157	57.19	  	5	0.25	  	0	0	  	196	9.69	  	441	21.8	  	75	3.71	  	1	0.05	  	2	0.1	  	0	0	  	1	0.05	  	1	0.05	  	0	0	  	19	0.94	  	39	1.93	  	40	1.98	  	0	0	  	2023	93.44	  	142	6.56	  	2165	2.9
Smithfield East		                            	17	1.2	  	10	0.7	  	2	0.14	  	0	0	  	3	0.21	  	1	0.07	  	13	0.91	  	800	56.26	  	6	0.42	  	2	0.14	  	154	10.83	  	316	22.22	  	62	4.36	  	2	0.14	  	3	0.21	  	0	0	  	0	0	  	0	0	  	0	0	  	11	0.77	  	9	0.63	  	11	0.77	  	0	0	  	1422	90.98	  	141	9.02	  	1563	2.09
Smithfield West		                            	47	1.29	  	4	0.11	  	5	0.14	  	0	0	  	6	0.16	  	8	0.22	  	8	0.22	  	2068	56.61	  	5	0.14	  	1	0.03	  	336	9.2	  	861	23.57	  	126	3.45	  	5	0.14	  	5	0.14	  	0	0	  	1	0.03	  	1	0.03	  	0	0	  	59	1.62	  	42	1.15	  	63	1.72	  	2	0.05	  	3653	94.22	  	224	5.78	  	3877	5.19
Sydney (Prospect)		                          	1	1.37	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	37	50.68	  	0	0	  	0	0	  	4	5.48	  	18	24.66	  	4	5.48	  	1	1.37	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	6	8.22	  	2	2.74	  	0	0	  	73	97.33	  	2	2.67	  	75	0.1
Villawood		                                  	22	1.31	  	0	0	  	2	0.12	  	0	0	  	1	0.06	  	2	0.12	  	2	0.12	  	1146	68.17	  	5	0.3	  	1	0.06	  	128	7.61	  	202	12.02	  	53	3.15	  	4	0.24	  	1	0.06	  	0	0	  	0	0	  	0	0	  	0	0	  	19	1.13	  	12	0.71	  	81	4.82	  	0	0	  	1681	94.86	  	91	5.14	  	1772	2.37
Villawood North		                            	21	1.4	  	1	0.07	  	1	0.07	  	0	0	  	1	0.07	  	0	0	  	4	0.27	  	1051	70.07	  	9	0.6	  	1	0.07	  	91	6.07	  	182	12.13	  	32	2.13	  	7	0.47	  	1	0.07	  	0	0	  	0	0	  	1	0.07	  	1	0.07	  	3	0.2	  	12	0.8	  	81	5.4	  	0	0	  	1500	94.22	  	92	5.78	  	1592	2.13
Widemere		                                   	14	0.9	  	3	0.19	  	1	0.06	  	0	0	  	1	0.06	  	0	0	  	3	0.19	  	656	42	  	2	0.13	  	2	0.13	  	174	11.14	  	546	34.96	  	118	7.55	  	1	0.06	  	2	0.13	  	0	0	  	1	0.06	  	0	0	  	0	0	  	14	0.9	  	17	1.09	  	6	0.38	  	1	0.06	  	1562	96.18	  	62	3.82	  	1624	2.18
William Stimson		                            	45	1.62	  	6	0.22	  	1	0.04	  	0	0	  	1	0.04	  	3	0.11	  	3	0.11	  	1551	55.69	  	5	0.18	  	0	0	  	205	7.36	  	719	25.82	  	115	4.13	  	6	0.22	  	3	0.11	  	0	0	  	2	0.07	  	0	0	  	0	0	  	43	1.54	  	31	1.11	  	44	1.58	  	2	0.07	  	2785	94.89	  	150	5.11	  	2935	3.93
Yennora		                                    	7	0.72	  	2	0.21	  	2	0.21	  	0	0	  	2	0.21	  	0	0	  	4	0.41	  	576	59.63	  	2	0.21	  	1	0.1	  	79	8.18	  	206	21.33	  	31	3.21	  	1	0.1	  	2	0.21	  	0	0	  	2	0.21	  	1	0.1	  	0	0	  	6	0.62	  	5	0.52	  	37	3.83	  	0	0	  	966	94.06	  	61	5.94	  	1027	1.38
Special Hospitals		                          	0	0	  	0	0	  	0	0	  	0	0	  	1	1.33	  	0	0	  	0	0	  	54	72	  	0	0	  	0	0	  	6	8	  	11	14.67	  	1	1.33	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	2	2.67	  	0	0	  	0	0	  	0	0	  	75	100	  	0	0	  	75	0.1
Total Ordinary		                             	654	1.1	  	125	0.21	  	99	0.17	  	26	0.04	  	73	0.12	  	72	0.12	  	124	0.21	  	34109	57.19	  	133	0.22	  	43	0.07	  	4540	7.61	  	14240	23.87	  	2423	4.06	  	136	0.23	  	101	0.17	  	7	0.01	  	33	0.06	  	9	0.02	  	2	0	  	578	0.97	  	607	1.02	  	1491	2.5	  	20	0.03	  	59645	94.92	  	3194	5.08	  	62839	84.18
ABSENT		                                     	53	0.97	  	13	0.24	  	21	0.38	  	1	0.02	  	9	0.16	  	7	0.13	  	18	0.33	  	2764	50.59	  	4	0.07	  	2	0.04	  	485	8.88	  	1517	27.77	  	266	4.87	  	8	0.15	  	16	0.29	  	2	0.04	  	9	0.16	  	0	0	  	0	0	  	62	1.13	  	106	1.94	  	100	1.83	  	0	0	  	5463	96.47	  	200	3.53	  	5663	7.59
POSTAL		                                     	11	0.47	  	7	0.3	  	6	0.25	  	0	0	  	3	0.13	  	3	0.13	  	7	0.3	  	1152	48.73	  	2	0.08	  	0	0	  	270	11.42	  	641	27.12	  	138	5.84	  	4	0.17	  	8	0.34	  	0	0	  	0	0	  	0	0	  	0	0	  	46	1.95	  	33	1.4	  	33	1.4	  	0	0	  	2364	98.91	  	26	1.09	  	2390	3.2
PRE_POLL		                                   	18	0.69	  	7	0.27	  	6	0.23	  	0	0	  	5	0.19	  	7	0.27	  	2	0.08	  	1310	50.52	  	4	0.15	  	2	0.08	  	219	8.45	  	737	28.42	  	124	4.78	  	7	0.27	  	10	0.39	  	4	0.15	  	1	0.04	  	2	0.08	  	1	0.04	  	40	1.54	  	36	1.39	  	50	1.93	  	1	0.04	  	2593	98.03	  	52	1.97	  	2645	3.54
PROVISIONAL		                                	11	1.03	  	2	0.19	  	1	0.09	  	0	0	  	0	0	  	3	0.28	  	3	0.28	  	772	72.62	  	5	0.47	  	0	0	  	44	4.14	  	144	13.55	  	24	2.26	  	1	0.09	  	2	0.19	  	1	0.09	  	0	0	  	0	0	  	0	0	  	5	0.47	  	12	1.13	  	31	2.92	  	2	0.19	  	1063	96.03	  	44	3.97	  	1107	1.48
Division Summary		                           	747	1.05	  	154	0.22	  	133	0.19	  	27	0.04	  	90	0.13	  	92	0.13	  	154	0.22	  	40107	56.39	  	148	0.21	  	47	0.07	  	5558	7.81	  	17279	24.29	  	2975	4.18	  	156	0.22	  	137	0.19	  	14	0.02	  	43	0.06	  	11	0.02	  	3	0	  	731	1.03	  	794	1.12	  	1705	2.4	  	23	0.03	  	71128	95.29	  	3516	4.71	  	74644	95.66


Reid (82635)																																																																															

	   		Group Total FST			Group Total NAN			Group Total NDP			Group Total - Unendorsed Group D			Group Total NLP			Group Total ACS			Group Total - Unendorsed Group G			Group Total ALP			Group Total CEC			Group Total - Unendorsed Group J			Group Total HAN			Group Total LNP			Group Total DEM			Group Total DSL			Group Total RAR			Group Total - Unendorsed Group P			Group Total SEP			Group Total - Unendorsed Group R			Group Total - Unendorsed Group S			Group Total CDP			Group Total GRN			Group Total UNI			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Auburn		                                     	43	0.89	  	4	0.08	  	4	0.08	  	1	0.02	  	5	0.1	  	6	0.12	  	4	0.08	  	3209	66.12	  	8	0.16	  	0	0	  	167	3.44	  	679	13.99	  	101	2.08	  	13	0.27	  	0	0	  	2	0.04	  	1	0.02	  	1	0.02	  	0	0	  	25	0.52	  	38	0.78	  	516	10.63	  	26	0.54	  	4853	95.06	  	252	4.94	  	5105	6.6
Auburn East		                                	9	1.57	  	0	0	  	1	0.17	  	0	0	  	0	0	  	0	0	  	1	0.17	  	284	49.65	  	0	0	  	0	0	  	36	6.29	  	152	26.57	  	33	5.77	  	0	0	  	1	0.17	  	0	0	  	1	0.17	  	0	0	  	0	0	  	9	1.57	  	2	0.35	  	43	7.52	  	0	0	  	572	95.33	  	28	4.67	  	600	0.78
Auburn Hospital		                            	7	2.62	  	1	0.37	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	162	60.67	  	0	0	  	0	0	  	17	6.37	  	36	13.48	  	8	3	  	1	0.37	  	1	0.37	  	0	0	  	0	0	  	0	0	  	0	0	  	8	3	  	3	1.12	  	23	8.61	  	0	0	  	267	96.74	  	9	3.26	  	276	0.36
Auburn North		                               	15	1.19	  	0	0	  	1	0.08	  	0	0	  	1	0.08	  	2	0.16	  	0	0	  	913	72.63	  	4	0.32	  	0	0	  	32	2.55	  	143	11.38	  	36	2.86	  	3	0.24	  	5	0.4	  	0	0	  	0	0	  	0	0	  	0	0	  	10	0.8	  	11	0.88	  	79	6.28	  	2	0.16	  	1257	95.52	  	59	4.48	  	1316	1.7
Auburn West		                                	27	0.94	  	1	0.03	  	4	0.14	  	0	0	  	1	0.03	  	2	0.07	  	5	0.17	  	1831	63.71	  	12	0.42	  	1	0.03	  	219	7.62	  	500	17.4	  	79	2.75	  	9	0.31	  	5	0.17	  	0	0	  	0	0	  	0	0	  	0	0	  	27	0.94	  	29	1.01	  	120	4.18	  	2	0.07	  	2874	95.64	  	131	4.36	  	3005	3.88
Berala		                                     	25	0.81	  	0	0	  	3	0.1	  	2	0.06	  	4	0.13	  	4	0.13	  	3	0.1	  	1729	56.05	  	6	0.19	  	4	0.13	  	214	6.94	  	504	16.34	  	112	3.63	  	7	0.23	  	13	0.42	  	1	0.03	  	2	0.06	  	0	0	  	0	0	  	31	1	  	29	0.94	  	387	12.54	  	5	0.16	  	3085	95.01	  	162	4.99	  	3247	4.2
Blaxcell		                                   	54	1.17	  	9	0.2	  	8	0.17	  	5	0.11	  	6	0.13	  	14	0.3	  	7	0.15	  	2840	61.77	  	9	0.2	  	0	0	  	406	8.83	  	879	19.12	  	154	3.35	  	14	0.3	  	4	0.09	  	1	0.02	  	3	0.07	  	1	0.02	  	1	0.02	  	65	1.41	  	36	0.78	  	79	1.72	  	3	0.07	  	4598	94.82	  	251	5.18	  	4849	6.27
Cardinal Gilroy Village		                    	10	2.6	  	2	0.52	  	1	0.26	  	0	0	  	0	0	  	1	0.26	  	0	0	  	154	40	  	0	0	  	3	0.78	  	36	9.35	  	132	34.29	  	16	4.16	  	1	0.26	  	0	0	  	0	0	  	0	0	  	1	0.26	  	0	0	  	17	4.42	  	4	1.04	  	6	1.56	  	1	0.26	  	385	92.11	  	33	7.89	  	418	0.54
Fowler Road		                                	32	1.3	  	3	0.12	  	2	0.08	  	4	0.16	  	6	0.24	  	5	0.2	  	3	0.12	  	1204	48.98	  	3	0.12	  	2	0.08	  	229	9.32	  	687	27.95	  	137	5.57	  	3	0.12	  	2	0.08	  	0	0	  	0	0	  	0	0	  	0	0	  	51	2.07	  	36	1.46	  	49	1.99	  	0	0	  	2458	91.34	  	233	8.66	  	2691	3.48
Granville		                                  	41	1.28	  	8	0.25	  	4	0.13	  	1	0.03	  	4	0.13	  	3	0.09	  	5	0.16	  	1989	62.16	  	4	0.13	  	0	0	  	172	5.38	  	587	18.34	  	110	3.44	  	6	0.19	  	2	0.06	  	2	0.06	  	1	0.03	  	0	0	  	1	0.03	  	39	1.22	  	33	1.03	  	187	5.84	  	1	0.03	  	3200	93.35	  	228	6.65	  	3428	4.43
Granville North		                            	6	0.73	  	0	0	  	0	0	  	0	0	  	2	0.24	  	4	0.49	  	0	0	  	479	58.2	  	2	0.24	  	1	0.12	  	50	6.08	  	156	18.96	  	36	4.37	  	1	0.12	  	1	0.12	  	0	0	  	0	0	  	1	0.12	  	0	0	  	16	1.94	  	28	3.4	  	40	4.86	  	0	0	  	823	96.48	  	30	3.52	  	853	1.1
Granville South		                            	19	1.16	  	5	0.3	  	2	0.12	  	0	0	  	3	0.18	  	5	0.3	  	3	0.18	  	915	55.79	  	3	0.18	  	0	0	  	133	8.11	  	415	25.3	  	45	2.74	  	2	0.12	  	6	0.37	  	0	0	  	1	0.06	  	1	0.06	  	0	0	  	28	1.71	  	11	0.67	  	42	2.56	  	1	0.06	  	1640	93.93	  	106	6.07	  	1746	2.26
Guildford (Reid)		                           	16	1.12	  	2	0.14	  	2	0.14	  	0	0	  	5	0.35	  	1	0.07	  	1	0.07	  	800	56.02	  	2	0.14	  	0	0	  	116	8.12	  	332	23.25	  	55	3.85	  	2	0.14	  	7	0.49	  	1	0.07	  	1	0.07	  	0	0	  	1	0.07	  	32	2.24	  	12	0.84	  	39	2.73	  	1	0.07	  	1428	93.58	  	98	6.42	  	1526	1.97
Guildford East		                             	27	1.59	  	1	0.06	  	5	0.29	  	0	0	  	0	0	  	2	0.12	  	0	0	  	859	50.56	  	2	0.12	  	1	0.06	  	117	6.89	  	536	31.55	  	52	3.06	  	6	0.35	  	4	0.24	  	0	0	  	1	0.06	  	0	0	  	1	0.06	  	38	2.24	  	11	0.65	  	36	2.12	  	0	0	  	1699	91.84	  	151	8.16	  	1850	2.39
Hilltop Road		                               	49	1.4	  	4	0.11	  	4	0.11	  	2	0.06	  	6	0.17	  	7	0.2	  	12	0.34	  	1692	48.27	  	3	0.09	  	1	0.03	  	300	8.56	  	1026	29.27	  	179	5.11	  	4	0.11	  	9	0.26	  	2	0.06	  	1	0.03	  	1	0.03	  	1	0.03	  	80	2.28	  	45	1.28	  	75	2.14	  	2	0.06	  	3505	93.84	  	230	6.16	  	3735	4.83
Hyde Park		                                  	27	1.33	  	2	0.1	  	3	0.15	  	0	0	  	2	0.1	  	4	0.2	  	2	0.1	  	1015	49.9	  	3	0.15	  	0	0	  	152	7.47	  	524	25.76	  	87	4.28	  	3	0.15	  	6	0.29	  	0	0	  	1	0.05	  	0	0	  	0	0	  	37	1.82	  	28	1.38	  	136	6.69	  	2	0.1	  	2034	94.91	  	109	5.09	  	2143	2.77
Lidcombe		                                   	33	0.88	  	0	0	  	5	0.13	  	1	0.03	  	4	0.11	  	3	0.08	  	2	0.05	  	2035	54.21	  	3	0.08	  	1	0.03	  	237	6.31	  	726	19.34	  	130	3.46	  	6	0.16	  	3	0.08	  	3	0.08	  	0	0	  	0	0	  	0	0	  	36	0.96	  	45	1.2	  	478	12.73	  	3	0.08	  	3754	94.46	  	220	5.54	  	3974	5.14
Lidcombe South		                             	18	1.29	  	2	0.14	  	1	0.07	  	0	0	  	0	0	  	3	0.22	  	2	0.14	  	769	55.13	  	2	0.14	  	2	0.14	  	114	8.17	  	274	19.64	  	52	3.73	  	1	0.07	  	1	0.07	  	0	0	  	0	0	  	1	0.07	  	2	0.14	  	11	0.79	  	22	1.58	  	117	8.39	  	1	0.07	  	1395	92.81	  	108	7.19	  	1503	1.94
Merrylands		                                 	30	1.88	  	1	0.06	  	1	0.06	  	0	0	  	4	0.25	  	1	0.06	  	0	0	  	820	51.51	  	5	0.31	  	1	0.06	  	125	7.85	  	454	28.52	  	74	4.65	  	5	0.31	  	8	0.5	  	0	0	  	0	0	  	1	0.06	  	0	0	  	3	0.19	  	11	0.69	  	46	2.89	  	2	0.13	  	1592	94.65	  	90	5.35	  	1682	2.17
Merrylands East		                            	24	1.35	  	4	0.22	  	1	0.06	  	2	0.11	  	2	0.11	  	3	0.17	  	4	0.22	  	987	55.48	  	3	0.17	  	6	0.34	  	104	5.85	  	472	26.53	  	53	2.98	  	6	0.34	  	4	0.22	  	1	0.06	  	0	0	  	1	0.06	  	1	0.06	  	39	2.19	  	18	1.01	  	40	2.25	  	4	0.22	  	1779	93.68	  	120	6.32	  	1899	2.45
Merrylands North		                           	27	1.34	  	3	0.15	  	1	0.05	  	0	0	  	4	0.2	  	3	0.15	  	2	0.1	  	1144	56.97	  	4	0.2	  	0	0	  	136	6.77	  	455	22.66	  	81	4.03	  	4	0.2	  	3	0.15	  	2	0.1	  	1	0.05	  	0	0	  	0	0	  	19	0.95	  	18	0.9	  	99	4.93	  	2	0.1	  	2008	94.05	  	127	5.95	  	2135	2.76
Merrylands West		                            	7	1.28	  	2	0.37	  	0	0	  	1	0.18	  	2	0.37	  	0	0	  	1	0.18	  	273	50	  	1	0.18	  	0	0	  	57	10.44	  	147	26.92	  	27	4.95	  	1	0.18	  	1	0.18	  	0	0	  	0	0	  	1	0.18	  	0	0	  	9	1.65	  	11	2.01	  	5	0.92	  	0	0	  	546	94.96	  	29	5.04	  	575	0.74
Monterey Street		                            	2	0.7	  	0	0	  	0	0	  	1	0.35	  	0	0	  	1	0.35	  	2	0.7	  	151	52.61	  	0	0	  	0	0	  	26	9.06	  	64	22.3	  	24	8.36	  	1	0.35	  	2	0.7	  	0	0	  	0	0	  	0	0	  	0	0	  	7	2.44	  	4	1.39	  	2	0.7	  	0	0	  	287	95.03	  	15	4.97	  	302	0.39
Noller Park		                                	5	0.82	  	1	0.16	  	1	0.16	  	0	0	  	1	0.16	  	0	0	  	0	0	  	291	47.78	  	0	0	  	0	0	  	30	4.93	  	217	35.63	  	25	4.11	  	0	0	  	1	0.16	  	0	0	  	0	0	  	0	0	  	0	0	  	7	1.15	  	5	0.82	  	25	4.11	  	0	0	  	609	93.4	  	43	6.6	  	652	0.84
Parramatta (Reid)		                          	4	0.54	  	0	0	  	1	0.14	  	2	0.27	  	2	0.27	  	1	0.14	  	0	0	  	432	58.7	  	0	0	  	1	0.14	  	27	3.67	  	140	19.02	  	25	3.4	  	3	0.41	  	2	0.27	  	0	0	  	0	0	  	1	0.14	  	0	0	  	6	0.82	  	8	1.09	  	80	10.87	  	1	0.14	  	736	95.71	  	33	4.29	  	769	0.99
Pendle Hill (Reid)		                         	14	1.45	  	4	0.41	  	4	0.41	  	1	0.1	  	0	0	  	2	0.21	  	1	0.1	  	502	51.91	  	2	0.21	  	1	0.1	  	64	6.62	  	276	28.54	  	50	5.17	  	1	0.1	  	3	0.31	  	0	0	  	0	0	  	0	0	  	0	0	  	17	1.76	  	15	1.55	  	10	1.03	  	0	0	  	967	94.53	  	56	5.47	  	1023	1.32
Pendle Hill Central (Reid)		                 	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.64	  	0	0	  	80	50.96	  	0	0	  	0	0	  	7	4.46	  	51	32.48	  	9	5.73	  	2	1.27	  	1	0.64	  	0	0	  	0	0	  	0	0	  	0	0	  	3	1.91	  	2	1.27	  	1	0.64	  	0	0	  	157	91.81	  	14	8.19	  	171	0.22
Pitt Row		                                   	21	1.75	  	1	0.08	  	2	0.17	  	0	0	  	0	0	  	3	0.25	  	3	0.25	  	585	48.75	  	3	0.25	  	2	0.17	  	98	8.17	  	328	27.33	  	64	5.33	  	2	0.17	  	1	0.08	  	1	0.08	  	1	0.08	  	0	0	  	0	0	  	26	2.17	  	10	0.83	  	46	3.83	  	3	0.25	  	1200	95.85	  	52	4.15	  	1252	1.62
Rawson		                                     	9	1.06	  	0	0	  	3	0.35	  	0	0	  	1	0.12	  	2	0.24	  	0	0	  	435	51.42	  	0	0	  	1	0.12	  	111	13.12	  	204	24.11	  	39	4.61	  	4	0.47	  	1	0.12	  	0	0	  	2	0.24	  	0	0	  	0	0	  	7	0.83	  	9	1.06	  	18	2.13	  	0	0	  	846	91.96	  	74	8.04	  	920	1.19
Regents Park		                               	19	1.46	  	0	0	  	2	0.15	  	0	0	  	1	0.08	  	5	0.38	  	0	0	  	672	51.69	  	2	0.15	  	2	0.15	  	104	8	  	295	22.69	  	60	4.62	  	1	0.08	  	3	0.23	  	0	0	  	0	0	  	0	0	  	0	0	  	27	2.08	  	10	0.77	  	97	7.46	  	0	0	  	1300	95.52	  	61	4.48	  	1361	1.76
Rosehill		                                   	10	0.85	  	0	0	  	2	0.17	  	0	0	  	5	0.43	  	1	0.09	  	1	0.09	  	613	52.3	  	1	0.09	  	1	0.09	  	61	5.2	  	275	23.46	  	63	5.38	  	1	0.09	  	4	0.34	  	0	0	  	1	0.09	  	0	0	  	0	0	  	33	2.82	  	17	1.45	  	83	7.08	  	0	0	  	1172	95.67	  	53	4.33	  	1225	1.58
St Johns Auburn		                            	8	0.9	  	1	0.11	  	0	0	  	0	0	  	0	0	  	3	0.34	  	0	0	  	529	59.51	  	3	0.34	  	0	0	  	41	4.61	  	191	21.48	  	30	3.37	  	3	0.34	  	1	0.11	  	0	0	  	0	0	  	0	0	  	0	0	  	13	1.46	  	5	0.56	  	60	6.75	  	1	0.11	  	889	95.8	  	39	4.2	  	928	1.2
Sherwood Grange (Reid)		                     	7	0.66	  	4	0.38	  	0	0	  	1	0.09	  	0	0	  	1	0.09	  	3	0.28	  	498	47.2	  	1	0.09	  	1	0.09	  	96	9.1	  	304	28.82	  	49	4.64	  	3	0.28	  	3	0.28	  	0	0	  	0	0	  	0	0	  	1	0.09	  	30	2.84	  	24	2.27	  	29	2.75	  	0	0	  	1055	94.53	  	61	5.47	  	1116	1.44
Silverwater		                                	7	0.84	  	1	0.12	  	1	0.12	  	2	0.24	  	2	0.24	  	0	0	  	2	0.24	  	529	63.35	  	1	0.12	  	2	0.24	  	44	5.27	  	147	17.6	  	35	4.19	  	0	0	  	2	0.24	  	0	0	  	1	0.12	  	0	0	  	0	0	  	2	0.24	  	10	1.2	  	44	5.27	  	3	0.36	  	835	94.89	  	45	5.11	  	880	1.14
Sydney (Reid)		                              	1	0.91	  	1	0.91	  	0	0	  	0	0	  	0	0	  	1	0.91	  	0	0	  	60	54.55	  	0	0	  	0	0	  	3	2.73	  	23	20.91	  	5	4.55	  	1	0.91	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	2	1.82	  	3	2.73	  	10	9.09	  	0	0	  	110	96.49	  	4	3.51	  	114	0.15
Wentworthville		                             	15	0.69	  	2	0.09	  	3	0.14	  	3	0.14	  	0	0	  	7	0.32	  	3	0.14	  	1076	49.31	  	0	0	  	3	0.14	  	194	8.89	  	643	29.47	  	105	4.81	  	6	0.27	  	3	0.14	  	0	0	  	1	0.05	  	1	0.05	  	0	0	  	20	0.92	  	36	1.65	  	61	2.8	  	0	0	  	2182	95.7	  	98	4.3	  	2280	2.95
Wentworthville South		                       	11	1.77	  	1	0.16	  	0	0	  	1	0.16	  	1	0.16	  	0	0	  	2	0.32	  	289	46.61	  	0	0	  	1	0.16	  	56	9.03	  	172	27.74	  	45	7.26	  	3	0.48	  	1	0.16	  	0	0	  	0	0	  	0	0	  	0	0	  	15	2.42	  	10	1.61	  	12	1.94	  	0	0	  	620	90.12	  	68	9.88	  	688	0.89
Westmead (Reid)		                            	29	1.39	  	2	0.1	  	2	0.1	  	2	0.1	  	2	0.1	  	1	0.05	  	3	0.14	  	1045	50.19	  	4	0.19	  	3	0.14	  	149	7.16	  	562	26.99	  	131	6.29	  	7	0.34	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	25	1.2	  	25	1.2	  	86	4.13	  	4	0.19	  	2082	95.68	  	94	4.32	  	2176	2.81
Special Hospitals		                          	1	0.74	  	0	0	  	0	0	  	0	0	  	1	0.74	  	0	0	  	0	0	  	64	47.06	  	0	0	  	0	0	  	7	5.15	  	54	39.71	  	4	2.94	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	4	2.94	  	1	0.74	  	0	0	  	0	0	  	136	98.55	  	2	1.45	  	138	0.18
Prison Mobiles		                             	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	3	100	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	3	75	  	1	25	  	4	0.01
Total Ordinary		                             	709	1.16	  	72	0.12	  	74	0.12	  	32	0.05	  	77	0.13	  	102	0.17	  	77	0.13	  	33957	55.72	  	96	0.16	  	41	0.07	  	4287	7.04	  	13762	22.58	  	2420	3.97	  	136	0.22	  	114	0.19	  	16	0.03	  	20	0.03	  	12	0.02	  	9	0.01	  	874	1.43	  	675	1.11	  	3306	5.43	  	70	0.11	  	60938	94.4	  	3617	5.6	  	64555	83.42
