Senate -  1998 Election: New South Wales																																																																															
First Preference Votes by Group																																																																															
By Polling Place																																																																															


Banks (80108)																																																																															

	   		Group Total FST			Group Total NAN			Group Total NDP			Group Total - Unendorsed Group D			Group Total NLP			Group Total ACS			Group Total - Unendorsed Group G			Group Total ALP			Group Total CEC			Group Total - Unendorsed Group J			Group Total HAN			Group Total LNP			Group Total DEM			Group Total DSL			Group Total RAR			Group Total - Unendorsed Group P			Group Total SEP			Group Total - Unendorsed Group R			Group Total - Unendorsed Group S			Group Total CDP			Group Total GRN			Group Total UNI			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Arncliffe		                                  	13	1.31	  	4	0.4	  	0	0	  	0	0	  	1	0.1	  	1	0.1	  	0	0	  	510	51.52	  	2	0.2	  	0	0	  	82	8.28	  	260	26.26	  	64	6.46	  	2	0.2	  	2	0.2	  	0	0	  	0	0	  	0	0	  	0	0	  	17	1.72	  	13	1.31	  	17	1.72	  	2	0.2	  	990	93.48	  	69	6.52	  	1059	1.34
Arncliffe East		                             	19	1.77	  	1	0.09	  	0	0	  	0	0	  	2	0.19	  	0	0	  	2	0.19	  	650	60.69	  	3	0.28	  	0	0	  	69	6.44	  	206	19.23	  	46	4.3	  	0	0	  	1	0.09	  	1	0.09	  	0	0	  	0	0	  	1	0.09	  	9	0.84	  	16	1.49	  	45	4.2	  	0	0	  	1071	94.2	  	66	5.8	  	1137	1.44
Athelstane		                                 	33	1.14	  	7	0.24	  	7	0.24	  	0	0	  	4	0.14	  	1	0.03	  	3	0.1	  	1882	65.21	  	0	0	  	2	0.07	  	149	5.16	  	587	20.34	  	124	4.3	  	2	0.07	  	1	0.03	  	1	0.03	  	0	0	  	0	0	  	0	0	  	21	0.73	  	28	0.97	  	33	1.14	  	1	0.03	  	2886	94.1	  	181	5.9	  	3067	3.88
Bald Face		                                  	2	0.16	  	1	0.08	  	1	0.08	  	0	0	  	1	0.08	  	0	0	  	1	0.08	  	194	15.24	  	1	0.08	  	0	0	  	68	5.34	  	853	67.01	  	76	5.97	  	0	0	  	1	0.08	  	0	0	  	0	0	  	1	0.08	  	0	0	  	20	1.57	  	9	0.71	  	44	3.46	  	0	0	  	1273	97.62	  	31	2.38	  	1304	1.65
Banksia		                                    	21	1.26	  	10	0.6	  	0	0	  	0	0	  	0	0	  	2	0.12	  	1	0.06	  	1050	63.06	  	1	0.06	  	1	0.06	  	112	6.73	  	329	19.76	  	54	3.24	  	1	0.06	  	3	0.18	  	0	0	  	0	0	  	0	0	  	0	0	  	10	0.6	  	16	0.96	  	52	3.12	  	2	0.12	  	1665	92.76	  	130	7.24	  	1795	2.27
Bell Park		                                  	4	0.5	  	0	0	  	2	0.25	  	0	0	  	0	0	  	2	0.25	  	1	0.12	  	344	42.57	  	1	0.12	  	1	0.12	  	71	8.79	  	277	34.28	  	46	5.69	  	3	0.37	  	2	0.25	  	1	0.12	  	0	0	  	0	0	  	0	0	  	5	0.62	  	16	1.98	  	32	3.96	  	0	0	  	808	94.95	  	43	5.05	  	851	1.08
Bexley		                                     	18	0.82	  	13	0.6	  	2	0.09	  	2	0.09	  	2	0.09	  	5	0.23	  	2	0.09	  	1146	52.5	  	4	0.18	  	3	0.14	  	163	7.47	  	577	26.43	  	98	4.49	  	4	0.18	  	3	0.14	  	0	0	  	0	0	  	0	0	  	0	0	  	24	1.1	  	30	1.37	  	86	3.94	  	1	0.05	  	2183	94.5	  	127	5.5	  	2310	2.92
Bexley Central		                             	3	0.39	  	3	0.39	  	2	0.26	  	0	0	  	0	0	  	1	0.13	  	0	0	  	429	55.07	  	3	0.39	  	0	0	  	63	8.09	  	205	26.32	  	41	5.26	  	1	0.13	  	1	0.13	  	0	0	  	0	0	  	0	0	  	0	0	  	10	1.28	  	9	1.16	  	8	1.03	  	0	0	  	779	93.86	  	51	6.14	  	830	1.05
Bexley East		                                	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	2	0.37	  	312	57.67	  	2	0.37	  	0	0	  	47	8.69	  	107	19.78	  	42	7.76	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	6	1.11	  	8	1.48	  	15	2.77	  	0	0	  	541	95.58	  	25	4.42	  	566	0.72
Blakehurst		                                 	6	0.7	  	2	0.23	  	0	0	  	0	0	  	0	0	  	1	0.12	  	0	0	  	264	30.73	  	2	0.23	  	0	0	  	62	7.22	  	416	48.43	  	59	6.87	  	2	0.23	  	0	0	  	1	0.12	  	0	0	  	0	0	  	0	0	  	13	1.51	  	10	1.16	  	21	2.44	  	0	0	  	859	96.63	  	30	3.37	  	889	1.13
Bona Park		                                  	9	1.38	  	1	0.15	  	0	0	  	0	0	  	1	0.15	  	0	0	  	1	0.15	  	288	44.17	  	1	0.15	  	1	0.15	  	62	9.51	  	237	36.35	  	34	5.21	  	2	0.31	  	3	0.46	  	0	0	  	0	0	  	1	0.15	  	0	0	  	5	0.77	  	2	0.31	  	4	0.61	  	0	0	  	652	94.49	  	38	5.51	  	690	0.87
Brighton-Le-Sands		                          	32	1.24	  	2	0.08	  	8	0.31	  	0	0	  	2	0.08	  	3	0.12	  	3	0.12	  	1336	51.86	  	4	0.16	  	2	0.08	  	183	7.1	  	779	30.24	  	103	4	  	6	0.23	  	3	0.12	  	3	0.12	  	3	0.12	  	0	0	  	0	0	  	16	0.62	  	35	1.36	  	52	2.02	  	1	0.04	  	2576	93.98	  	165	6.02	  	2741	3.47
Brighton North		                             	12	1.08	  	2	0.18	  	2	0.18	  	0	0	  	0	0	  	1	0.09	  	2	0.18	  	472	42.41	  	1	0.09	  	1	0.09	  	94	8.45	  	414	37.2	  	64	5.75	  	4	0.36	  	1	0.09	  	0	0	  	0	0	  	0	0	  	0	0	  	19	1.71	  	13	1.17	  	11	0.99	  	0	0	  	1113	92.06	  	96	7.94	  	1209	1.53
Carlton		                                    	24	1.3	  	10	0.54	  	1	0.05	  	1	0.05	  	1	0.05	  	2	0.11	  	2	0.11	  	1036	56.03	  	5	0.27	  	2	0.11	  	89	4.81	  	473	25.58	  	91	4.92	  	8	0.43	  	6	0.32	  	1	0.05	  	2	0.11	  	1	0.05	  	0	0	  	16	0.87	  	15	0.81	  	63	3.41	  	0	0	  	1849	92.77	  	144	7.23	  	1993	2.52
