Senate -  1998 Election: Western Australia																																																																
First Preference Votes by Group																																																																
By Polling Place																																																																



Brand (77633)																																																																

	   		Group Total HAN			Group Total ASP			Group Total NP			Group Total NLP			Group Total LP			Group Total TPS			Group Total UNI			Group Total ACS			Group Total CEC			Group Total ALP			Group Total DSL			Group Total CDP			Group Total GWA			Group Total - Unendorsed Group N			Group Total - Unendorsed Unendorsed Group O			Group Total DEM			Group Total RPA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Wellard		                                    	46	12.89	  	0	0	  	0	0	  	1	0.28	  	133	37.25	  	0	0	  	0	0	  	1	0.28	  	0	0	  	121	33.89	  	2	0.56	  	0	0	  	23	6.44	  	0	0	  	0	0	  	29	8.12	  	1	0.28	  	0	0	  	357	97.54	  	9	2.46	  	366	0.49
Special Hospitals		                          	25	6.67	  	0	0	  	1	0.27	  	1	0.27	  	147	39.2	  	0	0	  	0	0	  	0	0	  	0	0	  	188	50.13	  	0	0	  	2	0.53	  	5	1.33	  	0	0	  	0	0	  	6	1.6	  	0	0	  	0	0	  	375	98.17	  	7	1.83	  	382	0.51
Total Ordinary		                             	7877	12.88	  	125	0.2	  	153	0.25	  	101	0.17	  	17581	28.74	  	29	0.05	  	37	0.06	  	119	0.19	  	76	0.12	  	29342	47.97	  	179	0.29	  	347	0.57	  	2264	3.7	  	97	0.16	  	52	0.09	  	2740	4.48	  	29	0.05	  	14	0.02	  	61162	97.55	  	1539	2.45	  	62701	84.27
ABSENT		                                     	634	13.47	  	27	0.57	  	35	0.74	  	15	0.32	  	1528	32.46	  	1	0.02	  	4	0.08	  	22	0.47	  	4	0.08	  	1891	40.17	  	18	0.38	  	36	0.76	  	275	5.84	  	5	0.11	  	2	0.04	  	205	4.36	  	4	0.08	  	1	0.02	  	4707	98.08	  	92	1.92	  	4799	6.45
POSTAL		                                     	298	14.93	  	7	0.35	  	14	0.7	  	3	0.15	  	620	31.06	  	0	0	  	1	0.05	  	6	0.3	  	1	0.05	  	874	43.79	  	2	0.1	  	18	0.9	  	77	3.86	  	4	0.2	  	2	0.1	  	64	3.21	  	4	0.2	  	1	0.05	  	1996	98.96	  	21	1.04	  	2017	2.71
PRE_POLL		                                   	499	12.82	  	16	0.41	  	15	0.39	  	8	0.21	  	1230	31.6	  	2	0.05	  	2	0.05	  	9	0.23	  	4	0.1	  	1753	45.03	  	12	0.31	  	23	0.59	  	150	3.85	  	6	0.15	  	3	0.08	  	151	3.88	  	8	0.21	  	2	0.05	  	3893	98.63	  	54	1.37	  	3947	5.3
PROVISIONAL		                                	112	12.21	  	5	0.55	  	4	0.44	  	0	0	  	180	19.63	  	0	0	  	1	0.11	  	7	0.76	  	0	0	  	514	56.05	  	1	0.11	  	4	0.44	  	59	6.43	  	1	0.11	  	0	0	  	28	3.05	  	1	0.11	  	0	0	  	917	97.76	  	21	2.24	  	938	1.26
Division Summary		                           	9420	12.96	  	180	0.25	  	221	0.3	  	127	0.17	  	21139	29.09	  	32	0.04	  	45	0.06	  	163	0.22	  	85	0.12	  	34374	47.3	  	212	0.29	  	428	0.59	  	2825	3.89	  	113	0.16	  	59	0.08	  	3188	4.39	  	46	0.06	  	18	0.02	  	72675	97.68	  	1727	2.32	  	74402	95.84


Canning (80030)																																																																

	   		Group Total HAN			Group Total ASP			Group Total NP			Group Total NLP			Group Total LP			Group Total TPS			Group Total UNI			Group Total ACS			Group Total CEC			Group Total ALP			Group Total DSL			Group Total CDP			Group Total GWA			Group Total - Unendorsed Group N			Group Total - Unendorsed Group O			Group Total DEM			Group Total RPA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Armadale		                                   	510	16.58	  	9	0.29	  	12	0.39	  	3	0.1	  	860	27.96	  	4	0.13	  	15	0.49	  	4	0.13	  	5	0.16	  	1273	41.38	  	20	0.65	  	93	3.02	  	127	4.13	  	5	0.16	  	2	0.07	  	134	4.36	  	0	0	  	0	0	  	3076	97.22	  	88	2.78	  	3164	4.13
Armadale East		                              	263	12.05	  	5	0.23	  	3	0.14	  	8	0.37	  	914	41.87	  	1	0.05	  	2	0.09	  	9	0.41	  	3	0.14	  	682	31.24	  	10	0.46	  	39	1.79	  	113	5.18	  	9	0.41	  	0	0	  	121	5.54	  	1	0.05	  	0	0	  	2183	97.76	  	50	2.24	  	2233	2.92
Armadale North		                             	199	15.72	  	1	0.08	  	3	0.24	  	1	0.08	  	412	32.54	  	0	0	  	2	0.16	  	0	0	  	6	0.47	  	494	39.02	  	2	0.16	  	23	1.82	  	61	4.82	  	1	0.08	  	2	0.16	  	58	4.58	  	0	0	  	1	0.08	  	1266	98.06	  	25	1.94	  	1291	1.69
Armadale South		                             	115	15.78	  	0	0	  	4	0.55	  	2	0.27	  	264	36.21	  	0	0	  	0	0	  	0	0	  	2	0.27	  	284	38.96	  	5	0.69	  	9	1.23	  	17	2.33	  	0	0	  	5	0.69	  	22	3.02	  	0	0	  	0	0	  	729	96.05	  	30	3.95	  	759	0.99
Armadale West		                              	265	14.37	  	8	0.43	  	8	0.43	  	2	0.11	  	470	25.49	  	0	0	  	6	0.33	  	2	0.11	  	5	0.27	  	846	45.88	  	5	0.27	  	46	2.49	  	89	4.83	  	5	0.27	  	1	0.05	  	84	4.56	  	1	0.05	  	1	0.05	  	1844	97.46	  	48	2.54	  	1892	2.47
Barragup		                                   	219	17.46	  	6	0.48	  	2	0.16	  	1	0.08	  	494	39.39	  	0	0	  	0	0	  	1	0.08	  	5	0.4	  	415	33.09	  	4	0.32	  	7	0.56	  	43	3.43	  	5	0.4	  	1	0.08	  	51	4.07	  	0	0	  	0	0	  	1254	97.06	  	38	2.94	  	1292	1.69
Bedfordale		                                 	59	13.29	  	4	0.9	  	2	0.45	  	1	0.23	  	203	45.72	  	1	0.23	  	0	0	  	0	0	  	0	0	  	101	22.75	  	2	0.45	  	10	2.25	  	28	6.31	  	0	0	  	1	0.23	  	32	7.21	  	0	0	  	0	0	  	444	98.23	  	8	1.77	  	452	0.59
Broome (Canning)		                           	6	12.5	  	0	0	  	2	4.17	  	0	0	  	15	31.25	  	0	0	  	0	0	  	0	0	  	0	0	  	16	33.33	  	0	0	  	0	0	  	7	14.58	  	0	0	  	0	0	  	2	4.17	  	0	0	  	0	0	  	48	96	  	2	4	  	50	0.07
Byford		                                     	308	14.27	  	4	0.19	  	9	0.42	  	3	0.14	  	872	40.41	  	1	0.05	  	1	0.05	  	1	0.05	  	3	0.14	  	657	30.44	  	6	0.28	  	49	2.27	  	125	5.79	  	5	0.23	  	5	0.23	  	108	5	  	1	0.05	  	0	0	  	2158	97.43	  	57	2.57	  	2215	2.89
Carcoola		                                   	92	20.22	  	3	0.66	  	2	0.44	  	0	0	  	109	23.96	  	0	0	  	0	0	  	0	0	  	2	0.44	  	209	45.93	  	2	0.44	  	5	1.1	  	16	3.52	  	0	0	  	3	0.66	  	12	2.64	  	0	0	  	0	0	  	455	96.6	  	16	3.4	  	471	0.62
Carnarvon (Canning)		                        	4	16	  	0	0	  	0	0	  	0	0	  	18	72	  	0	0	  	0	0	  	0	0	  	0	0	  	2	8	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	1	4	  	0	0	  	0	0	  	25	100	  	0	0	  	25	0.03
Coolup		                                     	39	14.5	  	2	0.74	  	3	1.12	  	1	0.37	  	130	48.33	  	0	0	  	0	0	  	1	0.37	  	2	0.74	  	67	24.91	  	1	0.37	  	1	0.37	  	9	3.35	  	1	0.37	  	2	0.74	  	10	3.72	  	0	0	  	0	0	  	269	97.82	  	6	2.18	  	275	0.36
Dawesville		                                 	126	12.79	  	3	0.3	  	9	0.91	  	0	0	  	417	42.34	  	0	0	  	0	0	  	2	0.2	  	1	0.1	  	313	31.78	  	4	0.41	  	0	0	  	60	6.09	  	3	0.3	  	4	0.41	  	42	4.26	  	1	0.1	  	0	0	  	985	96.95	  	31	3.05	  	1016	1.33
Dwellingup		                                 	76	20.11	  	2	0.53	  	2	0.53	  	1	0.26	  	114	30.16	  	0	0	  	0	0	  	2	0.53	  	0	0	  	132	34.92	  	1	0.26	  	4	1.06	  	19	5.03	  	1	0.26	  	1	0.26	  	22	5.82	  	0	0	  	1	0.26	  	378	96.92	  	12	3.08	  	390	0.51
Exmouth (Canning)		                          	9	11.11	  	1	1.23	  	0	0	  	1	1.23	  	27	33.33	  	0	0	  	0	0	  	1	1.23	  	0	0	  	39	48.15	  	0	0	  	0	0	  	1	1.23	  	0	0	  	0	0	  	2	2.47	  	0	0	  	0	0	  	81	97.59	  	2	2.41	  	83	0.11
Falcon		                                     	280	12.96	  	8	0.37	  	7	0.32	  	6	0.28	  	822	38.06	  	1	0.05	  	0	0	  	3	0.14	  	2	0.09	  	826	38.24	  	8	0.37	  	5	0.23	  	102	4.72	  	4	0.19	  	0	0	  	84	3.89	  	1	0.05	  	1	0.05	  	2160	97.83	  	48	2.17	  	2208	2.88
Forrestdale		                                	175	18.4	  	2	0.21	  	0	0	  	1	0.11	  	384	40.38	  	0	0	  	0	0	  	1	0.11	  	1	0.11	  	294	30.91	  	6	0.63	  	1	0.11	  	44	4.63	  	0	0	  	6	0.63	  	36	3.79	  	0	0	  	0	0	  	951	96.84	  	31	3.16	  	982	1.28
Gosnells		                                   	298	16.08	  	3	0.16	  	4	0.22	  	5	0.27	  	569	30.71	  	0	0	  	1	0.05	  	6	0.32	  	1	0.05	  	717	38.69	  	8	0.43	  	51	2.75	  	89	4.8	  	7	0.38	  	1	0.05	  	86	4.64	  	3	0.16	  	4	0.22	  	1853	96.61	  	65	3.39	  	1918	2.51
Gosnells Central		                           	333	14.83	  	5	0.22	  	6	0.27	  	4	0.18	  	768	34.19	  	0	0	  	4	0.18	  	4	0.18	  	2	0.09	  	782	34.82	  	6	0.27	  	59	2.63	  	112	4.99	  	0	0	  	6	0.27	  	151	6.72	  	2	0.09	  	2	0.09	  	2246	95.9	  	96	4.1	  	2342	3.06
Gosnells South		                             	382	12.43	  	12	0.39	  	2	0.07	  	0	0	  	862	28.06	  	4	0.13	  	2	0.07	  	7	0.23	  	4	0.13	  	1421	46.26	  	9	0.29	  	65	2.12	  	143	4.65	  	2	0.07	  	6	0.2	  	149	4.85	  	1	0.03	  	1	0.03	  	3072	97.37	  	83	2.63	  	3155	4.12
Gosnells West		                              	369	14.19	  	10	0.38	  	5	0.19	  	4	0.15	  	734	28.22	  	2	0.08	  	0	0	  	4	0.15	  	3	0.12	  	1119	43.02	  	18	0.69	  	48	1.85	  	133	5.11	  	8	0.31	  	4	0.15	  	138	5.31	  	2	0.08	  	0	0	  	2601	98.41	  	42	1.59	  	2643	3.45
