Senate -  1998 Election: Western Australia																																																																
First Preference Votes by Group																																																																
By Polling Place																																																																



Brand (77633)																																																																

	   		Group Total HAN			Group Total ASP			Group Total NP			Group Total NLP			Group Total LP			Group Total TPS			Group Total UNI			Group Total ACS			Group Total CEC			Group Total ALP			Group Total DSL			Group Total CDP			Group Total GWA			Group Total - Unendorsed Group N			Group Total - Unendorsed Unendorsed Group O			Group Total DEM			Group Total RPA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
East Perth		                                 	43	7.62	  	1	0.18	  	0	0	  	0	0	  	240	42.55	  	0	0	  	7	1.24	  	0	0	  	2	0.35	  	183	32.45	  	3	0.53	  	3	0.53	  	29	5.14	  	2	0.35	  	3	0.53	  	47	8.33	  	1	0.18	  	0	0	  	564	96.25	  	22	3.75	  	586	0.73
Eden Hill		                                  	283	9.83	  	10	0.35	  	5	0.17	  	3	0.1	  	704	24.46	  	2	0.07	  	0	0	  	0	0	  	7	0.24	  	1477	51.32	  	13	0.45	  	29	1.01	  	160	5.56	  	6	0.21	  	3	0.1	  	169	5.87	  	5	0.17	  	2	0.07	  	2878	95.61	  	132	4.39	  	3010	3.76
Embleton		                                   	210	11.33	  	8	0.43	  	6	0.32	  	4	0.22	  	432	23.3	  	1	0.05	  	27	1.46	  	1	0.05	  	4	0.22	  	912	49.19	  	2	0.11	  	20	1.08	  	103	5.56	  	3	0.16	  	3	0.16	  	116	6.26	  	1	0.05	  	1	0.05	  	1854	95.81	  	81	4.19	  	1935	2.41
Exmouth (Perth)		                            	6	17.65	  	0	0	  	0	0	  	1	2.94	  	9	26.47	  	0	0	  	0	0	  	0	0	  	0	0	  	13	38.24	  	0	0	  	0	0	  	4	11.76	  	0	0	  	0	0	  	1	2.94	  	0	0	  	0	0	  	34	100	  	0	0	  	34	0.04
Forrest Park		                               	20	4.26	  	1	0.21	  	2	0.43	  	0	0	  	146	31.06	  	0	0	  	4	0.85	  	1	0.21	  	0	0	  	170	36.17	  	2	0.43	  	5	1.06	  	57	12.13	  	5	1.06	  	1	0.21	  	55	11.7	  	1	0.21	  	0	0	  	470	96.91	  	15	3.09	  	485	0.61
Guildford (Perth)		                          	77	7.75	  	5	0.5	  	5	0.5	  	0	0	  	338	34.04	  	0	0	  	0	0	  	0	0	  	1	0.1	  	337	33.94	  	1	0.1	  	6	0.6	  	114	11.48	  	9	0.91	  	1	0.1	  	98	9.87	  	1	0.1	  	0	0	  	993	97.16	  	29	2.84	  	1022	1.28
Hampton		                                    	233	8.73	  	9	0.34	  	7	0.26	  	0	0	  	754	28.25	  	0	0	  	10	0.37	  	2	0.07	  	4	0.15	  	1343	50.32	  	6	0.22	  	21	0.79	  	107	4.01	  	5	0.19	  	0	0	  	162	6.07	  	5	0.19	  	1	0.04	  	2669	97.87	  	58	2.13	  	2727	3.4
Hampton Park (Perth)		                       	178	12.46	  	6	0.42	  	3	0.21	  	4	0.28	  	446	31.23	  	1	0.07	  	11	0.77	  	3	0.21	  	4	0.28	  	630	44.12	  	10	0.7	  	11	0.77	  	42	2.94	  	1	0.07	  	1	0.07	  	77	5.39	  	0	0	  	0	0	  	1428	95.26	  	71	4.74	  	1499	1.87
Highgate		                                   	67	3.13	  	7	0.33	  	7	0.33	  	4	0.19	  	469	21.93	  	4	0.19	  	13	0.61	  	9	0.42	  	7	0.33	  	1080	50.49	  	28	1.31	  	5	0.23	  	216	10.1	  	8	0.37	  	2	0.09	  	210	9.82	  	3	0.14	  	0	0	  	2139	95.41	  	103	4.59	  	2242	2.8
Hillcrest		                                  	197	8.98	  	11	0.5	  	4	0.18	  	3	0.14	  	617	28.13	  	2	0.09	  	11	0.5	  	6	0.27	  	5	0.23	  	1018	46.42	  	10	0.46	  	10	0.46	  	138	6.29	  	2	0.09	  	6	0.27	  	151	6.89	  	1	0.05	  	1	0.05	  	2193	96.1	  	89	3.9	  	2282	2.85
Inglewood		                                  	74	6.39	  	4	0.35	  	4	0.35	  	3	0.26	  	310	26.77	  	0	0	  	5	0.43	  	2	0.17	  	2	0.17	  	520	44.91	  	4	0.35	  	3	0.26	  	98	8.46	  	1	0.09	  	1	0.09	  	126	10.88	  	1	0.09	  	0	0	  	1158	95.78	  	51	4.22	  	1209	1.51
Inglewood Brightwater		                      	11	3.3	  	1	0.3	  	3	0.9	  	0	0	  	119	35.74	  	0	0	  	0	0	  	0	0	  	3	0.9	  	146	43.84	  	4	1.2	  	0	0	  	21	6.31	  	1	0.3	  	0	0	  	23	6.91	  	0	0	  	1	0.3	  	333	97.65	  	8	2.35	  	341	0.43
Inglewood North		                            	110	5.69	  	3	0.16	  	10	0.52	  	4	0.21	  	677	35.01	  	0	0	  	8	0.41	  	4	0.21	  	4	0.21	  	754	38.99	  	9	0.47	  	4	0.21	  	134	6.93	  	6	0.31	  	1	0.05	  	204	10.55	  	2	0.1	  	0	0	  	1934	96.31	  	74	3.69	  	2008	2.51
Kalbarri (Perth)		                           	4	16	  	0	0	  	0	0	  	0	0	  	10	40	  	0	0	  	0	0	  	0	0	  	0	0	  	6	24	  	0	0	  	0	0	  	4	16	  	0	0	  	0	0	  	1	4	  	0	0	  	0	0	  	25	100	  	0	0	  	25	0.03
Kiara		                                      	108	8.36	  	4	0.31	  	1	0.08	  	0	0	  	332	25.7	  	0	0	  	7	0.54	  	0	0	  	0	0	  	702	54.33	  	3	0.23	  	15	1.16	  	51	3.95	  	3	0.23	  	1	0.08	  	63	4.88	  	2	0.15	  	0	0	  	1292	96.92	  	41	3.08	  	1333	1.66
Lockridge		                                  	168	10.6	  	6	0.38	  	4	0.25	  	0	0	  	226	14.26	  	3	0.19	  	4	0.25	  	2	0.13	  	3	0.19	  	1024	64.61	  	7	0.44	  	7	0.44	  	67	4.23	  	1	0.06	  	0	0	  	62	3.91	  	1	0.06	  	0	0	  	1585	95.48	  	75	4.52	  	1660	2.07
Maylands		                                   	210	7.16	  	3	0.1	  	8	0.27	  	4	0.14	  	790	26.95	  	2	0.07	  	14	0.48	  	9	0.31	  	6	0.2	  	1281	43.71	  	26	0.89	  	14	0.48	  	268	9.14	  	5	0.17	  	6	0.2	  	281	9.59	  	3	0.1	  	1	0.03	  	2931	95.63	  	134	4.37	  	3065	3.82
Maylands East		                              	113	7.73	  	0	0	  	5	0.34	  	4	0.27	  	457	31.26	  	1	0.07	  	4	0.27	  	4	0.27	  	4	0.27	  	614	42	  	6	0.41	  	1	0.07	  	122	8.34	  	1	0.07	  	1	0.07	  	123	8.41	  	1	0.07	  	1	0.07	  	1462	95.87	  	63	4.13	  	1525	1.9
Menora		                                     	53	10.75	  	1	0.2	  	1	0.2	  	1	0.2	  	200	40.57	  	0	0	  	0	0	  	1	0.2	  	0	0	  	199	40.37	  	5	1.01	  	0	0	  	10	2.03	  	2	0.41	  	0	0	  	20	4.06	  	0	0	  	0	0	  	493	96.29	  	19	3.71	  	512	0.64
Mercy Hospital		                             	21	6.71	  	1	0.32	  	0	0	  	0	0	  	124	39.62	  	1	0.32	  	0	0	  	0	0	  	1	0.32	  	105	33.55	  	1	0.32	  	5	1.6	  	24	7.67	  	1	0.32	  	2	0.64	  	25	7.99	  	2	0.64	  	0	0	  	313	96.01	  	13	3.99	  	326	0.41
Midland (Perth)		                            	316	13.29	  	11	0.46	  	5	0.21	  	6	0.25	  	578	24.31	  	2	0.08	  	6	0.25	  	6	0.25	  	5	0.21	  	1197	50.34	  	7	0.29	  	20	0.84	  	111	4.67	  	4	0.17	  	3	0.13	  	100	4.21	  	1	0.04	  	0	0	  	2378	94.52	  	138	5.48	  	2516	3.14
Midvale		                                    	182	12.4	  	7	0.48	  	4	0.27	  	3	0.2	  	318	21.66	  	2	0.14	  	1	0.07	  	2	0.14	  	3	0.2	  	802	54.63	  	4	0.27	  	9	0.61	  	64	4.36	  	0	0	  	0	0	  	67	4.56	  	0	0	  	0	0	  	1468	97.09	  	44	2.91	  	1512	1.89
Morley		                                     	148	8.24	  	4	0.22	  	4	0.22	  	7	0.39	  	543	30.23	  	1	0.06	  	4	0.22	  	3	0.17	  	1	0.06	  	874	48.66	  	6	0.33	  	8	0.45	  	97	5.4	  	6	0.33	  	2	0.11	  	83	4.62	  	3	0.17	  	2	0.11	  	1796	96.77	  	60	3.23	  	1856	2.32
Mount Lawley		                               	105	4.05	  	6	0.23	  	7	0.27	  	2	0.08	  	1059	40.84	  	0	0	  	10	0.39	  	1	0.04	  	0	0	  	762	29.39	  	22	0.85	  	7	0.27	  	281	10.84	  	10	0.39	  	14	0.54	  	306	11.8	  	0	0	  	1	0.04	  	2593	97.26	  	73	2.74	  	2666	3.33
Mount Lawley East		                          	40	5.1	  	1	0.13	  	0	0	  	1	0.13	  	292	37.2	  	0	0	  	1	0.13	  	1	0.13	  	1	0.13	  	266	33.89	  	3	0.38	  	7	0.89	  	95	12.1	  	1	0.13	  	0	0	  	75	9.55	  	0	0	  	1	0.13	  	785	97.15	  	23	2.85	  	808	1.01
Mount Lawley West		                          	28	4.44	  	2	0.32	  	0	0	  	3	0.48	  	178	28.25	  	0	0	  	2	0.32	  	0	0	  	1	0.16	  	282	44.76	  	1	0.16	  	4	0.63	  	66	10.48	  	1	0.16	  	1	0.16	  	59	9.37	  	1	0.16	  	1	0.16	  	630	95.31	  	31	4.69	  	661	0.82
Noranda West (Perth)		                       	55	5.55	  	1	0.1	  	0	0	  	4	0.4	  	401	40.46	  	0	0	  	1	0.1	  	1	0.1	  	3	0.3	  	368	37.13	  	2	0.2	  	6	0.61	  	61	6.16	  	1	0.1	  	0	0	  	85	8.58	  	1	0.1	  	1	0.1	  	991	96.03	  	41	3.97	  	1032	1.29
Northbridge		                                	3	1.21	  	0	0	  	0	0	  	0	0	  	71	28.74	  	0	0	  	2	0.81	  	0	0	  	1	0.4	  	88	35.63	  	4	1.62	  	18	7.29	  	35	14.17	  	0	0	  	0	0	  	23	9.31	  	2	0.81	  	0	0	  	247	98.02	  	5	1.98	  	252	0.31
North Perth		                                	25	3.35	  	0	0	  	0	0	  	0	0	  	263	35.21	  	0	0	  	4	0.54	  	2	0.27	  	0	0	  	293	39.22	  	2	0.27	  	4	0.54	  	64	8.57	  	1	0.13	  	0	0	  	88	11.78	  	1	0.13	  	0	0	  	747	95.28	  	37	4.72	  	784	0.98
North Perth Central		                        	77	3.85	  	5	0.25	  	1	0.05	  	5	0.25	  	601	30.02	  	4	0.2	  	9	0.45	  	4	0.2	  	4	0.2	  	917	45.8	  	15	0.75	  	5	0.25	  	161	8.04	  	2	0.1	  	3	0.15	  	182	9.09	  	5	0.25	  	2	0.1	  	2002	94.26	  	122	5.74	  	2124	2.65
Perth (Perth)		                              	50	6.24	  	0	0	  	0	0	  	2	0.25	  	206	25.72	  	0	0	  	6	0.75	  	0	0	  	1	0.12	  	368	45.94	  	8	1	  	5	0.62	  	73	9.11	  	1	0.12	  	0	0	  	81	10.11	  	0	0	  	0	0	  	801	95.47	  	38	4.53	  	839	1.05
Rottnest (Perth)		                           	2	4.17	  	0	0	  	0	0	  	0	0	  	17	35.42	  	0	0	  	0	0	  	0	0	  	0	0	  	18	37.5	  	0	0	  	0	0	  	5	10.42	  	0	0	  	0	0	  	6	12.5	  	0	0	  	0	0	  	48	96	  	2	4	  	50	0.06
Royal Perth Hospital		                       	16	7.41	  	1	0.46	  	0	0	  	0	0	  	58	26.85	  	0	0	  	1	0.46	  	0	0	  	0	0	  	115	53.24	  	0	0	  	3	1.39	  	8	3.7	  	0	0	  	0	0	  	14	6.48	  	0	0	  	0	0	  	216	99.54	  	1	0.46	  	217	0.27
Swan View (Perth)		                          	24	11.01	  	2	0.92	  	3	1.38	  	0	0	  	63	28.9	  	0	0	  	1	0.46	  	0	0	  	0	0	  	91	41.74	  	1	0.46	  	0	0	  	17	7.8	  	0	0	  	1	0.46	  	14	6.42	  	1	0.46	  	0	0	  	218	96.89	  	7	3.11	  	225	0.28
West Perth (Perth)		                         	11	4.31	  	0	0	  	1	0.39	  	1	0.39	  	79	30.98	  	0	0	  	6	2.35	  	0	0	  	0	0	  	99	38.82	  	1	0.39	  	1	0.39	  	28	10.98	  	2	0.78	  	0	0	  	25	9.8	  	1	0.39	  	0	0	  	255	97.33	  	7	2.67	  	262	0.33
Special Hospitals		                          	46	6.96	  	1	0.15	  	1	0.15	  	4	0.61	  	316	47.81	  	1	0.15	  	1	0.15	  	1	0.15	  	3	0.45	  	272	41.15	  	1	0.15	  	3	0.45	  	4	0.61	  	0	0	  	0	0	  	6	0.91	  	1	0.15	  	0	0	  	661	94.29	  	40	5.71	  	701	0.87
Total Ordinary		                             	5346	8.19	  	168	0.26	  	143	0.22	  	109	0.17	  	19390	29.69	  	39	0.06	  	254	0.39	  	94	0.14	  	120	0.18	  	29415	45.04	  	317	0.49	  	452	0.69	  	4298	6.58	  	139	0.21	  	102	0.16	  	4829	7.39	  	63	0.1	  	36	0.06	  	65314	96.17	  	2603	3.83	  	67917	84.74
ABSENT		                                     	526	8.65	  	41	0.67	  	24	0.39	  	15	0.25	  	1960	32.25	  	4	0.07	  	17	0.28	  	21	0.35	  	8	0.13	  	2415	39.73	  	29	0.48	  	53	0.87	  	516	8.49	  	8	0.13	  	8	0.13	  	422	6.94	  	6	0.1	  	5	0.08	  	6078	98.41	  	98	1.59	  	6176	7.71
POSTAL		                                     	233	11.86	  	2	0.1	  	5	0.25	  	4	0.2	  	644	32.77	  	2	0.1	  	8	0.41	  	2	0.1	  	0	0	  	832	42.34	  	3	0.15	  	9	0.46	  	103	5.24	  	0	0	  	6	0.31	  	110	5.6	  	2	0.1	  	0	0	  	1965	99.09	  	18	0.91	  	1983	2.47
PRE_POLL		                                   	239	7.86	  	19	0.62	  	15	0.49	  	9	0.3	  	1011	33.25	  	2	0.07	  	13	0.43	  	8	0.26	  	1	0.03	  	1208	39.72	  	8	0.26	  	19	0.62	  	216	7.1	  	2	0.07	  	2	0.07	  	263	8.65	  	5	0.16	  	1	0.03	  	3041	98.67	  	41	1.33	  	3082	3.85
PROVISIONAL		                                	80	8.41	  	4	0.42	  	1	0.11	  	3	0.32	  	213	22.4	  	1	0.11	  	3	0.32	  	2	0.21	  	2	0.21	  	505	53.1	  	7	0.74	  	4	0.42	  	66	6.94	  	0	0	  	1	0.11	  	55	5.78	  	3	0.32	  	1	0.11	  	951	96.35	  	36	3.65	  	987	1.23
Division Summary		                           	6424	8.31	  	234	0.3	  	188	0.24	  	140	0.18	  	23218	30.02	  	48	0.06	  	295	0.38	  	127	0.16	  	131	0.17	  	34375	44.44	  	364	0.47	  	537	0.69	  	5199	6.72	  	149	0.19	  	119	0.15	  	5679	7.34	  	79	0.1	  	43	0.06	  	77349	96.51	  	2796	3.49	  	80145	94.9


Stirling (84758)																																																																

	   		Group Total HAN			Group Total ASP			Group Total NP			Group Total NLP			Group Total LP			Group Total TPS			Group Total UNI			Group Total ACS			Group Total CEC			Group Total ALP			Group Total DSL			Group Total CDP			Group Total GWA			Group Total - Unendorsed Group N			Group Total - Unendorsed Group O			Group Total DEM			Group Total RPA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Balcatta		                                   	151	7.48	  	3	0.15	  	3	0.15	  	6	0.3	  	662	32.77	  	1	0.05	  	1	0.05	  	4	0.2	  	5	0.25	  	992	49.11	  	6	0.3	  	14	0.69	  	66	3.27	  	5	0.25	  	9	0.45	  	91	4.5	  	1	0.05	  	0	0	  	2020	92.66	  	160	7.34	  	2180	2.68
Balcatta Central		                           	207	6.17	  	12	0.36	  	2	0.06	  	6	0.18	  	1178	35.09	  	4	0.12	  	5	0.15	  	6	0.18	  	3	0.09	  	1619	48.23	  	10	0.3	  	16	0.48	  	104	3.1	  	3	0.09	  	0	0	  	178	5.3	  	4	0.12	  	0	0	  	3357	94.4	  	199	5.6	  	3556	4.37
Balcatta North		                             	150	6.96	  	6	0.28	  	10	0.46	  	6	0.28	  	742	34.43	  	2	0.09	  	4	0.19	  	6	0.28	  	10	0.46	  	984	45.66	  	6	0.28	  	13	0.6	  	86	3.99	  	4	0.19	  	1	0.05	  	121	5.61	  	4	0.19	  	0	0	  	2155	93.78	  	143	6.22	  	2298	2.83
Balga		                                      	323	12.82	  	9	0.36	  	4	0.16	  	2	0.08	  	446	17.7	  	0	0	  	8	0.32	  	5	0.2	  	8	0.32	  	1475	58.53	  	7	0.28	  	17	0.67	  	99	3.93	  	5	0.2	  	4	0.16	  	106	4.21	  	2	0.08	  	0	0	  	2520	95.67	  	114	4.33	  	2634	3.24
Balga North		                                	252	13.82	  	3	0.16	  	9	0.49	  	2	0.11	  	351	19.25	  	2	0.11	  	3	0.16	  	5	0.27	  	1	0.05	  	1023	56.12	  	3	0.16	  	19	1.04	  	82	4.5	  	4	0.22	  	7	0.38	  	56	3.07	  	1	0.05	  	0	0	  	1823	95.65	  	83	4.35	  	1906	2.34
Broome (Stirling)		                          	3	10.34	  	0	0	  	0	0	  	0	0	  	14	48.28	  	0	0	  	0	0	  	0	0	  	0	0	  	6	20.69	  	0	0	  	0	0	  	0	0	  	5	17.24	  	0	0	  	1	3.45	  	0	0	  	0	0	  	29	96.67	  	1	3.33	  	30	0.04
Carine		                                     	188	5.75	  	3	0.09	  	9	0.28	  	4	0.12	  	1806	55.28	  	0	0	  	13	0.4	  	1	0.03	  	1	0.03	  	694	21.24	  	17	0.52	  	15	0.46	  	171	5.23	  	5	0.15	  	4	0.12	  	332	10.16	  	4	0.12	  	0	0	  	3267	98.52	  	49	1.48	  	3316	4.08
Carnarvon (Stirling)		                       	0	0	  	0	0	  	0	0	  	0	0	  	3	18.75	  	0	0	  	0	0	  	0	0	  	0	0	  	9	56.25	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	4	25	  	0	0	  	0	0	  	16	94.12	  	1	5.88	  	17	0.02
Deanmore		                                   	86	5.83	  	0	0	  	2	0.14	  	2	0.14	  	675	45.76	  	0	0	  	0	0	  	2	0.14	  	1	0.07	  	434	29.42	  	7	0.47	  	5	0.34	  	116	7.86	  	4	0.27	  	3	0.2	  	138	9.36	  	0	0	  	0	0	  	1475	96.98	  	46	3.02	  	1521	1.87
Dianella Heights		                           	122	6.71	  	2	0.11	  	3	0.17	  	2	0.11	  	890	48.98	  	2	0.11	  	9	0.5	  	1	0.06	  	3	0.17	  	516	28.4	  	10	0.55	  	10	0.55	  	83	4.57	  	3	0.17	  	5	0.28	  	155	8.53	  	0	0	  	1	0.06	  	1817	96.96	  	57	3.04	  	1874	2.3
Dianella West		                              	83	5.56	  	0	0	  	3	0.2	  	1	0.07	  	718	48.12	  	0	0	  	4	0.27	  	3	0.2	  	1	0.07	  	467	31.3	  	5	0.34	  	7	0.47	  	66	4.42	  	2	0.13	  	4	0.27	  	121	8.11	  	5	0.34	  	2	0.13	  	1492	96.32	  	57	3.68	  	1549	1.91
Doubleview (Stirling)		                      	85	4.38	  	4	0.21	  	2	0.1	  	4	0.21	  	883	45.49	  	1	0.05	  	3	0.15	  	4	0.21	  	4	0.21	  	544	28.03	  	7	0.36	  	7	0.36	  	193	9.94	  	4	0.21	  	3	0.15	  	192	9.89	  	1	0.05	  	0	0	  	1941	97.29	  	54	2.71	  	1995	2.45
Doubleview Central		                         	27	6.92	  	1	0.26	  	2	0.51	  	1	0.26	  	142	36.41	  	0	0	  	0	0	  	2	0.51	  	0	0	  	145	37.18	  	0	0	  	0	0	  	33	8.46	  	2	0.51	  	0	0	  	35	8.97	  	0	0	  	0	0	  	390	98.24	  	7	1.76	  	397	0.49
Doubleview North		                           	154	8.1	  	7	0.37	  	1	0.05	  	5	0.26	  	720	37.85	  	0	0	  	7	0.37	  	1	0.05	  	1	0.05	  	681	35.8	  	5	0.26	  	11	0.58	  	151	7.94	  	1	0.05	  	1	0.05	  	156	8.2	  	0	0	  	0	0	  	1902	96.94	  	60	3.06	  	1962	2.41
Duncraig East (Stirling)		                   	20	8.13	  	1	0.41	  	0	0	  	0	0	  	139	56.5	  	0	0	  	1	0.41	  	1	0.41	  	1	0.41	  	48	19.51	  	1	0.41	  	0	0	  	14	5.69	  	0	0	  	0	0	  	19	7.72	  	0	0	  	1	0.41	  	246	99.19	  	2	0.81	  	248	0.31
Exmouth (Stirling)		                         	1	2.56	  	3	7.69	  	0	0	  	0	0	  	14	35.9	  	0	0	  	1	2.56	  	0	0	  	0	0	  	12	30.77	  	0	0	  	1	2.56	  	2	5.13	  	0	0	  	0	0	  	5	12.82	  	0	0	  	0	0	  	39	95.12	  	2	4.88	  	41	0.05
Hamersley		                                  	182	8.24	  	7	0.32	  	4	0.18	  	3	0.14	  	949	42.94	  	1	0.05	  	3	0.14	  	5	0.23	  	3	0.14	  	697	31.54	  	11	0.5	  	20	0.9	  	101	4.57	  	5	0.23	  	3	0.14	  	212	9.59	  	4	0.18	  	0	0	  	2210	97.49	  	57	2.51	  	2267	2.79
Hamersley East		                             	80	8.21	  	4	0.41	  	2	0.21	  	0	0	  	383	39.32	  	0	0	  	0	0	  	1	0.1	  	0	0	  	348	35.73	  	8	0.82	  	8	0.82	  	34	3.49	  	0	0	  	0	0	  	106	10.88	  	0	0	  	0	0	  	974	96.72	  	33	3.28	  	1007	1.24
Innaloo North		                              	235	9.41	  	8	0.32	  	3	0.12	  	6	0.24	  	852	34.12	  	2	0.08	  	3	0.12	  	5	0.2	  	3	0.12	  	1005	40.25	  	8	0.32	  	16	0.64	  	191	7.65	  	11	0.44	  	0	0	  	148	5.93	  	1	0.04	  	0	0	  	2497	95.82	  	109	4.18	  	2606	3.21
Kalbarri (Stirling)		                        	5	6.94	  	0	0	  	0	0	  	0	0	  	34	47.22	  	0	0	  	0	0	  	0	0	  	0	0	  	17	23.61	  	0	0	  	0	0	  	6	8.33	  	0	0	  	0	0	  	10	13.89	  	0	0	  	0	0	  	72	100	  	0	0	  	72	0.09
Karrinyup		                                  	133	5.54	  	4	0.17	  	3	0.12	  	0	0	  	1250	52.06	  	0	0	  	4	0.17	  	2	0.08	  	0	0	  	594	24.74	  	16	0.67	  	22	0.92	  	174	7.25	  	5	0.21	  	2	0.08	  	187	7.79	  	5	0.21	  	0	0	  	2401	97.17	  	70	2.83	  	2471	3.04
Lake Gwelup		                                	124	6.83	  	4	0.22	  	3	0.17	  	2	0.11	  	851	46.89	  	0	0	  	3	0.17	  	1	0.06	  	1	0.06	  	531	29.26	  	8	0.44	  	16	0.88	  	118	6.5	  	6	0.33	  	0	0	  	145	7.99	  	1	0.06	  	1	0.06	  	1815	97.58	  	45	2.42	  	1860	2.29
Marmion		                                    	105	6.54	  	2	0.12	  	5	0.31	  	3	0.19	  	826	51.43	  	1	0.06	  	0	0	  	1	0.06	  	1	0.06	  	386	24.03	  	3	0.19	  	13	0.81	  	109	6.79	  	4	0.25	  	0	0	  	146	9.09	  	0	0	  	1	0.06	  	1606	98.59	  	23	1.41	  	1629	2
Mirrabooka		                                 	174	7.56	  	5	0.22	  	5	0.22	  	7	0.3	  	594	25.79	  	1	0.04	  	14	0.61	  	4	0.17	  	4	0.17	  	1258	54.62	  	10	0.43	  	13	0.56	  	91	3.95	  	2	0.09	  	0	0	  	118	5.12	  	2	0.09	  	1	0.04	  	2303	95.2	  	116	4.8	  	2419	2.98
Mirrabooka Central		                         	149	9.13	  	2	0.12	  	2	0.12	  	0	0	  	249	15.26	  	1	0.06	  	17	1.04	  	6	0.37	  	5	0.31	  	1069	65.5	  	8	0.49	  	6	0.37	  	59	3.62	  	5	0.31	  	1	0.06	  	52	3.19	  	1	0.06	  	0	0	  	1632	97.14	  	48	2.86	  	1680	2.07
Mirrabooka East		                            	122	7.06	  	6	0.35	  	4	0.23	  	4	0.23	  	330	19.09	  	2	0.12	  	18	1.04	  	7	0.4	  	3	0.17	  	1095	63.33	  	5	0.29	  	10	0.58	  	48	2.78	  	1	0.06	  	2	0.12	  	71	4.11	  	1	0.06	  	0	0	  	1729	97.96	  	36	2.04	  	1765	2.17
Nollamara		                                  	213	10.13	  	9	0.43	  	3	0.14	  	2	0.1	  	552	26.25	  	1	0.05	  	11	0.52	  	1	0.05	  	4	0.19	  	1072	50.97	  	9	0.43	  	13	0.62	  	103	4.9	  	3	0.14	  	1	0.05	  	103	4.9	  	3	0.14	  	0	0	  	2103	95.72	  	94	4.28	  	2197	2.7
Nollamara North		                            	62	11.61	  	0	0	  	0	0	  	2	0.37	  	99	18.54	  	2	0.37	  	0	0	  	1	0.19	  	1	0.19	  	322	60.3	  	2	0.37	  	3	0.56	  	18	3.37	  	3	0.56	  	1	0.19	  	18	3.37	  	0	0	  	0	0	  	534	96.22	  	21	3.78	  	555	0.68
Noranda West (Stirling)		                    	50	4.24	  	3	0.25	  	3	0.25	  	1	0.08	  	627	53.14	  	0	0	  	1	0.08	  	2	0.17	  	2	0.17	  	363	30.76	  	4	0.34	  	2	0.17	  	39	3.31	  	0	0	  	1	0.08	  	81	6.86	  	1	0.08	  	0	0	  	1180	95.55	  	55	4.45	  	1235	1.52
North Beach		                                	152	8.1	  	5	0.27	  	3	0.16	  	1	0.05	  	842	44.86	  	1	0.05	  	1	0.05	  	1	0.05	  	0	0	  	522	27.81	  	11	0.59	  	8	0.43	  	155	8.26	  	5	0.27	  	0	0	  	169	9	  	0	0	  	1	0.05	  	1877	97.81	  	42	2.19	  	1919	2.36
North Beach Central		                        	48	6.04	  	0	0	  	3	0.38	  	1	0.13	  	400	50.31	  	0	0	  	0	0	  	1	0.13	  	1	0.13	  	202	25.41	  	6	0.75	  	9	1.13	  	54	6.79	  	4	0.5	  	1	0.13	  	64	8.05	  	1	0.13	  	0	0	  	795	97.43	  	21	2.57	  	816	1
Osborne		                                    	125	7.13	  	6	0.34	  	3	0.17	  	3	0.17	  	583	33.26	  	0	0	  	7	0.4	  	5	0.29	  	1	0.06	  	794	45.29	  	4	0.23	  	13	0.74	  	92	5.25	  	5	0.29	  	1	0.06	  	111	6.33	  	0	0	  	0	0	  	1753	95.32	  	86	4.68	  	1839	2.26
Osborne East		                               	67	7.86	  	0	0	  	2	0.23	  	1	0.12	  	333	39.08	  	2	0.23	  	2	0.23	  	1	0.12	  	2	0.23	  	346	40.61	  	3	0.35	  	2	0.23	  	35	4.11	  	1	0.12	  	1	0.12	  	53	6.22	  	0	0	  	1	0.12	  	852	95.73	  	38	4.27	  	890	1.09
Osborne Park		                               	60	7.77	  	2	0.26	  	2	0.26	  	1	0.13	  	307	39.77	  	0	0	  	0	0	  	4	0.52	  	1	0.13	  	307	39.77	  	3	0.39	  	4	0.52	  	30	3.89	  	1	0.13	  	1	0.13	  	49	6.35	  	0	0	  	0	0	  	772	93.12	  	57	6.88	  	829	1.02
Perth (Stirling)		                           	6	3.55	  	0	0	  	1	0.59	  	1	0.59	  	72	42.6	  	0	0	  	0	0	  	0	0	  	0	0	  	58	34.32	  	2	1.18	  	0	0	  	15	8.88	  	0	0	  	0	0	  	14	8.28	  	0	0	  	0	0	  	169	99.41	  	1	0.59	  	170	0.21
