Senate -  1998 Election: Victoria																																																																									
First Preference Votes by Group																																																																									
By Polling Place																																																																									


Aston (84875)																																																																									

	   		Group Total ABR			Group Total - Unendorsed Group B			Group Total DEM			Group Total UNI			Group Total GRN			Group Total SEP			Group Total NDP			Group Total ARP			Group Total AWP			Group Total DLP			Group Total ALP			Group Total LNP			Group Total FCP			Group Total CDP			Group Total FST			Group Total HAN			Group Total NLP			Group Total ASP			Group Total DSL			Group Total CEC			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
ABSENT		                                     	6	0.13	  	1	0.02	  	497	10.74	  	43	0.93	  	162	3.5	  	6	0.13	  	12	0.26	  	10	0.22	  	12	0.26	  	56	1.21	  	1509	32.62	  	2072	44.79	  	4	0.09	  	37	0.8	  	8	0.17	  	130	2.81	  	2	0.04	  	54	1.17	  	5	0.11	  	0	0	  	0	0	  	4626	97.93	  	98	2.07	  	4724	5.75
POSTAL		                                     	2	0.06	  	2	0.06	  	276	8.11	  	30	0.88	  	59	1.73	  	0	0	  	6	0.18	  	9	0.26	  	16	0.47	  	25	0.73	  	1087	31.92	  	1712	50.28	  	4	0.12	  	23	0.68	  	2	0.06	  	121	3.55	  	1	0.03	  	24	0.7	  	1	0.03	  	3	0.09	  	2	0.06	  	3405	99.07	  	32	0.93	  	3437	4.18
PRE_POLL		                                   	9	0.26	  	2	0.06	  	274	7.82	  	44	1.26	  	75	2.14	  	0	0	  	4	0.11	  	11	0.31	  	14	0.4	  	34	0.97	  	1180	33.69	  	1659	47.36	  	6	0.17	  	32	0.91	  	3	0.09	  	137	3.91	  	1	0.03	  	17	0.49	  	0	0	  	1	0.03	  	0	0	  	3503	98.56	  	51	1.44	  	3554	4.32
PROVISIONAL		                                	1	0.25	  	0	0	  	28	7.05	  	10	2.52	  	11	2.77	  	0	0	  	2	0.5	  	1	0.25	  	1	0.25	  	2	0.5	  	153	38.54	  	161	40.55	  	0	0	  	1	0.25	  	0	0	  	17	4.28	  	1	0.25	  	8	2.02	  	0	0	  	0	0	  	0	0	  	397	95.89	  	17	4.11	  	414	0.5
Division Summary		                           	141	0.18	  	35	0.04	  	8709	10.91	  	890	1.12	  	1226	1.54	  	31	0.04	  	77	0.1	  	239	0.3	  	196	0.25	  	731	0.92	  	28228	35.38	  	35696	44.73	  	83	0.1	  	484	0.61	  	69	0.09	  	2403	3.01	  	47	0.06	  	436	0.55	  	46	0.06	  	9	0.01	  	19	0.02	  	79795	97.04	  	2430	2.96	  	82225	96.88


Ballarat (81818)																																																																									

	   		Group Total ABR			Group Total - Unendorsed Group B			Group Total DEM			Group Total UNI			Group Total GRN			Group Total SEP			Group Total NDP			Group Total ARP			Group Total AWP			Group Total DLP			Group Total ALP			Group Total LNP			Group Total FCP			Group Total CTA			Group Total FST			Group Total HAN			Group Total NLP			Group Total ASP			Group Total DSL			Group Total CEC			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
