Senate -  1998 Election: Victoria																																																																									
First Preference Votes by Group																																																																									
By Polling Place																																																																									


Aston (84875)																																																																									

	   		Group Total ABR			Group Total - Unendorsed Group B			Group Total DEM			Group Total UNI			Group Total GRN			Group Total SEP			Group Total NDP			Group Total ARP			Group Total AWP			Group Total DLP			Group Total ALP			Group Total LNP			Group Total FCP			Group Total CDP			Group Total FST			Group Total HAN			Group Total NLP			Group Total ASP			Group Total DSL			Group Total CEC			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Garfield		                                   	2	0.32	  	1	0.16	  	49	7.73	  	0	0	  	11	1.74	  	0	0	  	1	0.16	  	0	0	  	2	0.32	  	8	1.26	  	159	25.08	  	326	51.42	  	0	0	  	5	0.79	  	23	3.63	  	33	5.21	  	0	0	  	13	2.05	  	1	0.16	  	0	0	  	0	0	  	634	96.35	  	24	3.65	  	658	0.83
Hallora		                                    	0	0	  	0	0	  	11	8.94	  	2	1.63	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	10	8.13	  	88	71.54	  	0	0	  	0	0	  	4	3.25	  	4	3.25	  	0	0	  	4	3.25	  	0	0	  	0	0	  	0	0	  	123	98.4	  	2	1.6	  	125	0.16
Hazelwood North		                            	0	0	  	0	0	  	46	7.38	  	3	0.48	  	8	1.28	  	1	0.16	  	0	0	  	1	0.16	  	1	0.16	  	8	1.28	  	198	31.78	  	286	45.91	  	1	0.16	  	1	0.16	  	11	1.77	  	31	4.98	  	0	0	  	26	4.17	  	1	0.16	  	0	0	  	0	0	  	623	99.2	  	5	0.8	  	628	0.79
Hill End		                                   	0	0	  	0	0	  	10	9.01	  	1	0.9	  	1	0.9	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	19	17.12	  	58	52.25	  	0	0	  	0	0	  	5	4.5	  	15	13.51	  	1	0.9	  	1	0.9	  	0	0	  	0	0	  	0	0	  	111	96.52	  	4	3.48	  	115	0.15
Iona		                                       	0	0	  	0	0	  	8	5.59	  	1	0.7	  	2	1.4	  	0	0	  	0	0	  	0	0	  	1	0.7	  	0	0	  	27	18.88	  	94	65.73	  	0	0	  	0	0	  	2	1.4	  	5	3.5	  	0	0	  	3	2.1	  	0	0	  	0	0	  	0	0	  	143	94.08	  	9	5.92	  	152	0.19
Jindivick		                                  	1	0.39	  	0	0	  	30	11.76	  	1	0.39	  	8	3.14	  	0	0	  	0	0	  	2	0.78	  	1	0.39	  	2	0.78	  	46	18.04	  	130	50.98	  	0	0	  	5	1.96	  	5	1.96	  	13	5.1	  	0	0	  	10	3.92	  	1	0.39	  	0	0	  	0	0	  	255	97.7	  	6	2.3	  	261	0.33
Labertouche		                                	1	0.47	  	0	0	  	26	12.09	  	1	0.47	  	1	0.47	  	0	0	  	0	0	  	2	0.93	  	0	0	  	2	0.93	  	37	17.21	  	119	55.35	  	2	0.93	  	1	0.47	  	6	2.79	  	9	4.19	  	0	0	  	8	3.72	  	0	0	  	0	0	  	0	0	  	215	98.62	  	3	1.38	  	218	0.28
Lillico		                                    	1	0.43	  	1	0.43	  	9	3.9	  	1	0.43	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	2	0.87	  	31	13.42	  	149	64.5	  	0	0	  	3	1.3	  	5	2.16	  	19	8.23	  	1	0.43	  	9	3.9	  	0	0	  	0	0	  	0	0	  	231	99.14	  	2	0.86	  	233	0.29
Longwarry		                                  	11	1.53	  	2	0.28	  	51	7.1	  	0	0	  	10	1.39	  	0	0	  	1	0.14	  	4	0.56	  	6	0.84	  	9	1.25	  	184	25.63	  	355	49.44	  	1	0.14	  	9	1.25	  	19	2.65	  	42	5.85	  	0	0	  	13	1.81	  	1	0.14	  	0	0	  	0	0	  	718	94.97	  	38	5.03	  	756	0.95
Maryknoll		                                  	1	0.34	  	0	0	  	23	7.88	  	1	0.34	  	6	2.05	  	0	0	  	0	0	  	0	0	  	2	0.68	  	1	0.34	  	81	27.74	  	164	56.16	  	0	0	  	1	0.34	  	8	2.74	  	3	1.03	  	0	0	  	1	0.34	  	0	0	  	0	0	  	0	0	  	292	95.11	  	15	4.89	  	307	0.39
Melbourne (McMillan)		                       	0	0	  	0	0	  	4	10.26	  	0	0	  	3	7.69	  	0	0	  	0	0	  	0	0	  	1	2.56	  	0	0	  	11	28.21	  	17	43.59	  	0	0	  	0	0	  	2	5.13	  	0	0	  	0	0	  	1	2.56	  	0	0	  	0	0	  	0	0	  	39	100	  	0	0	  	39	0.05
Moe		                                        	13	0.4	  	5	0.15	  	213	6.5	  	6	0.18	  	51	1.56	  	2	0.06	  	3	0.09	  	6	0.18	  	17	0.52	  	30	0.91	  	1772	54.04	  	795	24.25	  	5	0.15	  	11	0.34	  	71	2.17	  	207	6.31	  	2	0.06	  	68	2.07	  	0	0	  	1	0.03	  	1	0.03	  	3279	95.18	  	166	4.82	  	3445	4.35
Moe Central		                                	10	0.63	  	2	0.13	  	82	5.17	  	6	0.38	  	28	1.77	  	1	0.06	  	3	0.19	  	3	0.19	  	10	0.63	  	23	1.45	  	931	58.74	  	304	19.18	  	2	0.13	  	4	0.25	  	49	3.09	  	83	5.24	  	0	0	  	39	2.46	  	5	0.32	  	0	0	  	0	0	  	1585	96.76	  	53	3.24	  	1638	2.07
Moe West		                                   	2	0.21	  	2	0.21	  	64	6.79	  	4	0.42	  	14	1.49	  	0	0	  	1	0.11	  	2	0.21	  	1	0.11	  	9	0.96	  	520	55.2	  	216	22.93	  	1	0.11	  	4	0.42	  	26	2.76	  	48	5.1	  	1	0.11	  	25	2.65	  	2	0.21	  	0	0	  	0	0	  	942	96.71	  	32	3.29	  	974	1.23
Morwell		                                    	9	0.58	  	1	0.06	  	109	7	  	9	0.58	  	14	0.9	  	0	0	  	2	0.13	  	2	0.13	  	6	0.39	  	21	1.35	  	780	50.06	  	425	27.28	  	4	0.26	  	5	0.32	  	14	0.9	  	105	6.74	  	1	0.06	  	47	3.02	  	1	0.06	  	1	0.06	  	2	0.13	  	1558	94.71	  	87	5.29	  	1645	2.08
Morwell Central		                            	8	0.27	  	5	0.17	  	214	7.21	  	11	0.37	  	51	1.72	  	3	0.1	  	5	0.17	  	4	0.13	  	18	0.61	  	43	1.45	  	1583	53.34	  	717	24.16	  	2	0.07	  	19	0.64	  	20	0.67	  	184	6.2	  	0	0	  	80	2.7	  	0	0	  	0	0	  	1	0.03	  	2968	95.53	  	139	4.47	  	3107	3.92
Morwell Estate		                             	4	0.15	  	1	0.04	  	154	5.9	  	9	0.34	  	40	1.53	  	1	0.04	  	0	0	  	1	0.04	  	12	0.46	  	33	1.26	  	1486	56.91	  	650	24.89	  	0	0	  	9	0.34	  	18	0.69	  	126	4.83	  	0	0	  	63	2.41	  	3	0.11	  	0	0	  	1	0.04	  	2611	96.74	  	88	3.26	  	2699	3.41
Morwell North		                              	3	0.47	  	0	0	  	47	7.38	  	1	0.16	  	12	1.88	  	0	0	  	0	0	  	0	0	  	5	0.78	  	8	1.26	  	341	53.53	  	145	22.76	  	1	0.16	  	0	0	  	12	1.88	  	43	6.75	  	0	0	  	18	2.83	  	1	0.16	  	0	0	  	0	0	  	637	96.81	  	21	3.19	  	658	0.83
Nar Nar Goon		                               	6	1	  	0	0	  	51	8.49	  	1	0.17	  	8	1.33	  	0	0	  	0	0	  	0	0	  	1	0.17	  	5	0.83	  	158	26.29	  	319	53.08	  	3	0.5	  	0	0	  	7	1.16	  	32	5.32	  	1	0.17	  	9	1.5	  	0	0	  	0	0	  	0	0	  	601	96.47	  	22	3.53	  	623	0.79
Nar Nar Goon North		                         	0	0	  	0	0	  	32	13.73	  	0	0	  	5	2.15	  	0	0	  	1	0.43	  	2	0.86	  	1	0.43	  	2	0.86	  	45	19.31	  	117	50.21	  	0	0	  	3	1.29	  	4	1.72	  	19	8.15	  	1	0.43	  	1	0.43	  	0	0	  	0	0	  	0	0	  	233	96.28	  	9	3.72	  	242	0.31
Narracan		                                   	0	0	  	0	0	  	23	12.64	  	0	0	  	9	4.95	  	1	0.55	  	0	0	  	0	0	  	1	0.55	  	0	0	  	43	23.63	  	73	40.11	  	0	0	  	1	0.55	  	8	4.4	  	15	8.24	  	0	0	  	8	4.4	  	0	0	  	0	0	  	0	0	  	182	98.38	  	3	1.62	  	185	0.23
Neerim Junction		                            	0	0	  	0	0	  	21	9.86	  	0	0	  	3	1.41	  	0	0	  	0	0	  	6	2.82	  	1	0.47	  	3	1.41	  	32	15.02	  	122	57.28	  	0	0	  	5	2.35	  	5	2.35	  	11	5.16	  	0	0	  	4	1.88	  	0	0	  	0	0	  	0	0	  	213	95.52	  	10	4.48	  	223	0.28
Neerim South		                               	1	0.14	  	0	0	  	41	5.82	  	1	0.14	  	14	1.99	  	0	0	  	1	0.14	  	19	2.7	  	1	0.14	  	5	0.71	  	154	21.88	  	382	54.26	  	1	0.14	  	4	0.57	  	16	2.27	  	45	6.39	  	1	0.14	  	17	2.41	  	1	0.14	  	0	0	  	0	0	  	704	96.31	  	27	3.69	  	731	0.92
Newborough		                                 	15	0.64	  	2	0.09	  	189	8.07	  	6	0.26	  	38	1.62	  	0	0	  	2	0.09	  	3	0.13	  	9	0.38	  	39	1.67	  	1218	52.01	  	568	24.25	  	0	0	  	6	0.26	  	45	1.92	  	131	5.59	  	3	0.13	  	66	2.82	  	0	0	  	2	0.09	  	0	0	  	2342	96.3	  	90	3.7	  	2432	3.07
Newborough East		                            	5	0.39	  	3	0.23	  	67	5.19	  	0	0	  	17	1.32	  	1	0.08	  	2	0.15	  	2	0.15	  	3	0.23	  	15	1.16	  	766	59.33	  	290	22.46	  	0	0	  	6	0.46	  	30	2.32	  	68	5.27	  	0	0	  	15	1.16	  	1	0.08	  	0	0	  	0	0	  	1291	97.29	  	36	2.71	  	1327	1.68
Nilma		                                      	1	0.43	  	0	0	  	30	12.82	  	0	0	  	6	2.56	  	0	0	  	0	0	  	0	0	  	1	0.43	  	1	0.43	  	48	20.51	  	122	52.14	  	0	0	  	0	0	  	6	2.56	  	16	6.84	  	0	0	  	3	1.28	  	0	0	  	0	0	  	0	0	  	234	97.1	  	7	2.9	  	241	0.3
Noojee		                                     	0	0	  	0	0	  	7	5.34	  	0	0	  	5	3.82	  	1	0.76	  	0	0	  	1	0.76	  	0	0	  	3	2.29	  	37	28.24	  	55	41.98	  	0	0	  	0	0	  	1	0.76	  	19	14.5	  	0	0	  	2	1.53	  	0	0	  	0	0	  	0	0	  	131	92.25	  	11	7.75	  	142	0.18
Pakenham		                                   	4	0.16	  	2	0.08	  	201	7.87	  	9	0.35	  	37	1.45	  	5	0.2	  	2	0.08	  	0	0	  	11	0.43	  	28	1.1	  	850	33.27	  	1166	45.64	  	2	0.08	  	24	0.94	  	33	1.29	  	110	4.31	  	4	0.16	  	63	2.47	  	3	0.12	  	1	0.04	  	0	0	  	2555	96.31	  	98	3.69	  	2653	3.35
Pakenham Central		                           	4	0.18	  	3	0.13	  	194	8.68	  	7	0.31	  	15	0.67	  	0	0	  	7	0.31	  	4	0.18	  	12	0.54	  	30	1.34	  	687	30.72	  	1088	48.66	  	2	0.09	  	8	0.36	  	30	1.34	  	113	5.05	  	1	0.04	  	30	1.34	  	1	0.04	  	0	0	  	0	0	  	2236	95.6	  	103	4.4	  	2339	2.95
Pakenham North		                             	2	0.23	  	1	0.11	  	80	9.05	  	1	0.11	  	14	1.58	  	0	0	  	1	0.11	  	1	0.11	  	3	0.34	  	10	1.13	  	232	26.24	  	463	52.38	  	3	0.34	  	9	1.02	  	21	2.38	  	30	3.39	  	1	0.11	  	11	1.24	  	1	0.11	  	0	0	  	0	0	  	884	97.79	  	20	2.21	  	904	1.14
Pakenham South		                             	1	0.69	  	0	0	  	9	6.21	  	2	1.38	  	5	3.45	  	0	0	  	1	0.69	  	0	0	  	0	0	  	4	2.76	  	32	22.07	  	67	46.21	  	0	0	  	2	1.38	  	7	4.83	  	13	8.97	  	0	0	  	2	1.38	  	0	0	  	0	0	  	0	0	  	145	96.67	  	5	3.33	  	150	0.19
Pakenham Upper (McMillan)		                  	1	0.3	  	1	0.3	  	27	8.18	  	0	0	  	11	3.33	  	0	0	  	0	0	  	0	0	  	3	0.91	  	3	0.91	  	78	23.64	  	188	56.97	  	0	0	  	3	0.91	  	4	1.21	  	6	1.82	  	0	0	  	5	1.52	  	0	0	  	0	0	  	0	0	  	330	98.51	  	5	1.49	  	335	0.42
Rawson		                                     	0	0	  	0	0	  	13	7.65	  	0	0	  	5	2.94	  	0	0	  	0	0	  	0	0	  	1	0.59	  	1	0.59	  	66	38.82	  	57	33.53	  	0	0	  	0	0	  	1	0.59	  	11	6.47	  	0	0	  	15	8.82	  	0	0	  	0	0	  	0	0	  	170	96.59	  	6	3.41	  	176	0.22
Ripplebrook		                                	0	0	  	0	0	  	8	7.21	  	0	0	  	1	0.9	  	0	0	  	0	0	  	6	5.41	  	0	0	  	1	0.9	  	10	9.01	  	71	63.96	  	0	0	  	0	0	  	9	8.11	  	5	4.5	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	111	100	  	0	0	  	111	0.14
Rokeby		                                     	0	0	  	0	0	  	19	11.11	  	0	0	  	4	2.34	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.58	  	58	33.92	  	58	33.92	  	1	0.58	  	2	1.17	  	4	2.34	  	18	10.53	  	0	0	  	6	3.51	  	0	0	  	0	0	  	0	0	  	171	98.84	  	2	1.16	  	173	0.22
Tanjil South		                               	0	0	  	0	0	  	19	6.42	  	0	0	  	5	1.69	  	0	0	  	0	0	  	0	0	  	0	0	  	2	0.68	  	66	22.3	  	137	46.28	  	1	0.34	  	2	0.68	  	13	4.39	  	35	11.82	  	0	0	  	15	5.07	  	0	0	  	0	0	  	1	0.34	  	296	97.05	  	9	2.95	  	305	0.39
Tetoora Road		                               	2	1.6	  	0	0	  	20	16	  	0	0	  	1	0.8	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.8	  	25	20	  	61	48.8	  	0	0	  	0	0	  	3	2.4	  	12	9.6	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	125	98.43	  	2	1.57	  	127	0.16
Thorpdale		                                  	2	0.48	  	0	0	  	30	7.26	  	0	0	  	4	0.97	  	0	0	  	0	0	  	1	0.24	  	0	0	  	1	0.24	  	71	17.19	  	215	52.06	  	0	0	  	10	2.42	  	16	3.87	  	43	10.41	  	0	0	  	20	4.84	  	0	0	  	0	0	  	0	0	  	413	97.18	  	12	2.82	  	425	0.54
Toomuc Valley		                              	0	0	  	0	0	  	12	11.54	  	0	0	  	5	4.81	  	0	0	  	0	0	  	0	0	  	0	0	  	0	0	  	26	25	  	57	54.81	  	0	0	  	0	0	  	1	0.96	  	2	1.92	  	0	0	  	1	0.96	  	0	0	  	0	0	  	0	0	  	104	94.55	  	6	5.45	  	110	0.14
Trafalgar		                                  	5	0.27	  	2	0.11	  	142	7.6	  	7	0.37	  	35	1.87	  	1	0.05	  	3	0.16	  	3	0.16	  	7	0.37	  	13	0.7	  	543	29.07	  	911	48.77	  	3	0.16	  	7	0.37	  	31	1.66	  	107	5.73	  	0	0	  	47	2.52	  	1	0.05	  	0	0	  	0	0	  	1868	96.44	  	69	3.56	  	1937	2.45
Traralgon		                                  	13	0.4	  	5	0.15	  	305	9.34	  	15	0.46	  	74	2.27	  	1	0.03	  	4	0.12	  	3	0.09	  	15	0.46	  	39	1.19	  	1156	35.42	  	1347	41.27	  	10	0.31	  	11	0.34	  	28	0.86	  	166	5.09	  	2	0.06	  	65	1.99	  	4	0.12	  	0	0	  	1	0.03	  	3264	95.77	  	144	4.23	  	3408	4.3
Traralgon East		                             	10	0.32	  	2	0.06	  	227	7.24	  	9	0.29	  	48	1.53	  	1	0.03	  	7	0.22	  	4	0.13	  	19	0.61	  	37	1.18	  	1300	41.45	  	1086	34.63	  	1	0.03	  	12	0.38	  	39	1.24	  	187	5.96	  	5	0.16	  	141	4.5	  	0	0	  	1	0.03	  	0	0	  	3136	96.52	  	113	3.48	  	3249	4.1
Traralgon North		                            	9	0.23	  	3	0.08	  	346	8.68	  	18	0.45	  	52	1.3	  	1	0.03	  	5	0.13	  	1	0.03	  	15	0.38	  	31	0.78	  	1565	39.27	  	1543	38.72	  	4	0.1	  	8	0.2	  	33	0.83	  	201	5.04	  	0	0	  	146	3.66	  	3	0.08	  	0	0	  	1	0.03	  	3985	97.03	  	122	2.97	  	4107	5.19
Traralgon South		                            	0	0	  	0	0	  	47	11.06	  	1	0.24	  	8	1.88	  	0	0	  	1	0.24	  	1	0.24	  	0	0	  	7	1.65	  	135	31.76	  	148	34.82	  	0	0	  	3	0.71	  	21	4.94	  	29	6.82	  	0	0	  	24	5.65	  	0	0	  	0	0	  	0	0	  	425	99.07	  	4	0.93	  	429	0.54
Traralgon West		                             	1	0.1	  	0	0	  	81	8.31	  	0	0	  	24	2.46	  	1	0.1	  	2	0.21	  	2	0.21	  	4	0.41	  	13	1.33	  	359	36.82	  	377	38.67	  	0	0	  	0	0	  	15	1.54	  	57	5.85	  	0	0	  	37	3.79	  	2	0.21	  	0	0	  	0	0	  	975	97.7	  	23	2.3	  	998	1.26
Tyers		                                      	0	0	  	0	0	  	43	9.05	  	0	0	  	3	0.63	  	0	0	  	1	0.21	  	0	0	  	2	0.42	  	7	1.47	  	172	36.21	  	180	37.89	  	0	0	  	2	0.42	  	2	0.42	  	37	7.79	  	1	0.21	  	25	5.26	  	0	0	  	0	0	  	0	0	  	475	97.54	  	12	2.46	  	487	0.62
Tynong		                                     	1	0.34	  	0	0	  	30	10.24	  	2	0.68	  	5	1.71	  	0	0	  	3	1.02	  	0	0	  	1	0.34	  	4	1.37	  	74	25.26	  	133	45.39	  	0	0	  	2	0.68	  	9	3.07	  	25	8.53	  	0	0	  	4	1.37	  	0	0	  	0	0	  	0	0	  	293	93.91	  	19	6.09	  	312	0.39
Tynong North		                               	0	0	  	0	0	  	13	9.29	  	0	0	  	6	4.29	  	0	0	  	1	0.71	  	1	0.71	  	1	0.71	  	1	0.71	  	37	26.43	  	67	47.86	  	0	0	  	3	2.14	  	3	2.14	  	5	3.57	  	0	0	  	1	0.71	  	1	0.71	  	0	0	  	0	0	  	140	95.89	  	6	4.11	  	146	0.18
Warragul		                                   	6	0.19	  	7	0.23	  	332	10.73	  	12	0.39	  	68	2.2	  	2	0.06	  	2	0.06	  	16	0.52	  	9	0.29	  	24	0.78	  	778	25.15	  	1562	50.48	  	3	0.1	  	23	0.74	  	44	1.42	  	149	4.82	  	3	0.1	  	49	1.58	  	2	0.06	  	0	0	  	3	0.1	  	3094	97.02	  	95	2.98	  	3189	4.03
Warragul East		                              	4	0.44	  	0	0	  	46	5.09	  	2	0.22	  	17	1.88	  	1	0.11	  	1	0.11	  	2	0.22	  	3	0.33	  	9	1	  	250	27.65	  	466	51.55	  	2	0.22	  	2	0.22	  	22	2.43	  	53	5.86	  	1	0.11	  	23	2.54	  	0	0	  	0	0	  	0	0	  	904	96.48	  	33	3.52	  	937	1.18
Warragul North		                             	0	0	  	1	0.07	  	157	10.84	  	1	0.07	  	31	2.14	  	0	0	  	2	0.14	  	5	0.35	  	4	0.28	  	12	0.83	  	316	21.82	  	789	54.49	  	2	0.14	  	14	0.97	  	22	1.52	  	64	4.42	  	0	0	  	25	1.73	  	2	0.14	  	1	0.07	  	0	0	  	1448	96.66	  	50	3.34	  	1498	1.89
Willowgrove		                                	0	0	  	0	0	  	35	9.78	  	2	0.56	  	9	2.51	  	0	0	  	0	0	  	1	0.28	  	1	0.28	  	1	0.28	  	82	22.91	  	172	48.04	  	0	0	  	3	0.84	  	10	2.79	  	27	7.54	  	0	0	  	15	4.19	  	0	0	  	0	0	  	0	0	  	358	97.55	  	9	2.45	  	367	0.46
Yallourn North		                             	5	0.53	  	1	0.11	  	46	4.89	  	0	0	  	12	1.28	  	0	0	  	0	0	  	3	0.32	  	5	0.53	  	11	1.17	  	518	55.05	  	185	19.66	  	2	0.21	  	5	0.53	  	19	2.02	  	76	8.08	  	1	0.11	  	52	5.53	  	0	0	  	0	0	  	0	0	  	941	95.63	  	43	4.37	  	984	1.24
Yarragon		                                   	6	0.77	  	0	0	  	59	7.55	  	1	0.13	  	12	1.54	  	2	0.26	  	0	0	  	0	0	  	4	0.51	  	14	1.79	  	225	28.81	  	366	46.86	  	0	0	  	1	0.13	  	9	1.15	  	67	8.58	  	2	0.26	  	11	1.41	  	1	0.13	  	1	0.13	  	0	0	  	781	95.83	  	34	4.17	  	815	1.03
Yinnar		                                     	1	0.11	  	0	0	  	89	9.72	  	2	0.22	  	17	1.86	  	0	0	  	1	0.11	  	1	0.11	  	2	0.22	  	6	0.66	  	299	32.64	  	375	40.94	  	0	0	  	1	0.11	  	14	1.53	  	67	7.31	  	0	0	  	37	4.04	  	2	0.22	  	0	0	  	2	0.22	  	916	97.14	  	27	2.86	  	943	1.19
Special Hospitals		                          	1	0.2	  	1	0.2	  	13	2.65	  	1	0.2	  	2	0.41	  	0	0	  	0	0	  	2	0.41	  	3	0.61	  	3	0.61	  	206	41.96	  	234	47.66	  	0	0	  	0	0	  	7	1.43	  	15	3.05	  	1	0.2	  	1	0.2	  	1	0.2	  	0	0	  	0	0	  	491	97.23	  	14	2.77	  	505	0.64
Total Ordinary		                             	203	0.31	  	73	0.11	  	5192	8.04	  	190	0.29	  	1120	1.74	  	31	0.05	  	77	0.12	  	153	0.24	  	264	0.41	  	675	1.05	  	24255	37.57	  	25140	38.95	  	74	0.11	  	342	0.53	  	1112	1.72	  	3762	5.83	  	38	0.06	  	1776	2.75	  	45	0.07	  	11	0.02	  	18	0.03	  	64551	96.54	  	2312	3.46	  	66863	84.46
ABSENT		                                     	7	0.2	  	3	0.08	  	412	11.51	  	22	0.61	  	140	3.91	  	7	0.2	  	9	0.25	  	5	0.14	  	18	0.5	  	34	0.95	  	1230	34.35	  	1337	37.34	  	6	0.17	  	26	0.73	  	37	1.03	  	188	5.25	  	1	0.03	  	90	2.51	  	3	0.08	  	1	0.03	  	5	0.14	  	3581	98.24	  	64	1.76	  	3645	4.6
POSTAL		                                     	5	0.15	  	5	0.15	  	237	7.2	  	19	0.58	  	61	1.85	  	1	0.03	  	4	0.12	  	8	0.24	  	20	0.61	  	33	1	  	1159	35.23	  	1277	38.81	  	3	0.09	  	33	1	  	31	0.94	  	284	8.63	  	6	0.18	  	98	2.98	  	1	0.03	  	1	0.03	  	4	0.12	  	3290	99.07	  	31	0.93	  	3321	4.19
PRE_POLL		                                   	6	0.13	  	4	0.09	  	298	6.66	  	17	0.38	  	93	2.08	  	1	0.02	  	4	0.09	  	12	0.27	  	20	0.45	  	67	1.5	  	1560	34.85	  	1774	39.63	  	7	0.16	  	23	0.51	  	67	1.5	  	366	8.18	  	5	0.11	  	144	3.22	  	6	0.13	  	1	0.02	  	1	0.02	  	4476	98.9	  	50	1.1	  	4526	5.72
PROVISIONAL		                                	3	0.39	  	1	0.13	  	30	3.85	  	5	0.64	  	22	2.82	  	0	0	  	2	0.26	  	2	0.26	  	4	0.51	  	13	1.67	  	385	49.42	  	197	25.29	  	2	0.26	  	0	0	  	11	1.41	  	71	9.11	  	0	0	  	31	3.98	  	0	0	  	0	0	  	0	0	  	779	95.82	  	34	4.18	  	813	1.03
Division Summary		                           	224	0.29	  	86	0.11	  	6169	8.05	  	253	0.33	  	1436	1.87	  	40	0.05	  	96	0.13	  	180	0.23	  	326	0.43	  	822	1.07	  	28589	37.28	  	29725	38.77	  	92	0.12	  	424	0.55	  	1258	1.64	  	4671	6.09	  	50	0.07	  	2139	2.79	  	55	0.07	  	14	0.02	  	28	0.04	  	76677	96.85	  	2491	3.15	  	79168	96.61
 																																																																									


Melbourne (88798)																																																																									

	   		Group Total ABR			Group Total - Unendorsed Group B			Group Total DEM			Group Total UNI			Group Total GRN			Group Total SEP			Group Total NDP			Group Total ARP			Group Total AWP			Group Total DLP			Group Total ALP			Group Total LNP			Group Total FCP			Group Total CTA			Group Total FST			Group Total HAN			Group Total NLP			Group Total ASP			Group Total DSL			Group Total CEC			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Abbotsford		                                 	2	0.19	  	0	0	  	141	13.45	  	14	1.34	  	102	9.73	  	0	0	  	1	0.1	  	0	0	  	4	0.38	  	3	0.29	  	579	55.25	  	188	17.94	  	0	0	  	1	0.1	  	0	0	  	12	1.15	  	0	0	  	0	0	  	1	0.1	  	0	0	  	0	0	  	1048	97.31	  	29	2.69	  	1077	1.29
Ascot Vale		                                 	0	0	  	1	0.15	  	30	4.44	  	6	0.89	  	9	1.33	  	0	0	  	0	0	  	0	0	  	0	0	  	1	0.15	  	559	82.81	  	58	8.59	  	0	0	  	0	0	  	0	0	  	7	1.04	  	1	0.15	  	0	0	  	2	0.3	  	1	0.15	  	0	0	  	675	96.43	  	25	3.57	  	700	0.84
Ascot Vale Central		                         	13	0.67	  	0	0	  	233	12	  	8	0.41	  	52	2.68	  	1	0.05	  	2	0.1	  	3	0.15	  	0	0	  	14	0.72	  	1072	55.2	  	487	25.08	  	1	0.05	  	2	0.1	  	2	0.1	  	35	1.8	  	0	0	  	4	0.21	  	7	0.36	  	5	0.26	  	1	0.05	  	1942	95.52	  	91	4.48	  	2033	2.44
Ascot Vale East		                            	14	0.74	  	4	0.21	  	257	13.54	  	14	0.74	  	71	3.74	  	1	0.05	  	0	0	  	0	0	  	1	0.05	  	12	0.63	  	992	52.27	  	479	25.24	  	2	0.11	  	0	0	  	2	0.11	  	31	1.63	  	2	0.11	  	10	0.53	  	3	0.16	  	1	0.05	  	2	0.11	  	1898	93.82	  	125	6.18	  	2023	2.43
Ascot Vale West		                            	8	0.54	  	0	0	  	177	11.91	  	14	0.94	  	46	3.1	  	1	0.07	  	2	0.13	  	0	0	  	0	0	  	17	1.14	  	718	48.32	  	446	30.01	  	3	0.2	  	3	0.2	  	2	0.13	  	42	2.83	  	0	0	  	6	0.4	  	1	0.07	  	0	0	  	0	0	  	1486	95.93	  	63	4.07	  	1549	1.86
Brunswick East		                             	7	0.57	  	2	0.16	  	120	9.76	  	4	0.33	  	106	8.62	  	0	0	  	0	0	  	3	0.24	  	5	0.41	  	25	2.03	  	722	58.75	  	217	17.66	  	1	0.08	  	0	0	  	1	0.08	  	11	0.9	  	0	0	  	3	0.24	  	2	0.16	  	0	0	  	0	0	  	1229	93.67	  	83	6.33	  	1312	1.58
Brunswick South		                            	2	0.22	  	0	0	  	120	13.36	  	11	1.22	  	66	7.35	  	1	0.11	  	2	0.22	  	0	0	  	1	0.11	  	13	1.45	  	529	58.91	  	128	14.25	  	0	0	  	3	0.33	  	7	0.78	  	11	1.22	  	0	0	  	0	0	  	2	0.22	  	0	0	  	2	0.22	  	898	93.44	  	63	6.56	  	961	1.15
