Senate -  1998 Election: South Australia																																																				
First Preference Votes by Group																																																				
By Polling Place																																																				


Adelaide (82157)																																																				

	   		Group Total CDP			Group Total FST			Group Total DEM			Group Total - Unendorsed Group D			Group Total - Unendorsed Group E			Group Total LP			Group Total CEC			Group Total DSL			Group Total GRN			Group Total HAN			Group Total ALP			Group Total - Unendorsed Group L			Group Total NP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Thebarton		                                  	12	0.71	  	7	0.41	  	217	12.85	  	1	0.06	  	0	0	  	425	25.16	  	1	0.06	  	13	0.77	  	74	4.38	  	69	4.09	  	864	51.15	  	3	0.18	  	3	0.18	  	0	0	  	1689	96.4	  	63	3.6	  	1752	2.24
Unley		                                      	17	0.59	  	10	0.35	  	521	18.16	  	1	0.03	  	13	0.45	  	1256	43.78	  	2	0.07	  	16	0.56	  	119	4.15	  	85	2.96	  	821	28.62	  	4	0.14	  	4	0.14	  	0	0	  	2869	96.76	  	96	3.24	  	2965	3.79
Walkerville		                                	4	0.2	  	10	0.49	  	287	14.19	  	1	0.05	  	1	0.05	  	1216	60.11	  	1	0.05	  	7	0.35	  	46	2.27	  	79	3.91	  	361	17.84	  	6	0.3	  	3	0.15	  	1	0.05	  	2023	97.78	  	46	2.22	  	2069	2.65
Wayville		                                   	0	0	  	4	0.64	  	119	19.07	  	0	0	  	3	0.48	  	283	45.35	  	0	0	  	2	0.32	  	19	3.04	  	21	3.37	  	172	27.56	  	1	0.16	  	0	0	  	0	0	  	624	97.96	  	13	2.04	  	637	0.82
West Croydon (Adelaide)		                    	4	0.36	  	5	0.45	  	101	9.09	  	1	0.09	  	0	0	  	271	24.39	  	2	0.18	  	5	0.45	  	22	1.98	  	80	7.2	  	614	55.27	  	3	0.27	  	2	0.18	  	1	0.09	  	1111	95.36	  	54	4.64	  	1165	1.49
Special Hospitals		                          	8	1.09	  	4	0.54	  	23	3.13	  	1	0.14	  	2	0.27	  	444	60.41	  	0	0	  	4	0.54	  	7	0.95	  	21	2.86	  	217	29.52	  	0	0	  	4	0.54	  	0	0	  	735	94.96	  	39	5.04	  	774	0.99
Total Ordinary		                             	416	0.7	  	247	0.42	  	8552	14.41	  	43	0.07	  	115	0.19	  	23505	39.61	  	34	0.06	  	301	0.51	  	1691	2.85	  	3344	5.64	  	20763	34.99	  	186	0.31	  	99	0.17	  	46	0.08	  	59342	96.78	  	1974	3.22	  	61316	78.46
ABSENT		                                     	45	0.71	  	18	0.29	  	1072	16.98	  	4	0.06	  	7	0.11	  	2588	40.98	  	5	0.08	  	52	0.82	  	272	4.31	  	318	5.04	  	1905	30.17	  	10	0.16	  	17	0.27	  	2	0.03	  	6315	98.58	  	91	1.42	  	6406	8.2
POSTAL		                                     	27	0.51	  	14	0.26	  	685	12.84	  	1	0.02	  	10	0.19	  	2438	45.72	  	3	0.06	  	23	0.43	  	129	2.42	  	338	6.34	  	1623	30.43	  	19	0.36	  	19	0.36	  	4	0.08	  	5333	99.33	  	36	0.67	  	5369	6.87
PRE_POLL		                                   	18	0.45	  	5	0.12	  	657	16.32	  	2	0.05	  	10	0.25	  	1819	45.18	  	0	0	  	18	0.45	  	162	4.02	  	158	3.92	  	1151	28.59	  	9	0.22	  	13	0.32	  	4	0.1	  	4026	98.65	  	55	1.35	  	4081	5.22
PROVISIONAL		                                	6	0.63	  	5	0.52	  	138	14.48	  	1	0.1	  	1	0.1	  	282	29.59	  	1	0.1	  	7	0.73	  	57	5.98	  	42	4.41	  	409	42.92	  	2	0.21	  	2	0.21	  	0	0	  	953	97.24	  	27	2.76	  	980	1.25
Division Summary		                           	512	0.67	  	289	0.38	  	11104	14.62	  	51	0.07	  	143	0.19	  	30632	40.32	  	43	0.06	  	401	0.53	  	2311	3.04	  	4200	5.53	  	25851	34.03	  	226	0.3	  	150	0.2	  	56	0.07	  	75969	97.21	  	2183	2.79	  	78152	95.13


Barker (84771)																																																				

	   		Group Total CDP			Group Total FST			Group Total DEM			Group Total - Unendorsed Group D			Group Total - Unendorsed Group E			Group Total LP			Group Total CEC			Group Total DSL			Group Total GRN			Group Total HAN			Group Total ALP			Group Total - Unendorsed Group L			Group Total NP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Allendale East		                             	3	1.14	  	5	1.9	  	21	7.98	  	0	0	  	0	0	  	147	55.89	  	0	0	  	1	0.38	  	8	3.04	  	34	12.93	  	43	16.35	  	0	0	  	1	0.38	  	0	0	  	263	98.87	  	3	1.13	  	266	0.32
American River		                             	3	1.52	  	2	1.02	  	30	15.23	  	0	0	  	0	0	  	92	46.7	  	0	0	  	1	0.51	  	7	3.55	  	39	19.8	  	23	11.68	  	0	0	  	0	0	  	0	0	  	197	97.04	  	6	2.96	  	203	0.25
Ashbourne		                                  	1	0.87	  	0	0	  	22	19.13	  	0	0	  	0	0	  	64	55.65	  	0	0	  	1	0.87	  	2	1.74	  	3	2.61	  	21	18.26	  	0	0	  	1	0.87	  	0	0	  	115	97.46	  	3	2.54	  	118	0.14
Beachport		                                  	1	0.18	  	4	0.72	  	22	3.97	  	0	0	  	1	0.18	  	336	60.65	  	0	0	  	0	0	  	31	5.6	  	62	11.19	  	90	16.25	  	0	0	  	7	1.26	  	0	0	  	554	96.52	  	20	3.48	  	574	0.7
Bordertown		                                 	78	4.36	  	16	0.89	  	91	5.09	  	0	0	  	1	0.06	  	1140	63.76	  	1	0.06	  	7	0.39	  	27	1.51	  	124	6.94	  	265	14.82	  	1	0.06	  	36	2.01	  	1	0.06	  	1788	97.23	  	51	2.77	  	1839	2.24
Cambrai		                                    	2	0.9	  	4	1.81	  	17	7.69	  	0	0	  	0	0	  	110	49.77	  	0	0	  	0	0	  	3	1.36	  	46	20.81	  	38	17.19	  	0	0	  	1	0.45	  	0	0	  	221	97.36	  	6	2.64	  	227	0.28
Carpenter Rocks		                            	4	1.81	  	5	2.26	  	7	3.17	  	0	0	  	0	0	  	106	47.96	  	0	0	  	0	0	  	2	0.9	  	46	20.81	  	48	21.72	  	0	0	  	2	0.9	  	1	0.45	  	221	98.22	  	4	1.78	  	225	0.27
