Senate -  1998 Election: South Australia																																																				
First Preference Votes by Group																																																				
By Polling Place																																																				


Adelaide (82157)																																																				

	   		Group Total CDP			Group Total FST			Group Total DEM			Group Total - Unendorsed Group D			Group Total - Unendorsed Group E			Group Total LP			Group Total CEC			Group Total DSL			Group Total GRN			Group Total HAN			Group Total ALP			Group Total - Unendorsed Group L			Group Total NP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Cummins		                                    	3	0.42	  	27	3.8	  	22	3.1	  	1	0.14	  	1	0.14	  	507	71.41	  	0	0	  	2	0.28	  	4	0.56	  	43	6.06	  	82	11.55	  	0	0	  	18	2.54	  	0	0	  	710	98.61	  	10	1.39	  	720	0.92
Darke Peak		                                 	0	0	  	3	3.23	  	1	1.08	  	0	0	  	0	0	  	73	78.49	  	0	0	  	0	0	  	0	0	  	8	8.6	  	7	7.53	  	0	0	  	1	1.08	  	0	0	  	93	98.94	  	1	1.06	  	94	0.12
Davenport		                                  	15	0.83	  	22	1.22	  	163	9.02	  	1	0.06	  	4	0.22	  	528	29.2	  	2	0.11	  	13	0.72	  	29	1.6	  	350	19.36	  	659	36.45	  	4	0.22	  	17	0.94	  	1	0.06	  	1808	97.62	  	44	2.38	  	1852	2.35
Elliston		                                   	2	0.68	  	12	4.1	  	19	6.48	  	0	0	  	0	0	  	154	52.56	  	0	0	  	3	1.02	  	6	2.05	  	41	13.99	  	52	17.75	  	0	0	  	4	1.37	  	0	0	  	293	98.32	  	5	1.68	  	298	0.38
Farrell Flat		                               	2	1.52	  	0	0	  	6	4.55	  	0	0	  	0	0	  	92	69.7	  	0	0	  	0	0	  	0	0	  	13	9.85	  	19	14.39	  	0	0	  	0	0	  	0	0	  	132	99.25	  	1	0.75	  	133	0.17
Fisk		                                       	8	0.83	  	5	0.52	  	87	9.03	  	1	0.1	  	4	0.42	  	212	22.01	  	1	0.1	  	3	0.31	  	24	2.49	  	115	11.94	  	502	52.13	  	0	0	  	1	0.1	  	0	0	  	963	98.27	  	17	1.73	  	980	1.25
Georgetown		                                 	0	0	  	2	1.33	  	5	3.33	  	0	0	  	0	0	  	84	56	  	0	0	  	0	0	  	2	1.33	  	27	18	  	26	17.33	  	0	0	  	4	2.67	  	0	0	  	150	98.68	  	2	1.32	  	152	0.19
Gladstone		                                  	7	1.52	  	6	1.3	  	32	6.93	  	0	0	  	0	0	  	186	40.26	  	1	0.22	  	0	0	  	6	1.3	  	56	12.12	  	157	33.98	  	3	0.65	  	8	1.73	  	0	0	  	462	97.26	  	13	2.74	  	475	0.6
Hallett		                                    	2	1.43	  	3	2.14	  	9	6.43	  	0	0	  	0	0	  	81	57.86	  	0	0	  	0	0	  	3	2.14	  	22	15.71	  	19	13.57	  	0	0	  	1	0.71	  	0	0	  	140	98.59	  	2	1.41	  	142	0.18
Hawker		                                     	3	1.05	  	0	0	  	22	7.72	  	0	0	  	0	0	  	174	61.05	  	0	0	  	1	0.35	  	3	1.05	  	29	10.18	  	50	17.54	  	2	0.7	  	1	0.35	  	0	0	  	285	98.96	  	3	1.04	  	288	0.37
Iron Knob		                                  	0	0	  	1	0.74	  	7	5.15	  	0	0	  	0	0	  	40	29.41	  	1	0.74	  	0	0	  	3	2.21	  	21	15.44	  	62	45.59	  	0	0	  	1	0.74	  	0	0	  	136	98.55	  	2	1.45	  	138	0.18
Jamestown		                                  	7	0.56	  	5	0.4	  	62	4.94	  	0	0	  	1	0.08	  	853	67.97	  	1	0.08	  	1	0.08	  	14	1.12	  	111	8.84	  	185	14.74	  	0	0	  	14	1.12	  	1	0.08	  	1255	97.06	  	38	2.94	  	1293	1.64
Karkoo		                                     	0	0	  	5	7.14	  	1	1.43	  	0	0	  	0	0	  	58	82.86	  	0	0	  	0	0	  	1	1.43	  	0	0	  	3	4.29	  	0	0	  	2	2.86	  	0	0	  	70	97.22	  	2	2.78	  	72	0.09
Kimba		                                      	2	0.33	  	12	1.98	  	38	6.26	  	0	0	  	3	0.49	  	420	69.19	  	1	0.16	  	0	0	  	3	0.49	  	65	10.71	  	43	7.08	  	2	0.33	  	18	2.97	  	0	0	  	607	98.38	  	10	1.62	  	617	0.78
Kirton Point		                               	9	0.99	  	61	6.71	  	63	6.93	  	0	0	  	5	0.55	  	359	39.49	  	0	0	  	6	0.66	  	11	1.21	  	100	11	  	273	30.03	  	0	0	  	20	2.2	  	2	0.22	  	909	97.64	  	22	2.36	  	931	1.18
Laura		                                      	6	1.28	  	6	1.28	  	31	6.62	  	0	0	  	2	0.43	  	252	53.85	  	0	0	  	2	0.43	  	12	2.56	  	56	11.97	  	91	19.44	  	0	0	  	10	2.14	  	0	0	  	468	96.89	  	15	3.11	  	483	0.61
Leigh Creek		                                	6	1.63	  	2	0.54	  	30	8.15	  	1	0.27	  	0	0	  	117	31.79	  	1	0.27	  	2	0.54	  	5	1.36	  	57	15.49	  	146	39.67	  	0	0	  	1	0.27	  	0	0	  	368	97.35	  	10	2.65	  	378	0.48
Lochiel		                                    	1	1.1	  	0	0	  	5	5.49	  	0	0	  	0	0	  	59	64.84	  	0	0	  	1	1.1	  	2	2.2	  	8	8.79	  	15	16.48	  	0	0	  	0	0	  	0	0	  	91	100	  	0	0	  	91	0.12
Lock		                                       	2	0.7	  	13	4.53	  	5	1.74	  	0	0	  	0	0	  	201	70.03	  	0	0	  	0	0	  	0	0	  	33	11.5	  	29	10.1	  	4	1.39	  	0	0	  	0	0	  	287	98.29	  	5	1.71	  	292	0.37
Melrose		                                    	5	1.31	  	1	0.26	  	42	11.02	  	0	0	  	1	0.26	  	243	63.78	  	1	0.26	  	1	0.26	  	4	1.05	  	26	6.82	  	51	13.39	  	0	0	  	6	1.57	  	0	0	  	381	97.69	  	9	2.31	  	390	0.5
Minnipa		                                    	4	2.12	  	2	1.06	  	11	5.82	  	0	0	  	0	0	  	101	53.44	  	0	0	  	0	0	  	0	0	  	47	24.87	  	21	11.11	  	0	0	  	3	1.59	  	0	0	  	189	97.93	  	4	2.07	  	193	0.25
Napperby		                                   	0	0	  	1	0.22	  	35	7.74	  	0	0	  	0	0	  	173	38.27	  	0	0	  	0	0	  	12	2.65	  	63	13.94	  	162	35.84	  	0	0	  	6	1.33	  	0	0	  	452	97	  	14	3	  	466	0.59
North Shields		                              	1	0.27	  	16	4.32	  	19	5.14	  	0	0	  	0	0	  	213	57.57	  	0	0	  	0	0	  	6	1.62	  	59	15.95	  	44	11.89	  	0	0	  	12	3.24	  	0	0	  	370	98.67	  	5	1.33	  	375	0.48
Orroroo		                                    	5	1.02	  	1	0.2	  	16	3.27	  	0	0	  	1	0.2	  	327	66.87	  	0	0	  	3	0.61	  	4	0.82	  	47	9.61	  	71	14.52	  	0	0	  	13	2.66	  	1	0.2	  	489	97.8	  	11	2.2	  	500	0.64
Peterborough		                               	14	1.29	  	11	1.01	  	66	6.07	  	0	0	  	4	0.37	  	363	33.39	  	4	0.37	  	7	0.64	  	15	1.38	  	153	14.08	  	439	40.39	  	0	0	  	10	0.92	  	1	0.09	  	1087	96.62	  	38	3.38	  	1125	1.43
Pirie South		                                	2	0.44	  	3	0.67	  	44	9.78	  	1	0.22	  	0	0	  	180	40	  	1	0.22	  	3	0.67	  	3	0.67	  	38	8.44	  	165	36.67	  	0	0	  	10	2.22	  	0	0	  	450	96.15	  	18	3.85	  	468	0.59
Poochera		                                   	1	0.83	  	7	5.83	  	7	5.83	  	0	0	  	0	0	  	71	59.17	  	0	0	  	1	0.83	  	1	0.83	  	24	20	  	6	5	  	0	0	  	2	1.67	  	0	0	  	120	98.36	  	2	1.64	  	122	0.16
Port Augusta		                               	12	1.06	  	11	0.97	  	91	8.02	  	1	0.09	  	1	0.09	  	367	32.36	  	0	0	  	2	0.18	  	9	0.79	  	210	18.52	  	417	36.77	  	1	0.09	  	11	0.97	  	1	0.09	  	1134	97.09	  	34	2.91	  	1168	1.48
Port Augusta West		                          	11	0.67	  	17	1.03	  	121	7.34	  	1	0.06	  	1	0.06	  	440	26.68	  	1	0.06	  	4	0.24	  	28	1.7	  	369	22.38	  	643	38.99	  	0	0	  	10	0.61	  	3	0.18	  	1649	96.89	  	53	3.11	  	1702	2.16
Port Broughton		                             	3	0.3	  	5	0.5	  	53	5.25	  	0	0	  	0	0	  	574	56.89	  	1	0.1	  	3	0.3	  	5	0.5	  	126	12.49	  	223	22.1	  	1	0.1	  	15	1.49	  	0	0	  	1009	95.82	  	44	4.18	  	1053	1.34
Port Germein		                               	0	0	  	2	0.63	  	22	6.88	  	0	0	  	0	0	  	136	42.5	  	0	0	  	2	0.63	  	10	3.13	  	60	18.75	  	84	26.25	  	1	0.31	  	3	0.94	  	0	0	  	320	96.68	  	11	3.32	  	331	0.42
Port Kenny		                                 	0	0	  	6	3.75	  	9	5.63	  	0	0	  	0	0	  	99	61.87	  	1	0.63	  	0	0	  	2	1.25	  	31	19.38	  	12	7.5	  	0	0	  	0	0	  	0	0	  	160	96.39	  	6	3.61	  	166	0.21
Port Lincoln		                               	23	0.77	  	217	7.26	  	190	6.36	  	2	0.07	  	2	0.07	  	1489	49.82	  	0	0	  	4	0.13	  	75	2.51	  	276	9.23	  	666	22.28	  	1	0.03	  	44	1.47	  	0	0	  	2989	97.52	  	76	2.48	  	3065	3.9
Port Lincoln Central		                       	5	0.29	  	104	6.09	  	140	8.2	  	0	0	  	2	0.12	  	938	54.92	  	1	0.06	  	10	0.59	  	34	1.99	  	157	9.19	  	268	15.69	  	1	0.06	  	48	2.81	  	0	0	  	1708	97.54	  	43	2.46	  	1751	2.23
Port Lincoln South		                         	14	1.24	  	78	6.93	  	36	3.2	  	0	0	  	1	0.09	  	371	32.95	  	1	0.09	  	3	0.27	  	28	2.49	  	172	15.28	  	407	36.15	  	1	0.09	  	14	1.24	  	0	0	  	1126	97.57	  	28	2.43	  	1154	1.47
Port Neill		                                 	2	0.75	  	1	0.37	  	17	6.37	  	0	0	  	0	0	  	175	65.54	  	0	0	  	0	0	  	1	0.37	  	19	7.12	  	50	18.73	  	0	0	  	2	0.75	  	0	0	  	267	97.8	  	6	2.2	  	273	0.35
Port Pirie West		                            	13	0.7	  	23	1.23	  	127	6.8	  	0	0	  	0	0	  	424	22.71	  	2	0.11	  	8	0.43	  	27	1.45	  	196	10.5	  	1020	54.63	  	2	0.11	  	25	1.34	  	0	0	  	1867	96.59	  	66	3.41	  	1933	2.46
Quorn		                                      	4	0.56	  	3	0.42	  	47	6.58	  	2	0.28	  	2	0.28	  	351	49.16	  	0	0	  	4	0.56	  	13	1.82	  	105	14.71	  	176	24.65	  	2	0.28	  	5	0.7	  	0	0	  	714	96.23	  	28	3.77	  	742	0.94
Redhill		                                    	0	0	  	2	1.05	  	13	6.84	  	1	0.53	  	1	0.53	  	122	64.21	  	0	0	  	0	0	  	0	0	  	16	8.42	  	30	15.79	  	0	0	  	5	2.63	  	0	0	  	190	97.44	  	5	2.56	  	195	0.25
Risdon Park East		                           	12	0.42	  	25	0.86	  	243	8.41	  	3	0.1	  	7	0.24	  	992	34.31	  	2	0.07	  	9	0.31	  	31	1.07	  	266	9.2	  	1255	43.41	  	4	0.14	  	42	1.45	  	0	0	  	2891	97.14	  	85	2.86	  	2976	3.78
Risdon Park South		                          	8	0.68	  	5	0.42	  	73	6.17	  	0	0	  	0	0	  	375	31.7	  	3	0.25	  	5	0.42	  	14	1.18	  	78	6.59	  	599	50.63	  	0	0	  	23	1.94	  	0	0	  	1183	97.05	  	36	2.95	  	1219	1.55
Roxby Downs		                                	8	0.62	  	4	0.31	  	104	8.08	  	0	0	  	2	0.16	  	613	47.63	  	0	0	  	5	0.39	  	22	1.71	  	196	15.23	  	319	24.79	  	0	0	  	14	1.09	  	0	0	  	1287	98.24	  	23	1.76	  	1310	1.67
Salisbury (Grey)		                           	0	0	  	0	0	  	1	2.86	  	0	0	  	0	0	  	6	17.14	  	0	0	  	0	0	  	1	2.86	  	0	0	  	27	77.14	  	0	0	  	0	0	  	0	0	  	35	97.22	  	1	2.78	  	36	0.05
Scott		                                      	13	0.7	  	13	0.7	  	182	9.75	  	3	0.16	  	6	0.32	  	333	17.84	  	1	0.05	  	10	0.54	  	51	2.73	  	184	9.86	  	1057	56.61	  	1	0.05	  	13	0.7	  	0	0	  	1867	97.24	  	53	2.76	  	1920	2.44
Smoky Bay		                                  	0	0	  	2	1.38	  	2	1.38	  	0	0	  	0	0	  	78	53.79	  	0	0	  	0	0	  	1	0.69	  	43	29.66	  	19	13.1	  	0	0	  	0	0	  	0	0	  	145	96.03	  	6	3.97	  	151	0.19
Snowtown		                                   	2	0.54	  	1	0.27	  	23	6.22	  	0	0	  	1	0.27	  	212	57.3	  	1	0.27	  	1	0.27	  	4	1.08	  	41	11.08	  	80	21.62	  	1	0.27	  	1	0.27	  	2	0.54	  	370	95.85	  	16	4.15	  	386	0.49
Solomontown		                                	13	0.79	  	15	0.91	  	86	5.22	  	1	0.06	  	3	0.18	  	380	23.07	  	0	0	  	3	0.18	  	41	2.49	  	215	13.05	  	866	52.58	  	1	0.06	  	22	1.34	  	1	0.06	  	1647	95.92	  	70	4.08	  	1717	2.18
Spalding		                                   	1	0.39	  	2	0.78	  	17	6.61	  	0	0	  	0	0	  	157	61.09	  	0	0	  	0	0	  	3	1.17	  	24	9.34	  	49	19.07	  	0	0	  	4	1.56	  	0	0	  	257	97.35	  	7	2.65	  	264	0.34
Stirling North		                             	6	0.76	  	4	0.51	  	52	6.62	  	0	0	  	0	0	  	224	28.54	  	1	0.13	  	2	0.25	  	18	2.29	  	187	23.82	  	281	35.8	  	3	0.38	  	6	0.76	  	1	0.13	  	785	97.76	  	18	2.24	  	803	1.02
Streaky Bay		                                	7	0.91	  	15	1.95	  	41	5.33	  	0	0	  	0	0	  	463	60.21	  	1	0.13	  	1	0.13	  	18	2.34	  	120	15.6	  	98	12.74	  	0	0	  	5	0.65	  	0	0	  	769	97.47	  	20	2.53	  	789	1
Terowie		                                    	2	1.98	  	0	0	  	5	4.95	  	0	0	  	0	0	  	42	41.58	  	0	0	  	0	0	  	2	1.98	  	25	24.75	  	25	24.75	  	0	0	  	0	0	  	0	0	  	101	91.82	  	9	8.18	  	110	0.14
Tumby Bay		                                  	8	0.84	  	26	2.75	  	23	2.43	  	0	0	  	2	0.21	  	601	63.46	  	2	0.21	  	5	0.53	  	17	1.8	  	115	12.14	  	129	13.62	  	0	0	  	19	2.01	  	0	0	  	947	96.14	  	38	3.86	  	985	1.25
Ungarra		                                    	7	5.6	  	10	8	  	6	4.8	  	0	0	  	0	0	  	84	67.2	  	0	0	  	0	0	  	2	1.6	  	6	4.8	  	7	5.6	  	0	0	  	3	2.4	  	0	0	  	125	99.21	  	1	0.79	  	126	0.16
Wangary		                                    	0	0	  	5	1.98	  	13	5.14	  	0	0	  	0	0	  	164	64.82	  	0	0	  	0	0	  	6	2.37	  	24	9.49	  	38	15.02	  	0	0	  	3	1.19	  	0	0	  	253	97.31	  	7	2.69	  	260	0.33
Warramboo		                                  	1	0.99	  	3	2.97	  	3	2.97	  	0	0	  	0	0	  	71	70.3	  	0	0	  	0	0	  	0	0	  	17	16.83	  	4	3.96	  	0	0	  	2	1.98	  	0	0	  	101	98.06	  	2	1.94	  	103	0.13
Whyalla		                                    	11	1.33	  	3	0.36	  	99	11.94	  	1	0.12	  	3	0.36	  	345	41.62	  	1	0.12	  	2	0.24	  	12	1.45	  	60	7.24	  	287	34.62	  	1	0.12	  	4	0.48	  	0	0	  	829	98.46	  	13	1.54	  	842	1.07
Whyalla Norrie		                             	12	0.79	  	11	0.73	  	131	8.64	  	1	0.07	  	8	0.53	  	340	22.41	  	2	0.13	  	7	0.46	  	33	2.18	  	146	9.62	  	812	53.53	  	1	0.07	  	13	0.86	  	0	0	  	1517	97.18	  	44	2.82	  	1561	1.98
Whyalla Norrie South		                       	9	0.67	  	10	0.74	  	113	8.41	  	1	0.07	  	4	0.3	  	301	22.41	  	1	0.07	  	5	0.37	  	24	1.79	  	113	8.41	  	746	55.55	  	2	0.15	  	14	1.04	  	0	0	  	1343	98.24	  	24	1.76	  	1367	1.74
Whyalla South		                              	9	0.54	  	14	0.84	  	165	9.84	  	1	0.06	  	3	0.18	  	555	33.11	  	1	0.06	  	18	1.07	  	35	2.09	  	150	8.95	  	710	42.36	  	4	0.24	  	10	0.6	  	1	0.06	  	1676	96.88	  	54	3.12	  	1730	2.2
Whyalla Stuart		                             	11	0.96	  	4	0.35	  	105	9.13	  	0	0	  	7	0.61	  	286	24.87	  	2	0.17	  	7	0.61	  	21	1.83	  	109	9.48	  	591	51.39	  	0	0	  	6	0.52	  	1	0.09	  	1150	96.8	  	38	3.2	  	1188	1.51
Whyalla West		                               	18	1.07	  	9	0.53	  	138	8.19	  	1	0.06	  	9	0.53	  	506	30.05	  	4	0.24	  	7	0.42	  	46	2.73	  	179	10.63	  	754	44.77	  	2	0.12	  	11	0.65	  	0	0	  	1684	96.73	  	57	3.27	  	1741	2.21
Willsden		                                   	6	0.61	  	11	1.11	  	49	4.95	  	0	0	  	2	0.2	  	236	23.86	  	0	0	  	5	0.51	  	13	1.31	  	230	23.26	  	429	43.38	  	0	0	  	5	0.51	  	3	0.3	  	989	97.34	  	27	2.66	  	1016	1.29
Wilmington		                                 	1	0.24	  	4	0.95	  	25	5.97	  	0	0	  	0	0	  	230	54.89	  	0	0	  	0	0	  	6	1.43	  	70	16.71	  	77	18.38	  	0	0	  	6	1.43	  	0	0	  	419	98.59	  	6	1.41	  	425	0.54
Wirrabara		                                  	3	0.83	  	4	1.1	  	22	6.06	  	0	0	  	0	0	  	215	59.23	  	0	0	  	2	0.55	  	3	0.83	  	55	15.15	  	54	14.88	  	1	0.28	  	4	1.1	  	0	0	  	363	98.64	  	5	1.36	  	368	0.47
Wirrulla		                                   	3	2.75	  	3	2.75	  	2	1.83	  	0	0	  	0	0	  	77	70.64	  	0	0	  	0	0	  	0	0	  	19	17.43	  	4	3.67	  	0	0	  	1	0.92	  	0	0	  	109	97.32	  	3	2.68	  	112	0.14
Woomera		                                    	3	1.12	  	3	1.12	  	27	10.11	  	1	0.37	  	1	0.37	  	109	40.82	  	0	0	  	1	0.37	  	8	3	  	25	9.36	  	88	32.96	  	0	0	  	1	0.37	  	0	0	  	267	99.26	  	2	0.74	  	269	0.34
Wudinna		                                    	3	0.47	  	19	3	  	24	3.79	  	0	0	  	1	0.16	  	427	67.35	  	0	0	  	0	0	  	7	1.1	  	81	12.78	  	59	9.31	  	0	0	  	13	2.05	  	0	0	  	634	97.84	  	14	2.16	  	648	0.82
Yacka		                                      	3	2.17	  	0	0	  	12	8.7	  	0	0	  	1	0.72	  	84	60.87	  	0	0	  	0	0	  	4	2.9	  	12	8.7	  	18	13.04	  	2	1.45	  	2	1.45	  	0	0	  	138	97.87	  	3	2.13	  	141	0.18
Special Hospitals		                          	1	0.17	  	4	0.69	  	18	3.11	  	2	0.35	  	0	0	  	283	48.96	  	3	0.52	  	2	0.35	  	2	0.35	  	21	3.63	  	236	40.83	  	1	0.17	  	5	0.87	  	0	0	  	578	96.82	  	19	3.18	  	597	0.76
Remote Mobiles		                             	2	0.15	  	2	0.15	  	15	1.12	  	0	0	  	1	0.07	  	257	19.16	  	0	0	  	1	0.07	  	11	0.82	  	90	6.71	  	954	71.14	  	1	0.07	  	7	0.52	  	0	0	  	1341	98.75	  	17	1.25	  	1358	1.73
Total Ordinary		                             	436	0.71	  	1042	1.69	  	4193	6.78	  	38	0.06	  	133	0.22	  	26226	42.44	  	60	0.1	  	222	0.36	  	1002	1.62	  	7529	12.18	  	20058	32.46	  	58	0.09	  	780	1.26	  	22	0.04	  	61799	97.17	  	1803	2.83	  	63602	80.85
ABSENT		                                     	56	1.19	  	55	1.17	  	505	10.74	  	5	0.11	  	7	0.15	  	2044	43.46	  	115	2.45	  	23	0.49	  	99	2.11	  	412	8.76	  	1317	28	  	6	0.13	  	57	1.21	  	2	0.04	  	4703	98.57	  	68	1.43	  	4771	6.06
POSTAL		                                     	41	0.76	  	148	2.76	  	358	6.67	  	0	0	  	11	0.2	  	2907	54.14	  	1	0.02	  	11	0.2	  	74	1.38	  	571	10.64	  	1161	21.62	  	6	0.11	  	78	1.45	  	2	0.04	  	5369	99.46	  	29	0.54	  	5398	6.86
PRE_POLL		                                   	38	0.93	  	51	1.25	  	276	6.75	  	1	0.02	  	6	0.15	  	1550	37.9	  	5	0.12	  	13	0.32	  	92	2.25	  	567	13.86	  	1445	35.33	  	6	0.15	  	40	0.98	  	0	0	  	4090	98.67	  	55	1.33	  	4145	5.27
PROVISIONAL		                                	7	0.96	  	10	1.37	  	31	4.24	  	0	0	  	0	0	  	158	21.61	  	1	0.14	  	3	0.41	  	25	3.42	  	116	15.87	  	373	51.03	  	1	0.14	  	6	0.82	  	0	0	  	731	97.34	  	20	2.66	  	751	0.95
Division Summary		                           	578	0.75	  	1306	1.7	  	5363	6.99	  	44	0.06	  	157	0.2	  	32885	42.88	  	182	0.24	  	272	0.35	  	1292	1.68	  	9195	11.99	  	24354	31.76	  	77	0.1	  	961	1.25	  	26	0.03	  	76692	97.49	  	1975	2.51	  	78667	94.87


Hindmarsh (83627)																																																				

	   		Group Total CDP			Group Total FST			Group Total DEM			Group Total - Unendorsed Group D			Group Total - Unendorsed Group E			Group Total LP			Group Total CEC			Group Total DSL			Group Total GRN			Group Total HAN			Group Total ALP			Group Total - Unendorsed Group L			Group Total NP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Adelaide (Hindmarsh)		                       	0	0	  	0	0	  	21	19.27	  	1	0.92	  	0	0	  	32	29.36	  	0	0	  	1	0.92	  	10	9.17	  	6	5.5	  	37	33.94	  	0	0	  	1	0.92	  	0	0	  	109	99.09	  	1	0.91	  	110	0.14
Ascot Park South		                           	21	2.2	  	10	1.05	  	98	10.26	  	0	0	  	2	0.21	  	330	34.55	  	1	0.1	  	5	0.52	  	17	1.78	  	73	7.64	  	394	41.26	  	1	0.1	  	3	0.31	  	0	0	  	955	95.12	  	49	4.88	  	1004	1.25
Brooklyn Park		                              	19	1.1	  	8	0.46	  	179	10.38	  	2	0.12	  	4	0.23	  	575	33.35	  	1	0.06	  	16	0.93	  	34	1.97	  	150	8.7	  	727	42.17	  	5	0.29	  	4	0.23	  	0	0	  	1724	95.72	  	77	4.28	  	1801	2.24
Brooklyn Park South		                        	13	1.22	  	6	0.56	  	129	12.15	  	2	0.19	  	2	0.19	  	435	40.96	  	1	0.09	  	7	0.66	  	24	2.26	  	78	7.34	  	362	34.09	  	2	0.19	  	0	0	  	1	0.09	  	1062	95.33	  	52	4.67	  	1114	1.38
Camden Park		                                	7	0.54	  	8	0.62	  	128	9.88	  	0	0	  	3	0.23	  	535	41.28	  	2	0.15	  	5	0.39	  	20	1.54	  	106	8.18	  	478	36.88	  	3	0.23	  	1	0.08	  	0	0	  	1296	96.79	  	43	3.21	  	1339	1.66
Cowandilla		                                 	16	0.92	  	11	0.63	  	168	9.62	  	1	0.06	  	0	0	  	407	23.3	  	0	0	  	10	0.57	  	57	3.26	  	110	6.3	  	959	54.89	  	5	0.29	  	1	0.06	  	2	0.11	  	1747	96.15	  	70	3.85	  	1817	2.26
Cowandilla West		                            	6	1	  	3	0.5	  	80	13.33	  	0	0	  	0	0	  	191	31.83	  	1	0.17	  	4	0.67	  	9	1.5	  	33	5.5	  	268	44.67	  	2	0.33	  	3	0.5	  	0	0	  	600	95.69	  	27	4.31	  	627	0.78
Edwardstown		                                	22	1.51	  	3	0.21	  	197	13.48	  	0	0	  	3	0.21	  	486	33.26	  	0	0	  	12	0.82	  	32	2.19	  	127	8.69	  	575	39.36	  	0	0	  	1	0.07	  	3	0.21	  	1461	96.44	  	54	3.56	  	1515	1.88
Flinders Park		                              	17	0.62	  	14	0.51	  	309	11.19	  	2	0.07	  	2	0.07	  	944	34.19	  	3	0.11	  	13	0.47	  	43	1.56	  	227	8.22	  	1173	42.48	  	8	0.29	  	5	0.18	  	1	0.04	  	2761	96.1	  	112	3.9	  	2873	3.57
Forbes		                                     	18	0.78	  	15	0.65	  	296	12.82	  	2	0.09	  	2	0.09	  	805	34.88	  	0	0	  	9	0.39	  	46	1.99	  	198	8.58	  	915	39.64	  	0	0	  	1	0.04	  	1	0.04	  	2308	95.69	  	104	4.31	  	2412	3
Fulham		                                     	6	0.36	  	8	0.48	  	163	9.73	  	1	0.06	  	3	0.18	  	823	49.13	  	3	0.18	  	8	0.48	  	35	2.09	  	134	8	  	484	28.9	  	4	0.24	  	3	0.18	  	0	0	  	1675	95.33	  	82	4.67	  	1757	2.18
Fulham Gardens		                             	30	0.94	  	19	0.6	  	361	11.37	  	1	0.03	  	6	0.19	  	1165	36.69	  	0	0	  	17	0.54	  	61	1.92	  	216	6.8	  	1285	40.47	  	10	0.31	  	4	0.13	  	0	0	  	3175	96.1	  	129	3.9	  	3304	4.11
Glandore		                                   	4	0.35	  	4	0.35	  	178	15.74	  	1	0.09	  	3	0.27	  	433	38.28	  	0	0	  	5	0.44	  	36	3.18	  	86	7.6	  	378	33.42	  	0	0	  	1	0.09	  	2	0.18	  	1131	96.92	  	36	3.08	  	1167	1.45
Glenelg Central		                            	9	0.58	  	5	0.32	  	218	14.09	  	0	0	  	1	0.06	  	749	48.42	  	0	0	  	12	0.78	  	50	3.23	  	96	6.21	  	404	26.12	  	0	0	  	3	0.19	  	0	0	  	1547	96.87	  	50	3.13	  	1597	1.98
Glenelg East		                               	6	0.38	  	2	0.13	  	234	14.93	  	0	0	  	10	0.64	  	723	46.14	  	0	0	  	10	0.64	  	55	3.51	  	97	6.19	  	428	27.31	  	0	0	  	2	0.13	  	0	0	  	1567	97.75	  	36	2.25	  	1603	1.99
Glenelg North		                              	8	0.39	  	13	0.64	  	257	12.61	  	0	0	  	1	0.05	  	1008	49.46	  	0	0	  	10	0.49	  	50	2.45	  	216	10.6	  	473	23.21	  	0	0	  	1	0.05	  	1	0.05	  	2038	96.5	  	74	3.5	  	2112	2.63
Glenelg South		                              	3	0.18	  	5	0.3	  	170	10.23	  	2	0.12	  	2	0.12	  	987	59.39	  	1	0.06	  	4	0.24	  	39	2.35	  	81	4.87	  	360	21.66	  	4	0.24	  	3	0.18	  	1	0.06	  	1662	96.85	  	54	3.15	  	1716	2.13
Glengowrie		                                 	9	0.58	  	6	0.39	  	181	11.62	  	0	0	  	2	0.13	  	770	49.45	  	1	0.06	  	11	0.71	  	25	1.61	  	120	7.71	  	423	27.17	  	0	0	  	4	0.26	  	5	0.32	  	1557	97.13	  	46	2.87	  	1603	1.99
Grovene		                                    	4	0.34	  	2	0.17	  	146	12.54	  	0	0	  	3	0.26	  	642	55.15	  	1	0.09	  	5	0.43	  	29	2.49	  	65	5.58	  	264	22.68	  	1	0.09	  	2	0.17	  	0	0	  	1164	96.36	  	44	3.64	  	1208	1.5
Henley Beach		                               	17	0.82	  	12	0.58	  	317	15.31	  	0	0	  	1	0.05	  	815	39.35	  	1	0.05	  	12	0.58	  	93	4.49	  	144	6.95	  	655	31.63	  	2	0.1	  	2	0.1	  	0	0	  	2071	97.37	  	56	2.63	  	2127	2.64
