Senate -  1998 Election: Tasmania																																																	
First Preference Votes by Group																																																	
By Polling Place																																																	


Bass (65933)																																																	

	   		Group Total ACS			Group Total GRN			Group Total LP			Group Total DSL			Group Total TFP			Group Total CDP			Group Total DEM			Group Total HAR			Group Total ALP			Group Total RPA			Group Total HAN			Group Total AWP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Gretna		                                     	2	1.06	  	2	1.06	  	76	40.21	  	0	0	  	5	2.65	  	0	0	  	4	2.12	  	11	5.82	  	77	40.74	  	0	0	  	11	5.82	  	1	0.53	  	0	0	  	189	97.42	  	5	2.58	  	194	0.29
Hadspen		                                    	7	0.67	  	35	3.37	  	387	37.25	  	3	0.29	  	18	1.73	  	4	0.38	  	31	2.98	  	69	6.64	  	442	42.54	  	0	0	  	40	3.85	  	3	0.29	  	0	0	  	1039	96.11	  	42	3.89	  	1081	1.62
Hagley		                                     	0	0	  	15	4.6	  	177	54.29	  	0	0	  	13	3.99	  	1	0.31	  	11	3.37	  	22	6.75	  	68	20.86	  	0	0	  	18	5.52	  	1	0.31	  	0	0	  	326	99.09	  	3	0.91	  	329	0.49
Hamilton		                                   	3	1.78	  	2	1.18	  	53	31.36	  	0	0	  	2	1.18	  	0	0	  	1	0.59	  	13	7.69	  	87	51.48	  	1	0.59	  	7	4.14	  	0	0	  	0	0	  	169	92.35	  	14	7.65	  	183	0.28
Kelso		                                      	0	0	  	9	5.52	  	60	36.81	  	0	0	  	4	2.45	  	1	0.61	  	6	3.68	  	9	5.52	  	64	39.26	  	0	0	  	9	5.52	  	1	0.61	  	0	0	  	163	98.79	  	2	1.21	  	165	0.25
Kempton		                                    	2	0.68	  	8	2.71	  	65	22.03	  	2	0.68	  	10	3.39	  	0	0	  	5	1.69	  	18	6.1	  	167	56.61	  	1	0.34	  	17	5.76	  	0	0	  	0	0	  	295	94.25	  	18	5.75	  	313	0.47
Koonya		                                     	2	1.8	  	18	16.22	  	32	28.83	  	0	0	  	2	1.8	  	0	0	  	7	6.31	  	7	6.31	  	38	34.23	  	0	0	  	5	4.5	  	0	0	  	0	0	  	111	94.87	  	6	5.13	  	117	0.18
Lachlan		                                    	2	0.61	  	24	7.32	  	71	21.65	  	0	0	  	3	0.91	  	0	0	  	11	3.35	  	22	6.71	  	184	56.1	  	0	0	  	9	2.74	  	1	0.3	  	1	0.3	  	328	97.33	  	9	2.67	  	337	0.51
Latrobe		                                    	12	0.51	  	70	2.96	  	781	33.05	  	7	0.3	  	44	1.86	  	4	0.17	  	64	2.71	  	157	6.64	  	1104	46.72	  	1	0.04	  	84	3.55	  	10	0.42	  	25	1.06	  	2363	96.49	  	86	3.51	  	2449	3.68
Legana (Lyons)		                             	2	0.3	  	25	3.77	  	317	47.81	  	1	0.15	  	13	1.96	  	3	0.45	  	42	6.33	  	41	6.18	  	186	28.05	  	0	0	  	33	4.98	  	0	0	  	0	0	  	663	96.93	  	21	3.07	  	684	1.03
Levendale		                                  	3	2.75	  	2	1.83	  	38	34.86	  	0	0	  	4	3.67	  	0	0	  	2	1.83	  	3	2.75	  	53	48.62	  	0	0	  	3	2.75	  	1	0.92	  	0	0	  	109	97.32	  	3	2.68	  	112	0.17
Longford		                                   	12	0.6	  	71	3.57	  	675	33.9	  	0	0	  	54	2.71	  	3	0.15	  	57	2.86	  	137	6.88	  	887	44.55	  	2	0.1	  	86	4.32	  	6	0.3	  	1	0.05	  	1991	96	  	83	4	  	2074	3.12
Lower Barrington		                           	0	0	  	14	3.86	  	184	50.69	  	1	0.28	  	10	2.75	  	0	0	  	11	3.03	  	17	4.68	  	104	28.65	  	0	0	  	15	4.13	  	1	0.28	  	6	1.65	  	363	96.54	  	13	3.46	  	376	0.57
Magra		                                      	2	0.45	  	6	1.36	  	132	29.86	  	0	0	  	4	0.9	  	3	0.68	  	9	2.04	  	18	4.07	  	243	54.98	  	0	0	  	23	5.2	  	2	0.45	  	0	0	  	442	93.45	  	31	6.55	  	473	0.71
Mathinna		                                   	3	2.7	  	2	1.8	  	12	10.81	  	1	0.9	  	4	3.6	  	0	0	  	2	1.8	  	2	1.8	  	76	68.47	  	0	0	  	8	7.21	  	1	0.9	  	0	0	  	111	97.37	  	3	2.63	  	114	0.17
Maydena		                                    	2	1.03	  	11	5.67	  	39	20.1	  	0	0	  	8	4.12	  	0	0	  	5	2.58	  	14	7.22	  	100	51.55	  	0	0	  	13	6.7	  	2	1.03	  	0	0	  	194	96.52	  	7	3.48	  	201	0.3
Meander		                                    	1	0.42	  	48	20.34	  	80	33.9	  	0	0	  	18	7.63	  	0	0	  	7	2.97	  	20	8.47	  	43	18.22	  	0	0	  	18	7.63	  	0	0	  	1	0.42	  	236	97.52	  	6	2.48	  	242	0.36
Midway Point		                               	9	0.65	  	55	3.96	  	428	30.79	  	8	0.58	  	30	2.16	  	5	0.36	  	40	2.88	  	85	6.12	  	673	48.42	  	0	0	  	55	3.96	  	2	0.14	  	0	0	  	1390	96.46	  	51	3.54	  	1441	2.17
Mole Creek		                                 	5	1.26	  	24	6.03	  	162	40.7	  	2	0.5	  	27	6.78	  	1	0.25	  	12	3.02	  	16	4.02	  	111	27.89	  	1	0.25	  	37	9.3	  	0	0	  	0	0	  	398	94.99	  	21	5.01	  	419	0.63
Molesworth		                                 	1	0.4	  	21	8.47	  	68	27.42	  	2	0.81	  	5	2.02	  	1	0.4	  	9	3.63	  	18	7.26	  	110	44.35	  	0	0	  	12	4.84	  	0	0	  	1	0.4	  	248	98.41	  	4	1.59	  	252	0.38
Moriarty		                                   	0	0	  	11	4.64	  	119	50.21	  	0	0	  	12	5.06	  	0	0	  	5	2.11	  	24	10.13	  	43	18.14	  	0	0	  	15	6.33	  	1	0.42	  	7	2.95	  	237	97.93	  	5	2.07	  	242	0.36
New Norfolk		                                	15	0.63	  	71	2.97	  	527	22.02	  	3	0.13	  	27	1.13	  	2	0.08	  	73	3.05	  	147	6.14	  	1430	59.76	  	4	0.17	  	89	3.72	  	5	0.21	  	0	0	  	2393	95.76	  	106	4.24	  	2499	3.76
New Norfolk North		                          	5	0.52	  	16	1.65	  	183	18.89	  	2	0.21	  	17	1.75	  	0	0	  	15	1.55	  	65	6.71	  	633	65.33	  	3	0.31	  	28	2.89	  	1	0.1	  	1	0.1	  	969	95.28	  	48	4.72	  	1017	1.53
Nubeena		                                    	2	0.41	  	31	6.29	  	133	26.98	  	1	0.2	  	15	3.04	  	0	0	  	20	4.06	  	25	5.07	  	240	48.68	  	0	0	  	22	4.46	  	4	0.81	  	0	0	  	493	97.62	  	12	2.38	  	505	0.76
Oatlands		                                   	5	0.81	  	19	3.06	  	234	37.74	  	0	0	  	23	3.71	  	0	0	  	14	2.26	  	36	5.81	  	261	42.1	  	0	0	  	26	4.19	  	1	0.16	  	1	0.16	  	620	97.33	  	17	2.67	  	637	0.96
Orford		                                     	1	0.22	  	17	3.75	  	208	45.92	  	1	0.22	  	13	2.87	  	0	0	  	10	2.21	  	21	4.64	  	155	34.22	  	0	0	  	26	5.74	  	1	0.22	  	0	0	  	453	97.42	  	12	2.58	  	465	0.7
Ouse		                                       	4	1.53	  	7	2.67	  	71	27.1	  	0	0	  	6	2.29	  	0	0	  	5	1.91	  	13	4.96	  	144	54.96	  	0	0	  	12	4.58	  	0	0	  	0	0	  	262	94.24	  	16	5.76	  	278	0.42
Parattah		                                   	3	1.88	  	3	1.88	  	39	24.38	  	0	0	  	10	6.25	  	0	0	  	2	1.25	  	9	5.63	  	84	52.5	  	0	0	  	9	5.63	  	0	0	  	1	0.63	  	160	95.24	  	8	4.76	  	168	0.25
Perth		                                      	11	0.7	  	43	2.73	  	546	34.69	  	0	0	  	71	4.51	  	2	0.13	  	44	2.8	  	104	6.61	  	673	42.76	  	0	0	  	73	4.64	  	6	0.38	  	1	0.06	  	1574	96.98	  	49	3.02	  	1623	2.44
Pontville		                                  	6	1.44	  	14	3.37	  	133	31.97	  	1	0.24	  	19	4.57	  	2	0.48	  	18	4.33	  	13	3.13	  	197	47.36	  	0	0	  	13	3.13	  	0	0	  	0	0	  	416	96.3	  	16	3.7	  	432	0.65
Port Arthur		                                	1	0.57	  	10	5.75	  	50	28.74	  	0	0	  	6	3.45	  	0	0	  	1	0.57	  	11	6.32	  	80	45.98	  	0	0	  	14	8.05	  	1	0.57	  	0	0	  	174	98.31	  	3	1.69	  	177	0.27
Port Sorell		                                	8	0.5	  	84	5.24	  	619	38.59	  	7	0.44	  	20	1.25	  	1	0.06	  	50	3.12	  	92	5.74	  	612	38.15	  	1	0.06	  	79	4.93	  	2	0.12	  	29	1.81	  	1604	97.51	  	41	2.49	  	1645	2.47
Primrose Sands		                             	3	0.8	  	6	1.6	  	51	13.56	  	1	0.27	  	14	3.72	  	1	0.27	  	6	1.6	  	22	5.85	  	251	66.76	  	1	0.27	  	20	5.32	  	0	0	  	0	0	  	376	96.41	  	14	3.59	  	390	0.59
Pyengana		                                   	0	0	  	16	12.9	  	52	41.94	  	2	1.61	  	3	2.42	  	0	0	  	1	0.81	  	7	5.65	  	39	31.45	  	0	0	  	4	3.23	  	0	0	  	0	0	  	124	97.64	  	3	2.36	  	127	0.19
Queenstown		                                 	16	1.19	  	18	1.34	  	426	31.77	  	5	0.37	  	18	1.34	  	2	0.15	  	27	2.01	  	73	5.44	  	694	51.75	  	2	0.15	  	52	3.88	  	6	0.45	  	2	0.15	  	1341	96.06	  	55	3.94	  	1396	2.1
Railton		                                    	9	1.18	  	21	2.75	  	236	30.89	  	3	0.39	  	31	4.06	  	1	0.13	  	18	2.36	  	45	5.89	  	345	45.16	  	3	0.39	  	44	5.76	  	2	0.26	  	6	0.79	  	764	96.1	  	31	3.9	  	795	1.19
Richmond		                                   	2	0.22	  	60	6.49	  	359	38.81	  	1	0.11	  	27	2.92	  	3	0.32	  	38	4.11	  	60	6.49	  	337	36.43	  	0	0	  	36	3.89	  	1	0.11	  	1	0.11	  	925	97.47	  	24	2.53	  	949	1.43
Rosebery		                                   	4	0.7	  	8	1.41	  	118	20.74	  	4	0.7	  	8	1.41	  	2	0.35	  	13	2.28	  	30	5.27	  	333	58.52	  	1	0.18	  	46	8.08	  	2	0.35	  	0	0	  	569	97.93	  	12	2.07	  	581	0.87
Ross		                                       	1	0.32	  	8	2.59	  	101	32.69	  	1	0.32	  	13	4.21	  	1	0.32	  	1	0.32	  	12	3.88	  	151	48.87	  	1	0.32	  	17	5.5	  	2	0.65	  	0	0	  	309	98.1	  	6	1.9	  	315	0.47
Rossarden		                                  	1	2.38	  	1	2.38	  	14	33.33	  	0	0	  	1	2.38	  	0	0	  	0	0	  	2	4.76	  	17	40.48	  	0	0	  	6	14.29	  	0	0	  	0	0	  	42	95.45	  	2	4.55	  	44	0.07
St Helens		                                  	11	0.67	  	111	6.76	  	520	31.69	  	4	0.24	  	33	2.01	  	8	0.49	  	70	4.27	  	92	5.61	  	653	39.79	  	4	0.24	  	132	8.04	  	1	0.06	  	2	0.12	  	1641	95.74	  	73	4.26	  	1714	2.58
St Marys		                                   	8	1.35	  	56	9.43	  	87	14.65	  	1	0.17	  	23	3.87	  	0	0	  	16	2.69	  	22	3.7	  	348	58.59	  	1	0.17	  	32	5.39	  	0	0	  	0	0	  	594	96.43	  	22	3.57	  	616	0.93
Saltwater River		                            	0	0	  	0	0	  	37	33.04	  	2	1.79	  	3	2.68	  	0	0	  	5	4.46	  	6	5.36	  	53	47.32	  	0	0	  	5	4.46	  	1	0.89	  	0	0	  	112	94.92	  	6	5.08	  	118	0.18
Sassafras		                                  	0	0	  	3	1.46	  	134	65.37	  	0	0	  	10	4.88	  	0	0	  	2	0.98	  	9	4.39	  	35	17.07	  	0	0	  	9	4.39	  	0	0	  	3	1.46	  	205	96.7	  	7	3.3	  	212	0.32
Scamander		                                  	3	0.5	  	33	5.54	  	139	23.32	  	3	0.5	  	5	0.84	  	5	0.84	  	13	2.18	  	25	4.19	  	332	55.7	  	0	0	  	33	5.54	  	4	0.67	  	1	0.17	  	596	97.39	  	16	2.61	  	612	0.92
Sheffield		                                  	6	0.54	  	59	5.3	  	404	36.27	  	2	0.18	  	18	1.62	  	2	0.18	  	42	3.77	  	82	7.36	  	418	37.52	  	2	0.18	  	67	6.01	  	2	0.18	  	10	0.9	  	1114	96.03	  	46	3.97	  	1160	1.74
Sidmouth		                                   	0	0	  	30	6.17	  	191	39.3	  	1	0.21	  	13	2.67	  	4	0.82	  	30	6.17	  	39	8.02	  	147	30.25	  	0	0	  	30	6.17	  	1	0.21	  	0	0	  	486	97.39	  	13	2.61	  	499	0.75
Sorell		                                     	11	0.6	  	77	4.23	  	632	34.74	  	3	0.16	  	47	2.58	  	5	0.27	  	62	3.41	  	135	7.42	  	770	42.33	  	2	0.11	  	60	3.3	  	11	0.6	  	4	0.22	  	1819	96.09	  	74	3.91	  	1893	2.84
Strahan		                                    	7	1.69	  	19	4.59	  	127	30.68	  	4	0.97	  	18	4.35	  	0	0	  	14	3.38	  	24	5.8	  	176	42.51	  	0	0	  	23	5.56	  	2	0.48	  	0	0	  	414	97.41	  	11	2.59	  	425	0.64
Swansea		                                    	3	0.46	  	21	3.25	  	222	34.37	  	1	0.15	  	21	3.25	  	0	0	  	22	3.41	  	45	6.97	  	287	44.43	  	0	0	  	22	3.41	  	2	0.31	  	0	0	  	646	96.56	  	23	3.44	  	669	1.01
Tea Tree		                                   	4	2.4	  	9	5.39	  	74	44.31	  	1	0.6	  	5	2.99	  	0	0	  	5	2.99	  	16	9.58	  	40	23.95	  	0	0	  	11	6.59	  	2	1.2	  	0	0	  	167	97.66	  	4	2.34	  	171	0.26
Triabunna		                                  	3	0.44	  	8	1.18	  	205	30.19	  	2	0.29	  	49	7.22	  	0	0	  	9	1.33	  	32	4.71	  	326	48.01	  	0	0	  	43	6.33	  	2	0.29	  	0	0	  	679	96.31	  	26	3.69	  	705	1.06
Tullah		                                     	1	0.71	  	4	2.86	  	29	20.71	  	0	0	  	1	0.71	  	0	0	  	0	0	  	18	12.86	  	75	53.57	  	1	0.71	  	10	7.14	  	0	0	  	1	0.71	  	140	95.89	  	6	4.11	  	146	0.22
Tunbridge		                                  	0	0	  	3	3.13	  	24	25	  	0	0	  	1	1.04	  	0	0	  	0	0	  	7	7.29	  	56	58.33	  	2	2.08	  	3	3.13	  	0	0	  	0	0	  	96	96.97	  	3	3.03	  	99	0.15
Tunnack		                                    	2	0.87	  	0	0	  	95	41.48	  	0	0	  	17	7.42	  	0	0	  	3	1.31	  	9	3.93	  	95	41.48	  	0	0	  	6	2.62	  	2	0.87	  	0	0	  	229	93.47	  	16	6.53	  	245	0.37
Wayatinah		                                  	1	2.13	  	1	2.13	  	11	23.4	  	0	0	  	3	6.38	  	0	0	  	1	2.13	  	2	4.26	  	28	59.57	  	0	0	  	0	0	  	0	0	  	0	0	  	47	94	  	3	6	  	50	0.08
Wesley Vale		                                	1	0.3	  	35	10.36	  	160	47.34	  	0	0	  	12	3.55	  	0	0	  	7	2.07	  	18	5.33	  	76	22.49	  	0	0	  	17	5.03	  	1	0.3	  	11	3.25	  	338	96.85	  	11	3.15	  	349	0.52
Westbury		                                   	10	0.86	  	56	4.79	  	439	37.59	  	0	0	  	34	2.91	  	2	0.17	  	33	2.83	  	91	7.79	  	432	36.99	  	2	0.17	  	60	5.14	  	6	0.51	  	3	0.26	  	1168	93.37	  	83	6.63	  	1251	1.88
Westerway		                                  	5	2.42	  	5	2.42	  	60	28.99	  	0	0	  	2	0.97	  	0	0	  	5	2.42	  	5	2.42	  	107	51.69	  	2	0.97	  	15	7.25	  	1	0.48	  	0	0	  	207	89.61	  	24	10.39	  	231	0.35
West Kentish		                               	1	0.57	  	12	6.82	  	83	47.16	  	1	0.57	  	4	2.27	  	0	0	  	9	5.11	  	6	3.41	  	48	27.27	  	0	0	  	11	6.25	  	0	0	  	1	0.57	  	176	97.24	  	5	2.76	  	181	0.27
Whitemore		                                  	1	0.96	  	1	0.96	  	70	67.31	  	0	0	  	0	0	  	0	0	  	2	1.92	  	13	12.5	  	17	16.35	  	0	0	  	0	0	  	0	0	  	0	0	  	104	93.69	  	7	6.31	  	111	0.17
Wilmot		                                     	1	0.37	  	17	6.34	  	101	37.69	  	0	0	  	8	2.99	  	0	0	  	11	4.1	  	18	6.72	  	80	29.85	  	0	0	  	30	11.19	  	2	0.75	  	0	0	  	268	94.04	  	17	5.96	  	285	0.43
Zeehan		                                     	7	1.39	  	8	1.59	  	138	27.49	  	3	0.6	  	7	1.39	  	0	0	  	3	0.6	  	27	5.38	  	277	55.18	  	1	0.2	  	27	5.38	  	3	0.6	  	1	0.2	  	502	97.48	  	13	2.52	  	515	0.77
Special Hospitals		                          	3	1.39	  	6	2.78	  	68	31.48	  	1	0.46	  	2	0.93	  	1	0.46	  	1	0.46	  	18	8.33	  	108	50	  	1	0.46	  	5	2.31	  	2	0.93	  	0	0	  	216	98.18	  	4	1.82	  	220	0.33
Total Ordinary		                             	365	0.66	  	2558	4.59	  	18255	32.77	  	127	0.23	  	1511	2.71	  	121	0.22	  	1658	2.98	  	3425	6.15	  	24509	43.99	  	52	0.09	  	2828	5.08	  	160	0.29	  	145	0.26	  	55714	96.2	  	2198	3.8	  	57912	87.03
ABSENT		                                     	25	0.67	  	275	7.35	  	1253	33.48	  	9	0.24	  	95	2.54	  	13	0.35	  	116	3.1	  	230	6.14	  	1551	41.44	  	1	0.03	  	149	3.98	  	15	0.4	  	11	0.29	  	3743	98.24	  	67	1.76	  	3810	5.73
POSTAL		                                     	8	0.28	  	123	4.32	  	970	34.08	  	5	0.18	  	103	3.62	  	16	0.56	  	73	2.57	  	205	7.2	  	1148	40.34	  	2	0.07	  	178	6.25	  	3	0.11	  	12	0.42	  	2846	98.58	  	41	1.42	  	2887	4.34
PRE_POLL		                                   	3	0.17	  	138	8	  	633	36.67	  	4	0.23	  	50	2.9	  	14	0.81	  	72	4.17	  	80	4.63	  	602	34.88	  	2	0.12	  	117	6.78	  	9	0.52	  	2	0.12	  	1726	98.4	  	28	1.6	  	1754	2.64
PROVISIONAL		                                	3	1.76	  	12	7.06	  	38	22.35	  	0	0	  	4	2.35	  	2	1.18	  	4	2.35	  	3	1.76	  	95	55.88	  	0	0	  	8	4.71	  	1	0.59	  	0	0	  	170	96.05	  	7	3.95	  	177	0.27
Division Summary		                           	404	0.63	  	3106	4.84	  	21149	32.94	  	145	0.23	  	1763	2.75	  	166	0.26	  	1923	3	  	3943	6.14	  	27905	43.47	  	57	0.09	  	3280	5.11	  	188	0.29	  	170	0.26	  	64199	96.48	  	2341	3.52	  	66540	96.94
