Senate -  1998 Election: Tasmania																																																	
First Preference Votes by Group																																																	
By Polling Place																																																	


Bass (65933)																																																	

	   		Group Total ACS			Group Total GRN			Group Total LP			Group Total DSL			Group Total TFP			Group Total CDP			Group Total DEM			Group Total HAR			Group Total ALP			Group Total RPA			Group Total HAN			Group Total AWP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Devonport Central		                          	13	0.74	  	92	5.24	  	747	42.52	  	9	0.51	  	18	1.02	  	2	0.11	  	51	2.9	  	130	7.4	  	613	34.89	  	0	0	  	52	2.96	  	3	0.17	  	27	1.54	  	1757	96.54	  	63	3.46	  	1820	3.02
Devonport East		                             	23	1.01	  	57	2.5	  	617	27.05	  	9	0.39	  	27	1.18	  	15	0.66	  	44	1.93	  	129	5.66	  	1230	53.92	  	3	0.13	  	86	3.77	  	1	0.04	  	40	1.75	  	2281	95.48	  	108	4.52	  	2389	3.96
Devonport North		                            	1	0.13	  	21	2.77	  	328	43.21	  	1	0.13	  	2	0.26	  	1	0.13	  	13	1.71	  	51	6.72	  	301	39.66	  	2	0.26	  	20	2.64	  	4	0.53	  	14	1.84	  	759	95.71	  	34	4.29	  	793	1.31
Devonport South		                            	13	0.73	  	56	3.15	  	605	34.07	  	4	0.23	  	30	1.69	  	3	0.17	  	38	2.14	  	107	6.02	  	826	46.51	  	0	0	  	64	3.6	  	6	0.34	  	24	1.35	  	1776	96.68	  	61	3.32	  	1837	3.05
Don		                                        	1	0.17	  	29	4.91	  	259	43.82	  	3	0.51	  	6	1.02	  	1	0.17	  	12	2.03	  	41	6.94	  	213	36.04	  	0	0	  	18	3.05	  	0	0	  	8	1.35	  	591	96.89	  	19	3.11	  	610	1.01
Edith Creek		                                	2	1.15	  	6	3.45	  	75	43.1	  	1	0.57	  	3	1.72	  	0	0	  	7	4.02	  	8	4.6	  	47	27.01	  	0	0	  	24	13.79	  	1	0.57	  	0	0	  	174	99.43	  	1	0.57	  	175	0.29
Elliott		                                    	1	0.47	  	18	8.45	  	75	35.21	  	0	0	  	8	3.76	  	3	1.41	  	15	7.04	  	20	9.39	  	65	30.52	  	0	0	  	5	2.35	  	2	0.94	  	1	0.47	  	213	97.26	  	6	2.74	  	219	0.36
Forest		                                     	2	0.51	  	10	2.53	  	200	50.51	  	0	0	  	9	2.27	  	1	0.25	  	10	2.53	  	25	6.31	  	111	28.03	  	0	0	  	28	7.07	  	0	0	  	0	0	  	396	98.75	  	5	1.25	  	401	0.66
Forth		                                      	3	0.4	  	58	7.79	  	376	50.47	  	2	0.27	  	8	1.07	  	2	0.27	  	26	3.49	  	65	8.72	  	163	21.88	  	0	0	  	27	3.62	  	1	0.13	  	14	1.88	  	745	97.39	  	20	2.61	  	765	1.27
Gawler		                                     	3	0.81	  	19	5.11	  	163	43.82	  	1	0.27	  	7	1.88	  	1	0.27	  	14	3.76	  	47	12.63	  	95	25.54	  	0	0	  	18	4.84	  	1	0.27	  	3	0.81	  	372	92.31	  	31	7.69	  	403	0.67
Grassy		                                     	0	0	  	9	7.38	  	60	49.18	  	0	0	  	0	0	  	1	0.82	  	3	2.46	  	5	4.1	  	30	24.59	  	0	0	  	13	10.66	  	1	0.82	  	0	0	  	122	96.83	  	4	3.17	  	126	0.21
Gunns Plains		                               	0	0	  	14	13.33	  	38	36.19	  	0	0	  	1	0.95	  	0	0	  	2	1.9	  	6	5.71	  	34	32.38	  	0	0	  	9	8.57	  	0	0	  	1	0.95	  	105	99.06	  	1	0.94	  	106	0.18
Havenview		                                  	4	0.77	  	17	3.27	  	142	27.31	  	2	0.38	  	5	0.96	  	0	0	  	22	4.23	  	37	7.12	  	270	51.92	  	0	0	  	20	3.85	  	1	0.19	  	0	0	  	520	97.01	  	16	2.99	  	536	0.89
Highclere		                                  	3	2.11	  	4	2.82	  	50	35.21	  	0	0	  	1	0.7	  	1	0.7	  	0	0	  	11	7.75	  	65	45.77	  	0	0	  	7	4.93	  	0	0	  	0	0	  	142	95.95	  	6	4.05	  	148	0.25
Irishtown		                                  	0	0	  	2	0.72	  	143	51.25	  	0	0	  	1	0.36	  	1	0.36	  	4	1.43	  	15	5.38	  	95	34.05	  	0	0	  	10	3.58	  	2	0.72	  	6	2.15	  	279	98.24	  	5	1.76	  	284	0.47
Lileah		                                     	0	0	  	2	2.94	  	35	51.47	  	1	1.47	  	1	1.47	  	0	0	  	3	4.41	  	4	5.88	  	17	25	  	0	0	  	4	5.88	  	0	0	  	1	1.47	  	68	97.14	  	2	2.86	  	70	0.12
Malonga Park		                               	1	0.1	  	32	3.13	  	403	39.36	  	0	0	  	4	0.39	  	2	0.2	  	38	3.71	  	132	12.89	  	375	36.62	  	0	0	  	29	2.83	  	3	0.29	  	5	0.49	  	1024	97.43	  	27	2.57	  	1051	1.74
Marrawah		                                   	1	0.43	  	17	7.33	  	107	46.12	  	0	0	  	1	0.43	  	0	0	  	8	3.45	  	11	4.74	  	55	23.71	  	0	0	  	29	12.5	  	1	0.43	  	2	0.86	  	232	97.48	  	6	2.52	  	238	0.39
Mawbanna		                                   	0	0	  	0	0	  	39	69.64	  	0	0	  	1	1.79	  	0	0	  	1	1.79	  	3	5.36	  	11	19.64	  	0	0	  	1	1.79	  	0	0	  	0	0	  	56	94.92	  	3	5.08	  	59	0.1
Melrose		                                    	1	0.64	  	16	10.19	  	66	42.04	  	1	0.64	  	5	3.18	  	0	0	  	3	1.91	  	14	8.92	  	40	25.48	  	0	0	  	7	4.46	  	0	0	  	4	2.55	  	157	97.52	  	4	2.48	  	161	0.27
