House of Representatives - 2001 Election: Victoria																																																					
First Preference Votes and TCP 																																																					
By Candidate by Polling Place																																																					

Gippsland (83845)																																																					
	JAGO			FRESHWATER			MCCUBBIN			EVANS			BUCKLEY			THORPE			WILLIAMS			BOLITHO			TREASURE			# MCGAURAN			ROBINSON			AITKEN			FORMAL			INFORMAL			TOTAL										
	John			Michael			Jo			Phillip J			Ben			Marjorie			Frank			Bill			Doug			Peter			Phillip			Chris												Two Candidate Preferred							
	IND			HAN			DEM			IND			IND			IND			CEC			ALP			IND			NP			IND			GRN												 BOLITHO ALP			# MCGAURAN NP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Maffra	77	2.93		97	3.70		105	4.00		45	1.71		25	0.95		20	0.76		6	0.23		695	26.49		209	7.96		1281	48.82		3	0.11		61	2.32		2624	94.35		157	5.65		2781	3.32		1038	39.56		1586	60.44
Mallacoota	7	1.12		22	3.51		47	7.51		7	1.12		5	0.80		7	1.12		1	0.16		187	29.87		29	4.63		226	36.10		1	0.16		87	13.90		626	94.70		35	5.30		661	0.79		323	51.60		303	48.40
Mardan	4	3.92		2	1.96		2	1.96		0	0.00		1	0.98		1	0.98		0	0.00		7	6.86		7	6.86		74	72.55		0	0.00		4	3.92		102	99.03		1	0.97		103	0.12		19	18.63		83	81.37
Marlo	3	0.95		20	6.31		10	3.15		7	2.21		8	2.52		4	1.26		0	0.00		105	33.12		15	4.73		131	41.32		1	0.32		13	4.10		317	94.07		20	5.93		337	0.40		147	46.37		170	53.63
Meeniyan	7	0.99		52	7.39		9	1.28		1	0.14		10	1.42		2	0.28		2	0.28		144	20.45		41	5.82		356	50.57		1	0.14		79	11.22		704	94.50		41	5.50		745	0.89		267	37.93		437	62.07
Meerlieu	3	2.31		5	3.85		8	6.15		11	8.46		0	0.00		2	1.54		0	0.00		15	11.54		15	11.54		69	53.08		1	0.77		1	0.77		130	97.74		3	2.26		133	0.16		39	30.00		91	70.00
Melbourne (Gippsland)	1	1.49		2	2.99		9	13.43		0	0.00		0	0.00		0	0.00		0	0.00		10	14.93		3	4.48		31	46.27		2	2.99		9	13.43		67	97.10		2	2.90		69	0.08		28	41.79		39	58.21
Metung	2	0.37		17	3.13		30	5.51		4	0.74		3	0.55		9	1.65		0	0.00		118	21.69		20	3.68		301	55.33		6	1.10		34	6.25		544	95.94		23	4.06		567	0.68		198	36.40		346	63.60
Mirboo North	23	1.70		70	5.17		71	5.24		27	1.99		4	0.30		14	1.03		0	0.00		396	29.25		73	5.39		541	39.96		5	0.37		130	9.60		1354	93.19		99	6.81		1453	1.73		649	47.93		705	52.07
Mount Eccles	3	2.21		5	3.68		8	5.88		2	1.47		4	2.94		0	0.00		0	0.00		20	14.71		23	16.91		60	44.12		3	2.21		8	5.88		136	97.14		4	2.86		140	0.17		39	28.68		97	71.32
