House of Representatives - 2001 Election: Victoria							
Swing to ALP							
By Division by Polling Place						
							
Aston							
							
Polling Place	Formal	BOLAND		PEARCE		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Rokeby	197	82	41.62	115	58.38	-12.86
Special Hospital Team 1	181	91	50.28	90	49.72	-5.75
Special Hospital Team 2	220	72	32.73	148	67.27	3.45
Special Hospital Team 3	141	90	63.83	51	36.17	12.13
Special Hospital Team 4	81	44	54.32	37	45.68	-5.25
Tanjil South	285	115	40.35	170	59.65	2.72
Tetoora Road	135	56	41.48	79	58.52	4.47
Thorpdale	426	144	33.80	282	66.20	0.78
Toomuc Valley	106	33	31.13	73	68.87	-3.15
Trafalgar	1966	922	46.90	1044	53.10	5.24
Traralgon	3851	1896	49.23	1955	50.77	0.03
Traralgon East	3186	1845	57.91	1341	42.09	0.87
Traralgon North	4005	2171	54.21	1834	45.79	2.08
Traralgon South	458	246	53.71	212	46.29	0.25
Traralgon West	1031	492	47.72	539	52.28	-3.27
Tyers	541	290	53.60	251	46.40	-0.84
Tynong	332	142	42.77	190	57.23	3.66
Tynong North	123	36	29.27	87	70.73	-9.86	
Warragul	2775	1204	43.39	1571	56.61	4.71	
Warragul East	1005	415	41.29	590	58.71	1.90	
Warragul North	1745	650	37.25	1095	62.75	3.38	
Willowgrove	370	158	42.70	212	57.30	4.92	
Yallourn North	942	706	74.95	236	25.05	5.42	
Yarragon	819	355	43.35	464	56.65	1.23	
Yinnar	890	482	54.16	408	45.84	3.34	
ABSENT	3604	1890	52.44	1714	47.56	-	
POSTAL	2789	1403	50.30	1386	49.70	-	
PRE POLL	5912	2994	50.64	2918	49.36	-	
PROVISIONAL	463	292	63.07	171	36.93	-	
Division Total	79219	41559	52.46	37660	47.54	1.89	
							
							
Mallee							
							
Polling Place	Formal	ZIGOURAS		FORREST		Swing	
	Votes	(ALP)	%	(NP)	%	%	
Antwerp	99	12	12.12	87	87.88	-0.14	
Apsley	283	83	29.33	200	70.67	-0.17	
Berriwillock	155	30	19.35	125	80.65	-0.92	
Beulah	302	33	10.93	269	89.07	-4.46	
Beverford	356	82	23.03	274	76.97	-3.75	
Birchip	604	138	22.85	466	77.15	2.33	
Boundary Bend	111	22	19.82	89	80.18	-7.28	
Brim	153	12	7.84	141	92.16	-6.44	
Brimpaen	55	8	14.55	47	85.45	3.59	
Cabarita	550	150	27.27	400	72.73	-0.82	
Cardross	487	175	35.93	312	64.07	7.23	
Charlton	915	231	25.25	684	74.75	3.91	
Culgoa	104	22	21.15	82	78.85	1.95	
Cullulleraine	107	28	26.17	79	73.83	8.74
Dadswells Bridge	93	24	25.81	69	74.19	-0.78
Dimboola	1099	482	43.86	617	56.14	0.99
Donald	1146	288	25.13	858	74.87	-0.46
Dooen	140	26	18.57	114	81.43	4.78
Edenhope	817	266	32.56	551	67.44	1.59
Gerang Gerung	89	12	13.48	77	86.52	-2.05
Goroke	336	92	27.38	244	72.62	3.40
Harrow	239	56	23.43	183	76.57	-5.42
Haven	667	159	23.84	508	76.16	-2.94
Hopetoun	560	105	18.75	455	81.25	-2.68
Horsham	3709	1109	29.90	2600	70.10	-1.39
Horsham North	1525	614	40.26	911	59.74	-3.69
Horsham West	1613	471	29.20	1142	70.80	0.47
Irymple	2210	655	29.64	1555	70.36	-1.32
Jeparit	328	84	25.61	244	74.39	-3.73
Jung	79	25	31.65	54	68.35	2.78
Kaniva	769	164	21.33	605	78.67	0.12
Koorlong	372	112	30.11	260	69.89	6.33
Laharum	172	77	44.77	95	55.23	3.05
Lake Boga	715	211	29.51	504	70.49	-1.60
Litchfield	80	9	11.25	71	88.75	0.14
Manangatang	314	54	17.20	260	82.80	-0.22
Melbourne (Mallee)	62	19	30.65	43	69.35	4.56
Merbein	1732	650	37.53	1082	62.47	-2.19
Merbein South	245	65	26.53	180	73.47	1.84
Merbein West	327	91	27.83	236	72.17	4.96
Meringur	54	9	16.67	45	83.33	5.13
Mildura	4500	1852	41.16	2648	58.84	-2.95
Mildura City Central	1182	443	37.48	739	62.52	-0.61
Mildura Deakin	3026	1112	36.75	1914	63.25	-0.69
Mildura South	2202	659	29.93	1543	70.07	0.05
Mildura West	3008	989	32.88	2019	67.12	-2.58
Minimay	100	16	16.00	84	84.00	-0.19
Minyip	454	131	28.85	323	71.15	6.68
Murra Warra	104	6	5.77	98	94.23	-2.00
Murrayville	345	49	14.20	296	85.80	-0.80
Murtoa	662	277	41.84	385	58.16	-0.39
Nandaly	87	21	24.14	66	75.86	-2.33
Nangiloc	304	103	33.88	201	66.12	3.02
Natimuk	481	165	34.30	316	65.70	4.77
Netherby	101	15	14.85	86	85.15	0.11
Nhill	1476	365	24.73	1111	75.27	0.60
Nichols Point	801	210	26.22	591	73.78	-2.88
Noradjuha	109	30	27.52	79	72.48	-2.57
Nullawil	110	21	19.09	89	80.91	2.58
Nyah	445	133	29.89	312	70.11	1.11
Nyah West	463	152	32.83	311	67.17	-2.03
Ouyen	849	190	22.38	659	77.62	-5.25
Patchewollock	126	25	19.84	101	80.16	-0.90
Piangil	285	59	20.70	226	79.30	-1.17
Pimpinio	130	21	16.15	109	83.85	-0.13
Quantong	203	61	30.05	142	69.95	5.91
Rainbow	505	104	20.59	401	79.41	0.17
Red Cliffs	2469	961	38.92	1508	61.08	1.11
Riverside	208	48	23.08	160	76.92	8.79
Robinvale	1553	502	32.32	1051	67.68	0.73
Rupanyup	379	80	21.11	299	78.89	0.32
Sea Lake	466	134	28.76	332	71.24	0.16
Serviceton	106	14	13.21	92	86.79	-9.65
Special Hospital Team 1	145	51	35.17	94	64.83	6.11
Special Hospital Team 2	169	43	25.44	126	74.56	-0.83
Special Hospital Team 3	152	58	38.16	94	61.84	8.50
Special Hospital Team 4	154	42	27.27	112	72.73	-
Speed	151	19	12.58	132	87.42	3.49
St Arnaud	1870	676	36.15	1194	63.85	1.44
Stuart Mill	96	38	39.58	58	60.42	1.61
Sunnycliffs	200	51	25.50	149	74.50	-7.44
Swan Hill	3079	816	26.50	2263	73.50	-2.33
Swan Hill South	1109	252	22.72	857	77.28	-0.75
Swan Hill West	1514	379	25.03	1135	74.97	-3.45
Toolondo	138	25	18.12	113	81.88	2.86
Ultima	148	25	16.89	123	83.11	-1.73
Underbool	223	36	16.14	187	83.86	2.05
Walpeup	157	34	21.66	123	78.34	4.89
Warracknabeal	1764	446	25.28	1318	74.72	-0.38
Watchem	129	23	17.83	106	82.17	7.12
Wemen	112	19	16.96	93	83.04	4.17
Werrimull	114	41	35.96	73	64.04	10.57
Wimmera Base Hospital	585	171	29.23	414	70.77	-1.21
Wonwondah North	98	29	29.59	69	70.41	4.34	
Woomelang	267	38	14.23	229	85.77	-2.43	
Woorinen	396	92	23.23	304	76.77	-5.03	
Wycheproof	585	144	24.62	441	75.38	0.18	
Yaapeet	76	8	10.53	68	89.47	-10.72	
Yanac	109	14	12.84	95	87.16	0.34	
ABSENT	3431	1107	32.26	2324	67.74	-	
POSTAL	2576	625	24.26	1951	75.74	-	
PRE POLL	4879	1431	29.33	3448	70.67	-	
PROVISIONAL	366	161	43.99	205	56.01	-	
Division Total	75804	22797	30.07	53007	69.93	-0.56	
							
							
Maribyrnong							
							
Polling Place	Formal	SERCOMBE		BARCLAY		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Aberfeldie	1700	946	55.65	754	44.35	-0.92	
Airport West	2211	1529	69.15	682	30.85	-6.49	
Albanvale	2961	2265	76.49	696	23.51	-6.62	
Albion North	2417	1844	76.29	573	23.71	-5.97	
Avondale Heights	2415	1751	72.51	664	27.49	-5.48	
Avondale Heights Central	3454	2233	64.65	1221	35.35	-3.67	
Avondale Heights North	1794	1233	68.73	561	31.27	-5.47	
Buckley Park	2527	1313	51.96	1214	48.04	-0.58	
Essendon (Maribyrnong)	601	266	44.26	335	55.74	-7.51	
Essendon West	2177	1107	50.85	1070	49.15	-0.61	
Kealba	2329	1613	69.26	716	30.74	-5.18	
Keilor East	2362	1591	67.36	771	32.64	-4.01	
Keilor Heights	2567	1552	60.46	1015	39.54	-3.60	
Keilor Park	1813	1162	64.09	651	35.91	-5.50	
Keilor South	2852	1709	59.92	1143	40.08	-1.90	
Kings Park	4151	3338	80.41	813	19.59	-6.91
Melbourne (Maribyrnong)	74	53	71.62	21	28.38	8.29
Moonee Ponds Central	1159	552	47.63	607	52.37	-1.96
Moonee Ponds West	2182	1396	63.98	786	36.02	-4.58
Niddrie	1752	1062	60.62	690	39.38	-4.50
Niddrie Central	2761	1484	53.75	1277	46.25	-2.48
Special Hospital Team 1	29	15	51.72	14	48.28	-21.00
St Albans	2337	1735	74.24	602	25.76	-6.58
St Albans East	3536	2693	76.16	843	23.84	-5.49
St Albans North	2505	1871	74.69	634	25.31	-5.56
St Albans South	2299	1770	76.99	529	23.01	-6.71
St Albans South East	2849	2189	76.83	660	23.17	-5.90
St Albans West	2893	2222	76.81	671	23.19	-5.04
Stevensville	1641	1270	77.39	371	22.61	-5.11
ABSENT	4735	2985	63.04	1750	36.96	-
POSTAL	1985	1222	61.56	763	38.44	-
PRE POLL	3367	2140	63.56	1227	36.44	-	
PROVISIONAL	380	299	78.68	81	21.32	-	
Division Total	74815	50410	67.38	24405	32.62	-4.68	
							
							
Melbourne							
							
Polling Place	Formal	TANNER		FRANTZESKOS		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Abbotsford	1240	955	77.02	285	22.98	-2.03	
Ascot Vale	580	491	84.66	89	15.34	-3.89	
Ascot Vale Central	2046	1340	65.49	706	34.51	-5.22	
Ascot Vale East	1941	1366	70.38	575	29.62	-0.47	
Ascot Vale West	1409	904	64.16	505	35.84	0.41	
Brunswick East	1378	1056	76.63	322	23.37	-3.14	
Brunswick South	1006	789	78.43	217	21.57	-3.85	
Brunswick South East	1223	928	75.88	295	24.12	3.31
Brunswick South West	2198	1568	71.34	630	28.66	-1.00
Carlton	1866	1454	77.92	412	22.08	-2.61
Carlton Central	2427	1789	73.71	638	26.29	0.10
Carlton North	1872	1307	69.82	565	30.18	-0.03
Carlton South	954	612	64.15	342	35.85	4.00
Clifton Hill	1746	1316	75.37	430	24.63	0.68
Collingwood	2020	1657	82.03	363	17.97	0.30
Collingwood North	1723	1310	76.03	413	23.97	0.89
Delbridge	948	680	71.73	268	28.27	0.64
East Melbourne	1753	770	43.92	983	56.08	-1.32
Edward	2871	2226	77.53	645	22.47	-0.75
Fitzroy	1786	1486	83.20	300	16.80	0.93
Fitzroy Central	645	458	71.01	187	28.99	1.73
Fitzroy East	2121	1699	80.10	422	19.90	-2.21
Fitzroy North	2922	2276	77.89	646	22.11	0.80
Flemington	2592	2005	77.35	587	22.65	-2.56
Hotham Hill	966	828	85.71	138	14.29	-8.11
Kensington	2254	1558	69.12	696	30.88	-6.05
Melbourne (Melbourne)	2249	1309	58.20	940	41.80	-2.14
Merri	1233	949	76.97	284	23.03	-1.07
Newmarket	1944	1404	72.22	540	27.78	0.73
North Melbourne	2033	1398	68.77	635	31.23	-0.22
North Melbourne Central	1394	1004	72.02	390	27.98	-0.04
Parkville	1309	817	62.41	492	37.59	4.65
Prison Mobile Team 1	1	1	99.99	0	0.00	-
Richmond	3450	2137	61.94	1313	38.06	-0.15
Richmond Central	2044	1387	67.86	657	32.14	-2.71
Richmond East	2656	1665	62.69	991	37.31	-4.76
Richmond North	1025	888	86.63	137	13.37	-4.48
Richmond South	1570	931	59.30	639	40.70	-6.05
Richmond West	1327	1124	84.70	203	15.30	-6.38
Special Hospital Team 1	38	30	78.95	8	21.05	18.23	
Special Hospital Team 2	25	16	64.00	9	36.00	-7.43	
Special Hospital Team 3	28	22	78.57	6	21.43	13.35	
Special Hospital Team 4	137	76	55.47	61	44.53	2.28	
Special Hospital Team 5	81	45	55.56	36	44.44	-1.98	
Special Hospital Team 6	2	1	50.00	1	50.00	-16.67	
Special Hospital Team 7	35	30	85.71	5	14.29	5.71	
ABSENT	8366	5270	62.99	3096	37.01	-	
POSTAL	2687	1595	59.36	1092	40.64	-	
PRE POLL	4888	3206	65.59	1682	34.41	-	
PROVISIONAL	893	675	75.59	218	24.41	-	
Division Total	83902	58808	70.09	25094	29.91	-1.71	
							
							
Melbourne Ports							
							
Polling Place	Formal	DANBY		McLORINAN		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Alfred Hospital	369	174	47.15	195	52.85	3.48	
Argyle	1054	751	71.25	303	28.75	-0.86	
Bridport	2355	1377	58.47	978	41.53	-4.77	
Camden	2111	1039	49.22	1072	50.78	0.54	
Caulfield	1796	817	45.49	979	54.51	-8.64	
Caulfield East	2105	1067	50.69	1038	49.31	-2.39	
Caulfield North	2500	1110	44.40	1390	55.60	0.21	
Caulfield South	1614	792	49.07	822	50.93	-0.56	
Caulfield Upper	2470	1259	50.97	1211	49.03	2.06	
Caulfield West	1142	501	43.87	641	56.13	0.76	
Elsternwick	3178	1764	55.51	1414	44.49	0.09	
Elsternwick North	1005	579	57.61	426	42.39	3.68	
Elwood	2604	1506	57.83	1098	42.17	0.43	
Elwood North	2979	1830	61.43	1149	38.57	-1.76	
Emerald Hill	2235	1191	53.29	1044	46.71	-2.29
Fawkner Park (Melbourne Ports)	2240	928	41.43	1312	58.57	3.55
Graham	1547	878	56.76	669	43.24	-6.34
Kerferd	4290	2124	49.51	2166	50.49	-0.72
Melbourne (Melbourne Ports)	758	385	50.79	373	49.21	3.60
Middle Park	0	0	0.00	0	0.00	-50.45
Port Melbourne	3051	1732	56.77	1319	43.23	-7.92
Redan Central	1462	901	61.63	561	38.37	-0.36
Ripponlea East	1077	598	55.52	479	44.48	4.42
Ripponlea North	1457	955	65.55	502	34.45	-0.06
Sandridge	1027	783	76.24	244	23.76	-5.40
South Melbourne	2818	1526	54.15	1292	45.85	-3.58
Special Hospital Team 1	235	120	51.06	115	48.94	-9.87
Special Hospital Team 2	80	48	60.00	32	40.00	-1.76
St Kilda	3886	2578	66.34	1308	33.66	-1.85
St Kilda Beach	1695	1156	68.20	539	31.80	7.14
St Kilda North	1939	1234	63.64	705	36.36	-0.43	
St Kilda Park	1944	1241	63.84	703	36.16	-2.96	
St Kilda South	1958	1325	67.67	633	32.33	-0.29	
ABSENT	6239	3218	51.58	3021	48.42	-	
POSTAL	5497	2938	53.45	2559	46.55	-	
PRE POLL	5638	3179	56.39	2459	43.61	-	
PROVISIONAL	684	414	60.53	270	39.47	-	
Division Total	79039	44018	55.69	35021	44.31	-0.14	
							
							
Menzies							
							
Polling Place	Formal	VASILOPOULOS		ANDREWS		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Beverley Hills	2956	1382	46.75	1574	53.25	-4.38	
Bulleen	3524	1848	52.44	1676	47.56	-3.37	
Bulleen West	831	455	54.75	376	45.25	-2.64
Donburn	1073	424	39.52	649	60.48	-3.82
Doncaster	2543	1209	47.54	1334	52.46	-2.80
Doncaster Central	3019	1468	48.63	1551	51.37	-6.27
Doncaster East	5426	2498	46.04	2928	53.96	-5.85
Doncaster Gardens	1785	877	49.13	908	50.87	-2.88
Doncaster Heights	1314	593	45.13	721	54.87	-7.61
Doncaster Park	723	358	49.52	365	50.48	1.05
Doncaster South	1364	629	46.11	735	53.89	-0.98
Doncaster West	1932	1018	52.69	914	47.31	-2.04
Donvale	3347	1005	30.03	2342	69.97	-5.38
Gumnut Gully	952	368	38.66	584	61.34	0.03
Lower Templestowe	1627	800	49.17	827	50.83	-8.06
Manningham	1316	506	38.45	810	61.55	-0.85
Melbourne (Menzies)	84	33	39.29	51	60.71	5.08
Milgate	2449	925	37.77	1524	62.23	-3.42
Park Orchards	2200	696	31.64	1504	68.36	-3.21
Ringwood North (Menzies)	968	280	28.93	688	71.07	-3.64
Serpell	3129	1164	37.20	1965	62.80	-1.65
Special Hospital Team 1	260	41	15.77	219	84.23	-6.94
Special Hospital Team 2	222	69	31.08	153	68.92	-4.78
Special Hospital Team 3	169	56	33.14	113	66.86	0.21
Templestowe	1758	638	36.29	1120	63.71	-6.69
Templestowe Heights	5036	2132	42.34	2904	57.66	-1.35
Templestowe Park	2647	875	33.06	1772	66.94	-3.78
Templestowe Valley	1627	733	45.05	894	54.95	-4.28
The Pines	1584	586	36.99	998	63.01	-2.42
Tunstall	1402	609	43.44	793	56.56	-4.20
Warrandyte	2602	1086	41.74	1516	58.26	0.20
Warrandyte South	422	130	30.81	292	69.19	-9.71
Warranwood	2211	803	36.32	1408	63.68	-3.35
Wonga Park	1792	471	26.28	1321	73.72	-3.33
Yarraleen	1983	873	44.02	1110	55.98	-5.07	
ABSENT	4739	1935	40.83	2804	59.17	-	
POSTAL	3189	969	30.39	2220	69.61	-	
PRE POLL	3518	1370	38.94	2148	61.06	-	
PROVISIONAL	286	120	41.96	166	58.04	-	
Division Total	78009	32032	41.06	45977	58.94	-3.54	
							
							
Murray							
							
Polling Place	Formal	CALDER		STONE		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Ardmona	429	116	27.04	313	72.96	0.48	
Ballendella	163	19	11.66	144	88.34	-1.48	
Bamawm	194	28	14.43	166	85.57	1.33	
Bamawm Extension	157	18	11.46	139	88.53	3.18	
Barmah	195	87	44.62	108	55.38	3.87
Boort	694	139	20.03	555	79.97	1.53
Bunbartha	163	31	19.02	132	80.98	7.83
Byrneside	244	30	12.30	214	87.70	-1.77
Calivil	145	13	8.97	132	91.03	0.63
Cobram	3024	927	30.65	2097	69.35	-3.91
Cohuna	1931	370	19.16	1561	80.84	1.39
Colbinabbin	249	32	12.85	217	87.15	2.03
Congupna	499	122	24.45	377	75.55	5.87
Cooma	169	9	5.33	160	94.67	1.07
Dhurringile	165	26	15.76	139	84.24	-1.40
Dingee	219	29	13.24	190	86.76	2.97
Dingwall	104	9	8.65	95	91.35	-1.87
Dookie	285	70	24.56	215	75.44	-1.72
Echuca	2089	548	26.23	1541	73.77	-6.04
Echuca Central	827	197	23.82	630	76.18	-3.60
Echuca East	2127	752	35.35	1375	64.65	-2.74
Echuca South	1758	513	29.18	1245	70.82	-4.72
Echuca Village	279	44	15.77	235	84.23	-0.77
Echuca West	435	68	15.63	367	84.37	1.31
Girgarre	421	60	14.25	361	85.75	-0.89
Gowrie Street	2187	728	33.29	1459	66.71	-5.83
Grahamvale	191	39	20.42	152	79.58	3.05
Gunbower	379	98	25.86	281	74.14	-0.19
Guthrie Street	1365	310	22.71	1055	77.29	-2.68
Katamatite	315	49	15.56	266	84.44	0.01
Katunga	462	68	14.72	394	85.28	-0.73
Kerang	1928	424	21.99	1504	78.01	0.44
Kerang North	863	196	22.71	667	77.29	0.76
Kialla	466	103	22.10	363	77.90	-0.85
Kialla Park	501	148	29.54	353	70.46	2.37
Kialla West	442	111	25.11	331	74.89	4.51
Knight Street	1959	520	26.54	1439	73.46	-2.33
Koondrook	736	175	23.78	561	76.22	-1.44
Koyuga	142	24	16.90	118	83.10	-1.95
Ky Valley	268	27	10.07	241	89.93	1.49
Kyabram	2427	617	25.42	1810	74.58	0.44
Kyabram West	1499	330	22.01	1169	77.99	-2.37
Lake Charm	253	67	26.48	186	73.52	-5.10
Lalbert	126	12	9.52	114	90.48	-0.48
Lancaster	331	47	14.20	284	85.80	0.73
Leitchville	499	61	12.22	438	87.78	-3.15
Lemnos	381	62	16.27	319	83.73	0.34
Lockington	597	105	17.59	492	82.41	-0.73
Macorna	117	7	5.98	110	94.02	-2.28
Melbourne (Murray)	71	20	28.17	51	71.83	-2.48
Merrigum	463	114	24.62	349	75.38	-0.72
Mitiamo	111	30	27.03	81	72.97	0.18
Mooroopna	1463	532	36.36	931	63.64	-0.68
Mooroopna Park	2656	922	34.71	1734	65.29	-3.91
Murchison	563	175	31.08	388	68.92	-2.88
Murrabit	317	27	8.52	290	91.48	-4.57
Nanneella	269	31	11.52	238	88.48	-1.07
Nathalia	1209	275	22.75	934	77.25	-2.46
Numurkah	2422	530	21.88	1892	78.12	-2.09
Orrvale	398	83	20.85	315	79.15	8.06
Picola	178	31	17.42	147	82.58	3.92
Pine Lodge	105	15	14.29	90	85.71	1.44
Pyramid Hill	426	85	19.95	341	80.05	-1.49
Quambatook	257	35	13.62	222	86.38	-8.76
Rochester	2112	500	23.67	1612	76.33	-1.23
Rushworth	996	372	37.35	624	62.65	-2.44
Serpentine	189	36	19.05	153	80.95	2.38
Shepparton	419	135	32.22	284	67.78	-6.23
Shepparton Central	560	160	28.57	400	71.43	1.78
Shepparton East	615	167	27.15	448	72.85	2.12
Shepparton North	2350	641	27.28	1709	72.72	-0.11
Shepparton South	2346	786	33.50	1560	66.50	-3.92
Special Hospital Team 1	74	13	17.57	61	82.43	2.86
Special Hospital Team 2	83	14	16.87	69	83.13	-5.11
Special Hospital Team 3	85	16	18.82	69	81.18	-0.41
Special Hospital Team 4	163	43	26.38	120	73.62	-7.63
Special Hospital Team 5	101	19	18.81	82	81.19	-5.00
Stanhope	728	142	19.51	586	80.49	-0.62
Strathmerton	690	186	26.96	504	73.04	0.68
Tallygaroopna	360	82	22.78	278	77.22	4.01
Tatura	2412	625	25.91	1787	74.09	-2.47
Tennyson	131	5	3.82	126	96.18	-4.25
Tongala	1107	253	22.85	854	77.15	-1.05
Toolamba	405	120	29.63	285	70.37	6.07
Toolleen	142	49	34.51	93	65.49	5.83	
Torrumbarry	216	50	23.15	166	76.85	1.37	
Undera	314	44	14.01	270	85.99	-3.42	
Waaia	296	33	11.15	263	88.85	-0.56	
Wanganui	1111	450	40.50	661	59.50	-9.40	
Wilmot Road	3467	1213	34.99	2254	65.01	-2.47	
Wunghnu	307	67	21.82	240	78.18	4.87	
Wyuna	218	41	18.81	177	81.19	-0.22	
Yarrawalla South	132	13	9.85	119	90.15	0.01	
Yarroweyah	431	83	19.26	348	80.74	2.32	
Yielima	124	21	16.94	103	83.06	-0.95	
ABSENT	3813	1108	29.06	2705	70.94	-	
POSTAL	2779	610	21.95	2169	78.05	-	
PRE POLL	3205	890	27.77	2315	72.23	-	
PROVISIONAL	779	266	34.15	513	65.85	-	
Division Total	79567	20743	26.07	58824	73.93	-1.87	
							
							
Scullin							
							
Polling Place	Formal	JENKINS			KOSTADINOSKI	Swing	
	Votes	(ALP)	%	(LP)	%	%	
Apollo Parkways	3347	1687	50.40	1660	49.60	-1.00	
Blossom Park	2494	1699	68.12	795	31.88	-2.59	
Epping	3044	2065	67.84	979	32.16	-2.54	
Epping East	2880	2003	69.55	877	30.45	-4.53	
Epping South	2628	2018	76.79	610	23.21	-0.93	
Findon	3245	2333	71.90	912	28.10	-1.81	
Greenhills	2259	1071	47.41	1188	52.59	-0.30	
Greensborough	1202	641	53.33	561	46.67	-4.07	
Greensborough East	1142	491	42.99	651	57.01	1.27	
Grimshaw	2133	1225	57.43	908	42.57	-4.23	
Keelbundoora	425	281	66.12	144	33.88	-3.20
Lalor	2226	1783	80.10	443	19.90	-0.23
Lalor East	3517	2785	79.19	732	20.81	-3.55
Lalor North	1877	1564	83.32	313	16.68	-1.94
Lalor Park	2254	1815	80.52	439	19.48	-1.34
Lalor South	2095	1760	84.01	335	15.99	-4.72
Lalor West	2196	1757	80.01	439	19.99	-4.84
Meadowglen	2168	1525	70.34	643	29.66	-1.40
Melbourne (Scullin)	73	47	64.38	26	35.62	-1.62
Mill Park	2625	1772	67.50	853	32.50	-2.53
Mill Park Heights	3157	2291	72.57	866	27.43	-0.55
Norris Bank	3529	2467	69.91	1062	30.09	-3.05
Plenty	694	253	36.46	441	63.54	-1.98
South Morang	2294	1255	54.71	1039	45.29	-0.99
Special Hospital Team 1	144	83	57.64	61	42.36	1.06
Special Hospital Team 2	5	3	60.00	2	40.00	-23.33
The Stables	4265	2938	68.89	1327	31.11	-1.78	
Thomastown	993	789	79.46	204	20.54	-4.89	
Thomastown East	2208	1788	80.98	420	19.02	-1.96	
Thomastown Meadows	2350	1995	84.89	355	15.11	-2.00	
Thomastown West	4880	4018	82.34	862	17.66	-3.38	
Watsonia North	3518	2128	60.49	1390	39.51	-0.68	
ABSENT	4654	2858	61.41	1796	38.59	-	
POSTAL	2332	1519	65.14	813	34.86	-	
PRE POLL	2006	1227	61.17	779	38.83	-	
PROVISIONAL	457	331	72.43	126	27.57	-	
Division Total	81316	56265	69.19	25051	30.81	-2.65	
							
							
Wannon							
							
Polling Place	Formal	MORROW		HAWKER		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Allansford	750	270	36.00	480	64.00	-7.19	
Ararat	3002	1683	56.06	1319	43.94	-6.84	
Ararat West	1669	840	50.33	829	49.67	-1.63	
Balmoral	321	141	43.93	180	56.07	6.43	
Beaufort	1156	537	46.45	619	53.55	-2.74	
Bolwarra	500	220	44.00	280	56.00	-4.48	
Branxholme	228	79	34.65	149	65.35	1.55	
Buangor	151	54	35.76	97	64.24	-0.95	
Byaduk	110	22	20.00	88	80.00	-5.16	
Camperdown	2517	912	36.23	1605	63.77	-2.80	
Cape Clear	227	97	42.73	130	57.27	0.10	
Caramut	214	69	32.24	145	67.76	3.30	
Carpendeit	152	36	23.68	116	76.32	-7.46	
Casterton	1630	671	41.17	959	58.83	-2.40	
Cavendish	332	87	26.20	245	73.80	0.48	
Cobden	1460	400	27.40	1060	72.60	-2.00
Coleraine	931	419	45.01	512	54.99	1.09
Condah	161	49	30.43	112	69.57	0.77
Dartmoor	335	139	41.49	196	58.51	0.51
Dergholm	100	21	21.00	79	79.00	-3.44
Derrinallum	409	121	29.58	288	70.42	-3.67
Dunkeld	471	162	34.39	309	65.61	-2.85
Ecklin South	240	27	11.25	213	88.75	0.33
Elmhurst	127	45	35.43	82	64.57	-0.07
Glenthompson	221	83	37.56	138	62.44	-2.98
Hamilton	3205	1368	42.68	1837	57.32	-2.43
Hamilton Central	299	100	33.44	199	66.56	-12.79
Hamilton East	637	286	44.90	351	55.10	-10.17
Hamilton North	476	216	45.38	260	54.62	-8.41
Hawkesdale	325	92	28.31	233	71.69	-0.43
Heywood	1239	503	40.60	736	59.40	-0.64
Kennedy Street	1492	793	53.15	699	46.85	-3.46
Kings College	1351	457	33.83	894	66.17	-1.12
Koroit	1466	599	40.86	867	59.14	-4.13
Lake Bolac	323	87	26.93	236	73.06	-2.39
Linton	360	206	57.22	154	42.78	-0.80
Lismore	415	102	24.58	313	75.42	-0.17
Macarthur	442	138	31.22	304	68.78	-2.48
Mailors Flat	453	116	25.61	337	74.39	-1.96
Melbourne (Wannon)	76	29	38.16	47	61.84	-13.84
Merino	289	123	42.56	166	57.44	2.56
Merrivale	736	347	47.15	389	52.85	-9.15
Mortlake	992	360	36.29	632	63.71	2.39
Moyston	218	92	42.20	126	57.80	-1.80
Naringal	190	36	18.95	154	81.05	0.09
Narrawong	251	110	43.82	141	56.18	-3.46
Nelson	165	64	38.79	101	61.21	7.40
Noorat	441	107	24.26	334	75.74	0.14
Nullawarre	389	69	17.74	320	82.26	-0.63
Orford	110	31	28.18	79	71.82	4.14
Panmure	383	88	22.98	295	77.02	-7.59
Patterson Park	1543	785	50.87	758	49.13	-2.90
Penshurst	510	216	42.35	294	57.65	3.22
Peterborough	158	50	31.65	108	68.35	4.72
Pirron Yallock (Wannon)	128	45	35.16	83	64.84	3.07
Pomonal	214	108	50.47	106	49.53	3.12
Port Campbell	329	111	33.74	218	66.26	-2.29
Port Fairy	1883	860	45.67	1023	54.33	0.93
Portland Central	2382	1145	48.07	1237	51.93	-3.61
Portland North	327	131	40.06	196	59.94	-1.47
Portland South	1584	794	50.13	790	49.87	-5.09
Purnim	277	90	32.49	187	67.51	0.91
Scotts Creek	169	17	10.06	152	89.94	-3.27
Simpson (Wannon)	401	49	12.22	352	87.78	2.90
Skipton	447	142	31.77	305	68.23	-2.22
Smythesdale	785	450	57.32	335	42.68	-4.07
Snake Valley	483	259	53.62	224	46.38	1.14
Special Hospital Team 1	102	37	36.27	65	63.73	8.43
