House of Representatives - 2001 Election: Victoria							
Swing to ALP							
By Division by Polling Place						
							
Aston							
							
Polling Place	Formal	BOLAND		PEARCE		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Melbourne (Burke)	101	56	55.45	45	44.55	6.32
Melton	3818	2351	61.58	1467	38.42	-4.59
Melton Central	412	250	60.68	162	39.32	1.59
Melton South	3236	2022	62.48	1214	37.52	-7.01
Mount Macedon	625	283	45.28	342	54.72	1.79
Myrniong	216	125	57.87	91	42.13	1.28
New Gisborne	1201	548	45.63	653	54.37	1.77
Newham	363	154	42.42	209	57.58	0.54
Riddell	1779	882	49.58	897	50.42	2.32
Rockbank	1028	644	62.65	384	37.35	-5.89
Romsey	1947	937	48.13	1010	51.87	-1.62
Special Hospital Team 1	24	12	50.00	12	50.00	12.22
Sunbury	2418	1094	45.24	1324	54.76	0.02
Sunbury East	1847	1032	55.87	815	44.13	-4.61
Sunbury Heights	2277	1289	56.61	988	43.39	-1.23
Sunbury North	1948	948	48.67	1000	51.33	-1.02
Sunbury West	4916	2496	50.77	2420	49.23	-2.49	
Toolern	347	142	40.92	205	59.08	1.24	
Trentham	659	324	49.17	335	50.83	-4.14	
Tylden	397	173	43.58	224	56.42	-0.50	
Wedge Park	1740	995	57.18	745	42.82	-3.48	
Westmelton	3000	1797	59.90	1203	40.10	-5.61	
Woodend	2920	1651	56.54	1269	43.46	-0.53	
ABSENT	5184	2899	55.92	2285	44.08	-	
POSTAL	2859	1336	46.73	1523	53.27	-	
PRE POLL	3272	1661	50.76	1611	49.24	-	
PROVISIONAL	415	237	57.11	178	42.89	-	
Division Total	81975	45504	55.51	36471	44.49	-2.10	
							
							
Calwell							
							
Polling Place	Formal	VAMVAKINOU		BULLER		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Bethal	2299	1922	83.60	377	16.40	-1.46	
Broadmeadows	1816	1470	80.95	346	19.05	-2.73	
Broadmeadows North	3396	2612	76.91	784	23.09	-4.16	
Bulla	346	155	44.80	191	55.20	1.51	
Campbellfield	2011	1655	82.30	356	17.70	-1.14	
Coolaroo	1767	1365	77.25	402	22.75	-1.69	
Delahey	3896	3134	80.44	762	19.56	-2.18	
Diggers Rest	1072	637	59.42	435	40.58	-1.15	
Gladstone Park	4060	2589	63.77	1471	36.23	-2.44	
Gladstone Views	2788	1824	65.42	964	34.58	0.12	
Glenroy West	2758	1781	64.58	977	35.42	-1.23	
Greenvale	4598	2531	55.05	2067	44.95	-1.46	
Jacana	1459	1094	74.98	365	25.02	-3.05	
Keilor	3717	1708	45.95	2009	54.05	3.18	
Keilor Downs	2804	1865	66.51	939	33.49	-2.13
Meadow Fair	1156	945	81.75	211	18.25	-2.30
Meadow Heights	4316	3500	81.09	816	18.91	-1.79
Melbourne (Calwell)	85	53	62.35	32	37.65	0.92
Melbourne Airport	170	117	68.82	53	31.18	-2.89
Monmia	3905	2822	72.27	1083	27.73	0.93
Oak Park	1915	1092	57.02	823	42.98	-1.47
Roxburgh Park (Calwell)	2641	1957	74.10	684	25.90	1.31
Sydenham	6102	3955	64.81	2147	35.19	-0.22
Sydenham East	1071	707	66.01	364	33.99	-2.46
Taylors Lakes	5689	3472	61.03	2217	38.97	0.12
Taylors Lakes North	1822	1132	62.13	690	37.87	1.26
Tullamarine	3655	2404	65.77	1251	34.23	-0.58
Upfield	1639	1345	82.06	294	17.94	-1.59
