Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Wannon (82915)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Warrnambool SDS		23	2.04		16	1.42		10	0.89		1	0.09		0	0.00		0	0.00		28	2.49		514	45.69		1	0.09		2	0.18		422	37.51		10	0.89		50	4.44		0	0.00		0	0.00		48	4.27		0	0.00		0	0.00		1125	93.91		73	6.09		1198	1.50
Warrnambool South		10	2.16		6	1.30		6	1.30		0	0.00		1	0.22		0	0.00		13	2.81		220	47.52		1	0.22		2	0.43		157	33.91		0	0.00		25	5.40		0	0.00		2	0.43		20	4.32		0	0.00		0	0.00		463	95.07		24	4.93		487	0.61
Warrnambool West		76	3.44		59	2.67		24	1.09		1	0.05		3	0.14		1	0.05		85	3.85		1071	48.51		2	0.09		1	0.05		700	31.70		15	0.68		91	4.12		0	0.00		3	0.14		75	3.40		1	0.05		0	0.00		2208	94.52		128	5.48		2336	2.92
Willaura		10	2.75		11	3.02		6	1.65		0	0.00		0	0.00		0	0.00		21	5.77		213	58.52		0	0.00		0	0.00		75	20.60		6	1.65		11	3.02		0	0.00		0	0.00		11	3.02		0	0.00		0	0.00		364	95.29		18	4.71		382	0.48
Wiridjil (Wannon)		5	5.10		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	4.08		77	78.57		1	1.02		0	0.00		10	10.20		0	0.00		0	0.00		0	0.00		0	0.00		1	1.02		0	0.00		0	0.00		98	95.15		5	4.85		103	0.13
Woodford		14	3.62		9	2.33		5	1.29		0	0.00		0	0.00		0	0.00		12	3.10		218	56.33		1	0.26		0	0.00		98	25.32		0	0.00		15	3.88		0	0.00		1	0.26		14	3.62		0	0.00		0	0.00		387	93.70		26	6.30		413	0.52
Woolsthorpe		12	3.82		7	2.23		2	0.64		0	0.00		0	0.00		1	0.32		14	4.46		180	57.32		0	0.00		0	0.00		74	23.57		0	0.00		13	4.14		0	0.00		0	0.00		10	3.18		1	0.32		0	0.00		314	95.44		15	4.56		329	0.41
Woorndoo		0	0.00		1	1.69		0	0.00		0	0.00		0	0.00		0	0.00		1	1.69		46	77.97		0	0.00		0	0.00		6	10.17		0	0.00		0	0.00		0	0.00		1	1.69		4	6.78		0	0.00		0	0.00		59	93.65		4	6.35		63	0.08
Yambuk		8	3.94		4	1.97		6	2.96		0	0.00		0	0.00		0	0.00		15	7.39		122	60.10		0	0.00		0	0.00		29	14.29		0	0.00		6	2.96		0	0.00		3	1.48		10	4.93		0	0.00		0	0.00		203	92.69		16	7.31		219	0.27
Special Hospitals		8	2.88		3	1.08		0	0.00		0	0.00		0	0.00		0	0.00		3	1.08		160	57.55		0	0.00		1	0.36		98	35.25		1	0.36		3	1.08		0	0.00		0	0.00		1	0.36		0	0.00		0	0.00		278	94.56		16	5.44		294	0.37
