Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Corangamite (85955)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Melbourne (Corangamite)		3	4.55		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	3.03		29	43.94		0	0.00		0	0.00		13	19.70		0	0.00		10	15.15		0	0.00		0	0.00		9	13.64		0	0.00		0	0.00		66	100.00		0	0.00		66	0.08
Meredith		9	1.91		9	1.91		3	0.64		1	0.21		0	0.00		0	0.00		21	4.47		207	44.04		1	0.21		0	0.00		145	30.85		7	1.49		33	7.02		0	0.00		0	0.00		33	7.02		1	0.21		0	0.00		470	95.53		22	4.47		492	0.59
Moriac		19	2.40		10	1.26		13	1.64		1	0.13		0	0.00		0	0.00		17	2.14		435	54.85		8	1.01		1	0.13		188	23.71		8	1.01		53	6.68		0	0.00		0	0.00		39	4.92		0	0.00		1	0.13		793	96.35		30	3.65		823	0.99
Mount Duneed		7	1.55		4	0.88		7	1.55		1	0.22		0	0.00		0	0.00		15	3.32		231	51.11		0	0.00		0	0.00		122	26.99		5	1.11		28	6.19		0	0.00		0	0.00		32	7.08		0	0.00		0	0.00		452	96.38		17	3.62		469	0.57
Oberon		45	2.54		44	2.48		23	1.30		4	0.23		0	0.00		1	0.06		34	1.92		681	38.41		2	0.11		1	0.06		675	38.07		16	0.90		150	8.46		1	0.06		1	0.06		95	5.36		0	0.00		0	0.00		1773	93.32		127	6.68		1900	2.29
Oberon South		33	2.19		32	2.12		12	0.80		1	0.07		1	0.07		1	0.07		34	2.26		657	43.63		4	0.27		2	0.13		557	36.99		8	0.53		103	6.84		0	0.00		0	0.00		61	4.05		0	0.00		0	0.00		1506	95.20		76	4.80		1582	1.91
Ocean Grove		44	1.59		40	1.45		33	1.19		4	0.14		0	0.00		0	0.00		32	1.16		1190	43.08		7	0.25		2	0.07		843	30.52		8	0.29		288	10.43		0	0.00		2	0.07		268	9.70		0	0.00		1	0.04		2762	96.00		115	4.00		2877	3.47
Pirron Yallock (Corangamite)		2	1.29		0	0.00		5	3.23		0	0.00		0	0.00		0	0.00		10	6.45		103	66.45		0	0.00		0	0.00		25	16.13		0	0.00		5	3.23		0	0.00		1	0.65		3	1.94		0	0.00		1	0.65		155	96.27		6	3.73		161	0.19
Point Lonsdale		41	2.50		17	1.03		19	1.16		1	0.06		0	0.00		1	0.06		32	1.95		883	53.74		5	0.30		2	0.12		362	22.03		10	0.61		107	6.51		0	0.00		0	0.00		162	9.86		0	0.00		1	0.06		1643	94.64		93	5.36		1736	2.09
Portarlington		54	2.60		35	1.69		14	0.67		0	0.00		1	0.05		0	0.00		50	2.41		897	43.21		4	0.19		0	0.00		772	37.19		10	0.48		148	7.13		0	0.00		3	0.14		87	4.19		1	0.05		0	0.00		2076	92.18		176	7.82		2252	2.71
