Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Murray (85651)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Nathalia		36	3.10		20	1.72		19	1.64		1	0.09		1	0.09		0	0.00		49	4.22		729	62.74		6	0.52		0	0.00		221	19.02		5	0.43		49	4.22		0	0.00		1	0.09		25	2.15		0	0.00		0	0.00		1162	93.26		84	6.74		1246	1.51
Numurkah		56	2.35		33	1.39		31	1.30		1	0.04		1	0.04		1	0.04		101	4.25		1536	64.59		12	0.50		1	0.04		453	19.05		10	0.42		102	4.29		1	0.04		2	0.08		37	1.56		0	0.00		0	0.00		2378	94.48		139	5.52		2517	3.05
Orrvale		12	3.00		5	1.25		2	0.50		0	0.00		0	0.00		0	0.00		16	4.00		278	69.50		1	0.25		0	0.00		63	15.75		0	0.00		14	3.50		0	0.00		0	0.00		9	2.25		0	0.00		0	0.00		400	93.24		29	6.76		429	0.52
Picola		3	1.75		4	2.34		2	1.17		0	0.00		0	0.00		0	0.00		21	12.28		111	64.91		3	1.75		0	0.00		21	12.28		2	1.17		4	2.34		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		171	91.44		16	8.56		187	0.23
Pine Lodge		2	1.98		0	0.00		2	1.98		0	0.00		0	0.00		0	0.00		7	6.93		69	68.32		0	0.00		0	0.00		16	15.84		0	0.00		3	2.97		0	0.00		0	0.00		2	1.98		0	0.00		0	0.00		101	96.19		4	3.81		105	0.13
Pyramid Hill		13	3.18		8	1.96		0	0.00		1	0.24		0	0.00		1	0.24		17	4.16		271	66.26		2	0.49		0	0.00		82	20.05		0	0.00		12	2.93		0	0.00		0	0.00		2	0.49		0	0.00		0	0.00		409	90.29		44	9.71		453	0.55
Quambatook		9	3.63		2	0.81		3	1.21		0	0.00		1	0.40		0	0.00		16	6.45		177	71.37		1	0.40		1	0.40		32	12.90		3	1.21		1	0.40		0	0.00		0	0.00		2	0.81		0	0.00		0	0.00		248	92.54		20	7.46		268	0.32
Rochester		72	3.53		29	1.42		17	0.83		1	0.05		1	0.05		1	0.05		100	4.91		1295	63.54		5	0.25		1	0.05		392	19.23		15	0.74		65	3.19		1	0.05		3	0.15		40	1.96		0	0.00		0	0.00		2038	93.36		145	6.64		2183	2.64
Rushworth		27	2.79		21	2.17		10	1.03		1	0.10		0	0.00		1	0.10		57	5.88		487	50.26		2	0.21		0	0.00		290	29.93		4	0.41		30	3.10		0	0.00		3	0.31		36	3.72		0	0.00		0	0.00		969	94.17		60	5.83		1029	1.25
Serpentine		4	2.20		1	0.55		1	0.55		0	0.00		0	0.00		0	0.00		8	4.40		134	73.63		0	0.00		0	0.00		28	15.38		0	0.00		2	1.10		0	0.00		0	0.00		4	2.20		0	0.00		0	0.00		182	93.81		12	6.19		194	0.23
Shepparton		16	3.86		10	2.42		6	1.45		2	0.48		1	0.24		0	0.00		20	4.83		216	52.17		5	1.21		1	0.24		114	27.54		1	0.24		14	3.38		0	0.00		0	0.00		8	1.93		0	0.00		0	0.00		414	94.31		25	5.69		439	0.53
Shepparton Central		17	3.07		11	1.99		8	1.45		4	0.72		0	0.00		0	0.00		16	2.89		311	56.24		1	0.18		1	0.18		120	21.70		4	0.72		39	7.05		0	0.00		0	0.00		21	3.80		0	0.00		0	0.00		553	94.37		33	5.63		586	0.71
