Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
 By Polling Place																																																															

Gippsland (83845)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Loch Sport		15	2.91		8	1.55		11	2.14		2	0.39		1	0.19		0	0.00		50	9.71		184	35.73		0	0.00		0	0.00		212	41.17		2	0.39		18	3.50		0	0.00		0	0.00		11	2.14		1	0.19		0	0.00		515	95.37		25	4.63		540	0.64
Longford		15	2.50		4	0.67		8	1.33		3	0.50		1	0.17		0	0.00		56	9.32		312	51.91		2	0.33		0	0.00		127	21.13		0	0.00		58	9.65		0	0.00		1	0.17		14	2.33		0	0.00		0	0.00		601	95.70		27	4.30		628	0.75
Lucknow		39	3.05		23	1.80		31	2.43		1	0.08		1	0.08		0	0.00		132	10.33		630	49.30		6	0.47		0	0.00		290	22.69		9	0.70		66	5.16		1	0.08		0	0.00		47	3.68		2	0.16		0	0.00		1278	96.60		45	3.40		1323	1.58
Maffra		69	2.60		47	1.77		49	1.85		4	0.15		2	0.08		15	0.57		144	5.43		1344	50.66		10	0.38		2	0.08		744	28.04		6	0.23		137	5.16		0	0.00		3	0.11		74	2.79		3	0.11		0	0.00		2653	94.68		149	5.32		2802	3.34
Mallacoota		12	1.86		9	1.39		19	2.94		0	0.00		1	0.15		0	0.00		35	5.42		238	36.84		0	0.00		0	0.00		173	26.78		7	1.08		57	8.82		0	0.00		0	0.00		95	14.71		0	0.00		0	0.00		646	98.03		13	1.97		659	0.79
Mardan		3	2.94		1	0.98		3	2.94		0	0.00		0	0.00		0	0.00		4	3.92		72	70.59		0	0.00		0	0.00		7	6.86		2	1.96		6	5.88		0	0.00		0	0.00		4	3.92		0	0.00		0	0.00		102	99.03		1	0.97		103	0.12
Marlo		10	3.08		3	0.92		7	2.15		0	0.00		0	0.00		0	0.00		30	9.23		142	43.69		1	0.31		1	0.31		103	31.69		2	0.62		7	2.15		0	0.00		0	0.00		18	5.54		0	0.00		1	0.31		325	96.44		12	3.56		337	0.40
Meeniyan		18	2.47		15	2.06		14	1.92		0	0.00		0	0.00		0	0.00		68	9.34		357	49.04		2	0.27		0	0.00		154	21.15		10	1.37		31	4.26		0	0.00		1	0.14		56	7.69		2	0.27		0	0.00		728	97.20		21	2.80		749	0.89
Meerlieu		2	1.54		2	1.54		4	3.08		0	0.00		0	0.00		0	0.00		9	6.92		77	59.23		0	0.00		0	0.00		23	17.69		0	0.00		10	7.69		0	0.00		0	0.00		1	0.77		1	0.77		1	0.77		130	97.74		3	2.26		133	0.16
Melbourne (Gippsland)		2	2.94		4	5.88		3	4.41		0	0.00		0	0.00		0	0.00		1	1.47		37	54.41		0	0.00		0	0.00		10	14.71		0	0.00		4	5.88		0	0.00		4	5.88		3	4.41		0	0.00		0	0.00		68	98.55		1	1.45		69	0.08
