Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

Mallee (81774)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Mildura		423	9.51		150	3.37		60	1.35		9	0.20		3	0.07		2	0.04		454	10.21		1650	37.11		15	0.34		3	0.07		1404	31.58		43	0.97		136	3.06		2	0.04		5	0.11		82	1.84		1	0.02		4	0.09		4446	93.84		292	6.16		4738	6.02
Mildura City Central		103	8.86		20	1.72		16	1.38		0	0.00		0	0.00		1	0.09		113	9.72		502	43.16		3	0.26		1	0.09		311	26.74		9	0.77		53	4.56		1	0.09		3	0.26		26	2.24		0	0.00		1	0.09		1163	95.48		55	4.52		1218	1.55
Mildura Deakin		257	8.57		80	2.67		47	1.57		5	0.17		1	0.03		3	0.10		227	7.57		1299	43.33		7	0.23		6	0.20		790	26.35		30	1.00		170	5.67		0	0.00		6	0.20		69	2.30		1	0.03		0	0.00		2998	94.87		162	5.13		3160	4.01
Mildura South		193	8.75		37	1.68		22	1.00		1	0.05		0	0.00		4	0.18		186	8.43		1118	50.68		7	0.32		0	0.00		487	22.08		23	1.04		84	3.81		1	0.05		2	0.09		41	1.86		0	0.00		0	0.00		2206	95.50		104	4.50		2310	2.93
Mildura West		238	7.95		54	1.80		37	1.24		5	0.17		0	0.00		2	0.07		241	8.05		1446	48.33		4	0.13		7	0.23		715	23.90		22	0.74		151	5.05		1	0.03		2	0.07		65	2.17		0	0.00		2	0.07		2992	95.93		127	4.07		3119	3.96
Minimay		10	10.10		2	2.02		0	0.00		0	0.00		0	0.00		0	0.00		12	12.12		61	61.62		0	0.00		0	0.00		10	10.10		0	0.00		0	0.00		0	0.00		0	0.00		4	4.04		0	0.00		0	0.00		99	97.06		3	2.94		102	0.13
Minyip		40	8.97		6	1.35		4	0.90		1	0.22		0	0.00		1	0.22		41	9.19		246	55.16		0	0.00		4	0.90		80	17.94		6	1.35		9	2.02		0	0.00		0	0.00		8	1.79		0	0.00		0	0.00		446	93.89		29	6.11		475	0.60
Murra Warra		7	6.67		0	0.00		1	0.95		0	0.00		0	0.00		0	0.00		9	8.57		83	79.05		0	0.00		0	0.00		3	2.86		0	0.00		1	0.95		0	0.00		0	0.00		1	0.95		0	0.00		0	0.00		105	98.13		2	1.87		107	0.14
Murrayville		33	9.62		2	0.58		3	0.87		0	0.00		0	0.00		1	0.29		31	9.04		220	64.14		1	0.29		1	0.29		30	8.75		2	0.58		8	2.33		0	0.00		0	0.00		10	2.92		0	0.00		1	0.29		343	96.62		12	3.38		355	0.45
Murtoa		47	7.28		12	1.86		10	1.55		0	0.00		0	0.00		0	0.00		41	6.35		272	42.11		1	0.15		3	0.46		219	33.90		2	0.31		20	3.10		0	0.00		0	0.00		18	2.79		0	0.00		1	0.15		646	94.31		39	5.69		685	0.87
Nandaly		4	4.49		0	0.00		1	1.12		0	0.00		0	0.00		0	0.00		4	4.49		63	70.79		0	0.00		0	0.00		16	17.98		0	0.00		0	0.00		0	0.00		0	0.00		1	1.12		0	0.00		0	0.00		89	100.00		0	0.00		89	0.11
Nangiloc		21	6.86		7	2.29		6	1.96		0	0.00		0	0.00		0	0.00		36	11.76		148	48.37		0	0.00		0	0.00		67	21.90		1	0.33		11	3.59		0	0.00		0	0.00		9	2.94		0	0.00		0	0.00		306	95.63		14	4.38		320	0.41
Natimuk		31	6.47		12	2.51		7	1.46		0	0.00		1	0.21		0	0.00		61	12.73		233	48.64		0	0.00		2	0.42		64	13.36		4	0.84		16	3.34		1	0.21		1	0.21		46	9.60		0	0.00		0	0.00		479	95.80		21	4.20		500	0.64
Netherby		11	11.11		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		17	17.17		56	56.57		0	0.00		1	1.01		10	10.10		1	1.01		1	1.01		0	0.00		0	0.00		1	1.01		0	0.00		1	1.01		99	94.29		6	5.71		105	0.13
Nhill		137	9.36		33	2.26		23	1.57		1	0.07		1	0.07		1	0.07		136	9.30		781	53.38		6	0.41		7	0.48		244	16.68		12	0.82		43	2.94		0	0.00		5	0.34		32	2.19		1	0.07		0	0.00		1463	93.84		96	6.16		1559	1.98
Nichols Point		75	9.42		17	2.14		12	1.51		1	0.13		1	0.13		1	0.13		67	8.42		427	53.64		1	0.13		0	0.00		144	18.09		7	0.88		25	3.14		0	0.00		0	0.00		17	2.14		1	0.13		0	0.00		796	96.37		30	3.63		826	1.05
Noradjuha		8	7.41		2	1.85		2	1.85		0	0.00		0	0.00		0	0.00		18	16.67		54	50.00		0	0.00		0	0.00		18	16.67		0	0.00		4	3.70		0	0.00		0	0.00		2	1.85		0	0.00		0	0.00		108	98.18		2	1.82		110	0.14
Nullawil		7	6.25		3	2.68		3	2.68		0	0.00		0	0.00		0	0.00		5	4.46		78	69.64		0	0.00		0	0.00		15	13.39		0	0.00		0	0.00		0	0.00		0	0.00		1	0.89		0	0.00		0	0.00		112	99.12		1	0.88		113	0.14
Nyah		37	8.28		4	0.89		1	0.22		1	0.22		1	0.22		0	0.00		57	12.75		249	55.70		1	0.22		1	0.22		85	19.02		0	0.00		5	1.12		0	0.00		0	0.00		5	1.12		0	0.00		0	0.00		447	95.92		19	4.08		466	0.59
Nyah West		32	6.67		11	2.29		4	0.83		0	0.00		1	0.21		1	0.21		55	11.46		227	47.29		1	0.21		0	0.00		116	24.17		4	0.83		20	4.17		0	0.00		0	0.00		8	1.67		0	0.00		0	0.00		480	97.96		10	2.04		490	0.62
Ouyen		70	8.40		11	1.32		14	1.68		1	0.12		0	0.00		1	0.12		53	6.36		490	58.82		3	0.36		0	0.00		157	18.85		4	0.48		20	2.40		1	0.12		4	0.48		4	0.48		0	0.00		0	0.00		833	94.23		51	5.77		884	1.12
Patchewollock		11	9.09		0	0.00		3	2.48		1	0.83		0	0.00		0	0.00		8	6.61		74	61.16		2	1.65		0	0.00		15	12.40		0	0.00		4	3.31		0	0.00		1	0.83		2	1.65		0	0.00		0	0.00		121	93.80		8	6.20		129	0.16
