Senate - 2001 Election: Victoria																																																															
First Preference Votes by Group 																																																															
By Polling Place																																																															

McMillan (85551)																																																															
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total			FORMAL			INFORMAL			TOTAL	
		LFF			DLP			PCA			CEC			Unendorsed			Unendorsed			HAN			LNP			UNI			Unendorsed			ALP			CTA			DEM			Unendorsed			HPA			GRN			Unendorsed			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Pakenham Central		80	3.72		46	2.14		23	1.07		2	0.09		1	0.05		1	0.05		69	3.21		1061	49.35		10	0.47		4	0.19		645	30.00		18	0.84		106	4.93		3	0.14		3	0.14		76	3.53		1	0.05		1	0.05		2150	92.75		168	7.25		2318	2.82
Pakenham North		31	3.01		17	1.65		9	0.87		0	0.00		0	0.00		0	0.00		27	2.62		483	46.89		2	0.19		1	0.10		344	33.40		15	1.46		61	5.92		0	0.00		1	0.10		39	3.79		0	0.00		0	0.00		1030	95.81		45	4.19		1075	1.31
Pakenham South		2	1.57		1	0.79		1	0.79		0	0.00		0	0.00		0	0.00		8	6.30		70	55.12		0	0.00		0	0.00		30	23.62		2	1.57		4	3.15		0	0.00		0	0.00		9	7.09		0	0.00		0	0.00		127	93.38		9	6.62		136	0.17
Pakenham Upper (McMillan)		10	2.94		2	0.59		4	1.18		1	0.29		0	0.00		0	0.00		3	0.88		186	54.71		0	0.00		0	0.00		80	23.53		3	0.88		20	5.88		0	0.00		0	0.00		31	9.12		0	0.00		0	0.00		340	96.59		12	3.41		352	0.43
Rawson		4	2.63		1	0.66		1	0.66		1	0.66		0	0.00		2	1.32		6	3.95		67	44.08		1	0.66		0	0.00		53	34.87		0	0.00		7	4.61		0	0.00		0	0.00		9	5.92		0	0.00		0	0.00		152	92.68		12	7.32		164	0.20
Ripplebrook		4	3.85		2	1.92		0	0.00		0	0.00		0	0.00		0	0.00		2	1.92		72	69.23		0	0.00		0	0.00		8	7.69		2	1.92		7	6.73		0	0.00		0	0.00		7	6.73		0	0.00		0	0.00		104	97.20		3	2.80		107	0.13
Rokeby		1	0.52		4	2.07		3	1.55		0	0.00		0	0.00		0	0.00		13	6.74		96	49.74		0	0.00		0	0.00		45	23.32		3	1.55		16	8.29		0	0.00		1	0.52		11	5.70		0	0.00		0	0.00		193	96.02		8	3.98		201	0.24
Tanjil South		7	2.52		6	2.16		2	0.72		0	0.00		0	0.00		0	0.00		22	7.91		147	52.88		0	0.00		0	0.00		79	28.42		0	0.00		12	4.32		0	0.00		0	0.00		3	1.08		0	0.00		0	0.00		278	95.21		14	4.79		292	0.35
Tetoora Road		6	4.51		1	0.75		2	1.50		0	0.00		0	0.00		0	0.00		6	4.51		65	48.87		0	0.00		0	0.00		22	16.54		0	0.00		15	11.28		0	0.00		0	0.00		15	11.28		0	0.00		1	0.75		133	97.08		4	2.92		137	0.17
Thorpdale		9	2.16		8	1.92		4	0.96		0	0.00		0	0.00		0	0.00		33	7.93		235	56.49		1	0.24		1	0.24		81	19.47		6	1.44		23	5.53		0	0.00		1	0.24		14	3.37		0	0.00		0	0.00		416	94.33		25	5.67		441	0.54
