Senate - 2001 Election: South Australia																																							
First Preference Votes by Group 																																							
By Polling Place																																							

Barker (87836)																																							
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		ALP			GRN			HAN			Unendorsed			LP			Unendorsed			Unendorsed			RPA			DEM			Independent & CEC										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Nangwarry		168	52.01		4	1.24		39	12.07		0	0.00		93	28.79		0	0.00		0	0.00		1	0.31		18	5.57		0	0.00		323	97.00		10	3.00		333	0.39
Naracoorte		419	20.36		49	2.38		130	6.32		3	0.15		1307	63.51		0	0.00		2	0.10		5	0.24		139	6.75		4	0.19		2058	96.67		71	3.33		2129	2.51
Naracoorte South		356	22.97		44	2.84		92	5.94		3	0.19		954	61.55		6	0.39		1	0.06		2	0.13		91	5.87		1	0.06		1550	97.48		40	2.52		1590	1.88
Narrung		25	28.74		7	8.05		4	4.60		0	0.00		43	49.43		1	1.15		0	0.00		1	1.15		6	6.90		0	0.00		87	98.86		1	1.14		88	0.10
Nildottie		17	10.37		2	1.22		19	11.59		0	0.00		120	73.17		0	0.00		0	0.00		0	0.00		6	3.66		0	0.00		164	95.91		7	4.09		171	0.20
O B Flat		37	19.37		7	3.66		15	7.85		0	0.00		121	63.35		0	0.00		1	0.52		0	0.00		10	5.24		0	0.00		191	96.46		7	3.54		198	0.23
Padthaway		17	5.47		4	1.29		28	9.00		0	0.00		242	77.81		0	0.00		1	0.32		0	0.00		17	5.47		2	0.64		311	96.28		12	3.72		323	0.38
Parawa		12	11.54		4	3.85		4	3.85		0	0.00		77	74.04		0	0.00		0	0.00		0	0.00		6	5.77		1	0.96		104	98.11		2	1.89		106	0.13
Parilla		7	7.53		0	0.00		7	7.53		0	0.00		79	84.95		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		93	100.00		0	0.00		93	0.11
Parndana		31	7.58		11	2.69		30	7.33		0	0.00		286	69.93		0	0.00		0	0.00		2	0.49		47	11.49		2	0.49		409	97.38		11	2.62		420	0.50
Peake		17	10.49		2	1.23		12	7.41		0	0.00		126	77.78		0	0.00		0	0.00		0	0.00		5	3.09		0	0.00		162	98.78		2	1.22		164	0.19
Penneshaw		42	13.95		17	5.65		21	6.98		0	0.00		155	51.50		0	0.00		0	0.00		2	0.66		63	20.93		1	0.33		301	95.25		15	4.75		316	0.37
Penola		263	22.54		37	3.17		52	4.46		2	0.17		731	62.64		2	0.17		5	0.43		1	0.09		71	6.08		3	0.26		1167	96.53		42	3.47		1209	1.43
Pinnaroo		74	16.67		9	2.03		47	10.59		1	0.23		266	59.91		1	0.23		0	0.00		0	0.00		43	9.68		3	0.68		444	95.28		22	4.72		466	0.55
Ponde		25	19.53		4	3.13		15	11.72		0	0.00		75	58.59		0	0.00		0	0.00		0	0.00		9	7.03		0	0.00		128	97.71		3	2.29		131	0.15
