House of Representatives - 2001 Election: South Australia											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Mayo (86319)											
		Candidate		"DOWNER, Alexander"		          	"BRENNAN, Delia"		             	Total	
				LP		                         	ALP		                        		
				Votes	%	                     	Votes	%	                     		
		"SPRAGG, Bill (IND)"	51	20	39.22		31	60.78		51	
		"CLARK, Dave (GRN)"	75	22	29.33		53	70.67		75	
		"THOMAS, Mike (HAN)"	57	33	57.89		24	42.11		57	
		"COOMBE, Howie F (IND)"	4	1	25.00		3	75.00		4	
		Total	442	1025	64.83		556	35.17		1581	

	Lobethal										
			1st Prefs	790	82.46		168	17.54		958	
		"MCLAREN, John (DEM)"	184	75	40.76		109	59.24		184	
		"SPRAGG, Bill (IND)"	19	9	47.37		10	52.63		19	
		"CLARK, Dave (GRN)"	58	15	25.86		43	74.14		58	
		"THOMAS, Mike (HAN)"	69	54	78.26		15	21.74		69	
		"COOMBE, Howie F (IND)"	5	2	40.00		3	60.00		5	
		Total	335	945	73.09		348	26.91		1293	

	Longwood										
			1st Prefs	173	76.89		52	23.11		225	
		"MCLAREN, John (DEM)"	41	11	26.83		30	73.17		41	
		"SPRAGG, Bill (IND)"	25	9	36.00		16	64.00		25	
		"CLARK, Dave (GRN)"	32	6	18.75		26	81.25		32	
		"THOMAS, Mike (HAN)"	3	0	0.00		3	100.00		3	
		"COOMBE, Howie F (IND)"	0	0	0.00		0	0.00		0	
		Total	101	199	61.04		127	38.96		326	

	Macclesfield										
			1st Prefs	370	73.27		135	26.73		505	
		"MCLAREN, John (DEM)"	133	39	29.32		94	70.68		133	
		"SPRAGG, Bill (IND)"	28	11	39.29		17	60.71		28	
		"CLARK, Dave (GRN)"	67	17	25.37		50	74.63		67	
		"THOMAS, Mike (HAN)"	29	18	62.07		11	37.93		29	
		"COOMBE, Howie F (IND)"	3	2	66.67		1	33.33		3	
		Total	260	457	59.74		308	40.26		765	

	Mclaren Flat										
			1st Prefs	379	76.88		114	23.12		493	
		"MCLAREN, John (DEM)"	90	38	42.22		52	57.78		90	
		"SPRAGG, Bill (IND)"	10	6	60.00		4	40.00		10	
		"CLARK, Dave (GRN)"	40	11	27.50		29	72.50		40	
		"THOMAS, Mike (HAN)"	32	24	75.00		8	25.00		32	
		"COOMBE, Howie F (IND)"	4	2	50.00		2	50.00		4	
		Total	176	460	68.76		209	31.24		669	

	Mclaren Vale										
			1st Prefs	1083	72.54		410	27.46		1493	
		"MCLAREN, John (DEM)"	244	94	38.52		150	61.48		244	
		"SPRAGG, Bill (IND)"	34	16	47.06		18	52.94		34	
		"CLARK, Dave (GRN)"	102	32	31.37		70	68.63		102	
		"THOMAS, Mike (HAN)"	80	59	73.75		21	26.25		80	
		"COOMBE, Howie F (IND)"	6	2	33.33		4	66.67		6	
		Total	466	1286	65.65		673	34.35		1959	

	Magill (Mayo)										
			1st Prefs	690	66.73		344	33.27		1034	
		"MCLAREN, John (DEM)"	198	56	28.28		142	71.72		198	
		"SPRAGG, Bill (IND)"	30	9	30.00		21	70.00		30	
		"CLARK, Dave (GRN)"	70	9	12.86		61	87.14		70	
		"THOMAS, Mike (HAN)"	21	13	61.90		8	38.10		21	
		"COOMBE, Howie F (IND)"	3	2	66.67		1	33.33		3	
		Total	322	779	57.45		577	42.55		1356	

	Meadows										
			1st Prefs	476	75.32		156	24.68		632	
		"MCLAREN, John (DEM)"	124	48	38.71		76	61.29		124	
		"SPRAGG, Bill (IND)"	55	24	43.64		31	56.36		55	
		"CLARK, Dave (GRN)"	54	14	25.93		40	74.07		54	
		"THOMAS, Mike (HAN)"	46	33	71.74		13	28.26		46	
		"COOMBE, Howie F (IND)"	6	2	33.33		4	66.67		6	
		Total	285	597	65.10		320	34.90		917	

	Montacute										
			1st Prefs	79	83.16		16	16.84		95	
		"MCLAREN, John (DEM)"	18	2	11.11		16	88.89		18	
		"SPRAGG, Bill (IND)"	29	7	24.14		22	75.86		29	
		"CLARK, Dave (GRN)"	11	1	9.09		10	90.91		11	
		"THOMAS, Mike (HAN)"	1	0	0.00		1	100.00		1	
		"COOMBE, Howie F (IND)"	0	0	0.00		0	0.00		0	
		Total	59	89	57.79		65	42.21		154	

	Mount Barker										
			1st Prefs	2445	72.34		935	27.66		3380	
		"MCLAREN, John (DEM)"	694	267	38.47		427	61.53		694	
		"SPRAGG, Bill (IND)"	150	73	48.67		77	51.33		150	
		"CLARK, Dave (GRN)"	321	59	18.38		262	81.62		321	
		"THOMAS, Mike (HAN)"	164	117	71.34		47	28.66		164	
		"COOMBE, Howie F (IND)"	26	10	38.46		16	61.54		26	
		Total	1355	2971	62.75		1764	37.25		4735	

	Mylor										
			1st Prefs	350	74.79		118	25.21		468	
		"MCLAREN, John (DEM)"	113	28	24.78		85	75.22		113	
		"SPRAGG, Bill (IND)"	28	14	50.00		14	50.00		28	
		"CLARK, Dave (GRN)"	75	10	13.33		65	86.67		75	
		"THOMAS, Mike (HAN)"	14	9	64.29		5	35.71		14	
		"COOMBE, Howie F (IND)"	2	1	50.00		1	50.00		2	
		Total	232	412	58.86		288	41.14		700	

	Nairne										
			1st Prefs	834	69.27		370	30.73		1204	
		"MCLAREN, John (DEM)"	262	81	30.92		181	69.08		262	
		"SPRAGG, Bill (IND)"	61	25	40.98		36	59.02		61	
		"CLARK, Dave (GRN)"	131	22	16.79		109	83.21		131	
		"THOMAS, Mike (HAN)"	95	69	72.63		26	27.37		95	
		"COOMBE, Howie F (IND)"	9	6	66.67		3	33.33		9	
		Total	558	1037	58.85		725	41.15		1762	

	Newton										
			1st Prefs	616	52.74		552	47.26		1168	
		"MCLAREN, John (DEM)"	197	66	33.50		131	66.50		197	
		"SPRAGG, Bill (IND)"	41	22	53.66		19	46.34		41	
		"CLARK, Dave (GRN)"	30	9	30.00		21	70.00		30	
		"THOMAS, Mike (HAN)"	26	17	65.38		9	34.62		26	
		"COOMBE, Howie F (IND)"	8	1	12.50		7	87.50		8	
		Total	302	731	49.73		739	50.27		1470	

	Norton Summit										
			1st Prefs	259	72.35		99	27.65		358	
		"MCLAREN, John (DEM)"	111	36	32.43		75	67.57		111	
		"SPRAGG, Bill (IND)"	35	16	45.71		19	54.29		35	
		"CLARK, Dave (GRN)"	84	19	22.62		65	77.38		84	
		"THOMAS, Mike (HAN)"	20	17	85.00		3	15.00		20	
		"COOMBE, Howie F (IND)"	5	3	60.00		2	40.00		5	
		Total	255	350	57.10		263	42.90		613	

	Old Noarlunga										
			1st Prefs	227	56.75		173	43.25		400	
		"MCLAREN, John (DEM)"	105	37	35.24		68	64.76		105	
		"SPRAGG, Bill (IND)"	8	3	37.50		5	62.50		8	
		"CLARK, Dave (GRN)"	24	12	50.00		12	50.00		24	
		"THOMAS, Mike (HAN)"	29	20	68.97		9	31.03		29	
		"COOMBE, Howie F (IND)"	1	1	100.00		0	0.00		1	
		Total	167	300	52.91		267	47.09		567	

	Paracombe										
			1st Prefs	181	83.41		36	16.59		217	
		"MCLAREN, John (DEM)"	25	14	56.00		11	44.00		25	
		"SPRAGG, Bill (IND)"	11	7	63.64		4	36.36		11	
		"CLARK, Dave (GRN)"	10	1	10.00		9	90.00		10	
		"THOMAS, Mike (HAN)"	11	6	54.55		5	45.45		11	
		"COOMBE, Howie F (IND)"	0	0	0.00		0	0.00		0	
		Total	57	209	76.28		65	23.72		274	

	Paradise										
			1st Prefs	767	56.44		592	43.56		1359	
		"MCLAREN, John (DEM)"	220	84	38.18		136	61.82		220	
		"SPRAGG, Bill (IND)"	55	19	34.55		36	65.45		55	
		"CLARK, Dave (GRN)"	28	6	21.43		22	78.57		28	
		"THOMAS, Mike (HAN)"	23	13	56.52		10	43.48		23	
		"COOMBE, Howie F (IND)"	2	0	0.00		2	100.00		2	
		Total	328	889	52.70		798	47.30		1687	

	Piccadilly										
			1st Prefs	264	79.04		70	20.96		334	
		"MCLAREN, John (DEM)"	89	26	29.21		63	70.79		89	
		"SPRAGG, Bill (IND)"	20	8	40.00		12	60.00		20	
		"CLARK, Dave (GRN)"	26	4	15.38		22	84.62		26	
		"THOMAS, Mike (HAN)"	8	2	25.00		6	75.00		8	
		"COOMBE, Howie F (IND)"	0	0	0.00		0	0.00		0	
		Total	143	304	63.73		173	36.27		477	

	Prospect Hill										
			1st Prefs	92	90.20		10	9.80		102	
		"MCLAREN, John (DEM)"	15	5	33.33		10	66.67		15	
		"SPRAGG, Bill (IND)"	6	3	50.00		3	50.00		6	
		"CLARK, Dave (GRN)"	8	1	12.50		7	87.50		8	
		"THOMAS, Mike (HAN)"	5	4	80.00		1	20.00		5	
		"COOMBE, Howie F (IND)"	0	0	0.00		0	0.00		0	
		Total	34	105	77.21		31	22.79		136	

	Rostrevor										
			1st Prefs	1382	63.42		797	36.58		2179	
		"MCLAREN, John (DEM)"	333	112	33.63		221	66.37		333	
		"SPRAGG, Bill (IND)"	101	40	39.60		61	60.40		101	
		"CLARK, Dave (GRN)"	93	26	27.96		67	72.04		93	
		"THOMAS, Mike (HAN)"	69	58	84.06		11	15.94		69	
		"COOMBE, Howie F (IND)"	7	2	28.57		5	71.43		7	
		Total	603	1620	58.23		1162	41.77		2782	

	Rostrevor South										
			1st Prefs	434	68.13		203	31.87		637	
		"MCLAREN, John (DEM)"	118	39	33.05		79	66.95		118	
		"SPRAGG, Bill (IND)"	20	10	50.00		10	50.00		20	
		"CLARK, Dave (GRN)"	36	9	25.00		27	75.00		36	
		"THOMAS, Mike (HAN)"	12	10	83.33		2	16.67		12	
		"COOMBE, Howie F (IND)"	0	0	0.00		0	0.00		0	
		Total	186	502	61.00		321	39.00		823	

	Stirling East										
			1st Prefs	610	75.68		196	24.32		806	
		"MCLAREN, John (DEM)"	172	44	25.58		128	74.42		172	
		"SPRAGG, Bill (IND)"	35	16	45.71		19	54.29		35	
		"CLARK, Dave (GRN)"	104	16	15.38		88	84.62		104	
		"THOMAS, Mike (HAN)"	12	9	75.00		3	25.00		12	
		"COOMBE, Howie F (IND)"	6	1	16.67		5	83.33		6	
		Total	329	696	61.32		439	38.68		1135	

	Stirling West										
			1st Prefs	1065	77.68		306	22.32		1371	
		"MCLAREN, John (DEM)"	393	108	27.48		285	72.52		393	
		"SPRAGG, Bill (IND)"	74	29	39.19		45	60.81		74	
		"CLARK, Dave (GRN)"	217	39	17.97		178	82.03		217	
		"THOMAS, Mike (HAN)"	31	21	67.74		10	32.26		31	
		"COOMBE, Howie F (IND)"	4	1	25.00		3	75.00		4	
		Total	719	1263	60.43		827	39.57		2090	

	Strathalbyn										
			1st Prefs	1506	81.01		353	18.99		1859	
		"MCLAREN, John (DEM)"	307	112	36.48		195	63.52		307	
		"SPRAGG, Bill (IND)"	66	26	39.39		40	60.61		66	
		"CLARK, Dave (GRN)"	101	30	29.70		71	70.30		101	
		"THOMAS, Mike (HAN)"	146	101	69.18		45	30.82		146	
		"COOMBE, Howie F (IND)"	9	6	66.67		3	33.33		9	
		Total	629	1781	71.58		707	28.42		2488	

	Summertown										
			1st Prefs	359	73.72		128	26.28		487	
		"MCLAREN, John (DEM)"	150	43	28.67		107	71.33		150	
		"SPRAGG, Bill (IND)"	38	20	52.63		18	47.37		38	
		"CLARK, Dave (GRN)"	68	16	23.53		52	76.47		68	
		"THOMAS, Mike (HAN)"	23	17	73.91		6	26.09		23	
		"COOMBE, Howie F (IND)"	2	0	0.00		2	100.00		2	
		Total	281	455	59.24		313	40.76		768	

	Upper Sturt										
			1st Prefs	267	73.55		96	26.45		363	
		"MCLAREN, John (DEM)"	112	29	25.89		83	74.11		112	
		"SPRAGG, Bill (IND)"	15	8	53.33		7	46.67		15	
		"CLARK, Dave (GRN)"	40	5	12.50		35	87.50		40	
		"THOMAS, Mike (HAN)"	13	11	84.62		2	15.38		13	
