Senate - 2001 Election: Australian Capital Territory																																																																																																																																																																																																																																																												
First Preference Votes by Candidate 																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												


Fraser (112225)																																																																																																																																																																																																																																																												

	   		 A Australian Democrats												 B Christian Democratic Party (Fred Nile Group)												 C Australian Greens												 D Australian Labor Party (ACT Branch)												 E Liberal Party of Australia - ACT Division												 F Pauline Hanson's One Nation												Ungrouped																																																																																																																																																																																	
    			TICKET VOTES			SIEVERS			DUNDAS			Group Total			TICKET VOTES			MCCLURE			JANES			Group Total			TICKET VOTES			CORR			FAHEY			Group Total			TICKET VOTES			# LUNDY			POKE			Group Total			TICKET VOTES			# REID			HANLON			Group Total			TICKET VOTES			TARLINTON			TARLINTON			Group Total			ARNOLD			HELM			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																																																																																																		
    						Wayne			Roslyn Jane									Ian			Tim									Gary			Felicity									Kate			Robin									Margaret			Bill									Don			Ted						James T A			Ken																																																																																																																																																																														
Polling Places			Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																																																																																																	
Page			147	9.14		41	2.55		17	1.06		205	12.75		30	1.87		21	1.31		1	0.06		52	3.23		54	3.36		42	2.61		11	0.68		107	6.65		528	32.84		141	8.77		8	0.50		677	42.10		415	25.81		82	5.10		4	0.25		501	31.16		22	1.37		9	0.56		0	0.00		31	1.93		2	0.12		33	2.05		35	2.18		1608	96.81		53	3.19		1661	1.56																																																																																																																																																															
Palmerston			228	7.17		72	2.27		27	0.85		327	10.29		27	0.85		18	0.57		6	0.19		51	1.60		61	1.92		30	0.94		14	0.44		105	3.30		1185	37.29		174	5.48		14	0.44		1373	43.20		1113	35.02		97	3.05		12	0.38		1222	38.45		36	1.13		14	0.44		2	0.06		52	1.64		1	0.03		47	1.48		48	1.51		3178	97.07		96	2.93		3274	3.08																																																																																																																																																															
Reid			41	6.12		20	2.99		9	1.34		70	10.45		3	0.45		3	0.45		0	0.00		6	0.90		41	6.12		30	4.48		8	1.19		79	11.79		198	29.55		64	9.55		2	0.30		264	39.40		178	26.57		36	5.37		2	0.30		216	32.24		5	0.75		1	0.15		0	0.00		6	0.90		1	0.15		28	4.18		29	4.33		670	96.82		22	3.18		692	0.65																																																																																																																																																																	
Scullin			154	7.44		55	2.66		29	1.40		238	11.50		22	1.06		16	0.77		4	0.19		42	2.03		89	4.30		57	2.75		15	0.72		161	7.78		751	36.28		162	7.83		5	0.24		918	44.35		551	26.62		75	3.62		6	0.29		632	30.53		42	2.03		8	0.39		0	0.00		50	2.42		0	0.00		29	1.40		29	1.40		2070	97.05		63	2.95		2133	2.00																																																																																																																																																																	
Turner			121	6.62		87	4.76		36	1.97		244	13.36		9	0.49		11	0.60		1	0.05		21	1.15		199	10.89		172	9.41		38	2.08		409	22.39		552	30.21		203	11.11		6	0.33		761	41.65		258	14.12		60	3.28		3	0.16		321	17.57		13	0.71		8	0.44		1	0.05		22	1.20		0	0.00		49	2.68		49	2.68		1827	96.92		58	3.08		1885	1.77																																																																																																																																																																	
Watson			158	5.52		77	2.69		43	1.50		278	9.71		24	0.84		10	0.35		5	0.17		39	1.36		197	6.88		152	5.31		44	1.54		393	13.73		925	32.32		284	9.92		5	0.17		1214	42.42		696	24.32		91	3.18		8	0.28		795	27.78		53	1.85		17	0.59		2	0.07		72	2.52		4	0.14		67	2.34		71	2.48		2862	97.18		83	2.82		2945	2.77																																																																																																																																																																	
Weetangera			180	7.16		97	3.86		38	1.51		315	12.52		16	0.64		18	0.72		3	0.12		37	1.47		92	3.66		54	2.15		19	0.76		165	6.56		702	27.91		222	8.83		9	0.36		933	37.10		808	32.13		127	5.05		19	0.76		954	37.93		16	0.64		12	0.48		2	0.08		30	1.19		1	0.04		80	3.18		81	3.22		2515	98.24		45	1.76		2560	2.41																																																																																																																																																																	
Wreck Bay			0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		6	7.69		1	1.28		1	1.28		8	10.26		69	88.46		1	1.28		0	0.00		70	89.74		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		78	100.00		0	0.00		78	0.07																																																																																																																																																																	
Special Hospitals			32	6.29		2	0.39		0	0.00		34	6.68		4	0.79		2	0.39		0	0.00		6	1.18		13	2.55		0	0.00		1	0.20		14	2.75		181	35.56		7	1.38		0	0.00		188	36.94		238	46.76		13	2.55		0	0.00		251	49.31		10	1.96		0	0.00		0	0.00		10	1.96		0	0.00		6	1.18		6	1.18		509	96.40		19	3.60		528	0.50																																																																																																																																																																	
Prison Mobiles			1	6.67		0	0.00		1	6.67		2	13.33		1	6.67		0	0.00		0	0.00		1	6.67		0	0.00		0	0.00		0	0.00		0	0.00		6	40.00		1	6.67		0	0.00		7	46.67		3	20.00		0	0.00		0	0.00		3	20.00		1	6.67		1	6.67		0	0.00		2	13.33		0	0.00		0	0.00		0	0.00		15	100.00		0	0.00		15	0.01																																																																																																																																																																	
