Senate - 1993 Election: South Australia																																																	
First Preference Votes by Group																																																	
By Polling Place																																																	


Adelaide (85484)																																																	

	   		Group Total RPA			Group Total GSA			Group Total NP			Group Total CTA			Group Total ALP			Group Total - Unendorsed Group F			Group Total DEM			Group Total NLP			Group Total EFF			Group Total GRY			Group Total AFI			Group Total LP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
St Peters		                                  	0	0	 	4	2.5	 	0	0	 	0	0	 	47	29.37	 	1	0.63	 	21	13.12	 	1	0.63	 	0	0	 	0	0	 	1	0.63	 	85	53.13	 	0	0	 	160	98.16	 	3	1.84	 	163	0.2
Thebarton		                                  	15	0.84	 	44	2.46	 	5	0.28	 	8	0.45	 	1014	56.81	 	14	0.78	 	165	9.24	 	25	1.4	 	10	0.56	 	12	0.67	 	5	0.28	 	467	26.16	 	1	0.06	 	1785	95.92	 	76	4.08	 	1861	2.31
Unley		                                      	17	0.62	 	70	2.55	 	3	0.11	 	28	1.02	 	1002	36.56	 	10	0.36	 	334	12.19	 	37	1.35	 	11	0.4	 	11	0.4	 	7	0.26	 	1211	44.18	 	0	0	 	2741	97.68	 	65	2.32	 	2806	3.48
Walkerville		                                	3	0.12	 	51	2	 	4	0.16	 	7	0.27	 	498	19.53	 	7	0.27	 	214	8.39	 	36	1.41	 	5	0.2	 	6	0.24	 	6	0.24	 	1712	67.14	 	1	0.04	 	2550	98.38	 	42	1.62	 	2592	3.22
Wayville		                                   	7	1.01	 	15	2.16	 	2	0.29	 	4	0.58	 	220	31.65	 	2	0.29	 	96	13.81	 	6	0.86	 	1	0.14	 	3	0.43	 	2	0.29	 	337	48.49	 	0	0	 	695	98.03	 	14	1.97	 	709	0.88
West Croydon (Adelaide)		                    	19	1.49	 	34	2.67	 	1	0.08	 	12	0.94	 	679	53.34	 	6	0.47	 	109	8.56	 	8	0.63	 	11	0.86	 	6	0.47	 	7	0.55	 	381	29.93	 	0	0	 	1273	94.44	 	75	5.56	 	1348	1.67
Special Hospitals		                          	9	1.02	 	4	0.45	 	4	0.45	 	2	0.23	 	240	27.18	 	3	0.34	 	43	4.87	 	3	0.34	 	9	1.02	 	9	1.02	 	5	0.57	 	552	62.51	 	0	0	 	883	95.98	 	37	4.02	 	920	1.14
Total Ordinary		                             	395	0.58	 	1358	2.01	 	145	0.21	 	482	0.71	 	26496	39.14	 	213	0.31	 	7402	10.93	 	802	1.18	 	228	0.34	 	347	0.51	 	207	0.31	 	29589	43.71	 	29	0.04	 	67693	97.16	 	1979	2.84	 	69672	86.51
ABSENT		                                     	23	0.45	 	199	3.91	 	16	0.31	 	40	0.79	 	1962	38.52	 	9	0.18	 	659	12.94	 	77	1.51	 	29	0.57	 	20	0.39	 	14	0.27	 	2044	40.13	 	2	0.04	 	5094	98.13	 	97	1.87	 	5191	6.45
POSTAL		                                     	13	0.46	 	49	1.74	 	13	0.46	 	30	1.06	 	1015	36.03	 	2	0.07	 	217	7.7	 	13	0.46	 	10	0.35	 	47	1.67	 	17	0.6	 	1387	49.24	 	4	0.14	 	2817	98.77	 	35	1.23	 	2852	3.54
