Senate - 1993 Election: South Australia																																																	
First Preference Votes by Group																																																	
By Polling Place																																																	


Adelaide (85484)																																																	

	   		Group Total RPA			Group Total GSA			Group Total NP			Group Total CTA			Group Total ALP			Group Total - Unendorsed Group F			Group Total DEM			Group Total NLP			Group Total EFF			Group Total GRY			Group Total AFI			Group Total LP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Caltowie		                                   	0	0	 	1	0.72	 	1	0.72	 	0	0	 	24	17.39	 	1	0.72	 	7	5.07	 	0	0	 	2	1.45	 	1	0.72	 	0	0	 	101	73.19	 	0	0	 	138	97.18	 	4	2.82	 	142	0.17
Carrieton		                                  	1	1.25	 	0	0	 	2	2.5	 	4	5	 	12	15	 	0	0	 	0	0	 	0	0	 	0	0	 	1	1.25	 	0	0	 	60	75	 	0	0	 	80	96.39	 	3	3.61	 	83	0.1
Ceduna		                                     	5	0.37	 	28	2.07	 	18	1.33	 	11	0.81	 	371	27.46	 	2	0.15	 	74	5.48	 	3	0.22	 	3	0.22	 	7	0.52	 	5	0.37	 	823	60.92	 	1	0.07	 	1351	98.25	 	24	1.75	 	1375	1.67
Clare		                                      	7	0.3	 	30	1.3	 	78	3.39	 	19	0.83	 	590	25.62	 	7	0.3	 	172	7.47	 	15	0.65	 	18	0.78	 	23	1	 	6	0.26	 	1337	58.05	 	1	0.04	 	2303	98.21	 	42	1.79	 	2345	2.85
Cleve		                                      	3	0.39	 	5	0.64	 	42	5.39	 	27	3.47	 	78	10.01	 	0	0	 	35	4.49	 	0	0	 	3	0.39	 	6	0.77	 	1	0.13	 	579	74.33	 	0	0	 	779	98.48	 	12	1.52	 	791	0.96
Coffin Bay		                                 	0	0	 	2	0.57	 	23	6.59	 	1	0.29	 	79	22.64	 	0	0	 	29	8.31	 	1	0.29	 	1	0.29	 	3	0.86	 	2	0.57	 	208	59.6	 	0	0	 	349	98.87	 	4	1.13	 	353	0.43
Coober Pedy		                                	1	0.11	 	21	2.21	 	15	1.58	 	11	1.16	 	419	44.01	 	5	0.53	 	32	3.36	 	3	0.32	 	9	0.95	 	5	0.53	 	0	0	 	430	45.17	 	1	0.11	 	952	96.06	 	39	3.94	 	991	1.21
Cowell		                                     	1	0.13	 	5	0.65	 	56	7.28	 	11	1.43	 	130	16.91	 	2	0.26	 	14	1.82	 	3	0.39	 	9	1.17	 	11	1.43	 	3	0.39	 	524	68.14	 	0	0	 	769	97.59	 	19	2.41	 	788	0.96
Crystal Brook		                              	3	0.3	 	10	1.01	 	23	2.32	 	10	1.01	 	285	28.76	 	0	0	 	60	6.05	 	3	0.3	 	5	0.5	 	7	0.71	 	6	0.61	 	579	58.43	 	0	0	 	991	97.54	 	25	2.46	 	1016	1.24
Cummins		                                    	3	0.4	 	10	1.32	 	36	4.77	 	8	1.06	 	96	12.72	 	2	0.26	 	18	2.38	 	0	0	 	3	0.4	 	5	0.66	 	1	0.13	 	573	75.89	 	0	0	 	755	98.31	 	13	1.69	 	768	0.93
Darke Peak		                                 	0	0	 	1	0.79	 	9	7.14	 	5	3.97	 	5	3.97	 	0	0	 	4	3.17	 	0	0	 	0	0	 	0	0	 	0	0	 	102	80.95	 	0	0	 	126	98.44	 	2	1.56	 	128	0.16
Davenport		                                  	10	0.41	 	33	1.35	 	27	1.11	 	17	0.7	 	1465	60.09	 	5	0.21	 	116	4.76	 	6	0.25	 	37	1.52	 	12	0.49	 	11	0.45	 	699	28.67	 	0	0	 	2438	97.79	 	55	2.21	 	2493	3.03
Ellendale		                                  	3	0.28	 	12	1.11	 	14	1.3	 	15	1.39	 	732	67.72	 	5	0.46	 	58	5.37	 	3	0.28	 	26	2.41	 	8	0.74	 	6	0.56	 	198	18.32	 	1	0.09	 	1081	97.83	 	24	2.17	 	1105	1.34
Elliston		                                   	0	0	 	10	3.41	 	7	2.39	 	0	0	 	51	17.41	 	0	0	 	10	3.41	 	3	1.02	 	2	0.68	 	4	1.37	 	0	0	 	206	70.31	 	0	0	 	293	98.65	 	4	1.35	 	297	0.36
Farrell Flat		                               	0	0	 	1	0.63	 	3	1.89	 	0	0	 	19	11.95	 	1	0.63	 	6	3.77	 	3	1.89	 	0	0	 	0	0	 	1	0.63	 	125	78.62	 	0	0	 	159	100	 	0	0	 	159	0.19
Fisk		                                       	4	0.32	 	9	0.72	 	17	1.36	 	11	0.88	 	870	69.43	 	6	0.48	 	54	4.31	 	1	0.08	 	14	1.12	 	4	0.32	 	1	0.08	 	261	20.83	 	1	0.08	 	1253	98.2	 	23	1.8	 	1276	1.55
Georgetown		                                 	0	0	 	0	0	 	5	3.5	 	0	0	 	26	18.18	 	0	0	 	7	4.9	 	0	0	 	0	0	 	1	0.7	 	0	0	 	103	72.03	 	1	0.7	 	143	99.31	 	1	0.69	 	144	0.18
Gladstone		                                  	0	0	 	13	2.47	 	7	1.33	 	9	1.71	 	177	33.65	 	2	0.38	 	30	5.7	 	2	0.38	 	6	1.14	 	8	1.52	 	0	0	 	271	51.52	 	1	0.19	 	526	97.95	 	11	2.05	 	537	0.65
Gulnare		                                    	0	0	 	1	0.93	 	1	0.93	 	0	0	 	5	4.63	 	0	0	 	1	0.93	 	1	0.93	 	0	0	 	0	0	 	0	0	 	99	91.67	 	0	0	 	108	99.08	 	1	0.92	 	109	0.13
Hallett		                                    	0	0	 	1	0.67	 	4	2.67	 	0	0	 	33	22	 	0	0	 	3	2	 	0	0	 	0	0	 	0	0	 	0	0	 	108	72	 	1	0.67	 	150	98.68	 	2	1.32	 	152	0.18
Hawker		                                     	2	0.61	 	3	0.91	 	6	1.82	 	1	0.3	 	87	26.44	 	0	0	 	20	6.08	 	2	0.61	 	1	0.3	 	4	1.22	 	1	0.3	 	202	61.4	 	0	0	 	329	98.5	 	5	1.5	 	334	0.41
Iron Knob		                                  	1	0.6	 	2	1.2	 	1	0.6	 	0	0	 	98	58.68	 	1	0.6	 	11	6.59	 	0	0	 	6	3.59	 	2	1.2	 	0	0	 	45	26.95	 	0	0	 	167	98.24	 	3	1.76	 	170	0.21
Jamestown		                                  	4	0.32	 	17	1.36	 	28	2.24	 	8	0.64	 	213	17.01	 	2	0.16	 	61	4.87	 	4	0.32	 	16	1.28	 	12	0.96	 	6	0.48	 	881	70.37	 	0	0	 	1252	99.13	 	11	0.87	 	1263	1.54
Kapinnie		                                   	0	0	 	0	0	 	4	4	 	1	1	 	9	9	 	0	0	 	0	0	 	0	0	 	2	2	 	2	2	 	4	4	 	78	78	 	0	0	 	100	96.15	 	4	3.85	 	104	0.13
Karkoo		                                     	0	0	 	2	1.65	 	5	4.13	 	2	1.65	 	7	5.79	 	0	0	 	3	2.48	 	0	0	 	2	1.65	 	0	0	 	0	0	 	100	82.64	 	0	0	 	121	99.18	 	1	0.82	 	122	0.15
Kimba		                                      	2	0.24	 	6	0.73	 	41	4.99	 	5	0.61	 	79	9.61	 	0	0	 	34	4.14	 	0	0	 	6	0.73	 	7	0.85	 	4	0.49	 	638	77.62	 	0	0	 	822	98.21	 	15	1.79	 	837	1.02
Kirton Point		                               	4	0.29	 	16	1.16	 	50	3.63	 	30	2.18	 	462	33.53	 	6	0.44	 	79	5.73	 	8	0.58	 	7	0.51	 	6	0.44	 	6	0.44	 	704	51.09	 	0	0	 	1378	97.18	 	40	2.82	 	1418	1.72
Koolunga		                                   	0	0	 	1	0.93	 	17	15.89	 	0	0	 	22	20.56	 	0	0	 	10	9.35	 	1	0.93	 	0	0	 	0	0	 	1	0.93	 	55	51.4	 	0	0	 	107	99.07	 	1	0.93	 	108	0.13
Laura		                                      	3	0.6	 	7	1.39	 	9	1.79	 	9	1.79	 	102	20.32	 	0	0	 	47	9.36	 	0	0	 	3	0.6	 	5	1	 	0	0	 	317	63.15	 	0	0	 	502	97.1	 	15	2.9	 	517	0.63
Leigh Creek		                                	2	0.27	 	10	1.34	 	6	0.8	 	6	0.8	 	476	63.55	 	1	0.13	 	43	5.74	 	2	0.27	 	3	0.4	 	5	0.67	 	4	0.53	 	191	25.5	 	0	0	 	749	98.17	 	14	1.83	 	763	0.93
Lochiel		                                    	2	1.67	 	1	0.83	 	2	1.67	 	1	0.83	 	22	18.33	 	0	0	 	15	12.5	 	0	0	 	1	0.83	 	0	0	 	0	0	 	76	63.33	 	0	0	 	120	99.17	 	1	0.83	 	121	0.15
Lock		                                       	0	0	 	5	1.4	 	32	8.96	 	1	0.28	 	25	7	 	0	0	 	11	3.08	 	2	0.56	 	5	1.4	 	4	1.12	 	0	0	 	272	76.19	 	0	0	 	357	98.89	 	4	1.11	 	361	0.44
Melrose		                                    	0	0	 	3	1.38	 	10	4.61	 	2	0.92	 	38	17.51	 	0	0	 	12	5.53	 	0	0	 	2	0.92	 	1	0.46	 	0	0	 	149	68.66	 	0	0	 	217	98.64	 	3	1.36	 	220	0.27
Minnipa		                                    	2	1.09	 	0	0	 	13	7.1	 	9	4.92	 	30	16.39	 	0	0	 	10	5.46	 	0	0	 	1	0.55	 	2	1.09	 	0	0	 	116	63.39	 	0	0	 	183	97.86	 	4	2.14	 	187	0.23
Moomba		                                     	0	0	 	1	1.61	 	0	0	 	0	0	 	26	41.94	 	0	0	 	1	1.61	 	1	1.61	 	0	0	 	1	1.61	 	0	0	 	32	51.61	 	0	0	 	62	100	 	0	0	 	62	0.08
Mount Bryan		                                	0	0	 	0	0	 	2	1.96	 	2	1.96	 	22	21.57	 	0	0	 	2	1.96	 	1	0.98	 	0	0	 	3	2.94	 	0	0	 	70	68.63	 	0	0	 	102	99.03	 	1	0.97	 	103	0.13
Mundoora		                                   	0	0	 	0	0	 	1	0.76	 	3	2.29	 	5	3.82	 	0	0	 	2	1.53	 	0	0	 	0	0	 	1	0.76	 	0	0	 	119	90.84	 	0	0	 	131	99.24	 	1	0.76	 	132	0.16
Murray Town		                                	0	0	 	1	0.89	 	2	1.79	 	0	0	 	27	24.11	 	0	0	 	4	3.57	 	0	0	 	0	0	 	1	0.89	 	1	0.89	 	76	67.86	 	0	0	 	112	100	 	0	0	 	112	0.14
Napperby		                                   	0	0	 	5	1.15	 	5	1.15	 	3	0.69	 	188	43.12	 	0	0	 	28	6.42	 	0	0	 	3	0.69	 	5	1.15	 	1	0.23	 	197	45.18	 	1	0.23	 	436	98.42	 	7	1.58	 	443	0.54
North Shields		                              	0	0	 	6	1.7	 	18	5.1	 	4	1.13	 	64	18.13	 	0	0	 	26	7.37	 	1	0.28	 	2	0.57	 	1	0.28	 	1	0.28	 	230	65.16	 	0	0	 	353	99.44	 	2	0.56	 	355	0.43
Orroroo		                                    	1	0.16	 	9	1.46	 	11	1.79	 	6	0.98	 	67	10.89	 	0	0	 	19	3.09	 	3	0.49	 	2	0.33	 	4	0.65	 	2	0.33	 	491	79.84	 	0	0	 	615	97.62	 	15	2.38	 	630	0.77
Peterborough		                               	15	1.08	 	17	1.22	 	27	1.95	 	8	0.58	 	644	46.4	 	4	0.29	 	95	6.84	 	4	0.29	 	11	0.79	 	12	0.86	 	7	0.5	 	544	39.19	 	0	0	 	1388	97.4	 	37	2.6	 	1425	1.73
Pirie South		                                	5	0.33	 	12	0.79	 	15	0.99	 	21	1.38	 	912	60	 	2	0.13	 	72	4.74	 	1	0.07	 	12	0.79	 	17	1.12	 	2	0.13	 	448	29.47	 	1	0.07	 	1520	97.19	 	44	2.81	 	1564	1.9
Poochera		                                   	0	0	 	1	0.69	 	8	5.52	 	2	1.38	 	6	4.14	 	0	0	 	10	6.9	 	0	0	 	0	0	 	1	0.69	 	1	0.69	 	116	80	 	0	0	 	145	98.64	 	2	1.36	 	147	0.18
Port Augusta		                               	5	0.38	 	16	1.23	 	13	1	 	7	0.54	 	780	59.91	 	4	0.31	 	56	4.3	 	4	0.31	 	13	1	 	7	0.54	 	7	0.54	 	390	29.95	 	0	0	 	1302	97.67	 	31	2.33	 	1333	1.62
Port Augusta West		                          	13	0.6	 	23	1.06	 	26	1.2	 	8	0.37	 	1286	59.18	 	8	0.37	 	129	5.94	 	9	0.41	 	35	1.61	 	16	0.74	 	8	0.37	 	612	28.16	 	0	0	 	2173	97.84	 	48	2.16	 	2221	2.7
Port Broughton		                             	6	0.71	 	7	0.83	 	22	2.6	 	0	0	 	212	25.03	 	0	0	 	37	4.37	 	1	0.12	 	6	0.71	 	11	1.3	 	5	0.59	 	540	63.75	 	0	0	 	847	98.37	 	14	1.63	 	861	1.05
Port Germein		                               	2	0.7	 	9	3.16	 	1	0.35	 	3	1.05	 	103	36.14	 	2	0.7	 	18	6.32	 	3	1.05	 	3	1.05	 	3	1.05	 	1	0.35	 	137	48.07	 	0	0	 	285	98.62	 	4	1.38	 	289	0.35
Port Kenny		                                 	1	0.54	 	2	1.08	 	3	1.61	 	1	0.54	 	29	15.59	 	0	0	 	6	3.23	 	0	0	 	0	0	 	0	0	 	0	0	 	144	77.42	 	0	0	 	186	97.89	 	4	2.11	 	190	0.23
Port Lincoln		                               	15	0.49	 	57	1.86	 	96	3.13	 	48	1.57	 	879	28.68	 	5	0.16	 	167	5.45	 	10	0.33	 	18	0.59	 	23	0.75	 	15	0.49	 	1732	56.51	 	0	0	 	3065	98.08	 	60	1.92	 	3125	3.8
Port Lincoln Central		                       	3	0.18	 	14	0.83	 	52	3.07	 	28	1.65	 	406	23.94	 	2	0.12	 	95	5.6	 	6	0.35	 	7	0.41	 	7	0.41	 	5	0.29	 	1071	63.15	 	0	0	 	1696	98.6	 	24	1.4	 	1720	2.09
Port Lincoln South		                         	6	0.44	 	21	1.55	 	36	2.65	 	28	2.06	 	610	44.99	 	8	0.59	 	69	5.09	 	2	0.15	 	14	1.03	 	9	0.66	 	9	0.66	 	544	40.12	 	0	0	 	1356	97	 	42	3	 	1398	1.7
Port Neill		                                 	0	0	 	4	1.56	 	6	2.33	 	3	1.17	 	40	15.56	 	0	0	 	12	4.67	 	0	0	 	2	0.78	 	0	0	 	0	0	 	190	73.93	 	0	0	 	257	99.23	 	2	0.77	 	259	0.32
Port Pirie West		                            	9	0.62	 	11	0.75	 	22	1.51	 	20	1.37	 	951	65.23	 	4	0.27	 	69	4.73	 	7	0.48	 	9	0.62	 	9	0.62	 	2	0.14	 	345	23.66	 	0	0	 	1458	98.12	 	28	1.88	 	1486	1.81
Quorn		                                      	8	1.05	 	10	1.32	 	9	1.19	 	10	1.32	 	233	30.7	 	2	0.26	 	38	5.01	 	5	0.66	 	10	1.32	 	6	0.79	 	1	0.13	 	427	56.26	 	0	0	 	759	96.81	 	25	3.19	 	784	0.95
Redhill		                                    	1	0.68	 	2	1.37	 	15	10.27	 	0	0	 	20	13.7	 	0	0	 	11	7.53	 	0	0	 	0	0	 	0	0	 	0	0	 	97	66.44	 	0	0	 	146	97.99	 	3	2.01	 	149	0.18
Risdon Park East		                           	8	0.41	 	14	0.72	 	20	1.02	 	28	1.43	 	942	48.11	 	4	0.2	 	113	5.77	 	7	0.36	 	21	1.07	 	17	0.87	 	6	0.31	 	778	39.73	 	0	0	 	1958	98.64	 	27	1.36	 	1985	2.41
Risdon Park South		                          	5	0.4	 	10	0.79	 	15	1.19	 	15	1.19	 	721	57.13	 	1	0.08	 	55	4.36	 	3	0.24	 	3	0.24	 	7	0.55	 	1	0.08	 	426	33.76	 	0	0	 	1262	97.83	 	28	2.17	 	1290	1.57
Risdon Park West		                           	9	0.79	 	10	0.88	 	13	1.14	 	14	1.23	 	698	61.39	 	7	0.62	 	49	4.31	 	3	0.26	 	14	1.23	 	11	0.97	 	4	0.35	 	305	26.82	 	0	0	 	1137	97.76	 	26	2.24	 	1163	1.41
Roxby Downs		                                	4	0.38	 	16	1.52	 	16	1.52	 	9	0.86	 	406	38.67	 	1	0.1	 	42	4	 	5	0.48	 	16	1.52	 	4	0.38	 	7	0.67	 	524	49.9	 	0	0	 	1050	98.13	 	20	1.87	 	1070	1.3
Rudall		                                     	0	0	 	0	0	 	1	0.88	 	2	1.77	 	7	6.19	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.88	 	1	0.88	 	101	89.38	 	0	0	 	113	99.12	 	1	0.88	 	114	0.14
Scott		                                      	8	0.32	 	39	1.54	 	21	0.83	 	14	0.55	 	1677	66.34	 	12	0.47	 	184	7.28	 	16	0.63	 	29	1.15	 	26	1.03	 	6	0.24	 	495	19.58	 	1	0.04	 	2528	98.52	 	38	1.48	 	2566	3.12
Smoky Bay		                                  	0	0	 	4	2.16	 	6	3.24	 	0	0	 	16	8.65	 	0	0	 	12	6.49	 	0	0	 	2	1.08	 	0	0	 	0	0	 	145	78.38	 	0	0	 	185	98.93	 	2	1.07	 	187	0.23
Snowtown		                                   	2	0.46	 	1	0.23	 	4	0.92	 	6	1.37	 	91	20.82	 	0	0	 	19	4.35	 	1	0.23	 	2	0.46	 	3	0.69	 	1	0.23	 	307	70.25	 	0	0	 	437	97.76	 	10	2.24	 	447	0.54
Solomontown		                                	11	1.14	 	11	1.14	 	12	1.24	 	9	0.93	 	611	63.12	 	4	0.41	 	51	5.27	 	2	0.21	 	7	0.72	 	7	0.72	 	0	0	 	243	25.1	 	0	0	 	968	95.84	 	42	4.16	 	1010	1.23
Spalding		                                   	0	0	 	2	0.77	 	14	5.38	 	0	0	 	53	20.38	 	0	0	 	0	0	 	1	0.38	 	5	1.92	 	4	1.54	 	0	0	 	181	69.62	 	0	0	 	260	98.86	 	3	1.14	 	263	0.32
Stirling North		                             	3	0.33	 	15	1.64	 	16	1.74	 	18	1.96	 	458	49.95	 	2	0.22	 	42	4.58	 	6	0.65	 	13	1.42	 	12	1.31	 	3	0.33	 	328	35.77	 	1	0.11	 	917	98.18	 	17	1.82	 	934	1.14
Streaky Bay		                                	1	0.13	 	16	2.02	 	17	2.14	 	16	2.02	 	137	17.25	 	4	0.5	 	52	6.55	 	0	0	 	3	0.38	 	1	0.13	 	2	0.25	 	545	68.64	 	0	0	 	794	98.02	 	16	1.98	 	810	0.99
Terowie		                                    	1	0.79	 	1	0.79	 	1	0.79	 	0	0	 	46	36.51	 	2	1.59	 	5	3.97	 	0	0	 	0	0	 	4	3.17	 	2	1.59	 	64	50.79	 	0	0	 	126	96.18	 	5	3.82	 	131	0.16
Thevenard		                                  	1	0.47	 	3	1.42	 	5	2.37	 	2	0.95	 	96	45.5	 	0	0	 	10	4.74	 	2	0.95	 	1	0.47	 	0	0	 	0	0	 	91	43.13	 	0	0	 	211	98.6	 	3	1.4	 	214	0.26
Tumby Bay		                                  	3	0.29	 	5	0.49	 	62	6.04	 	21	2.04	 	197	19.18	 	1	0.1	 	28	2.73	 	0	0	 	2	0.19	 	5	0.49	 	3	0.29	 	700	68.16	 	0	0	 	1027	97.53	 	26	2.47	 	1053	1.28
Ungarra		                                    	0	0	 	0	0	 	5	3.23	 	16	10.32	 	17	10.97	 	0	0	 	7	4.52	 	0	0	 	1	0.65	 	0	0	 	0	0	 	109	70.32	 	0	0	 	155	98.73	 	2	1.27	 	157	0.19
Wandearah		                                  	0	0	 	0	0	 	2	2.2	 	2	2.2	 	8	8.79	 	0	0	 	1	1.1	 	1	1.1	 	0	0	 	0	0	 	1	1.1	 	76	83.52	 	0	0	 	91	100	 	0	0	 	91	0.11
Wangary		                                    	0	0	 	9	3.41	 	4	1.52	 	3	1.14	 	47	17.8	 	0	0	 	19	7.2	 	0	0	 	0	0	 	1	0.38	 	3	1.14	 	178	67.42	 	0	0	 	264	98.88	 	3	1.12	 	267	0.32
Wanilla		                                    	0	0	 	0	0	 	14	12.96	 	4	3.7	 	5	4.63	 	0	0	 	4	3.7	 	0	0	 	4	3.7	 	0	0	 	0	0	 	76	70.37	 	1	0.93	 	108	100	 	0	0	 	108	0.13
Warnertown		                                 	0	0	 	0	0	 	0	0	 	0	0	 	36	27.91	 	0	0	 	5	3.88	 	0	0	 	1	0.78	 	3	2.33	 	0	0	 	84	65.12	 	0	0	 	129	97.73	 	3	2.27	 	132	0.16
Warramboo		                                  	0	0	 	0	0	 	10	7.25	 	2	1.45	 	4	2.9	 	0	0	 	2	1.45	 	0	0	 	0	0	 	1	0.72	 	0	0	 	119	86.23	 	0	0	 	138	100	 	0	0	 	138	0.17
Whyalla		                                    	4	0.38	 	11	1.05	 	10	0.96	 	10	0.96	 	473	45.18	 	2	0.19	 	74	7.07	 	7	0.67	 	4	0.38	 	7	0.67	 	2	0.19	 	442	42.22	 	1	0.1	 	1047	97.76	 	24	2.24	 	1071	1.3
Whyalla Norrie		                             	5	0.26	 	32	1.66	 	14	0.73	 	28	1.45	 	1210	62.73	 	11	0.57	 	126	6.53	 	6	0.31	 	20	1.04	 	19	0.98	 	10	0.52	 	447	23.17	 	1	0.05	 	1929	98.02	 	39	1.98	 	1968	2.39
Whyalla Norrie South		                       	0	0	 	14	0.85	 	12	0.73	 	7	0.43	 	1186	72.14	 	4	0.24	 	63	3.83	 	1	0.06	 	33	2.01	 	15	0.91	 	4	0.24	 	305	18.55	 	0	0	 	1644	98.74	 	21	1.26	 	1665	2.03
Whyalla South		                              	15	0.66	 	23	1.02	 	19	0.84	 	24	1.06	 	1180	52.19	 	7	0.31	 	164	7.25	 	8	0.35	 	31	1.37	 	21	0.93	 	6	0.27	 	759	33.57	 	4	0.18	 	2261	97.84	 	50	2.16	 	2311	2.81
Whyalla Stuart		                             	2	0.15	 	17	1.26	 	11	0.82	 	19	1.41	 	894	66.32	 	6	0.45	 	85	6.31	 	3	0.22	 	11	0.82	 	10	0.74	 	1	0.07	 	288	21.36	 	1	0.07	 	1348	98.39	 	22	1.61	 	1370	1.67
Whyalla West		                               	13	0.62	 	40	1.89	 	10	0.47	 	38	1.8	 	1233	58.35	 	2	0.09	 	153	7.24	 	4	0.19	 	24	1.14	 	17	0.8	 	11	0.52	 	565	26.74	 	3	0.14	 	2113	98.05	 	42	1.95	 	2155	2.62
Willsden		                                   	5	0.34	 	20	1.36	 	18	1.22	 	10	0.68	 	974	66.08	 	7	0.47	 	53	3.6	 	3	0.2	 	19	1.29	 	16	1.09	 	9	0.61	 	340	23.07	 	0	0	 	1474	98.07	 	29	1.93	 	1503	1.83
Wilmington		                                 	1	0.25	 	4	1	 	8	2	 	7	1.75	 	111	27.75	 	0	0	 	21	5.25	 	1	0.25	 	4	1	 	3	0.75	 	3	0.75	 	237	59.25	 	0	0	 	400	98.04	 	8	1.96	 	408	0.5
Wirrabara		                                  	1	0.28	 	2	0.57	 	8	2.27	 	3	0.85	 	63	17.9	 	0	0	 	21	5.97	 	1	0.28	 	3	0.85	 	5	1.42	 	1	0.28	 	244	69.32	 	0	0	 	352	97.51	 	9	2.49	 	361	0.44
Wirrulla		                                   	0	0	 	0	0	 	9	6.12	 	0	0	 	5	3.4	 	0	0	 	4	2.72	 	1	0.68	 	0	0	 	1	0.68	 	1	0.68	 	126	85.71	 	0	0	 	147	99.32	 	1	0.68	 	148	0.18
Woomera		                                    	1	0.22	 	4	0.86	 	4	0.86	 	4	0.86	 	251	54.09	 	3	0.65	 	24	5.17	 	4	0.86	 	5	1.08	 	8	1.72	 	2	0.43	 	153	32.97	 	1	0.22	 	464	98.72	 	6	1.28	 	470	0.57
Wudinna		                                    	1	0.15	 	8	1.2	 	40	5.98	 	30	4.48	 	69	10.31	 	1	0.15	 	20	2.99	 	3	0.45	 	3	0.45	 	4	0.6	 	1	0.15	 	489	73.09	 	0	0	 	669	98.53	 	10	1.47	 	679	0.83
Yacka		                                      	2	1.89	 	1	0.94	 	11	10.38	 	0	0	 	15	14.15	 	0	0	 	8	7.55	 	0	0	 	2	1.89	 	1	0.94	 	1	0.94	 	65	61.32	 	0	0	 	106	99.07	 	1	0.93	 	107	0.13
Special Hospitals		                          	4	0.66	 	2	0.33	 	14	2.3	 	3	0.49	 	286	46.89	 	1	0.16	 	20	3.28	 	2	0.33	 	14	2.3	 	9	1.48	 	0	0	 	255	41.8	 	0	0	 	610	97.6	 	15	2.4	 	625	0.76
Remote Mobiles		                             	2	0.14	 	31	2.16	 	13	0.91	 	5	0.35	 	836	58.34	 	2	0.14	 	39	2.72	 	0	0	 	4	0.28	 	8	0.56	 	3	0.21	 	489	34.12	 	1	0.07	 	1433	98.08	 	28	1.92	 	1461	1.78
Prison Mobiles		                             	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0	 	0	0
Total Ordinary		                             	276	0.38	 	876	1.22	 	1538	2.14	 	823	1.15	 	30090	41.89	 	175	0.24	 	3732	5.2	 	238	0.33	 	689	0.96	 	565	0.79	 	236	0.33	 	32568	45.34	 	26	0.04	 	71832	98	 	1464	2	 	73296	89.15
ABSENT		                                     	12	0.29	 	79	1.91	 	75	1.82	 	61	1.48	 	1457	35.27	 	6	0.15	 	327	7.92	 	31	0.75	 	42	1.02	 	31	0.75	 	16	0.39	 	1992	48.22	 	2	0.05	 	4131	98.99	 	42	1.01	 	4173	5.08
POSTAL		                                     	3	0.11	 	19	0.72	 	78	2.95	 	29	1.1	 	696	26.32	 	1	0.04	 	125	4.73	 	8	0.3	 	16	0.61	 	26	0.98	 	11	0.42	 	1629	61.61	 	3	0.11	 	2644	99.17	 	22	0.83	 	2666	3.24
PRE_POLL		                                   	5	0.28	 	50	2.78	 	30	1.67	 	19	1.06	 	807	44.83	 	6	0.33	 	90	5	 	8	0.44	 	22	1.22	 	13	0.72	 	12	0.67	 	736	40.89	 	2	0.11	 	1800	97.88	 	39	2.12	 	1839	2.24
PROVISIONAL		                                	5	2.09	 	6	2.51	 	7	2.93	 	3	1.26	 	119	49.79	 	1	0.42	 	16	6.69	 	1	0.42	 	2	0.84	 	2	0.84	 	2	0.84	 	75	31.38	 	0	0	 	239	97.95	 	5	2.05	 	244	0.3
ADJUSTMENT		                                 	-2		       	1		       	-2		       	0		       	-4		       	0		       	5		       	0		       	0		       	-3		       	2		       	2		       	0		       	-1		       	0		       	-1	
Division Summary		                           	299	0.37	 	1031	1.28	 	1726	2.14	 	935	1.16	 	33165	41.12	 	189	0.23	 	4295	5.33	 	286	0.35	 	771	0.96	 	634	0.79	 	279	0.35	 	37002	45.88	 	33	0.04	 	80645	98.09	 	1572	1.91	 	82217	95.17
 																																																	


Hindmarsh (88799)																																																	

	   		Group Total RPA			Group Total GSA			Group Total NP			Group Total CTA			Group Total ALP			Group Total - Unendorsed Group F			Group Total DEM			Group Total NLP			Group Total EFF			Group Total GRY			Group Total AFI			Group Total LP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Adelaide (Hindmarsh)		                       	0	0	 	5	2.67	 	0	0	 	1	0.53	 	87	46.52	 	1	0.53	 	23	12.3	 	2	1.07	 	3	1.6	 	0	0	 	0	0	 	65	34.76	 	0	0	 	187	96.39	 	7	3.61	 	194	0.23
Ascot Park South		                           	10	0.95	 	6	0.57	 	4	0.38	 	7	0.66	 	507	48.01	 	2	0.19	 	86	8.14	 	8	0.76	 	13	1.23	 	6	0.57	 	8	0.76	 	397	37.59	 	2	0.19	 	1056	97.24	 	30	2.76	 	1086	1.29
Brooklyn Park		                              	14	0.75	 	24	1.29	 	3	0.16	 	21	1.13	 	761	40.83	 	8	0.43	 	156	8.37	 	13	0.7	 	5	0.27	 	5	0.27	 	7	0.38	 	846	45.39	 	1	0.05	 	1864	96.53	 	67	3.47	 	1931	2.28
