Senate - 1993 Election: Victoria																																																	
First Preference Votes by Group																																																	
By Polling Place																																																	


Aston (79158)																																																	

	   		Group Total CIR			Group Total JPI			Group Total AFI			Group Total NLP			Group Total CTA			Group Total DLP			Group Total LNP			Group Total RPA			Group Total ALP			Group Total DEM			Group Total - Unendorsed Group K			Group Total VGA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Churchill		                                  	17	0.53	 	24	0.74	 	19	0.59	 	7	0.22	 	17	0.53	 	27	0.83	 	919	28.39	 	3	0.09	 	2022	62.47	 	153	4.73	 	1	0.03	 	26	0.8	 	2	0.06	 	3237	98.27	 	57	1.73	 	3294	4.27
Cloverlea		                                  	2	1.63	 	1	0.81	 	3	2.44	 	0	0	 	1	0.81	 	0	0	 	91	73.98	 	0	0	 	23	18.7	 	2	1.63	 	0	0	 	0	0	 	0	0	 	123	97.62	 	3	2.38	 	126	0.16
Cora Lynn		                                  	2	1.44	 	0	0	 	0	0	 	0	0	 	0	0	 	1	0.72	 	111	79.86	 	0	0	 	21	15.11	 	3	2.16	 	0	0	 	0	0	 	1	0.72	 	139	99.29	 	1	0.71	 	140	0.18
Cumberland Park		                            	32	0.79	 	54	1.34	 	27	0.67	 	8	0.2	 	24	0.6	 	47	1.17	 	1711	42.5	 	2	0.05	 	1989	49.4	 	104	2.58	 	0	0	 	16	0.4	 	12	0.3	 	4026	97.36	 	109	2.64	 	4135	5.36
Darnum		                                     	3	0.84	 	7	1.97	 	1	0.28	 	0	0	 	3	0.84	 	0	0	 	216	60.67	 	5	1.4	 	102	28.65	 	16	4.49	 	0	0	 	2	0.56	 	1	0.28	 	356	95.96	 	15	4.04	 	371	0.48
Drouin		                                     	19	0.57	 	41	1.23	 	31	0.93	 	11	0.33	 	51	1.53	 	54	1.62	 	1970	59.27	 	2	0.06	 	1035	31.14	 	95	2.86	 	0	0	 	11	0.33	 	4	0.12	 	3324	97.76	 	76	2.24	 	3400	4.4
Drouin South		                               	1	0.22	 	6	1.34	 	3	0.67	 	0	0	 	8	1.79	 	4	0.89	 	332	74.11	 	1	0.22	 	74	16.52	 	13	2.9	 	0	0	 	6	1.34	 	0	0	 	448	98.25	 	8	1.75	 	456	0.59
Drouin West		                                	0	0	 	1	0.52	 	2	1.04	 	2	1.04	 	1	0.52	 	2	1.04	 	125	64.77	 	1	0.52	 	48	24.87	 	9	4.66	 	0	0	 	2	1.04	 	0	0	 	193	100	 	0	0	 	193	0.25
Ellinbank		                                  	0	0	 	0	0	 	4	1.31	 	2	0.65	 	3	0.98	 	1	0.33	 	218	71.24	 	1	0.33	 	64	20.92	 	10	3.27	 	0	0	 	3	0.98	 	0	0	 	306	100	 	0	0	 	306	0.4
Erica		                                      	6	2.41	 	5	2.01	 	0	0	 	2	0.8	 	0	0	 	0	0	 	126	50.6	 	1	0.4	 	93	37.35	 	9	3.61	 	0	0	 	7	2.81	 	0	0	 	249	95.77	 	11	4.23	 	260	0.34
Garfield		                                   	6	0.93	 	9	1.4	 	6	0.93	 	1	0.16	 	1	0.16	 	8	1.25	 	398	61.99	 	1	0.16	 	178	27.73	 	29	4.52	 	0	0	 	5	0.78	 	0	0	 	642	96.69	 	22	3.31	 	664	0.86
Hallora		                                    	0	0	 	4	2.45	 	0	0	 	0	0	 	2	1.23	 	0	0	 	121	74.23	 	0	0	 	30	18.4	 	4	2.45	 	0	0	 	1	0.61	 	1	0.61	 	163	98.79	 	2	1.21	 	165	0.21
Hazelwood North		                            	2	0.35	 	6	1.04	 	4	0.69	 	0	0	 	9	1.55	 	5	0.86	 	289	49.91	 	1	0.17	 	236	40.76	 	22	3.8	 	0	0	 	5	0.86	 	0	0	 	579	97.8	 	13	2.2	 	592	0.77
Hill End		                                   	2	1.5	 	1	0.75	 	3	2.26	 	0	0	 	2	1.5	 	2	1.5	 	85	63.91	 	0	0	 	34	25.56	 	1	0.75	 	0	0	 	2	1.5	 	1	0.75	 	133	100	 	0	0	 	133	0.17
Iona		                                       	1	0.43	 	1	0.43	 	0	0	 	2	0.87	 	1	0.43	 	3	1.3	 	171	74.35	 	0	0	 	45	19.57	 	4	1.74	 	0	0	 	2	0.87	 	0	0	 	230	98.29	 	4	1.71	 	234	0.3
Jindivick		                                  	0	0	 	1	0.39	 	3	1.17	 	0	0	 	8	3.11	 	3	1.17	 	170	66.15	 	1	0.39	 	54	21.01	 	13	5.06	 	0	0	 	4	1.56	 	0	0	 	257	99.61	 	1	0.39	 	258	0.33
Labertouche		                                	1	0.45	 	1	0.45	 	1	0.45	 	0	0	 	3	1.35	 	5	2.24	 	155	69.51	 	1	0.45	 	49	21.97	 	4	1.79	 	0	0	 	2	0.9	 	1	0.45	 	223	99.11	 	2	0.89	 	225	0.29
Lillico		                                    	0	0	 	0	0	 	1	0.46	 	1	0.46	 	2	0.91	 	1	0.46	 	182	83.11	 	0	0	 	28	12.79	 	3	1.37	 	0	0	 	1	0.46	 	0	0	 	219	99.55	 	1	0.45	 	220	0.28
Longwarry		                                  	8	1.25	 	8	1.25	 	3	0.47	 	4	0.62	 	11	1.72	 	8	1.25	 	385	60.06	 	0	0	 	192	29.95	 	17	2.65	 	0	0	 	5	0.78	 	0	0	 	641	96.83	 	21	3.17	 	662	0.86
Longwarry North		                            	0	0	 	1	1.02	 	1	1.02	 	0	0	 	0	0	 	2	2.04	 	80	81.63	 	0	0	 	12	12.24	 	2	2.04	 	0	0	 	0	0	 	0	0	 	98	98.99	 	1	1.01	 	99	0.13
Maryknoll		                                  	3	1.03	 	6	2.06	 	2	0.69	 	1	0.34	 	1	0.34	 	9	3.09	 	155	53.26	 	0	0	 	103	35.4	 	9	3.09	 	0	0	 	2	0.69	 	0	0	 	291	98.64	 	4	1.36	 	295	0.38
Moe		                                        	25	0.81	 	25	0.81	 	22	0.71	 	7	0.23	 	19	0.61	 	38	1.23	 	1062	34.24	 	2	0.06	 	1800	58.03	 	71	2.29	 	0	0	 	15	0.48	 	16	0.52	 	3102	96.31	 	119	3.69	 	3221	4.17
Moe Central		                                	13	0.88	 	11	0.75	 	10	0.68	 	2	0.14	 	7	0.47	 	25	1.69	 	318	21.56	 	5	0.34	 	1050	71.19	 	22	1.49	 	0	0	 	11	0.75	 	1	0.07	 	1475	96.34	 	56	3.66	 	1531	1.98
Moe West		                                   	19	0.9	 	34	1.61	 	12	0.57	 	5	0.24	 	6	0.28	 	29	1.37	 	553	26.17	 	6	0.28	 	1375	65.07	 	52	2.46	 	0	0	 	18	0.85	 	4	0.19	 	2113	96.26	 	82	3.74	 	2195	2.84
Morwell		                                    	16	0.97	 	12	0.73	 	10	0.61	 	1	0.06	 	13	0.79	 	26	1.58	 	613	37.15	 	1	0.06	 	899	54.48	 	46	2.79	 	0	0	 	12	0.73	 	1	0.06	 	1650	95.38	 	80	4.62	 	1730	2.24
Morwell Central		                            	27	1.11	 	25	1.02	 	20	0.82	 	3	0.12	 	22	0.9	 	48	1.97	 	746	30.55	 	5	0.2	 	1437	58.85	 	91	3.73	 	0	0	 	16	0.66	 	2	0.08	 	2442	95.84	 	106	4.16	 	2548	3.3
Morwell Estate		                             	25	0.88	 	28	0.98	 	11	0.39	 	3	0.11	 	20	0.7	 	34	1.19	 	894	31.35	 	5	0.18	 	1741	61.04	 	75	2.63	 	0	0	 	10	0.35	 	6	0.21	 	2852	97.91	 	61	2.09	 	2913	3.77
Morwell North		                              	16	0.82	 	18	0.92	 	19	0.97	 	6	0.31	 	8	0.41	 	29	1.48	 	515	26.28	 	2	0.1	 	1279	65.26	 	44	2.24	 	0	0	 	20	1.02	 	4	0.2	 	1960	97.03	 	60	2.97	 	2020	2.62
Nar Nar Goon		                               	3	0.5	 	6	1	 	3	0.5	 	3	0.5	 	1	0.17	 	4	0.66	 	386	64.12	 	1	0.17	 	174	28.9	 	14	2.33	 	0	0	 	7	1.16	 	0	0	 	602	97.89	 	13	2.11	 	615	0.8
Nar Nar Goon North		                         	0	0	 	1	0.4	 	7	2.78	 	1	0.4	 	1	0.4	 	3	1.19	 	148	58.73	 	0	0	 	74	29.37	 	14	5.56	 	0	0	 	3	1.19	 	0	0	 	252	97.67	 	6	2.33	 	258	0.33
Narracan		                                   	0	0	 	7	3.5	 	2	1	 	1	0.5	 	1	0.5	 	4	2	 	122	61	 	0	0	 	55	27.5	 	6	3	 	0	0	 	1	0.5	 	1	0.5	 	200	99.01	 	2	0.99	 	202	0.26
Neerim Junction		                            	1	0.46	 	2	0.92	 	1	0.46	 	4	1.84	 	8	3.69	 	2	0.92	 	148	68.2	 	0	0	 	41	18.89	 	6	2.76	 	0	0	 	4	1.84	 	0	0	 	217	97.75	 	5	2.25	 	222	0.29
Neerim South		                               	4	0.54	 	9	1.21	 	4	0.54	 	0	0	 	9	1.21	 	11	1.48	 	465	62.5	 	3	0.4	 	205	27.55	 	25	3.36	 	0	0	 	6	0.81	 	3	0.4	 	744	97.13	 	22	2.87	 	766	0.99
Newborough		                                 	29	1.27	 	19	0.83	 	15	0.66	 	6	0.26	 	18	0.79	 	32	1.4	 	725	31.74	 	2	0.09	 	1335	58.45	 	75	3.28	 	0	0	 	19	0.83	 	9	0.39	 	2284	96.41	 	85	3.59	 	2369	3.07
Newborough East		                            	18	1.07	 	16	0.95	 	8	0.47	 	4	0.24	 	13	0.77	 	22	1.3	 	447	26.51	 	2	0.12	 	1091	64.71	 	50	2.97	 	1	0.06	 	11	0.65	 	3	0.18	 	1686	98.02	 	34	1.98	 	1720	2.23
Nilma		                                      	3	1.59	 	0	0	 	2	1.06	 	0	0	 	5	2.65	 	2	1.06	 	122	64.55	 	0	0	 	45	23.81	 	7	3.7	 	0	0	 	3	1.59	 	0	0	 	189	98.95	 	2	1.05	 	191	0.25
Noojee		                                     	2	1.26	 	3	1.89	 	1	0.63	 	1	0.63	 	1	0.63	 	2	1.26	 	98	61.64	 	0	0	 	43	27.04	 	6	3.77	 	0	0	 	2	1.26	 	0	0	 	159	96.95	 	5	3.05	 	164	0.21
Officer (McMillan)		                         	0	0	 	2	0.79	 	5	1.98	 	0	0	 	1	0.4	 	4	1.59	 	184	73.02	 	0	0	 	42	16.67	 	11	4.37	 	0	0	 	2	0.79	 	1	0.4	 	252	97.67	 	6	2.33	 	258	0.33
Pakenham		                                   	15	0.69	 	18	0.83	 	12	0.55	 	12	0.55	 	19	0.87	 	24	1.1	 	1122	51.49	 	1	0.05	 	851	39.05	 	85	3.9	 	0	0	 	19	0.87	 	1	0.05	 	2179	96.72	 	74	3.28	 	2253	2.92
Pakenham Central		                           	22	1.06	 	15	0.72	 	13	0.62	 	6	0.29	 	17	0.82	 	16	0.77	 	1172	56.32	 	3	0.14	 	747	35.9	 	50	2.4	 	0	0	 	20	0.96	 	0	0	 	2081	96.66	 	72	3.34	 	2153	2.79
Pakenham North		                             	0	0	 	2	0.93	 	0	0	 	3	1.4	 	0	0	 	0	0	 	153	71.16	 	1	0.47	 	46	21.4	 	8	3.72	 	0	0	 	1	0.47	 	1	0.47	 	215	99.08	 	2	0.92	 	217	0.28
Pakenham South		                             	0	0	 	2	1.01	 	2	1.01	 	1	0.51	 	1	0.51	 	3	1.52	 	131	66.16	 	0	0	 	50	25.25	 	6	3.03	 	0	0	 	0	0	 	2	1.01	 	198	96.59	 	7	3.41	 	205	0.27
Pakenham Upper		                             	0	0	 	2	0.43	 	5	1.08	 	3	0.65	 	6	1.29	 	4	0.86	 	306	65.95	 	0	0	 	122	26.29	 	7	1.51	 	0	0	 	8	1.72	 	1	0.22	 	464	97.48	 	12	2.52	 	476	0.62
Rawson		                                     	1	0.65	 	3	1.96	 	1	0.65	 	0	0	 	0	0	 	3	1.96	 	46	30.07	 	0	0	 	84	54.9	 	9	5.88	 	0	0	 	3	1.96	 	3	1.96	 	153	99.35	 	1	0.65	 	154	0.2
Ripplebrook		                                	0	0	 	1	0.72	 	1	0.72	 	1	0.72	 	1	0.72	 	0	0	 	105	76.09	 	0	0	 	22	15.94	 	5	3.62	 	0	0	 	2	1.45	 	0	0	 	138	100	 	0	0	 	138	0.18
Rokeby		                                     	1	0.47	 	2	0.95	 	0	0	 	0	0	 	4	1.9	 	1	0.47	 	122	57.82	 	0	0	 	66	31.28	 	10	4.74	 	0	0	 	5	2.37	 	0	0	 	211	99.06	 	2	0.94	 	213	0.28
Tanjil South		                               	1	0.37	 	5	1.83	 	3	1.1	 	0	0	 	0	0	 	1	0.37	 	151	55.31	 	1	0.37	 	95	34.8	 	8	2.93	 	0	0	 	3	1.1	 	5	1.83	 	273	96.47	 	10	3.53	 	283	0.37
Tetoora Road		                               	1	1.09	 	1	1.09	 	0	0	 	0	0	 	2	2.17	 	1	1.09	 	65	70.65	 	1	1.09	 	19	20.65	 	1	1.09	 	0	0	 	1	1.09	 	0	0	 	92	96.84	 	3	3.16	 	95	0.12
Thorpdale		                                  	0	0	 	7	1.29	 	7	1.29	 	3	0.55	 	9	1.66	 	2	0.37	 	354	65.31	 	0	0	 	142	26.2	 	12	2.21	 	0	0	 	6	1.11	 	0	0	 	542	98.01	 	11	1.99	 	553	0.72
Tonimbuk		                                   	1	1.18	 	5	5.88	 	0	0	 	0	0	 	0	0	 	0	0	 	65	76.47	 	0	0	 	13	15.29	 	1	1.18	 	0	0	 	0	0	 	0	0	 	85	96.59	 	3	3.41	 	88	0.11
Toomuc Valley		                              	0	0	 	2	0.97	 	2	0.97	 	1	0.49	 	1	0.49	 	2	0.97	 	139	67.48	 	0	0	 	47	22.82	 	5	2.43	 	0	0	 	7	3.4	 	0	0	 	206	98.56	 	3	1.44	 	209	0.27
Trafalgar		                                  	18	0.9	 	15	0.75	 	16	0.8	 	7	0.35	 	6	0.3	 	24	1.2	 	1094	54.73	 	2	0.1	 	734	36.72	 	62	3.1	 	0	0	 	14	0.7	 	7	0.35	 	1999	97.09	 	60	2.91	 	2059	2.67
Traralgon		                                  	25	0.71	 	33	0.93	 	24	0.68	 	7	0.2	 	23	0.65	 	37	1.05	 	1646	46.59	 	3	0.08	 	1548	43.82	 	157	4.44	 	0	0	 	23	0.65	 	7	0.2	 	3533	96.03	 	146	3.97	 	3679	4.77
Traralgon East		                             	19	0.58	 	32	0.97	 	26	0.79	 	12	0.36	 	24	0.73	 	46	1.39	 	1308	39.64	 	4	0.12	 	1719	52.09	 	83	2.52	 	0	0	 	24	0.73	 	3	0.09	 	3300	97.35	 	90	2.65	 	3390	4.39
Traralgon South		                            	1	0.24	 	17	4.07	 	2	0.48	 	0	0	 	3	0.72	 	4	0.96	 	182	43.54	 	0	0	 	180	43.06	 	23	5.5	 	0	0	 	6	1.44	 	0	0	 	418	99.05	 	4	0.95	 	422	0.55
Traralgon West		                             	5	0.42	 	6	0.51	 	3	0.25	 	1	0.08	 	11	0.93	 	9	0.76	 	560	47.34	 	2	0.17	 	533	45.05	 	43	3.63	 	0	0	 	9	0.76	 	1	0.08	 	1183	97.37	 	32	2.63	 	1215	1.57
Tyers		                                      	5	1.04	 	4	0.83	 	6	1.24	 	2	0.41	 	2	0.41	 	6	1.24	 	237	49.07	 	1	0.21	 	187	38.72	 	28	5.8	 	0	0	 	4	0.83	 	1	0.21	 	483	98.57	 	7	1.43	 	490	0.63
Tynong		                                     	5	1.81	 	1	0.36	 	3	1.08	 	0	0	 	0	0	 	5	1.81	 	164	59.21	 	0	0	 	92	33.21	 	7	2.53	 	0	0	 	0	0	 	0	0	 	277	95.52	 	13	4.48	 	290	0.38
Tynong North		                               	0	0	 	3	1.66	 	0	0	 	0	0	 	5	2.76	 	4	2.21	 	100	55.25	 	0	0	 	54	29.83	 	11	6.08	 	0	0	 	3	1.66	 	1	0.55	 	181	99.45	 	1	0.55	 	182	0.24
Warragul		                                   	28	0.8	 	32	0.91	 	25	0.71	 	15	0.43	 	39	1.11	 	46	1.31	 	1997	56.98	 	7	0.2	 	1171	33.41	 	118	3.37	 	0	0	 	22	0.63	 	5	0.14	 	3505	98.01	 	71	1.99	 	3576	4.63
Warragul East		                              	7	0.76	 	12	1.31	 	10	1.09	 	3	0.33	 	11	1.2	 	5	0.55	 	498	54.37	 	1	0.11	 	336	36.68	 	25	2.73	 	0	0	 	6	0.66	 	2	0.22	 	916	97.14	 	27	2.86	 	943	1.22
Warragul North		                             	4	0.32	 	8	0.64	 	11	0.89	 	2	0.16	 	18	1.45	 	9	0.73	 	779	62.77	 	0	0	 	361	29.09	 	35	2.82	 	0	0	 	12	0.97	 	2	0.16	 	1241	97.95	 	26	2.05	 	1267	1.64
Willowgrove		                                	1	0.26	 	4	1.03	 	1	0.26	 	1	0.26	 	2	0.51	 	1	0.26	 	237	60.93	 	1	0.26	 	121	31.11	 	15	3.86	 	0	0	 	2	0.51	 	3	0.77	 	389	98.23	 	7	1.77	 	396	0.51
Yallourn North		                             	8	0.75	 	11	1.03	 	8	0.75	 	5	0.47	 	8	0.75	 	10	0.94	 	283	26.5	 	2	0.19	 	708	66.29	 	22	2.06	 	0	0	 	3	0.28	 	0	0	 	1068	97.18	 	31	2.82	 	1099	1.42
Yarragon		                                   	5	0.6	 	7	0.84	 	12	1.44	 	6	0.72	 	4	0.48	 	10	1.2	 	449	53.97	 	1	0.12	 	301	36.18	 	23	2.76	 	0	0	 	13	1.56	 	1	0.12	 	832	96.74	 	28	3.26	 	860	1.11
Special Hospitals		                          	10	2.46	 	2	0.49	 	0	0	 	0	0	 	3	0.74	 	11	2.7	 	206	50.61	 	2	0.49	 	164	40.29	 	9	2.21	 	0	0	 	0	0	 	0	0	 	407	96.22	 	16	3.78	 	423	0.55
Total Ordinary		                             	502	0.76	 	661	1	 	469	0.71	 	183	0.28	 	549	0.83	 	799	1.21	 	30191	45.59	 	88	0.13	 	30115	45.47	 	2058	3.11	 	2	0	 	487	0.74	 	121	0.18	 	66225	97.23	 	1886	2.77	 	68111	88.22
ABSENT		                                     	18	0.46	 	51	1.31	 	30	0.77	 	23	0.59	 	39	1	 	70	1.8	 	1730	44.56	 	15	0.39	 	1682	43.33	 	156	4.02	 	0	0	 	64	1.65	 	4	0.1	 	3882	98.23	 	70	1.77	 	3952	5.12
POSTAL		                                     	27	1.12	 	15	0.62	 	41	1.71	 	4	0.17	 	24	1	 	27	1.12	 	1217	50.65	 	7	0.29	 	929	38.66	 	78	3.25	 	0	0	 	27	1.12	 	7	0.29	 	2403	98.73	 	31	1.27	 	2434	3.15
PRE_POLL		                                   	14	0.58	 	21	0.88	 	32	1.34	 	9	0.38	 	15	0.63	 	46	1.92	 	1123	46.89	 	4	0.17	 	1020	42.59	 	82	3.42	 	0	0	 	26	1.09	 	3	0.13	 	2395	98.16	 	45	1.84	 	2440	3.16
PROVISIONAL		                                	8	3.08	 	0	0	 	6	2.31	 	1	0.38	 	0	0	 	5	1.92	 	94	36.15	 	1	0.38	 	139	53.46	 	4	1.54	 	0	0	 	2	0.77	 	0	0	 	260	97.38	 	7	2.62	 	267	0.35
ADJUSTMENT		                                 	2		       	0		       	2		       	-1		       	2		       	-1		       	11		       	1		       	12		       	1		       	0		       	1		       	-1		       	29		       	-28		       	1	
Division Summary		                           	571	0.76	 	748	0.99	 	580	0.77	 	219	0.29	 	629	0.84	 	946	1.26	 	34366	45.7	 	116	0.15	 	33897	45.08	 	2379	3.16	 	2	0	 	607	0.81	 	134	0.18	 	75194	97.4	 	2011	2.6	 	77205	97.24
 																																																	


Melbourne (81474)																																																	

	   		Group Total CIR			Group Total JPI			Group Total AFI			Group Total NLP			Group Total CTA			Group Total DLP			Group Total LNP			Group Total RPA			Group Total ALP			Group Total DEM			Group Total - Unendorsed Group K			Group Total VGA			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Abottsford		                                 	10	1.19	 	15	1.79	 	4	0.48	 	13	1.55	 	2	0.24	 	17	2.03	 	136	16.21	 	6	0.72	 	558	66.51	 	42	5.01	 	0	0	 	26	3.1	 	10	1.19	 	839	97.44	 	22	2.56	 	861	1.13
Ascot Vale		                                 	13	2.06	 	6	0.95	 	6	0.95	 	1	0.16	 	2	0.32	 	12	1.9	 	81	12.86	 	2	0.32	 	484	76.83	 	15	2.38	 	1	0.16	 	7	1.11	 	0	0	 	630	93.61	 	43	6.39	 	673	0.88
Ascot Vale Central		                         	27	1.23	 	64	2.91	 	9	0.41	 	9	0.41	 	13	0.59	 	50	2.27	 	565	25.71	 	3	0.14	 	1362	61.97	 	68	3.09	 	0	0	 	25	1.14	 	3	0.14	 	2198	95.19	 	111	4.81	 	2309	3.03
Ascot Vale East		                            	18	0.88	 	46	2.26	 	5	0.25	 	10	0.49	 	5	0.25	 	24	1.18	 	561	27.51	 	5	0.25	 	1248	61.21	 	75	3.68	 	0	0	 	39	1.91	 	3	0.15	 	2039	95.19	 	103	4.81	 	2142	2.81
Ascot Vale West		                            	17	1.12	 	28	1.84	 	13	0.86	 	5	0.33	 	4	0.26	 	26	1.71	 	527	34.72	 	3	0.2	 	818	53.89	 	50	3.29	 	0	0	 	23	1.52	 	4	0.26	 	1518	95.41	 	73	4.59	 	1591	2.09
Blyth		                                      	23	1.72	 	36	2.7	 	8	0.6	 	2	0.15	 	2	0.15	 	21	1.57	 	209	15.67	 	3	0.22	 	949	71.14	 	10	0.75	 	0	0	 	66	4.95	 	5	0.37	 	1334	94.61	 	76	5.39	 	1410	1.85
Brunswick East		                             	22	1.25	 	43	2.44	 	6	0.34	 	5	0.28	 	2	0.11	 	26	1.48	 	411	23.33	 	5	0.28	 	1115	63.28	 	79	4.48	 	0	0	 	39	2.21	 	9	0.51	 	1762	95.97	 	74	4.03	 	1836	2.41
Brunswick South		                            	19	1.72	 	27	2.45	 	10	0.91	 	2	0.18	 	4	0.36	 	19	1.72	 	191	17.3	 	0	0	 	748	67.75	 	49	4.44	 	0	0	 	27	2.45	 	8	0.72	 	1104	93.64	 	75	6.36	 	1179	1.55
Brunswick South East		                       	17	2.01	 	32	3.78	 	4	0.47	 	2	0.24	 	2	0.24	 	13	1.54	 	196	23.17	 	1	0.12	 	484	57.21	 	59	6.97	 	1	0.12	 	29	3.43	 	6	0.71	 	846	95.81	 	37	4.19	 	883	1.16
Brunswick South West		                       	36	1.48	 	62	2.55	 	12	0.49	 	7	0.29	 	8	0.33	 	40	1.65	 	599	24.68	 	3	0.12	 	1503	61.93	 	98	4.04	 	0	0	 	40	1.65	 	19	0.78	 	2427	94.62	 	138	5.38	 	2565	3.36
Brunswick West		                             	5	2.09	 	10	4.18	 	1	0.42	 	0	0	 	1	0.42	 	11	4.6	 	42	17.57	 	1	0.42	 	143	59.83	 	17	7.11	 	0	0	 	8	3.35	 	0	0	 	239	93.73	 	16	6.27	 	255	0.33
Carlton		                                    	25	1.38	 	49	2.7	 	12	0.66	 	11	0.61	 	9	0.5	 	36	1.99	 	324	17.88	 	5	0.28	 	1207	66.61	 	83	4.58	 	1	0.06	 	43	2.37	 	7	0.39	 	1812	93.21	 	132	6.79	 	1944	2.55
Carlton Central		                            	18	0.83	 	109	5.05	 	11	0.51	 	24	1.11	 	6	0.28	 	23	1.07	 	534	24.73	 	5	0.23	 	1193	55.26	 	149	6.9	 	2	0.09	 	69	3.2	 	16	0.74	 	2159	96.9	 	69	3.1	 	2228	2.92
Carlton North		                              	15	0.77	 	63	3.23	 	10	0.51	 	16	0.82	 	9	0.46	 	17	0.87	 	568	29.08	 	6	0.31	 	1001	51.25	 	166	8.5	 	1	0.05	 	67	3.43	 	14	0.72	 	1953	97.02	 	60	2.98	 	2013	2.64
Carlton South		                              	6	0.95	 	19	3.01	 	5	0.79	 	2	0.32	 	0	0	 	2	0.32	 	251	39.72	 	1	0.16	 	303	47.94	 	24	3.8	 	0	0	 	16	2.53	 	3	0.47	 	632	95.18	 	32	4.82	 	664	0.87
Clifton Hill		                               	12	0.76	 	99	6.25	 	2	0.13	 	8	0.5	 	1	0.06	 	14	0.88	 	306	19.31	 	2	0.13	 	989	62.4	 	88	5.55	 	0	0	 	55	3.47	 	9	0.57	 	1585	97.12	 	47	2.88	 	1632	2.14
Collingwood		                                	40	1.48	 	57	2.11	 	10	0.37	 	9	0.33	 	5	0.19	 	46	1.71	 	414	15.36	 	10	0.37	 	1880	69.73	 	137	5.08	 	0	0	 	64	2.37	 	24	0.89	 	2696	94.5	 	157	5.5	 	2853	3.74
Collingwood North		                          	13	0.83	 	87	5.57	 	4	0.26	 	13	0.83	 	1	0.06	 	15	0.96	 	340	21.75	 	3	0.19	 	935	59.82	 	79	5.05	 	1	0.06	 	55	3.52	 	17	1.09	 	1563	96.72	 	53	3.28	 	1616	2.12
Cremorne		                                   	4	0.93	 	12	2.8	 	1	0.23	 	4	0.93	 	0	0	 	1	0.23	 	142	33.1	 	0	0	 	229	53.38	 	27	6.29	 	0	0	 	8	1.86	 	1	0.23	 	429	96.19	 	17	3.81	 	446	0.58
Delbridge		                                  	6	0.58	 	50	4.86	 	7	0.68	 	5	0.49	 	1	0.1	 	6	0.58	 	246	23.93	 	3	0.29	 	552	53.7	 	93	9.05	 	0	0	 	48	4.67	 	11	1.07	 	1028	98.28	 	18	1.72	 	1046	1.37
East Melbourne		                             	8	0.6	 	40	3.01	 	4	0.3	 	10	0.75	 	4	0.3	 	13	0.98	 	667	50.15	 	3	0.23	 	466	35.04	 	64	4.81	 	0	0	 	36	2.71	 	15	1.13	 	1330	97.65	 	32	2.35	 	1362	1.79
Edward		                                     	25	1.82	 	37	2.7	 	6	0.44	 	5	0.36	 	3	0.22	 	28	2.04	 	266	19.42	 	4	0.29	 	876	63.94	 	59	4.31	 	0	0	 	50	3.65	 	11	0.8	 	1370	95.07	 	71	4.93	 	1441	1.89
Fitzroy		                                    	57	1.81	 	122	3.88	 	11	0.35	 	16	0.51	 	2	0.06	 	60	1.91	 	553	17.61	 	4	0.13	 	2029	64.6	 	180	5.73	 	1	0.03	 	88	2.8	 	18	0.57	 	3141	96.06	 	129	3.94	 	3270	4.29
Fitzroy Central		                            	8	1.08	 	18	2.44	 	3	0.41	 	3	0.41	 	4	0.54	 	10	1.35	 	192	25.98	 	2	0.27	 	425	57.51	 	45	6.09	 	0	0	 	27	3.65	 	2	0.27	 	739	94.62	 	42	5.38	 	781	1.02
Fitzroy North		                              	26	1.15	 	113	4.98	 	8	0.35	 	12	0.53	 	4	0.18	 	22	0.97	 	497	21.91	 	6	0.26	 	1339	59.04	 	151	6.66	 	1	0.04	 	73	3.22	 	16	0.71	 	2268	96.8	 	75	3.2	 	2343	3.07
Flemington		                                 	36	1.29	 	67	2.39	 	9	0.32	 	6	0.21	 	1	0.04	 	52	1.86	 	556	19.87	 	7	0.25	 	1901	67.94	 	104	3.72	 	0	0	 	42	1.5	 	17	0.61	 	2798	95.07	 	145	4.93	 	2943	3.86
Flemington Racecourse		                      	0	0	 	0	0	 	1	3.13	 	0	0	 	1	3.13	 	0	0	 	10	31.25	 	0	0	 	20	62.5	 	0	0	 	0	0	 	0	0	 	0	0	 	32	96.97	 	1	3.03	 	33	0.04
Hotham Hill		                                	19	2.19	 	4	0.46	 	5	0.58	 	1	0.12	 	2	0.23	 	17	1.96	 	107	12.31	 	6	0.69	 	681	78.37	 	16	1.84	 	0	0	 	6	0.69	 	5	0.58	 	869	90.15	 	95	9.85	 	964	1.26
