Senate - 1993 Election: Western Australia																																											
First Preference Votes by Group																																											
By Polling Place																																											


Brand (80370)																																											

	   		Group Total CTA			Group Total NLP			Group Total GWA			Group Total RPA			Group Total ALP			Group Total LP			Group Total CEG			Group Total DEM			Group Total NP			Group Total - Unendorsed Group J			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Thornlie South		                             	34	1.95	 	5	0.29	 	58	3.33	 	3	0.17	 	722	41.4	 	865	49.6	 	2	0.11	 	47	2.69	 	6	0.34	 	1	0.06	 	1	0.06	 	1744	98.48	 	27	1.52	 	1771	2.61
Thornlie West		                              	42	1.67	 	1	0.04	 	88	3.5	 	7	0.28	 	1127	44.79	 	1132	44.99	 	2	0.08	 	106	4.21	 	4	0.16	 	4	0.16	 	3	0.12	 	2516	98.36	 	42	1.64	 	2558	3.78
Westfield		                                  	38	2.41	 	2	0.13	 	62	3.94	 	2	0.13	 	827	52.54	 	569	36.15	 	4	0.25	 	57	3.62	 	10	0.64	 	2	0.13	 	1	0.06	 	1574	97.7	 	37	2.3	 	1611	2.38
Westfield South		                            	40	2.18	 	5	0.27	 	79	4.31	 	4	0.22	 	996	54.4	 	632	34.52	 	2	0.11	 	66	3.6	 	4	0.22	 	0	0	 	3	0.16	 	1831	97.55	 	46	2.45	 	1877	2.77
Wungong		                                    	70	4.7	 	5	0.34	 	70	4.7	 	4	0.27	 	816	54.8	 	474	31.83	 	0	0	 	41	2.75	 	4	0.27	 	5	0.34	 	0	0	 	1489	97.32	 	41	2.68	 	1530	2.26
Special Hospitals		                          	4	1.57	 	0	0	 	4	1.57	 	0	0	 	92	36.08	 	150	58.82	 	1	0.39	 	4	1.57	 	0	0	 	0	0	 	0	0	 	255	97.33	 	7	2.67	 	262	0.39
Prison Mobiles		                             	0	0	 	0	0	 	0	0	 	0	0	 	1	25	 	2	50	 	0	0	 	1	25	 	0	0	 	0	0	 	0	0	 	4	100	 	0	0	 	4	0.01
Total Ordinary		                             	1570	2.64	 	156	0.26	 	2584	4.34	 	94	0.16	 	26124	43.92	 	26221	44.09	 	65	0.11	 	2238	3.76	 	246	0.41	 	74	0.12	 	104	0.17	 	59476	97.93	 	1259	2.07	 	60735	89.64
ABSENT		                                     	74	1.77	 	13	0.31	 	303	7.25	 	8	0.19	 	1770	42.35	 	1775	42.47	 	2	0.05	 	186	4.45	 	35	0.84	 	8	0.19	 	5	0.12	 	4179	98.54	 	62	1.46	 	4241	6.26
POSTAL		                                     	22	2	 	3	0.27	 	38	3.46	 	3	0.27	 	399	36.31	 	571	51.96	 	2	0.18	 	37	3.37	 	18	1.64	 	3	0.27	 	3	0.27	 	1099	98.83	 	13	1.17	 	1112	1.64
PRE_POLL		                                   	22	1.61	 	4	0.29	 	55	4.03	 	4	0.29	 	533	39.05	 	681	49.89	 	4	0.29	 	49	3.59	 	8	0.59	 	1	0.07	 	4	0.29	 	1365	99.27	 	10	0.73	 	1375	2.03
PROVISIONAL		                                	2	0.7	 	1	0.35	 	17	5.96	 	0	0	 	138	48.42	 	110	38.6	 	0	0	 	17	5.96	 	0	0	 	0	0	 	0	0	 	285	97.94	 	6	2.06	 	291	0.43
ADJUSTMENT		                                 	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0		       	0	
Division Summary		                           	1690	2.55	 	177	0.27	 	2997	4.51	 	109	0.16	 	28964	43.62	 	29358	44.21	 	73	0.11	 	2527	3.81	 	307	0.46	 	86	0.13	 	116	0.17	 	66404	98.01	 	1350	1.99	 	67754	96.17
 																																											


Cowan (74514)																																											

	   		Group Total CTA			Group Total NLP			Group Total GWA			Group Total RPA			Group Total ALP			Group Total LP			Group Total CEG			Group Total DEM			Group Total NP			Group Total - Unendorsed Group J			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Alexander Heights		                          	25	1.1	 	5	0.22	 	99	4.36	 	9	0.4	 	1007	44.36	 	1018	44.85	 	4	0.18	 	94	4.14	 	7	0.31	 	0	0	 	2	0.09	 	2270	98.48	 	35	1.52	 	2305	3.19
Balga (Cowan)		                              	21	1.82	 	3	0.26	 	40	3.47	 	4	0.35	 	686	59.5	 	364	31.57	 	1	0.09	 	29	2.52	 	3	0.26	 	0	0	 	2	0.17	 	1153	96.08	 	47	3.92	 	1200	1.66
