Senate - 1993 Election: Western Australia																																											
First Preference Votes by Group																																											
By Polling Place																																											


Brand (80370)																																											

	   		Group Total CTA			Group Total NLP			Group Total GWA			Group Total RPA			Group Total ALP			Group Total LP			Group Total CEG			Group Total DEM			Group Total NP			Group Total - Unendorsed Group J			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Joondalup		                                  	13	0.8	 	1	0.06	 	75	4.61	 	5	0.31	 	746	45.82	 	727	44.66	 	1	0.06	 	54	3.32	 	5	0.31	 	1	0.06	 	0	0	 	1628	99.09	 	15	0.91	 	1643	2.24
Kallaroo		                                   	10	0.35	 	2	0.07	 	126	4.47	 	7	0.25	 	862	30.56	 	1631	57.82	 	6	0.21	 	157	5.57	 	16	0.57	 	2	0.07	 	2	0.07	 	2821	98.91	 	31	1.09	 	2852	3.89
Marmion		                                    	9	0.5	 	5	0.28	 	125	6.94	 	2	0.11	 	470	26.11	 	1114	61.89	 	1	0.06	 	66	3.67	 	6	0.33	 	1	0.06	 	1	0.06	 	1800	98.79	 	22	1.21	 	1822	2.49
Mullaloo		                                   	24	0.84	 	8	0.28	 	174	6.09	 	5	0.17	 	975	34.1	 	1477	51.66	 	1	0.03	 	171	5.98	 	19	0.66	 	2	0.07	 	3	0.1	 	2859	98.59	 	41	1.41	 	2900	3.96
North Beach		                                	15	0.95	 	3	0.19	 	158	9.96	 	1	0.06	 	474	29.87	 	839	52.87	 	1	0.06	 	87	5.48	 	8	0.5	 	0	0	 	1	0.06	 	1587	98.51	 	24	1.49	 	1611	2.2
North Beach Central		                        	8	0.85	 	1	0.11	 	51	5.45	 	0	0	 	253	27.03	 	574	61.32	 	0	0	 	44	4.7	 	5	0.53	 	0	0	 	0	0	 	936	98.42	 	15	1.58	 	951	1.3
Ocean Reef		                                 	11	0.41	 	5	0.19	 	156	5.83	 	2	0.07	 	977	36.48	 	1414	52.8	 	0	0	 	99	3.7	 	8	0.3	 	1	0.04	 	5	0.19	 	2678	98.64	 	37	1.36	 	2715	3.7
Ocean Reef North		                           	4	0.65	 	1	0.16	 	25	4.07	 	0	0	 	228	37.13	 	323	52.61	 	0	0	 	29	4.72	 	4	0.65	 	0	0	 	0	0	 	614	99.19	 	5	0.81	 	619	0.84
Padbury		                                    	16	0.52	 	7	0.23	 	150	4.91	 	10	0.33	 	1329	43.46	 	1352	44.21	 	0	0	 	184	6.02	 	8	0.26	 	2	0.07	 	0	0	 	3058	98.58	 	44	1.42	 	3102	4.23
Padbury South		                              	12	0.64	 	8	0.43	 	85	4.54	 	3	0.16	 	755	40.31	 	905	48.32	 	1	0.05	 	95	5.07	 	8	0.43	 	0	0	 	1	0.05	 	1873	98.79	 	23	1.21	 	1896	2.59
Perth (Moore)		                              	1	0.9	 	1	0.9	 	10	9.01	 	0	0	 	47	42.34	 	43	38.74	 	0	0	 	6	5.41	 	2	1.8	 	0	0	 	1	0.9	 	111	96.52	 	4	3.48	 	115	0.16
Quinns Rock		                                	12	0.62	 	5	0.26	 	128	6.62	 	0	0	 	681	35.21	 	1041	53.83	 	0	0	 	61	3.15	 	4	0.21	 	0	0	 	2	0.1	 	1934	98.62	 	27	1.38	 	1961	2.68
Sorrento		                                   	7	0.51	 	4	0.29	 	57	4.15	 	0	0	 	371	27.02	 	862	62.78	 	0	0	 	66	4.81	 	4	0.29	 	1	0.07	 	1	0.07	 	1373	99.13	 	12	0.87	 	1385	1.89
Sorrento Beach		                             	19	0.92	 	3	0.15	 	124	6	 	2	0.1	 	495	23.96	 	1332	64.47	 	0	0	 	79	3.82	 	8	0.39	 	2	0.1	 	2	0.1	 	2066	98.9	 	23	1.1	 	2089	2.85
Two Rocks		                                  	6	0.79	 	3	0.4	 	41	5.43	 	0	0	 	279	36.95	 	394	52.19	 	2	0.26	 	26	3.44	 	2	0.26	 	1	0.13	 	1	0.13	 	755	98.18	 	14	1.82	 	769	1.05
Wanneroo		                                   	40	0.97	 	21	0.51	 	218	5.29	 	1	0.02	 	1500	36.42	 	2141	51.98	 	4	0.1	 	159	3.86	 	27	0.66	 	4	0.1	 	4	0.1	 	4119	98.12	 	79	1.88	 	4198	5.73
Wanneroo East		                              	17	0.65	 	7	0.27	 	90	3.44	 	2	0.08	 	936	35.73	 	1433	54.69	 	3	0.11	 	117	4.47	 	10	0.38	 	2	0.08	 	3	0.11	 	2620	97.87	 	57	2.13	 	2677	3.65
Yanchep		                                    	4	0.42	 	2	0.21	 	58	6.12	 	0	0	 	364	38.4	 	467	49.26	 	0	0	 	47	4.96	 	2	0.21	 	3	0.32	 	1	0.11	 	948	98.54	 	14	1.46	 	962	1.31
Special Hospitals		                          	1	0.56	 	1	0.56	 	4	2.22	 	0	0	 	55	30.56	 	113	62.78	 	1	0.56	 	3	1.67	 	2	1.11	 	0	0	 	0	0	 	180	97.83	 	4	2.17	 	184	0.25
Total Ordinary		                             	436	0.68	 	152	0.24	 	3373	5.26	 	66	0.1	 	22134	34.55	 	34427	53.74	 	31	0.05	 	3100	4.84	 	237	0.37	 	46	0.07	 	65	0.1	 	64067	98.71	 	838	1.29	 	64905	88.54
ABSENT		                                     	47	0.94	 	18	0.36	 	397	7.91	 	9	0.18	 	1646	32.8	 	2634	52.48	 	3	0.06	 	225	4.48	 	29	0.58	 	5	0.1	 	6	0.12	 	5019	98.92	 	55	1.08	 	5074	6.92
POSTAL		                                     	12	1.3	 	6	0.65	 	45	4.88	 	1	0.11	 	302	32.75	 	509	55.21	 	3	0.33	 	36	3.9	 	6	0.65	 	0	0	 	2	0.22	 	922	99.35	 	6	0.65	 	928	1.27
PRE_POLL		                                   	26	1.21	 	6	0.28	 	99	4.62	 	6	0.28	 	686	32.04	 	1206	56.33	 	0	0	 	101	4.72	 	9	0.42	 	0	0	 	2	0.09	 	2141	99.63	 	8	0.37	 	2149	2.93
PROVISIONAL		                                	2	0.84	 	0	0	 	21	8.79	 	1	0.42	 	96	40.17	 	112	46.86	 	0	0	 	7	2.93	 	0	0	 	0	0	 	0	0	 	239	97.15	 	7	2.85	 	246	0.34
ADJUSTMENT		                                 	0		       	0		       	1		       	0		       	0		       	1		       	0		       	1		       	0		       	1		       	0		       	4		       	-4		       	0	
Division Summary		                           	523	0.72	 	182	0.25	 	3936	5.44	 	83	0.11	 	24864	34.35	 	38889	53.72	 	37	0.05	 	3470	4.79	 	281	0.39	 	52	0.07	 	75	0.1	 	72392	98.76	 	910	1.24	 	73302	96.97




O'Connor (75051)																																											

	   		Group Total CTA			Group Total NLP			Group Total GWA			Group Total RPA			Group Total ALP			Group Total LP			Group Total CEG			Group Total DEM			Group Total NP			Group Total - Unendorsed Group J			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Ajana		                                      	0	0	 	0	0	 	1	1.12	 	0	0	 	14	15.73	 	56	62.92	 	0	0	 	0	0	 	18	20.22	 	0	0	 	0	0	 	89	97.8	 	2	2.2	 	91	0.13
Ardath		                                     	0	0	 	0	0	 	2	3.03	 	0	0	 	7	10.61	 	43	65.15	 	0	0	 	0	0	 	13	19.7	 	1	1.52	 	0	0	 	66	100	 	0	0	 	66	0.09
Arthur River		                               	1	0.86	 	0	0	 	0	0	 	0	0	 	5	4.31	 	76	65.52	 	0	0	 	1	0.86	 	33	28.45	 	0	0	 	0	0	 	116	99.15	 	1	0.85	 	117	0.16
Badgebup		                                   	0	0	 	0	0	 	0	0	 	0	0	 	2	2.3	 	47	54.02	 	0	0	 	1	1.15	 	37	42.53	 	0	0	 	0	0	 	87	100	 	0	0	 	87	0.12
Badgingarra		                                	7	3.98	 	0	0	 	7	3.98	 	0	0	 	18	10.23	 	129	73.3	 	0	0	 	1	0.57	 	14	7.95	 	0	0	 	0	0	 	176	98.88	 	2	1.12	 	178	0.25
Ballidu		                                    	2	1.14	 	0	0	 	2	1.14	 	1	0.57	 	15	8.52	 	134	76.14	 	0	0	 	3	1.7	 	19	10.8	 	0	0	 	0	0	 	176	98.88	 	2	1.12	 	178	0.25
Beachlands		                                 	15	1.91	 	2	0.25	 	32	4.08	 	1	0.13	 	367	46.75	 	313	39.87	 	0	0	 	32	4.08	 	19	2.42	 	0	0	 	4	0.51	 	785	96.79	 	26	3.21	 	811	1.12
Beacon		                                     	0	0	 	1	0.65	 	1	0.65	 	0	0	 	9	5.81	 	108	69.68	 	0	0	 	3	1.94	 	33	21.29	 	0	0	 	0	0	 	155	98.1	 	3	1.9	 	158	0.22
Bencubbin		                                  	0	0	 	0	0	 	2	1.07	 	0	0	 	18	9.63	 	143	76.47	 	0	0	 	7	3.74	 	16	8.56	 	0	0	 	1	0.53	 	187	98.42	 	3	1.58	 	190	0.26
Beverley		                                   	14	1.86	 	4	0.53	 	15	1.99	 	1	0.13	 	175	23.21	 	409	54.24	 	0	0	 	30	3.98	 	105	13.93	 	0	0	 	1	0.13	 	754	97.92	 	16	2.08	 	770	1.07
Bindi Bindi		                                	0	0	 	0	0	 	2	2.33	 	0	0	 	5	5.81	 	57	66.28	 	0	0	 	2	2.33	 	20	23.26	 	0	0	 	0	0	 	86	98.85	 	1	1.15	 	87	0.12
Bluff Point		                                	29	1.59	 	5	0.27	 	47	2.57	 	0	0	 	576	31.51	 	1026	56.13	 	1	0.05	 	92	5.03	 	47	2.57	 	0	0	 	5	0.27	 	1828	98.02	 	37	1.98	 	1865	2.58
Boddington		                                 	2	0.32	 	2	0.32	 	23	3.69	 	1	0.16	 	196	31.41	 	346	55.45	 	0	0	 	23	3.69	 	29	4.65	 	1	0.16	 	1	0.16	 	624	97.2	 	18	2.8	 	642	0.89
Bolgart		                                    	1	0.83	 	0	0	 	2	1.65	 	0	0	 	9	7.44	 	98	80.99	 	0	0	 	5	4.13	 	6	4.96	 	0	0	 	0	0	 	121	100	 	0	0	 	121	0.17
Borden		                                     	0	0	 	0	0	 	1	0.57	 	0	0	 	17	9.71	 	119	68	 	0	0	 	3	1.71	 	35	20	 	0	0	 	0	0	 	175	99.43	 	1	0.57	 	176	0.24
Boscabel		                                   	0	0	 	0	0	 	2	2.5	 	0	0	 	2	2.5	 	44	55	 	0	0	 	2	2.5	 	30	37.5	 	0	0	 	0	0	 	80	100	 	0	0	 	80	0.11
Boxwood Hill		                               	0	0	 	1	1.39	 	4	5.56	 	0	0	 	2	2.78	 	40	55.56	 	0	0	 	0	0	 	25	34.72	 	0	0	 	0	0	 	72	97.3	 	2	2.7	 	74	0.1
Bremer Bay		                                 	2	0.79	 	1	0.4	 	3	1.19	 	0	0	 	35	13.89	 	163	64.68	 	0	0	 	13	5.16	 	35	13.89	 	0	0	 	0	0	 	252	99.21	 	2	0.79	 	254	0.35
Brookton		                                   	1	0.2	 	3	0.59	 	14	2.73	 	1	0.2	 	95	18.55	 	246	48.05	 	0	0	 	10	1.95	 	141	27.54	 	1	0.2	 	0	0	 	512	97.52	 	13	2.48	 	525	0.73
Broomehill		                                 	1	0.47	 	0	0	 	7	3.26	 	0	0	 	36	16.74	 	111	51.63	 	0	0	 	2	0.93	 	57	26.51	 	1	0.47	 	0	0	 	215	99.54	 	1	0.46	 	216	0.3
Bruce Rock		                                 	4	0.81	 	1	0.2	 	13	2.64	 	0	0	 	82	16.67	 	321	65.24	 	2	0.41	 	14	2.85	 	54	10.98	 	1	0.2	 	0	0	 	492	97.81	 	11	2.19	 	503	0.7
Bullaring		                                  	0	0	 	0	0	 	1	1.89	 	0	0	 	3	5.66	 	35	66.04	 	0	0	 	3	5.66	 	11	20.75	 	0	0	 	0	0	 	53	100	 	0	0	 	53	0.07
Bulyee		                                     	0	0	 	1	1.43	 	0	0	 	0	0	 	3	4.29	 	43	61.43	 	0	0	 	0	0	 	23	32.86	 	0	0	 	0	0	 	70	97.22	 	2	2.78	 	72	0.1
Buntine		                                    	2	2.27	 	0	0	 	1	1.14	 	0	0	 	7	7.95	 	65	73.86	 	0	0	 	1	1.14	 	12	13.64	 	0	0	 	0	0	 	88	100	 	0	0	 	88	0.12
Burracoppin		                                	0	0	 	0	0	 	0	0	 	0	0	 	13	19.7	 	43	65.15	 	1	1.52	 	3	4.55	 	6	9.09	 	0	0	 	0	0	 	66	97.06	 	2	2.94	 	68	0.09
Cadoux		                                     	0	0	 	0	0	 	4	3.36	 	0	0	 	4	3.36	 	77	64.71	 	0	0	 	1	0.84	 	33	27.73	 	0	0	 	0	0	 	119	100	 	0	0	 	119	0.16
Calingiri		                                  	1	0.55	 	1	0.55	 	3	1.64	 	0	0	 	21	11.48	 	139	75.96	 	0	0	 	7	3.83	 	11	6.01	 	0	0	 	0	0	 	183	98.39	 	3	1.61	 	186	0.26
Carnamah		                                   	2	0.56	 	0	0	 	10	2.79	 	0	0	 	53	14.8	 	258	72.07	 	0	0	 	10	2.79	 	25	6.98	 	0	0	 	0	0	 	358	99.44	 	2	0.56	 	360	0.5
Cervantes		                                  	1	0.26	 	1	0.26	 	24	6.2	 	0	0	 	74	19.12	 	254	65.63	 	0	0	 	16	4.13	 	17	4.39	 	0	0	 	0	0	 	387	98.47	 	6	1.53	 	393	0.54
Coomberdale		                                	0	0	 	0	0	 	1	1.79	 	0	0	 	8	14.29	 	37	66.07	 	0	0	 	0	0	 	10	17.86	 	0	0	 	0	0	 	56	96.55	 	2	3.45	 	58	0.08
Coorow		                                     	1	0.41	 	0	0	 	2	0.82	 	0	0	 	33	13.52	 	165	67.62	 	0	0	 	12	4.92	 	30	12.3	 	1	0.41	 	0	0	 	244	97.21	 	7	2.79	 	251	0.35
Corrigin		                                   	7	1.09	 	1	0.16	 	9	1.41	 	0	0	 	99	15.47	 	335	52.34	 	0	0	 	18	2.81	 	171	26.72	 	0	0	 	0	0	 	640	97.56	 	16	2.44	 	656	0.91
Cranbrook		                                  	9	2.43	 	2	0.54	 	3	0.81	 	0	0	 	64	17.25	 	202	54.45	 	0	0	 	7	1.89	 	84	22.64	 	0	0	 	0	0	 	371	99.46	 	2	0.54	 	373	0.52
Cuballing		                                  	2	0.8	 	0	0	 	7	2.79	 	0	0	 	35	13.94	 	144	57.37	 	0	0	 	16	6.37	 	47	18.73	 	0	0	 	0	0	 	251	99.21	 	2	0.79	 	253	0.35
Cunderdin		                                  	4	0.75	 	1	0.19	 	6	1.13	 	2	0.38	 	122	22.93	 	331	62.22	 	0	0	 	21	3.95	 	44	8.27	 	0	0	 	1	0.19	 	532	97.08	 	16	2.92	 	548	0.76
Dale		                                       	0	0	 	0	0	 	2	1.41	 	0	0	 	12	8.45	 	101	71.13	 	0	0	 	3	2.11	 	21	14.79	 	1	0.7	 	2	1.41	 	142	97.93	 	3	2.07	 	145	0.2
Dalwallinu		                                 	5	1.49	 	2	0.6	 	9	2.68	 	0	0	 	56	16.67	 	223	66.37	 	0	0	 	12	3.57	 	29	8.63	 	0	0	 	0	0	 	336	96.55	 	12	3.45	 	348	0.48
Dandaragan		                                 	2	0.97	 	0	0	 	5	2.42	 	0	0	 	21	10.14	 	160	77.29	 	0	0	 	5	2.42	 	14	6.76	 	0	0	 	0	0	 	207	99.04	 	2	0.96	 	209	0.29
Darkan		                                     	3	0.89	 	1	0.3	 	4	1.18	 	0	0	 	24	7.1	 	201	59.47	 	0	0	 	7	2.07	 	97	28.7	 	1	0.3	 	0	0	 	338	98.26	 	6	1.74	 	344	0.48
Dongara		                                    	8	0.67	 	1	0.08	 	47	3.92	 	4	0.33	 	242	20.2	 	797	66.53	 	1	0.08	 	53	4.42	 	37	3.09	 	2	0.17	 	6	0.5	 	1198	98.44	 	19	1.56	 	1217	1.69
Doodlakine		                                 	0	0	 	0	0	 	0	0	 	0	0	 	17	20.73	 	46	56.1	 	0	0	 	5	6.1	 	13	15.85	 	0	0	 	1	1.22	 	82	97.62	 	2	2.38	 	84	0.12
Dowerin		                                    	2	0.44	 	1	0.22	 	12	2.65	 	1	0.22	 	41	9.07	 	345	76.33	 	0	0	 	7	1.55	 	43	9.51	 	0	0	 	0	0	 	452	97.84	 	10	2.16	 	462	0.64
Dudinin		                                    	0	0	 	0	0	 	4	3.57	 	0	0	 	14	12.5	 	63	56.25	 	0	0	 	2	1.79	 	29	25.89	 	0	0	 	0	0	 	112	97.39	 	3	2.61	 	115	0.16
Dumbleyung		                                 	2	0.71	 	0	0	 	4	1.42	 	0	0	 	20	7.12	 	146	51.96	 	0	0	 	8	2.85	 	100	35.59	 	1	0.36	 	0	0	 	281	98.94	 	3	1.06	 	284	0.39
Duranillin		                                 	0	0	 	0	0	 	3	1.94	 	1	0.65	 	18	11.61	 	86	55.48	 	0	0	 	5	3.23	 	42	27.1	 	0	0	 	0	0	 	155	99.36	 	1	0.64	 	156	0.22
Eneabba		                                    	3	1.26	 	2	0.84	 	5	2.1	 	0	0	 	59	24.79	 	138	57.98	 	0	0	 	16	6.72	 	15	6.3	 	0	0	 	0	0	 	238	97.94	 	5	2.06	 	243	0.34
Fitzgerald		                                 	0	0	 	0	0	 	0	0	 	0	0	 	4	6.15	 	33	50.77	 	0	0	 	1	1.54	 	27	41.54	 	0	0	 	0	0	 	65	100	 	0	0	 	65	0.09
Forest Hill		                                	0	0	 	0	0	 	2	1.54	 	0	0	 	21	16.15	 	70	53.85	 	0	0	 	2	1.54	 	35	26.92	 	0	0	 	0	0	 	130	97.74	 	3	2.26	 	133	0.18
Frankland		                                  	1	0.45	 	0	0	 	4	1.81	 	0	0	 	17	7.69	 	121	54.75	 	2	0.9	 	5	2.26	 	70	31.67	 	0	0	 	1	0.45	 	221	98.22	 	4	1.78	 	225	0.31
Gairdner River		                             	4	4.21	 	0	0	 	1	1.05	 	0	0	 	4	4.21	 	63	66.32	 	0	0	 	3	3.16	 	20	21.05	 	0	0	 	0	0	 	95	96.94	 	3	3.06	 	98	0.14
Geraldton		                                  	36	1.6	 	2	0.09	 	101	4.5	 	1	0.04	 	639	28.49	 	1292	57.6	 	1	0.04	 	104	4.64	 	57	2.54	 	1	0.04	 	9	0.4	 	2243	98.33	 	38	1.67	 	2281	3.16
Geraldton Central		                          	42	2.75	 	1	0.07	 	61	3.99	 	4	0.26	 	521	34.12	 	810	53.05	 	0	0	 	50	3.27	 	33	2.16	 	0	0	 	5	0.33	 	1527	98.33	 	26	1.67	 	1553	2.15
Geraldton Regional Hospital		                	1	0.55	 	0	0	 	13	7.14	 	0	0	 	64	35.16	 	94	51.65	 	1	0.55	 	3	1.65	 	6	3.3	 	0	0	 	0	0	 	182	96.81	 	6	3.19	 	188	0.26
Geraldton St John of God Hospital		          	8	1.48	 	1	0.18	 	8	1.48	 	1	0.18	 	142	26.2	 	337	62.18	 	0	0	 	21	3.87	 	24	4.43	 	0	0	 	0	0	 	542	97.31	 	15	2.69	 	557	0.77
Gingin		                                     	5	0.79	 	4	0.63	 	19	3.01	 	0	0	 	155	24.53	 	404	63.92	 	0	0	 	19	3.01	 	26	4.11	 	0	0	 	0	0	 	632	97.53	 	16	2.47	 	648	0.9
Gnowangerup		                                	6	1.14	 	2	0.38	 	6	1.14	 	0	0	 	114	21.67	 	333	63.31	 	1	0.19	 	9	1.71	 	55	10.46	 	0	0	 	0	0	 	526	98.13	 	10	1.87	 	536	0.74
Goomalling		                                 	2	0.47	 	2	0.47	 	15	3.52	 	1	0.23	 	97	22.77	 	269	63.15	 	0	0	 	5	1.17	 	33	7.75	 	1	0.23	 	1	0.23	 	426	96.82	 	14	3.18	 	440	0.61
Greenhills		                                 	1	1.52	 	0	0	 	0	0	 	0	0	 	4	6.06	 	52	78.79	 	0	0	 	3	4.55	 	6	9.09	 	0	0	 	0	0	 	66	98.51	 	1	1.49	 	67	0.09
Guilderton		                                 	0	0	 	0	0	 	4	3.08	 	0	0	 	45	34.62	 	77	59.23	 	0	0	 	2	1.54	 	2	1.54	 	0	0	 	0	0	 	130	97.74	 	3	2.26	 	133	0.18
Highbury		                                   	0	0	 	0	0	 	0	0	 	0	0	 	11	10.48	 	72	68.57	 	0	0	 	4	3.81	 	18	17.14	 	0	0	 	0	0	 	105	99.06	 	1	0.94	 	106	0.15
Hines Hill		                                 	0	0	 	1	1.64	 	2	3.28	 	0	0	 	9	14.75	 	32	52.46	 	0	0	 	1	1.64	 	16	26.23	 	0	0	 	0	0	 	61	98.39	 	1	1.61	 	62	0.09
Hopetoun		                                   	3	1.2	 	2	0.8	 	5	2.01	 	0	0	 	45	18.07	 	140	56.22	 	0	0	 	10	4.02	 	44	17.67	 	0	0	 	0	0	 	249	98.03	 	5	1.97	 	254	0.35
Hyden		                                      	1	0.39	 	1	0.39	 	4	1.55	 	0	0	 	24	9.3	 	182	70.54	 	1	0.39	 	8	3.1	 	37	14.34	 	0	0	 	0	0	 	258	99.61	 	1	0.39	 	259	0.36
Jennacubbine		                               	0	0	 	0	0	 	1	1.14	 	0	0	 	20	22.73	 	48	54.55	 	0	0	 	1	1.14	 	18	20.45	 	0	0	 	0	0	 	88	100	 	0	0	 	88	0.12
Jerdacuttup		                                	0	0	 	0	0	 	0	0	 	0	0	 	11	15.94	 	48	69.57	 	0	0	 	0	0	 	7	10.14	 	0	0	 	3	4.35	 	69	100	 	0	0	 	69	0.1
Jerramungup		                                	3	1.03	 	2	0.69	 	10	3.44	 	0	0	 	35	12.03	 	170	58.42	 	0	0	 	10	3.44	 	61	20.96	 	0	0	 	0	0	 	291	98.64	 	4	1.36	 	295	0.41
Jingalup		                                   	0	0	 	1	1.11	 	2	2.22	 	0	0	 	8	8.89	 	44	48.89	 	0	0	 	2	2.22	 	33	36.67	 	0	0	 	0	0	 	90	100	 	0	0	 	90	0.12
Jurien		                                     	5	0.88	 	1	0.18	 	21	3.68	 	2	0.35	 	101	17.69	 	396	69.35	 	0	0	 	22	3.85	 	22	3.85	 	0	0	 	1	0.18	 	571	98.28	 	10	1.72	 	581	0.8
Kalannie		                                   	0	0	 	0	0	 	5	3.47	 	0	0	 	5	3.47	 	115	79.86	 	0	0	 	6	4.17	 	13	9.03	 	0	0	 	0	0	 	144	100	 	0	0	 	144	0.2
Kalbarri		                                   	3	0.55	 	4	0.74	 	34	6.26	 	0	0	 	122	22.47	 	318	58.56	 	0	0	 	42	7.73	 	19	3.5	 	0	0	 	1	0.18	 	543	99.45	 	3	0.55	 	546	0.76
Karlgarin		                                  	0	0	 	0	0	 	3	2.94	 	1	0.98	 	5	4.9	 	68	66.67	 	0	0	 	2	1.96	 	22	21.57	 	0	0	 	1	0.98	 	102	99.03	 	1	0.97	 	103	0.14
Katanning		                                  	19	0.94	 	8	0.4	 	83	4.1	 	3	0.15	 	635	31.39	 	957	47.31	 	5	0.25	 	83	4.1	 	227	11.22	 	3	0.15	 	0	0	 	2023	96.1	 	82	3.9	 	2105	2.91
Katanning District Hospital		                	1	0.39	 	1	0.39	 	6	2.33	 	0	0	 	71	27.52	 	148	57.36	 	0	0	 	6	2.33	 	25	9.69	 	0	0	 	0	0	 	258	97.73	 	6	2.27	 	264	0.37
Kellerberrin		                               	5	0.81	 	0	0	 	18	2.93	 	0	0	 	133	21.63	 	316	51.38	 	0	0	 	23	3.74	 	120	19.51	 	0	0	 	0	0	 	615	98.4	 	10	1.6	 	625	0.87
Kendenup		                                   	9	3.37	 	2	0.75	 	9	3.37	 	0	0	 	46	17.23	 	130	48.69	 	1	0.37	 	15	5.62	 	55	20.6	 	0	0	 	0	0	 	267	96.39	 	10	3.61	 	277	0.38
Kojonup		                                    	4	0.44	 	4	0.44	 	23	2.51	 	0	0	 	136	14.85	 	536	58.52	 	0	0	 	32	3.49	 	179	19.54	 	1	0.11	 	1	0.11	 	916	97.76	 	21	2.24	 	937	1.3
Kondinin		                                   	2	0.81	 	0	0	 	5	2.02	 	1	0.4	 	45	18.22	 	148	59.92	 	0	0	 	10	4.05	 	36	14.57	 	0	0	 	0	0	 	247	96.86	 	8	3.14	 	255	0.35
Koorda		                                     	4	1.25	 	0	0	 	3	0.94	 	1	0.31	 	47	14.73	 	210	65.83	 	1	0.31	 	8	2.51	 	42	13.17	 	1	0.31	 	2	0.63	 	319	99.38	 	2	0.62	 	321	0.44
Kukerin		                                    	2	1.18	 	0	0	 	1	0.59	 	0	0	 	5	2.96	 	78	46.15	 	0	0	 	2	1.18	 	81	47.93	 	0	0	 	0	0	 	169	97.69	 	4	2.31	 	173	0.24
Kulin		                                      	1	0.29	 	1	0.29	 	7	2.02	 	1	0.29	 	50	14.41	 	169	48.7	 	0	0	 	15	4.32	 	103	29.68	 	0	0	 	0	0	 	347	98.3	 	6	1.7	 	353	0.49
Kununoppin		                                 	0	0	 	0	0	 	0	0	 	0	0	 	7	8.43	 	55	66.27	 	0	0	 	3	3.61	 	18	21.69	 	0	0	 	0	0	 	83	98.81	 	1	1.19	 	84	0.12
Lake Grace		                                 	2	0.42	 	1	0.21	 	8	1.7	 	0	0	 	55	11.68	 	276	58.6	 	0	0	 	14	2.97	 	115	24.42	 	0	0	 	0	0	 	471	98.95	 	5	1.05	 	476	0.66
Lake King		                                  	0	0	 	0	0	 	2	2	 	0	0	 	6	6	 	71	71	 	0	0	 	1	1	 	20	20	 	0	0	 	0	0	 	100	100	 	0	0	 	100	0.14
Lancelin		                                   	1	0.2	 	0	0	 	23	4.71	 	1	0.2	 	108	22.13	 	322	65.98	 	0	0	 	13	2.66	 	19	3.89	 	0	0	 	1	0.2	 	488	97.41	 	13	2.59	 	501	0.69
Latham		                                     	0	0	 	1	1.18	 	1	1.18	 	0	0	 	1	1.18	 	69	81.18	 	0	0	 	0	0	 	13	15.29	 	0	0	 	0	0	 	85	100	 	0	0	 	85	0.12
Ledge Point		                                	0	0	 	0	0	 	8	6.45	 	0	0	 	26	20.97	 	83	66.94	 	0	0	 	3	2.42	 	4	3.23	 	0	0	 	0	0	 	124	98.41	 	2	1.59	 	126	0.17
Leeman		                                     	6	1.35	 	0	0	 	12	2.69	 	0	0	 	148	33.18	 	245	54.93	 	1	0.22	 	16	3.59	 	17	3.81	 	1	0.22	 	0	0	 	446	98.45	 	7	1.55	 	453	0.63
Meckering		                                  	3	1.69	 	0	0	 	1	0.56	 	0	0	 	29	16.38	 	124	70.06	 	0	0	 	4	2.26	 	15	8.47	 	0	0	 	1	0.56	 	177	98.88	 	2	1.12	 	179	0.25
Merredin		                                   	6	0.66	 	1	0.11	 	27	2.99	 	0	0	 	258	28.57	 	499	55.26	 	0	0	 	53	5.87	 	56	6.2	 	0	0	 	3	0.33	 	903	97.94	 	19	2.06	 	922	1.28
Merredin District Hospital		                 	2	0.63	 	0	0	 	13	4.06	 	0	0	 	134	41.88	 	138	43.13	 	1	0.31	 	17	5.31	 	12	3.75	 	3	0.94	 	0	0	 	320	95.52	 	15	4.48	 	335	0.46
Merredin South		                             	4	0.8	 	1	0.2	 	24	4.82	 	0	0	 	192	38.55	 	218	43.78	 	0	0	 	28	5.62	 	30	6.02	 	1	0.2	 	0	0	 	498	97.08	 	15	2.92	 	513	0.71
Miling		                                     	0	0	 	0	0	 	2	1.75	 	0	0	 	11	9.65	 	81	71.05	 	0	0	 	3	2.63	 	17	14.91	 	0	0	 	0	0	 	114	100	 	0	0	 	114	0.16
Mingenew		                                   	3	1.05	 	1	0.35	 	9	3.16	 	1	0.35	 	62	21.75	 	184	64.56	 	0	0	 	5	1.75	 	19	6.67	 	0	0	 	1	0.35	 	285	97.6	 	7	2.4	 	292	0.4
