Senate - 1993 Election: Tasmania																																					
First Preference Votes by Group																																					
By Polling Place																																					


Bass (66119)																																					

	   		Group Total HAR			Group Total ALP			Group Total TST			Group Total TG			Group Total CTA			Group Total NLP			Group Total DEM			Group Total LP			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
Polling Places			Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%	   	Vote	%
Devonport Central		                          	217	12.65	 	605	35.26	 	14	0.82	 	73	4.25	 	7	0.41	 	1	0.06	 	32	1.86	 	766	44.64	 	1	0.06	 	1716	96.68	 	59	3.32	 	1775	2.85
Devonport East		                             	335	11.02	 	1453	47.78	 	37	1.22	 	85	2.8	 	13	0.43	 	2	0.07	 	37	1.22	 	1075	35.35	 	4	0.13	 	3041	97.28	 	85	2.72	 	3126	5.02
Devonport North		                            	91	11.48	 	286	36.07	 	6	0.76	 	24	3.03	 	1	0.13	 	0	0	 	9	1.13	 	376	47.41	 	0	0	 	793	97.66	 	19	2.34	 	812	1.3
Devonport South		                            	213	9.9	 	978	45.47	 	11	0.51	 	78	3.63	 	7	0.33	 	2	0.09	 	25	1.16	 	837	38.91	 	0	0	 	2151	97.33	 	59	2.67	 	2210	3.55
Don		                                        	46	8.78	 	183	34.92	 	5	0.95	 	45	8.59	 	3	0.57	 	0	0	 	9	1.72	 	233	44.47	 	0	0	 	524	97.76	 	12	2.24	 	536	0.86
Edith Creek		                                	16	10.19	 	40	25.48	 	0	0	 	6	3.82	 	0	0	 	0	0	 	5	3.18	 	90	57.32	 	0	0	 	157	98.13	 	3	1.88	 	160	0.26
Elliott		                                    	25	11.36	 	67	30.45	 	4	1.82	 	21	9.55	 	0	0	 	0	0	 	2	0.91	 	101	45.91	 	0	0	 	220	99.1	 	2	0.9	 	222	0.36
Forest		                                     	24	6.06	 	105	26.52	 	0	0	 	19	4.8	 	0	0	 	1	0.25	 	5	1.26	 	239	60.35	 	3	0.76	 	396	98.02	 	8	1.98	 	404	0.65
Forth		                                      	79	10.66	 	177	23.89	 	6	0.81	 	51	6.88	 	4	0.54	 	1	0.13	 	17	2.29	 	405	54.66	 	1	0.13	 	741	98.28	 	13	1.72	 	754	1.21
Gawler		                                     	39	10.46	 	104	27.88	 	6	1.61	 	14	3.75	 	1	0.27	 	1	0.27	 	2	0.54	 	206	55.23	 	0	0	 	373	97.39	 	10	2.61	 	383	0.61
Grassy		                                     	6	8.33	 	18	25	 	0	0	 	4	5.56	 	0	0	 	0	0	 	2	2.78	 	42	58.33	 	0	0	 	72	97.3	 	2	2.7	 	74	0.12
Gunns Plains		                               	8	6.96	 	28	24.35	 	2	1.74	 	16	13.91	 	0	0	 	0	0	 	5	4.35	 	56	48.7	 	0	0	 	115	98.29	 	2	1.71	 	117	0.19
Havenview		                                  	64	10.94	 	314	53.68	 	2	0.34	 	13	2.22	 	2	0.34	 	1	0.17	 	17	2.91	 	172	29.4	 	0	0	 	585	98.15	 	11	1.85	 	596	0.96
Highclere		                                  	17	8.72	 	79	40.51	 	4	2.05	 	13	6.67	 	1	0.51	 	0	0	 	5	2.56	 	75	38.46	 	1	0.51	 	195	97.5	 	5	2.5	 	200	0.32
Irishtown		                                  	19	6.51	 	80	27.4	 	0	0	 	3	1.03	 	4	1.37	 	0	0	 	3	1.03	 	183	62.67	 	0	0	 	292	98.65	 	4	1.35	 	296	0.48
