House of Representatives - 1996 Election 							
Swing to ALP 							
By Division by Polling Place							

New South Wales							

Banks							

Polling Place	Formal	MELHAM		SPARKES		Swing	Exh
Special Hospital Team 2	361	57	15.79	304	84.21	-	0
Special Hospital Team 3	144	27	18.75	117	81.25	-	0
St Lucia	1920	692	36.38	1210	63.62	-0.52	18
Taringa	1506	583	38.94	914	61.06	-4.11	9
The Gap	3479	1184	34.14	2284	65.86	-8.12	11
The Gap East	3017	1032	34.3	1977	65.7	-8.59	8
The Gap West	1898	574	30.37	1316	69.63	-8.86	8
Toowong (Ryan)	415	156	38.14	253	61.86	-1.32	6
Upper Brookfield	232	68	29.69	161	70.31	-6.08	3
ABSENT	5477	1945	35.71	3502	64.29	-	30
POSTAL	2140	579	27.07	1560	72.93	-	1
PRE POLL	3809	1239	32.67	2554	67.33	-	16
PROVISIONAL	243	113	46.69	129	53.31	-	1
Division Total	77706	25620	33.13	51712	66.87	-6.15	374


Wide Bay							

Polling Place	Formal	HOLMES		TRUSS		Swing	Exh
	Votes	(ALP)	%	(NP)	%	%	
Amamoor	388	88	22.86	297	77.14	-2.76	3
Baddow	1861	715	38.54	1140	61.46	-11.94	6
Bauple	276	111	40.36	164	59.64	-2.82	1
Bell Hilltop	1204	468	38.97	733	61.03	-11.16	3
Biggenden	800	175	21.87	625	78.12	-10.07	0
Binjour	101	4	3.96	97	96.04	-7.07	0
Boondooma	163	19	11.66	144	88.34	-8.34	0
Boonooroo	323	119	36.96	203	63.04	-25.5	1
Brisbane City (Wide Bay)	82	27	32.93	55	67.07	-9.13	0
Brooweena	215	52	24.3	162	75.7	-2.3	1
Burrum Heads	452	165	36.67	285	63.33	-12.63	2
Chatsworth	453	92	20.31	361	79.69	-10.1	0
Cherbourg	345	183	53.35	160	46.65	-12.76	2
Cloyna	197	21	10.66	176	89.34	-2.26	0
Coalstoun Lakes	135	15	11.11	120	88.89	-0.38	0
Curra	374	143	38.24	231	61.76	0.48	0
Deep Creek	379	103	27.32	274	72.68	-8.53	2
Dundowran	902	276	30.7	623	69.3	-10.58	3
Gallangowan	42	3	7.14	39	92.86	-11.04	0
Gayndah	1284	287	22.4	994	77.6	-8.36	3
Glenwood	262	87	33.21	175	66.79	-7.94	0
Goomboorian	534	136	25.66	394	74.34	-3.57	4
Goomeri	436	56	12.84	380	87.16	-8.24	0
Granville	1814	721	39.81	1090	60.19	-16.19	3
Gunalda	341	86	25.22	255	74.78	-17.3	0
Gundiah	136	25	18.38	111	81.62	-3.11	0
Gympie City	2380	728	30.64	1648	69.36	-10.51	4
Gympie High School	1330	422	31.78	906	68.22	-10.49	2
Gympie North	1864	477	25.63	1384	74.37	-10.8	3
Gympie South Side	2134	584	27.39	1548	72.61	-6.9	2
Gympie West	972	311	32.06	659	67.94	-9.67	2
Howard	1024	436	42.91	580	57.09	-14.29	8
Imbil	752	211	28.1	540	71.9	-9.97	1
Jones Hill	788	180	22.93	605	77.07	-9.56	3
Kandanga	414	76	18.45	336	81.55	-6.21	2
Kawungan	2187	670	30.69	1513	69.31	-12.14	4
Kilkivan	431	119	27.67	311	72.33	-11.14	1
Kybong	377	76	20.16	301	79.84	-8.9	0
Maryborough	4645	1858	40.11	2774	59.89	-12.5	13
Maryborough West	2269	944	41.7	1320	58.3	-14.12	5
Mondure	217	14	6.45	203	93.55	-12.54	0
Monkland	725	209	28.91	514	71.09	-14.63	2
Mothar Mountain	211	46	21.9	164	78.1	-13.1	1
Mundubbera	986	181	18.36	805	81.64	-9.4	0
Mungar	358	116	32.49	241	67.51	-6.84	1
Murgon	1680	299	17.8	1381	82.2	-11.27	0
Pialba	3033	1101	36.37	1926	63.63	-8.48	6
Pie Creek	349	69	19.83	279	80.17	-1.09	1
Point Vernon	1564	516	33.06	1045	66.94	-7.85	3
Proston	444	86	19.41	357	80.59	-3.41	1
Rainbow Beach	377	103	27.39	273	72.61	-5.85	1
Scarness	1408	474	33.71	932	66.29	-10.14	2
Special Hospital Team 1	151	39	26	111	74	-	1
Special Hospital Team 2	263	76	28.9	187	71.1	-	0
Special Hospital Team 3	276	121	43.84	155	56.16	-	0
St Helens	454	127	27.97	327	72.03	-11.43	0
Tansey	139	5	3.6	134	96.4	-6.04	0
Tiaro	451	99	21.95	352	78.05	-7.83	0
Tin Can Bay	1343	449	33.46	893	66.54	-10.42	1
Tinana	2015	641	31.83	1373	68.17	-15.83	1
Toogoom	403	168	41.79	234	58.21	-9.99	1
Torbanlea	377	167	44.3	210	55.7	-14.28	0
Torquay	3434	1138	33.27	2283	66.73	-8.79	13
Urangan	3246	1216	37.53	2024	62.47	-10.79	6
Urraween	826	225	27.24	601	72.76	-7.23	0
Veteran	302	78	25.83	224	74.17	-10.44	0
Widgee	324	77	23.77	247	76.23	-3.47	0
Wolvi	288	75	26.13	212	73.87	-4.76	1
Wondai	1328	250	18.85	1076	81.15	-9.87	2
Wonga Lower	174	23	13.22	151	86.78	-5.83	0
Woolooga	117	21	17.95	96	82.05	-4.89	0
ABSENT	4477	1513	33.84	2958	66.16	-	6
POSTAL	3426	994	29.03	2430	70.97	-	2
PRE POLL	2736	906	33.2	1823	66.8	-	7
PROVISIONAL	370	146	39.57	223	60.43	-	1
Division Total	73338	23037	31.47	50157	68.53	-9.74	144



Western Australia							

Brand							

Polling Place	Formal	BEAZLEY		HEARNE		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Allanson	297	191	64.53	105	35.47	1.03	1
Baldivis	1003	350	35.21	644	64.79	-4.25	9
Barragup	1175	457	39.09	712	60.91	-4.85	6
Benger	67	8	11.94	59	88.06	-7.11	0
Binningup	435	169	38.94	265	61.06	-6.97	1
Brunswick	590	228	38.84	359	61.16	-1.59	3
Bunbury Central (Brand)	114	58	51.33	55	48.67	-7.01	1
Busselton (Brand)	189	85	45.45	102	54.55	-5.57	2
Busselton West (Brand)	101	56	55.45	45	44.55	6.47	0
Calista	2624	1679	64.28	933	35.72	-1.41	12
Carcoola	458	251	55.29	203	44.71	-7.93	4
Collie	489	318	65.16	170	34.84	-5.8	1
Collie Central	1585	1135	71.88	444	28.12	-2.68	6
Collie District Hospital	630	411	65.24	219	34.76	-5.53	0
Collie North	880	632	71.82	248	28.18	-3.39	0
Coodanup	1612	864	53.66	746	46.34	-5.39	2
Cooloongup	3655	2283	62.79	1353	37.21	-2.9	19
Coolup	260	82	31.54	178	68.46	-2.42	0
Dawesville	745	250	33.6	494	66.4	-2.54	1
Dunsborough (Brand)	84	29	34.52	55	65.48	-34.55	0
Dwellingup	425	216	51.31	205	48.69	0.57	4
Ewington	242	167	69.01	75	30.99	-4.78	0
Falcon	2037	886	43.67	1143	56.33	-0.51	8
Golden Bay	652	299	46.07	350	53.93	-3.27	3
Greenfields	1645	816	49.67	827	50.33	-7.52	2
Greenfields East	1089	559	51.62	524	48.38	-3.73	6
Halls Head	2733	937	34.39	1788	65.61	-3.64	8
Halls Head South	1143	490	43.06	648	56.94	5.04	5
Harvey	1926	840	43.64	1085	56.36	-3.52	1
Hillman	2018	1210	60.29	797	39.71	-1.54	11
Lake Clifton	219	75	34.4	143	65.6	-9.39	1
Lancelin (Brand)	41	18	43.9	23	56.1	-22.08	0
Leda	1156	783	68.03	368	31.97	-1.08	5
Madora	336	129	38.74	204	61.26	-5.55	3
Mandurah	1752	746	42.73	1000	57.27	-4.22	6
Mandurah Central	1903	860	45.36	1036	54.64	-3.29	7
Mandurah East	1326	573	43.31	750	56.69	-7.77	3
Mandurah South	2163	865	40.05	1295	59.95	-2.28	3
Margaret River (Brand)	125	53	42.74	71	57.26	-22.56	1
Meadow Springs	1692	680	40.43	1002	59.57	-2.71	10
Medina	2663	1698	64.15	949	35.85	-5.4	16
Nannup (Brand)	55	22	40	33	60	-4.44	0
North Dandalup	293	113	38.7	179	61.3	-3.06	1
Parmelia	1744	1207	69.73	524	30.27	0.43	13
Perth (Brand)	72	34	47.89	37	52.11	3.7	1
Pinjarra	1442	574	39.89	865	60.11	-4.33	3
Port Kennedy	705	382	54.34	321	45.66	-4.73	2
Rockingham	4559	2367	52.22	2166	47.78	-6	26
Rockingham Beach	1418	623	44.25	785	55.75	-5.58	10
Roelands	123	37	30.08	86	69.92	0.29	0
Rottnest (Brand)	114	51	44.74	63	55.26	-2.2	0
Safety Bay	3953	1757	44.67	2176	55.33	-4.02	20
Safety Bay Central	3161	1498	47.62	1648	52.38	-3.22	15
Secret Harbour	461	212	45.99	249	54.01	-13.23	0
Singleton	737	360	49.45	368	50.55	0.09	9
Special Hospital Team 1	208	103	49.52	105	50.48	-	0
Special Hospital Team 2	163	59	36.42	103	63.58	-	1
Special Hospital Team 3	49	28	57.14	21	42.86	-	0
Special Hospital Team 4	79	14	17.72	65	82.28	-	0
Special Hospital Team 5	76	59	78.67	16	21.33	-	1
Waikiki	2651	1370	51.78	1276	48.22	-2.94	5
Warnbro	2565	1404	55.1	1144	44.9	-4.01	17
Warnbro East	1221	682	56.22	531	43.78	-2.85	8
Waroona	1371	498	36.4	870	63.6	-4.52	3
Wilson Park	315	227	72.52	86	27.48	-5.93	2
Yallingup (Brand)	46	23	50	23	50	7.58	0
Yarloop	535	208	39.1	324	60.9	-7.36	3
Yunderup	652	199	30.71	449	69.29	-8.16	4
Yunderup North	285	96	33.8	188	66.2	-6.74	1
ABSENT	5120	2639	51.81	2455	48.19	-	26
POSTAL	1900	900	47.44	997	52.56	-	3
PRE POLL	3339	1542	46.33	1786	53.67	-	11
PROVISIONAL	1042	655	63.22	381	36.78	-	6
Division Total	84733	42379	50.23	41992	49.77	-3.47	362


Canning							

Polling Place	Formal	GEAR		JOHNSTON		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Armadale	3088	1566	51.03	1503	48.97	-0.37	19
Armadale East	2127	859	40.63	1255	59.37	0.97	13
Armadale North	1229	598	48.78	628	51.22	-1.26	3
Armadale South	699	294	42.18	403	57.82	0.11	2
Armadale West	1859	1046	56.48	806	43.52	-0.27	7
Beckenham (Canning)	1479	746	50.71	725	49.29	0.03	8
Bedfordale	413	122	29.68	289	70.32	0.87	2
Bunbury Central (Canning)	79	31	39.74	47	60.26	-11.28	1
Busselton (Canning)	150	61	40.67	89	59.33	-5.25	0
Busselton West (Canning)	56	23	42.59	31	57.41	-5.37	2
Byford	2012	778	38.88	1223	61.12	-2.54	11
Canning Vale	2006	776	38.74	1227	61.26	1.48	3
Dunsborough (Canning)	57	23	41.07	33	58.93	-10.48	1
Falcon (Canning)	71	28	40	42	60	-18.16	1
Forrestdale	936	394	42.23	539	57.77	-1.7	3
Gosnells	1753	883	50.63	861	49.37	-0.7	9
Gosnells Central	2279	1008	44.41	1262	55.59	0.22	9
Gosnells South	2978	1692	57.12	1270	42.88	0.07	16
Gosnells West	2298	1237	53.99	1054	46.01	0.04	7
Huntingdale	2655	1389	52.57	1253	47.43	0.03	13
Jarrahdale	342	172	50.29	170	49.71	-3.89	0
Kelmscott	1830	1004	55.41	808	44.59	-2	18
Kelmscott East	2020	787	39.19	1221	60.81	-1.15	12
Kelmscott North	1354	611	45.5	732	54.5	2.35	11
Kenwick	1956	958	49.13	992	50.87	-2.83	6
Lancelin (Canning)	91	38	42.7	51	57.3	-14.45	2
Langford (Canning)	198	129	65.15	69	34.85	4.14	0
Maddington	2950	1649	56.26	1282	43.74	-1.96	19
Maddington East	635	366	57.82	267	42.18	0.66	2
Maddington North	714	342	48.24	367	51.76	-4.24	5
Mandurah Central (Canning)	98	48	48.98	50	51.02	-2.04	0
Margaret River (Canning)	102	42	41.58	59	58.42	-12.5	1
Mundijong	815	294	36.3	516	63.7	-3.19	5
Nannup (Canning)	25	17	68	8	32	23.67	0
Oakford	694	224	32.37	468	67.63	-4.18	2
Perth (Canning)	106	54	52.43	49	47.57	-9.2	3
Prison Mobile Team 1	6	4	66.67	2	33.33	-	0
Rottnest (Canning)	72	28	38.89	44	61.11	-13.64	0
Serpentine	820	252	30.92	563	69.08	0.93	5
Special Hospital Team 1	351	153	43.59	198	56.41	-	0
Strawberry Fields	1643	989	60.49	646	39.51	2.66	8
Thornlie	3685	1846	50.31	1823	49.69	2.43	16
Thornlie East	3236	1561	48.54	1655	51.46	-2.51	20
Thornlie South	1936	899	46.68	1027	53.32	0.67	10
Thornlie West	2517	1257	50.16	1249	49.84	-0.88	11
Westfield	1335	766	57.64	563	42.36	-2.02	6
Westfield South	1738	1022	59.28	702	40.72	-0.74	14
Wungong	1248	778	62.59	465	37.41	1.01	5
Yallingup (Canning)	37	20	54.05	17	45.95	2.01	0
ABSENT	5248	2543	48.74	2674	51.26	-	31
POSTAL	1435	630	43.99	802	56.01	-	3
PRE POLL	1896	907	47.89	987	52.11	-	2
PROVISIONAL	740	444	60.49	290	39.51	-	6
Division Total	70097	34388	49.31	35356	50.69	-0.88	353


Cowan							

Polling Place	Formal	JAKOBSEN		EVANS		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Alexander Heights	2026	925	46.02	1085	53.98	-4.89	16
Alexander Heights West	1056	548	52.09	504	47.91	-2.88	4
Balga (Cowan)	1010	658	65.54	346	34.46	0.35	6
Balga North	1663	1115	67.21	544	32.79	-0.62	4
Ballajura	2421	1036	42.95	1376	57.05	-2.94	9
Ballajura Central	4307	2067	48.16	2225	51.84	-3.24	15
Ballajura South	1852	1016	54.98	832	45.02	3.51	4
Beechboro West	1048	552	52.77	494	47.23	-1.85	2
Bunbury Central (Cowan)	56	22	39.29	34	60.71	-12.26	0
Busselton (Cowan)	155	63	41.18	90	58.82	-0.66	2
Busselton West (Cowan)	58	16	27.59	42	72.41	-13.23	0
Camboon	2448	975	39.98	1464	60.02	-1.84	9
Dunsborough (Cowan)	85	38	44.71	47	55.29	4.91	0
Falcon (Cowan)	143	43	30.71	97	69.29	-20.31	3
Girrawheen	2158	1424	66.45	719	33.55	-1.22	15
Girrawheen Central	527	352	67.05	173	32.95	-4.96	2
Girrawheen East	1683	1164	69.66	507	30.34	-4.04	12
Greenwood	3641	1433	39.59	2187	60.41	-1.82	21
Greenwood East	754	348	46.28	404	53.72	-1.87	2
Greenwood West	1723	681	39.8	1030	60.2	-2.98	12
Hamersley	2286	886	39.22	1373	60.78	-1.38	27
Hamersley East	889	374	42.16	513	57.84	-2.48	2
Hampton	2280	1210	53.42	1055	46.58	0.85	15
Hampton Park	2506	1214	48.58	1285	51.42	0	7
Kingsley	3652	1453	39.92	2187	60.08	-0.78	12
Kingsley East	1161	431	37.35	723	62.65	-0.87	7
Kingsley South	2413	896	37.33	1504	62.67	0.68	13
Koondoola	2033	1348	66.57	677	33.43	-1.15	8
Lancelin (Cowan)	100	25	25.51	73	74.49	-33.67	2
Mandurah Central (Cowan)	132	62	48.44	66	51.56	-0.02	4
Marangaroo	2213	1140	51.7	1065	48.3	-2.68	8
Marangaroo Central	2202	1278	58.2	918	41.8	-0.8	6
Margaret River (Cowan)	90	40	44.94	49	55.06	-7.63	1
Morley (Cowan)	1797	864	48.27	926	51.73	-0.11	7
Morley North	1326	567	43.02	751	56.98	-5.38	8
Nannup (Cowan)	33	16	48.48	17	51.51	-6.15	0
Noranda	2295	1068	46.72	1218	53.28	1.94	9
Noranda West (Cowan)	1972	791	40.38	1168	59.62	-	13
Perth (Cowan)	108	62	57.41	46	42.59	1	0
Rottnest (Cowan)	83	30	36.14	53	63.86	-9.77	0
Special Hospital Team 1	182	63	34.62	119	65.38	-	0
Warwick	2326	968	41.85	1345	58.15	0.28	13
Woodvale	1409	520	37.04	884	62.96	-2.39	5
Woodvale North	2947	1109	37.77	1827	62.23	-1.93	11
Yallingup (Cowan)	33	9	27.27	24	72.73	-14.56	0
ABSENT	5848	2893	49.85	2910	50.15	-	45
POSTAL	1670	725	43.44	944	56.56	-	1
PRE POLL	2270	994	44	1265	56	-	11
PROVISIONAL	478	276	57.98	200	42.02	-	2
Division Total	75548	35788	47.61	39385	52.39	-1.46	375


Curtin							

Polling Place	Formal	ROEBUCK		COURT		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Bunbury Central (Curtin)	83	33	39.76	50	60.24	-	0
Busselton (Curtin)	171	54	31.95	115	68.05	-	2
Busselton West (Curtin)	40	12	30	28	70	-	0
City Beach	1932	482	25.1	1438	74.9	-	12
City Beach North	2222	498	22.69	1697	77.31	-	27
Claremont	2553	685	27.11	1842	72.89	-	26
Claremont East	799	261	33.04	529	66.96	-	9
Cottesloe	2364	725	30.89	1622	69.11	-	17
Cottesloe East	1774	456	25.89	1305	74.11	-	13
Cottesloe South	853	226	26.68	621	73.32	-	6
Dalkeith	2374	398	16.93	1953	83.07	-	23
Dunsborough (Curtin)	347	89	25.65	258	74.35	-	0
Falcon (Curtin)	106	18	16.98	88	83.02	-	0
Floreat	1879	498	26.63	1372	73.37	-	9
Floreat East	1584	464	29.48	1110	70.52	-	10
Floreat North	1002	284	28.57	710	71.43	-	8
Graylands	2440	811	33.61	1602	66.39	-	27
Jolimont	1139	461	41.2	658	58.8	-	20
Joondanna	1586	735	46.46	847	53.54	-	4
King Edward Memorial Hospital	251	106	42.4	144	57.6	-	1
Lancelin (Curtin)	64	23	35.94	41	64.06	-	0
Leederville	888	460	52.69	413	47.31	-	15
Leederville North	1296	689	53.41	601	46.59	-	6
Leederville West	1618	745	46.53	856	53.47	-	17
Mandurah Central (Curtin)	87	24	27.91	62	72.09	-	1
Margaret River (Curtin)	299	86	29.15	209	70.85	-	4
Mosman Park	2471	1000	40.95	1442	59.05	-	29
Mosman Park South	573	192	33.86	375	66.14	-	6
Mount Hawthorn	1581	835	53.35	730	46.65	-	16
Mount Hawthorn East	1198	610	51.17	582	48.83	-	6
Mount Hawthorn West	865	445	52.41	404	47.59	-	16
Nannup (Curtin)	52	32	61.54	20	38.46	-	0
Nedlands Central	511	233	46.23	271	53.77	-	7
Nedlands East	1496	423	28.52	1060	71.48	-	13
Nedlands North	1260	467	37.33	784	62.67	-	9
Nedlands South	1830	627	34.55	1188	65.45	-	15
Peppermint Grove	589	105	17.92	481	82.08	-	3
Perth (Curtin)	223	112	51.14	107	48.86	-	4
Rottnest (Curtin)	322	89	27.9	230	72.1	-	3
Shenton Park East	717	298	42.09	410	57.91	-	9
Shenton Park West	1203	528	44.48	659	55.52	-	16
Sir Charles Gairdner Hospital	230	96	41.92	133	58.08	-	1
Special Hospital Team 1	152	56	36.84	96	63.16	-	0
Special Hospital Team 2	128	37	28.91	91	71.09	-	0
Special Hospital Team 3	421	64	15.27	355	84.73	-	2
Special Hospital Team 4	610	120	19.8	486	80.2	-	4
Special Hospital Team 5	55	13	24.07	41	75.93	-	1
Special Hospital Team 6	20	6	30	14	70	-	0
Special Hospital Team 7	13	2	15.38	11	84.61	-	0
Subiaco	2322	998	43.33	1305	56.67	-	19
Subiaco Home of Peace	398	167	42.6	225	57.4	-	6
Subiaco North	416	206	50.12	205	49.88	-	5
Swanbourne	1769	570	32.65	1176	67.35	-	23
Wembley Central	765	291	38.29	469	61.71	-	5
Wembley North	1718	856	50.26	847	49.74	-	15
Wembley South	486	196	40.66	286	59.34	-	4
Wembley West	2261	950	42.32	1295	57.68	-	16
West Perth (Curtin)	480	233	48.85	244	51.15	-	3
West Perth Central	379	151	40.27	224	59.73	-	4
Yallingup (Curtin)	228	62	27.31	165	72.69	-	1
ABSENT	4538	1889	42.06	2602	57.94	-	47
POSTAL	2171	709	32.81	1452	67.19	-	10
PRE POLL	4009	1253	31.47	2728	68.53	-	28
PROVISIONAL	792	340	43.59	440	56.41	-	12
Division Total	69003	24584	35.95	43804	64.05	1.17	615


Forrest							

Polling Place	Formal	MILLS		PROSSER		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Acton Park	150	19	12.67	131	87.33	-3.44	0
Albany	1215	487	40.28	722	59.72	-1.99	6
Albany Central	1191	413	34.91	770	65.09	-3.15	8
Albany Regional Hospital	253	80	31.87	171	68.13	-5.63	2
Alexandra Bridge	134	18	13.43	116	86.57	-0.85	0
Augusta	857	256	29.98	598	70.02	1.19	3
Australind	2760	1097	39.89	1653	60.11	-0.42	10
Balingup	304	126	42.14	173	57.86	-2.09	5
Bayonet Head	683	222	32.65	458	67.35	-1.47	3
Bornholm	332	97	29.48	232	70.52	0.19	3
Boyanup	596	195	32.77	400	67.23	-3.78	1
Boyup Brook	540	81	15	459	85	-3.64	0
Bridgetown	1508	485	32.33	1015	67.67	-3.42	8
Brookhampton	97	8	8.25	89	91.75	-6.15	0
Bunbury	926	337	36.55	585	63.45	0.73	4
Bunbury Central	1051	443	42.51	599	57.49	-0.75	9
Bunbury East	1927	917	47.86	999	52.14	-2.35	11
Bunbury Regional Hospital	394	189	48.34	202	51.66	-2.23	3
Bunbury St Johns Hospital	438	146	33.49	290	66.51	-1.28	2
Burekup	293	64	21.92	228	78.08	-3.08	1
Busselton	3731	1279	34.49	2429	65.51	-1.58	23
Busselton West	2328	692	29.9	1622	70.1	-2.09	14
Capel	1104	417	37.91	683	62.09	-1.24	4
Carbunup River	227	47	20.8	179	79.2	3.68	1
Carey Park	2050	1157	56.69	884	43.31	-4.79	9
Carey Park South	842	430	51.07	412	48.93	-4.47	0
Centennial Park	1159	343	29.72	811	70.28	-1.98	5
Chowerup	67	1	1.49	66	98.51	-10.45	0
Clifton Park	618	240	38.96	376	61.04	-1.46	2
Coral Park	1256	561	44.81	691	55.19	-2.74	4
Cowaramup	462	113	25	339	75	0.67	10
Dardanup	649	154	23.95	489	76.05	-1.22	6
Deanmill	158	56	35.44	102	64.56	-10.33	0
Denmark	1566	599	38.65	951	61.35	-1.4	16
Dinninup	128	24	18.9	103	81.1	0.72	1
Donnybrook	1306	378	29.08	922	70.92	-2.51	6
Dunsborough	1271	345	27.36	916	72.64	-3.72	10
Eaton	2142	956	44.8	1178	55.2	-2.08	8
Elgin	160	23	14.37	137	85.62	1.12	0
Elleker	356	140	40.23	208	59.77	-3.03	8
Emu Point	289	69	24.3	215	75.7	-3.18	5
Falcon (Forrest)	27	5	18.52	22	81.48	-17.38	0
Ferguson	148	25	16.89	123	83.11	-1.73	0
Gelorup	968	304	31.57	659	68.43	-0.04	5
Greenbushes	318	118	37.22	199	62.78	-8.3	1
Jardee	105	36	34.62	68	65.38	-3.35	1
Karridale	234	79	34.35	151	65.65	0.39	4
King River	278	58	20.94	219	79.06	-9.16	1
Kirup	171	40	23.39	131	76.61	-7.12	0
Kudardup	156	39	25	117	75	-4.31	0
Lancelin (Forrest)	11	4	36.36	7	63.64	-2.1	0
Little Grove	928	305	33.08	617	66.92	2.79	6
Lockyer	2179	890	41.01	1280	58.99	-6.94	9
Lowden	168	36	21.69	130	78.31	-1.47	2
Lower Kalgan	256	64	25.1	191	74.9	0.74	1
Lower King	592	187	31.64	404	68.36	3.31	1
Ludlow	152	25	16.67	125	83.33	-3.33	2
Mandurah Central (Forrest)	22	8	36.36	14	63.64	-3.64	0
Manjimup	2205	798	36.42	1393	63.58	-1.55	14
Manjimup East	663	241	36.35	422	63.65	-7.65	0
Manypeaks	236	32	13.56	204	86.44	-2.56	0
Margaret River	1975	894	45.96	1051	54.04	3.1	30
Mayanup	127	4	3.15	123	96.85	1.35	0
Middlesex	96	19	20	76	80	-4.78	1
Middleton Beach	894	257	29.07	627	70.93	0.9	10
Nannup	705	281	40.72	409	59.28	-2.08	15
Napier	135	25	18.52	110	81.48	-2.46	0
Northcliffe	459	166	36.32	291	63.68	-7.01	2
Parryville	154	45	29.22	109	70.78	4.59	0
Pemberton	873	326	37.47	544	62.53	-3.68	3
Perth (Forrest)	115	43	38.05	70	61.95	0.69	2
Picton	636	268	42.27	366	57.73	0.95	2
Quinninup	88	41	47.67	45	52.33	-2.33	2
Redmond	121	14	11.67	106	88.33	-4.17	1
Rosa Brook	150	43	29.05	105	70.95	-3.5	2
Rottnest (Forrest)	15	2	13.33	13	86.67	-19.17	0
Scotsdale	193	54	28.27	137	71.73	-5.54	2
Sealinks	1541	484	31.57	1049	68.43	0.75	8
South Bunbury	1041	454	43.95	579	56.05	-3.37	8
South Stirling	32	0	0	32	100	-5.45	0
Special Hospital Team 1	74	24	32.43	50	67.57	-	0
Special Hospital Team 2	29	4	13.79	25	86.21	-	0
Special Hospital Team 3	221	68	30.91	152	69.09	-	1
Special Hospital Team 4	41	9	21.95	32	78.05	-	0
Special Hospital Team 6	35	14	40	21	60	-	0
Special Hospital Team 7	8	1	12.5	7	87.5	-	0
Special Hospital Team 8	15	3	20	12	80	-	0
Special Hospital Team 9	4	1	25	3	75	-	0
Spencer Park	1875	771	41.21	1100	58.79	0.14	4
Tingledale	213	70	33.18	141	66.82	4.45	2
Vasse	839	197	23.54	640	76.46	-2.98	2
Villa Maria	442	119	27.05	321	72.95	-9.36	2
Walpole	508	141	27.81	366	72.19	-8.22	1
Wellstead	115	24	21.05	90	78.95	8.25	1
Witchcliffe	317	86	27.48	227	72.52	-4.2	4
Withers	1707	932	54.89	766	45.11	-5.64	9
Wollaston	724	296	40.94	427	59.06	0.07	1
Yakamia	1342	473	35.46	861	64.54	-0.87	8
Yallingup	361	142	39.66	216	60.34	4.02	3
Yanmah	108	29	26.85	79	73.15	1.63	0
Yoongarillup	160	21	13.12	139	86.87	-2.76	0
Yornup	122	17	13.93	105	86.07	-1.45	0
ABSENT	4978	1775	35.89	3170	64.11	-	33
POSTAL	1522	477	31.4	1042	68.6	-	3
PRE POLL	2335	827	35.52	1501	64.48	-	7
PROVISIONAL	789	381	48.35	407	51.65	-	1
Division Total	75569	27320	36.36	47821	63.64	-1.91	428


Fremantle							

Polling Place	Formal	LAWRENCE		TILLER		Swing	Exh
	Votes	(ALP)	%	(LP)	%	%	
Attadale	2998	734	24.62	2247	75.38	-1.39	17
Beaconsfield	1901	1235	65.38	654	34.62	-2.61	12
Bibra Lake	2048	904	44.62	1122	55.38	-5.95	22
Bicton	2826	1148	40.97	1654	59.03	-3.09	24
Bunbury Central (Fremantle)	60	25	42.37	34	57.63	16.11	1
Busselton (Fremantle)	135	49	36.57	85	63.43	-7.31	1
Busselton West (Fremantle)	76	26	34.67	49	65.33	-28.88	1
Coogee Beach	1483	683	46.27	793	53.73	-2.36	7
Coolbellup	1262	904	72.55	342	27.45	-3.97	16
Coolbellup East	1386	991	71.81	389	28.19	-4.47	6
Dunsborough (Fremantle)	139	64	46.38	74	53.62	-20.99	1
East Fremantle	2078	1244	60.77	803	39.23	-1.17	31
Falcon (Fremantle)	62	29	47.54	32	52.46	3.66	1
Fremantle	1864	1200	65.08	644	34.92	-4.32	20
Hamilton Hill East	1801	1184	66.15	606	33.85	-2.19	11
Hamilton Hill North	1854	1186	64.25	660	35.75	-0.23	8
Hamilton Hill South	1176	794	67.92	375	32.08	-3.23	7
Hilton	1667	1148	69.58	502	30.42	-2.86	17
Jandakot	1579	652	41.77	909	58.23	0.62	18
Kardinya (Fremantle)	595	256	43.17	337	56.83	-1.4	2
Kardinya West	752	331	44.43	414	55.57	-6.78	7
Lancelin (Fremantle)	132	52	39.39	80	60.61	-22.46	0
Mandurah Central (Fremantle)	67	16	23.88	51	76.12	-33.85	0
Margaret River (Fremantle)	110	48	44.86	59	55.14	-20.77	3
Melville Heights	1473	657	44.88	807	55.12	-3.51	9
Melville South	902	339	37.88	556	62.12	-4.8	7
Munster	1043	507	48.7	534	51.3	-2.14	2
Myaree	1943	783	40.82	1135	59.18	-1.68	25
Nannup (Fremantle)	63	49	80.33	12	19.67	11.91	2
Naval Base	431	212	49.65	215	50.35	-3.57	4
North Fremantle	890	530	60.23	350	39.77	-3.12	10
Palmyra	2406	1323	55.43	1064	44.57	-2.67	19
Palmyra North	606	307	51.34	291	48.66	-0.5	8
Perth (Fremantle)	84	50	60.24	33	39.76	-8.72	1
Richmond	2204	915	41.86	1271	58.14	-2.23	18
