House of Representatives -1996 Election 				
National List of Candidates				

Candidate	Party		Division	State
"DUCKETT, Tony"			Dawson	QLD
"DUDGEON, Rachel"	DEM		Denison	TAS
"DUNCAN, Peter"	ALP		Makin	SA
"DUNN, Jenny"	AWP		Brisbane	QLD

"EADES, Bernie"	ALP		Corangamite	VIC
"EAGER, Beth"	NLP		Warringah	NSW
"EARNSHAW, Gordon"	IND		Fisher	QLD
"EASSON, Mary"	ALP		Lowe	NSW
"EASTWOOD, Jeni"	AWP		Griffith	QLD
"EATON, Doug"	LP		Dobell	NSW
"EDWARDS, Colin"	DEM		Herbert	QLD
"EDWARDS, Lesley"	GRN		Lindsay	NSW
"ELLIOTT, Paul"	ALP		Parramatta	NSW
"ELLIS, Anne"	IND		Mackellar	NSW
"ELLIS, Annette"	ALP		Namadgi	ACT
"ELLIS, Bryan"	CCG		Robertson	NSW
"ELSON, Kay"	LP		Forde	QLD
"EMANUEL, Kamala"			Newcastle	NSW
"ENDEAN, Nora"	DEM		Eden-Monaro	NSW
"ENGELEN, Paddy"	NLP		Wentworth	NSW
"ENTSCH, Warren"	LP		Leichhardt	QLD
"EVANS, Gareth"	ALP		Holt	VIC
"EVANS, Martyn"	ALP		Bonython	SA
"EVANS, Richard"	LP		Cowan	WA
"EVERINGHAM, John"	CTA		Farrer	NSW

"FAHEY, John"	LP		Macarthur	NSW
"FARDELL, Ray"	LP		Calare	NSW
"FENWICK, Peter"	NLP		Adelaide	SA
"FERGUSON, Laurie"	ALP		Reid	NSW
"FERGUSON, Martin"	ALP		Batman	VIC
"FERRARI, James Stephen"			Melbourne	VIC
"FILING, Paul"	IND		Moore	WA
"FINLAY, Trish"	DEM		Ballarat	VIC
"FISCHER, Tim"	NP		Farrer	NSW
"FISHER, Alec"	DEM		Chifley	NSW
"FISHER, Elizabeth"	DEM		Throsby	NSW
"FISHER, Irene"	DEM		Franklin	TAS
"FISHER, Matt"	GRN		Hindmarsh	SA
"FITZGERALD, John"	GRN		Fairfax	QLD
"FITZGIBBON, Joel"	ALP		Hunter	NSW
"FLETCHER, Karen"			Sydney	NSW
"FLYNN, Michael"	LP		Melbourne	VIC
"FORREST, John"	NP		Mallee	VIC
"FOSTER, Margot"	LP		Melbourne Ports	VIC
"FRANCIS, John"	IND		Wide Bay	QLD
"FRANKS, Ron"	AFI		Charlton	NSW
"FRANSSEN, Bill"	GWA		Moore	WA
"FRASER, Barbara"	GRY		Adelaide	SA
"FRASER, Peter"	NLP		Eden-Monaro	NSW
"FRASER, Peter"	DEM		Macarthur	NSW
"FREE, Ross"	ALP		Lindsay	NSW
"FREEMANTLE, Graham"	CTA		Dobell	NSW
"FUSSELL, Peter"	LP		Sydney	NSW

"GABRIEL, William J"	GRN		Fadden	QLD
"GAGO, Gail"	ALP		Adelaide	SA
"GALEA, Albert"	LP		Throsby	NSW
"GALLAGHER, Mick"	IND		Berowra	NSW
"GALLAGHER, Patrick"	IND		Bradfield	NSW
"GALLETLY, Clive Philip Arthur"	IND		Brand	WA
"GALLUS, Chris"	LP		Hindmarsh	SA
"GAMBARO, Teresa"	LP		Petrie	QLD
"GARDINER, Pamela Anne"	IND		Northern Territory	NT
"GASH, Joanna"	LP		Gilmore	NSW
"GAUL, Carol"	GRN		Macquarie	NSW
