House of Representatives:  Election 2001 - National				
List of Candidates				
				
Candidate	Party		Division	State
"HUNT, Rita"	NGST		Bonython	SA
"HURWITZ, Arthur"	GRN		Kingsford Smith	NSW
"HUTCHINSON, John Robert"	HAN		Prospect	NSW
"HYLAND, Terry"	IND		Dickson	QLD
"HYLAND, Wayne"	IND		Chifley	NSW

"INGRAM, Andrew"	DEM		Tangney	WA
"IREDALE, Terry"	CTA		Brand	WA
"IRWIN, Julia"	ALP		Fowler	NSW
"ISHERWOOD, Craig"	CEC		Wills	VIC
"ISHERWOOD, Siobhan"	GRN		Lyne	NSW
"ITURBIDE, Terry Kay"	CEC		O'Connor	WA

"JACKSON, Karen"	DEM		Fairfax	QLD
"JACKSON, Sharryn"	ALP		Hasluck	WA
"JACOBS, Alan"	UNI		Wentworth	NSW
"JAGO, John"	IND		Gippsland	VIC
"JAMES, Peter"	AFI		Cook	NSW
"JANKE, Martin"	HAN		Hinkler	QLD
"JANSEN, P R"	HAN		Brisbane	QLD
"JANSEN, Paul"	GRN		Wide Bay	QLD
"JASPER, Perry"	LFF		Stirling	WA
"JEFFERYS, Dean"	HMP		Richmond	NSW
"JEFFREYS, Allan"	DEM		Page	NSW
"JEFFREYS, Elena"	GWA		Swan	WA
"JENKINS, Harry"	ALP		Scullin	VIC
"JIRMAN, Philip"	DEM		Lyne	NSW
"JOHNS, Naomi"	DEM		Capricornia	QLD
"JOHNSON, Bob"	HAN		Charlton	NSW
"JOHNSON, Catherine"	GRN		Corio	VIC
"JOHNSON, Hal"	CEC		Fowler	NSW
"JOHNSON, Michael"	LP		Ryan	QLD
"JOHNSON, Sue"			Grayndler	NSW
"JOHNSTON, Selwyn"	IND		Blair	QLD
"JOLLY, Stephen"			Melbourne	VIC
"JONES, Barry"	GRN		Dawson	QLD
"JONES, Brett Lloyd"	LP		Jagajaga	VIC
"JONES, David"	GRN		Murray	VIC
"JONSSON, Dee"	CTA		Parramatta	NSW
"JORQUERA, Jorge"			Gellibrand	VIC
"JOSS, Jessica"	DEM		Hotham	VIC
"JOYCE, Tom"	DEM		Casey	VIC
"JULL, David Francis"	LP		Fadden	QLD

"KANE, Michael"	GRN		Groom	QLD
"KATTER, Bob"	IND		Kennedy	QLD
"KAVANAGH, Jeannette"	GRN		Melbourne Ports	VIC
"KAVANAGH, Mary"	DEM		Newcastle	NSW
"KELLY, David"	HAN		Warringah	NSW
"KELLY, De-Anne"	NP		Dawson	QLD
"KELLY, Jackie"	LP		Lindsay	NSW
"KELLY, Pam"	GRN		Wakefield	SA
"KELLY, Ron"	CLP		Lingiari	NT
"KELLY, Timothy"	DEM		Mallee	VIC
"KELLY, Tony"	GRN		Ballarat	VIC
"KELSALL, Henry"	GRN		Dunkley	VIC
"KEMP, David"	LP		Goldstein	VIC
"KEMP, Paul"	HAN		Fraser	ACT
"KENDALL, Jim"	CTA		Charlton	NSW
"KENDALL, Ruth"	DEM		Aston	VIC
"KENISCIEHAD, Kaijin"	IND		Robertson	NSW
"KENNEDY, Doug"	CTA		Canning	WA
"KENWORTHY, Brett"	LP		Grayndler	NSW
"KER, Samantha"	GRN		Dobell	NSW
"KERNOT, Cheryl"	ALP		Dickson	QLD
"KERR, Duncan"	ALP		Denison	TAS
"KESSELS, Colin"	IND		Dickson	QLD
"KILLION-DELCASTILLO, Erin"			Newcastle	NSW
"KIMLIN, Gary"	ORP		Dickson	QLD
"KING, Catherine"	ALP		Ballarat	VIC
"KING, Jack"	IND		Boothby	SA
"KING, Leeann"	ALP		Groom	QLD
"KING, Peter"	LP		Wentworth	NSW
"KING, Tony"	CEC		Paterson	NSW
"KIR, Mick"	GRN		Aston	VIC
"KIRWAN, Megan"	CLA		Forrest	WA
"KNAGGE, Joe"	ALP		Parkes	NSW
"KNEEBONE, Scott"	DEM		Batman	VIC
"KNOTT, Peter"	ALP		Gilmore	NSW
"KNOWLES, Gregory John"	IND		Macarthur	NSW
"KNOWLES, Kath"	ALP		Calare	NSW
"KOOREY, Stephanie"	GRN		Canberra	ACT
"KORN, Bruce"	CTA		Cowper	NSW
"KOSTADINOSKI, Lucas"	LP		Scullin	VIC
"KOTARSKI, P"	HAN		Werriwa	NSW
"KOWALD, Rod"	HAN		Makin	SA
"KOZLOWSKI, Andre"	CEC		Maribyrnong	VIC
"KRAMER, Paul"	GRN		Dickson	QLD
"KREUTZBERGER, Keith"			Farrer	NSW
"KRIEG, Josh"	LP		Port Adelaide	SA
"KRUMINS, Harry"	HAN		Lowe	NSW
"KUNZELMANN, Kate"	DEM		Oxley	QLD
"KYSON, Phil"	GRN		Blair	QLD

"LACEY, Stephen"	GRN		Robertson	NSW
"LAING-PEACH, James"	IND		Robertson	NSW
"LAM, Brian"	UNI		North Sydney	NSW
"LAM, Keelah"	GRN		Warringah	NSW
"LAMB, Andrew"	IND		Moreton	QLD
"LAMBERT, Joan"	GRN		Shortland	NSW
