House of Representatives - 2001 Election: Western Australia																																																																								
First Preference Votes and TCP																																																																								
By Candidate by Polling Place																																																																								

O'Connor (83118)																																																																								
		# TUCKEY			MCNABB			PESTANA			GYORGY			BROWN			DAVIS			ITURBIDE			MCLEAN			SELBY			PENDLEBURY			FORMAL			INFORMAL			TOTAL																																		
		Wilson			Alistair			Carole			Stephan			Vicki			Sandy			Terry Kay			Ron			Donna			Mark Hamilton												Two Candidate Preferred																															
		LP			CTA			DEM			IND			NP			GWA			CEC			HAN			LFF			ALP												# TUCKEY LP			 PENDLEBURY ALP																												
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																											
	Kendenup	136	36.36		18	4.81		9	2.41		8	2.14		47	12.57		28	7.49		2	0.53		56	14.97		4	1.07		66	17.65		374	93.27		27	6.73		401	0.51		243	64.97		131	35.03																											
	King River	159	47.18		9	2.67		8	2.37		3	0.89		18	5.34		25	7.42		0	0.00		52	15.43		3	0.89		60	17.80		337	95.47		16	4.53		353	0.45		224	66.47		113	33.53																											
	Kojonup	478	58.72		28	3.44		9	1.11		7	0.86		115	14.13		14	1.72		4	0.49		66	8.11		8	0.98		85	10.44		814	94.76		45	5.24		859	1.08		669	82.19		145	17.81																											
	Kondinin	87	44.39		4	2.04		3	1.53		2	1.02		50	25.51		1	0.51		0	0.00		16	8.16		0	0.00		33	16.84		196	94.23		12	5.77		208	0.26		152	77.55		44	22.45																											
	Koorda	179	58.88		3	0.99		1	0.33		1	0.33		36	11.84		3	0.99		0	0.00		43	14.14		5	1.64		33	10.86		304	96.51		11	3.49		315	0.40		249	81.91		55	18.09																											
	Kukerin	51	41.80		1	0.82		1	0.82		0	0.00		41	33.61		0	0.00		0	0.00		17	13.93		0	0.00		11	9.02		122	97.60		3	2.40		125	0.16		106	86.89		16	13.11																											
	Kulin	140	46.20		1	0.33		4	1.32		1	0.33		88	29.04		4	1.32		0	0.00		29	9.57		1	0.33		35	11.55		303	93.52		21	6.48		324	0.41		250	82.51		53	17.49																											
	Kununoppin	35	56.45		0	0.00		1	1.61		0	0.00		7	11.29		3	4.84		0	0.00		5	8.06		2	3.23		9	14.52		62	92.54		5	7.46		67	0.08		48	77.42		14	22.58																											
	Lake Grace	217	52.54		6	1.45		9	2.18		1	0.24		105	25.42		3	0.73		0	0.00		43	10.41		1	0.24		28	6.78		413	95.38		20	4.62		433	0.55		359	86.92		54	13.08																											
	Lake King	76	60.80		1	0.80		0	0.00		3	2.40		20	16.00		0	0.00		0	0.00		21	16.80		1	0.80		3	2.40		125	97.66		3	2.34		128	0.16		113	90.40		12	9.60																											
	Latham	42	68.85		0	0.00		0	0.00		0	0.00		1	1.64		0	0.00		0	0.00		15	24.59		1	1.64		2	3.28		61	92.42		5	7.58		66	0.08		56	91.80		5	8.20																											
	Leeman	224	54.77		3	0.73		8	1.96		1	0.24		10	2.44		10	2.44		1	0.24		66	16.14		4	0.98		82	20.05		409	94.90		22	5.10		431	0.54		293	71.64		116	28.36																											
	Little Grove	497	45.51		17	1.56		25	2.29		8	0.73		51	4.67		102	9.34		9	0.82		136	12.45		26	2.38		221	20.24		1092	95.12		56	4.88		1148	1.45		683	62.55		409	37.45																											
	Lockyer	855	35.61		136	5.66		36	1.50		15	0.62		92	3.83		108	4.50		28	1.17		340	14.16		50	2.08		741	30.86		2401	91.85		213	8.15		2614	3.30		1337	55.69		1064	44.31																											
	Lower Kalgan	110	43.14		13	5.10		5	1.96		0	0.00		19	7.45		30	11.76		1	0.39		37	14.51		7	2.75		33	12.94		255	96.59		9	3.41		264	0.33		186	72.94		69	27.06																											
	Lower King	310	42.01		17	2.30		23	3.12		2	0.27		35	4.74		51	6.91		5	0.68		135	18.29		12	1.63		148	20.05		738	94.86		40	5.14		778	0.98		482	65.31		256	34.69																											
