House of Representatives - 2001 Election: Western Australia							
Swing to ALP							
By Division by Polling Place							
							
Brand							
							
Polling Place	Formal	BEAZLEY		THOMAS		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Kardinya (Fremantle)	1155	519	44.94	636	55.06	-3.40
Kardinya West	1439	758	52.68	681	47.32	1.73
Lakeland	1754	913	52.05	841	47.95	-2.64
Melville (Fremantle)	555	292	52.61	263	47.39	-5.53
Munster	953	566	59.39	387	40.61	1.19
North Fremantle	1113	608	54.63	505	45.37	-6.80
Palmyra	2567	1476	57.50	1091	42.50	-3.42
Palmyra North	526	299	56.84	227	43.16	0.66
Perth (Fremantle)	89	57	64.04	32	35.96	11.77
Richmond	2565	1180	46.00	1385	54.00	-1.26
Rottnest (Fremantle)	212	120	56.60	92	43.40	1.40
Samson	1957	1149	58.71	808	41.29	-1.28
South Fremantle	1538	1066	69.31	472	30.69	2.02
South Lake	1847	1206	65.30	641	34.70	-1.18
Spearwood	2661	1803	67.76	858	32.24	-2.99
Spearwood South	2668	1863	69.83	805	30.17	2.91
Spearwood West	2978	2036	68.37	942	31.63	-3.05
Special Hospital Team 1	124	60	48.39	64	51.61	-1.61
Special Hospital Team 2	84	57	67.86	27	32.14	-
Special Hospital Team 3	85	55	64.71	30	35.29	-
Special Hospital Team 4	45	22	48.89	23	51.11	-
Special Hospital Team 5	24	19	79.17	5	20.83	-
Special Hospital Team 6	23	16	69.56	7	30.43	-
Special Hospital Team 7	21	17	80.95	4	19.05	-
Wattleup	497	336	67.61	161	32.39	-4.56	
White Gum Valley	1686	1223	72.54	463	27.46	-0.98	
Willagee	1363	940	68.97	423	31.03	-3.12	
Willagee East	1596	881	55.20	715	44.80	0.78	
Yangebup	2718	1727	63.54	991	36.46	-0.93	
Yangebup South	536	326	60.82	210	39.18	-2.38	
ABSENT	5240	2910	55.53	2330	44.47	-	
POSTAL	1859	1144	61.54	715	38.46	-	
PRE POLL	2752	1601	58.18	1151	41.82	-	
PROVISIONAL	362	232	64.09	130	35.91	-	
Division Total	72443	43952	60.67	28491	39.33	-1.62	
							
							
Hasluck							
							
Polling Place	Formal	JACKSON		CHAN		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Bellevue	740	428	57.84	312	42.16	-9.65	
Caversham	766	427	55.74	339	44.26	-1.49	
Forrestfield	2665	1502	56.36	1163	43.64	-1.19	
Forrestfield North	3387	1681	49.63	1706	50.37	-4.12	
Gooseberry Hill	1388	533	38.40	855	61.60	3.54	
Gosnells	1728	958	55.44	770	44.56	0.08	
Gosnells Central	2016	1022	50.69	994	49.31	0.53	
Gosnells South (Hasluck)	2371	1506	63.52	865	36.48	2.22	
Gosnells West	2567	1502	58.51	1065	41.49	-1.28	
Guildford	1197	608	50.79	589	49.21	-3.53	
Hazelmere	1195	649	54.31	546	45.69	2.36	
Helena Valley (Hasluck)	1157	518	44.77	639	55.23	0.91	
High Wycombe	2373	1273	53.65	1100	46.35	-2.31	
High Wycombe South	2114	1135	53.69	979	46.31	-3.51	
Huntingdale (Hasluck)	1913	1076	56.25	837	43.75	3.51	
Kalamunda	2959	1170	39.54	1789	60.46	-0.18
Kalamunda North	1579	588	37.24	991	62.76	-1.49
Kenwick	2271	1366	60.15	905	39.85	4.00
Koongamia	523	360	68.83	163	31.17	3.53
Lesmurdie	2941	1105	37.57	1836	62.43	-0.30
Maddington	2672	1634	61.15	1038	38.85	-1.76
Maddington East	914	556	60.83	358	39.17	3.95
Maddington North	627	357	56.94	270	43.06	1.16
Maida Vale	2398	884	36.86	1514	63.14	-3.00
Middle Swan	1652	1049	63.50	603	36.50	-8.07
Midland (Hasluck)	2040	1309	64.17	731	35.83	-5.59
Perth (Hasluck)	112	63	56.25	49	43.75	0.70
Rottnest (Hasluck)	39	11	28.21	28	71.79	-27.35
Special Hospital Team 1	108	44	40.74	64	59.26	-9.26
Special Hospital Team 2	235	125	53.19	110	46.81	-
Special Hospital Team 3	35	16	45.71	19	54.29	-
Swan View (Hasluck)	278	164	58.99	114	41.01	-3.33	
Thornlie (Hasluck)	3131	1611	51.45	1520	48.55	-1.01	
Thornlie East	3004	1577	52.50	1427	47.50	-1.01	
Thornlie South (Hasluck)	190	102	53.68	88	46.32	-1.87	
Thornlie West	2321	1318	56.79	1003	43.21	-0.85	
Walliston (Hasluck)	1233	484	39.25	749	60.75	-1.99	
Wattle Grove	892	330	37.00	562	63.00	-2.13	
ABSENT	5617	2995	53.32	2622	46.68	-	
POSTAL	2129	914	42.93	1215	57.07	-	
PRE POLL	2442	1206	49.39	1236	50.61	-	
PROVISIONAL	412	264	64.08	148	35.92	-	
Division Total	70331	36420	51.78	33911	48.22	-0.77	
							
							
Kalgoorlie							
							
Polling Place	Formal	BROWNING		HAASE		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Ajana	117	19	16.24	98	83.76	5.26	
Argyle	52	24	46.15	28	53.85	1.47	
Balgo	163	132	80.98	31	19.02	-1.71	
Bodallin	64	13	20.31	51	79.69	-4.69	
Boulder	2494	1297	52.00	1197	48.00	-1.87	
Broome	2642	1442	54.58	1200	45.42	-2.66	
Broome West	1352	641	47.41	711	52.59	-1.49	
Bullfinch	41	14	34.15	27	65.85	-17.07	
