Senate - 2001 Election: Western Australia																																																		5														
First Preference Votes by Group 																																																																
By Polling Place																																																																
Forrest (82248)																																																																
			Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
			Unendorsed			Unendorsed			TPS			CTA			CEC			LP			NP			UNI			HAN			LFF			Unendorsed			CLA			Unendorsed			PLP			DEM			ALP			GWA			Independent										
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
	Gelorup		2	0.18		0	0.00		1	0.09		8	0.73		2	0.18		547	50.23		18	1.65		0	0.00		111	10.19		27	2.48		0	0.00		2	0.18		0	0.00		5	0.46		53	4.87		252	23.14		61	5.60		0	0.00		1089	96.37		41	3.63		1130	1.43
	Greenbushes		2	0.51		0	0.00		0	0.00		2	0.51		0	0.00		177	45.04		9	2.29		0	0.00		56	14.25		8	2.04		2	0.51		1	0.25		0	0.00		2	0.51		7	1.78		105	26.72		21	5.34		1	0.25		393	94.02		25	5.98		418	0.53
	Harvey		9	0.44		1	0.05		1	0.05		19	0.94		4	0.20		871	42.91		47	2.32		1	0.05		203	10.00		58	2.86		0	0.00		7	0.34		0	0.00		16	0.79		57	2.81		651	32.07		85	4.19		0	0.00		2030	94.29		123	5.71		2153	2.73
	Karridale		2	0.96		0	0.00		0	0.00		1	0.48		0	0.00		95	45.67		5	2.40		0	0.00		7	3.37		5	2.40		0	0.00		2	0.96		0	0.00		1	0.48		4	1.92		39	18.75		47	22.60		0	0.00		208	98.11		4	1.89		212	0.27
	Kirup		0	0.00		0	0.00		0	0.00		3	1.25		0	0.00		112	46.67		6	2.50		0	0.00		37	15.42		5	2.08		0	0.00		0	0.00		0	0.00		4	1.67		5	2.08		45	18.75		23	9.58		0	0.00		240	96.00		10	4.00		250	0.32
	Kudardup		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		75	38.07		6	3.05		0	0.00		37	18.78		9	4.57		0	0.00		1	0.51		0	0.00		4	2.03		3	1.52		53	26.90		9	4.57		0	0.00		197	96.57		7	3.43		204	0.26
	Leschenault		0	0.00		1	0.12		0	0.00		14	1.71		1	0.12		348	42.59		12	1.47		1	0.12		77	9.42		22	2.69		0	0.00		3	0.37		0	0.00		5	0.61		49	6.00		240	29.38		44	5.39		0	0.00		817	97.61		20	2.39		837	1.06
	Lowden		1	0.49		0	0.00		0	0.00		2	0.97		0	0.00		102	49.51		9	4.37		0	0.00		27	13.11		5	2.43		1	0.49		0	0.00		0	0.00		0	0.00		13	6.31		33	16.02		13	6.31		0	0.00		206	98.56		3	1.44		209	0.26
	Manjimup		4	0.18		5	0.22		1	0.04		17	0.75		5	0.22		1107	48.64		65	2.86		3	0.13		399	17.53		68	2.99		1	0.04		3	0.13		1	0.04		12	0.53		61	2.68		460	20.21		63	2.77		1	0.04		2276	93.89		148	6.11		2424	3.07
	Manjimup East		3	0.36		2	0.24		1	0.12		11	1.33		0	0.00		459	55.30		14	1.69		0	0.00		98	11.81		23	2.77		0	0.00		1	0.12		0	0.00		3	0.36		25	3.01		169	20.36		21	2.53		0	0.00		830	95.18		42	4.82		872	1.11
	Margaret River		6	0.23		1	0.04		1	0.04		12	0.47		4	0.16		975	37.88		45	1.75		2	0.08		155	6.02		62	2.41		3	0.12		6	0.23		0	0.00		15	0.58		149	5.79		633	24.59		504	19.58		1	0.04		2574	96.48		94	3.52		2668	3.38
	Middlesex		0	0.00		0	0.00		0	0.00		0	0.00		1	0.74		74	54.81		6	4.44		0	0.00		18	13.33		1	0.74		0	0.00		0	0.00		0	0.00		0	0.00		10	7.41		21	15.56		4	2.96		0	0.00		135	97.83		3	2.17		138	0.17
	Nannup		1	0.15		1	0.15		0	0.00		3	0.45		1	0.15		312	46.99		19	2.86		1	0.15		67	10.09		18	2.71		0	0.00		0	0.00		0	0.00		5	0.75		27	4.07		131	19.73		76	11.45		2	0.30		664	95.68		30	4.32		694	0.88
	Northcliffe		1	0.24		0	0.00		0	0.00		4	0.97		0	0.00		155	37.44		11	2.66		0	0.00		54	13.04		17	4.11		0	0.00		1	0.24		0	0.00		0	0.00		16	3.86		84	20.29		71	17.15		0	0.00		414	96.28		16	3.72		430	0.55
	Pemberton		4	0.47		0	0.00		0	0.00		19	2.23		3	0.35		480	56.40		19	2.23		0	0.00		64	7.52		25	2.94		2	0.24		3	0.35		0	0.00		4	0.47		32	3.76		146	17.16		50	5.88		0	0.00		851	97.26		24	2.74		875	1.11
	Perth (Forrest)		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		20	36.36		1	1.82		0	0.00		3	5.45		1	1.82		0	0.00		0	0.00		0	0.00		0	0.00		12	21.82		11	20.00		7	12.73		0	0.00		55	96.49		2	3.51		57	0.07
	Picton		3	0.35		1	0.12		0	0.00		17	1.99		1	0.12		372	43.61		7	0.82		3	0.35		72	8.44		28	3.28		2	0.23		4	0.47		0	0.00		7	0.82		45	5.28		264	30.95		27	3.17		0	0.00		853	98.05		17	1.95		870	1.10
	Quinninup		0	0.00		0	0.00		0	0.00		1	0.95		0	0.00		40	38.10		4	3.81		0	0.00		13	12.38		5	4.76		0	0.00		0	0.00		0	0.00		0	0.00		3	2.86		35	33.33		4	3.81		0	0.00		105	98.13		2	1.87		107	0.14
	Rosa Brook		1	0.63		0	0.00		0	0.00		1	0.63		1	0.63		77	48.73		5	3.16		0	0.00		12	7.59		4	2.53		0	0.00		0	0.00		0	0.00		1	0.63		7	4.43		32	20.25		16	10.13		1	0.63		158	96.34		6	3.66		164	0.21
	Rottnest (Forrest)		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	17.39		2	8.70		0	0.00		0	0.00		2	8.70		0	0.00		0	0.00		0	0.00		0	0.00		3	13.04		5	21.74		7	30.43		0	0.00		23	100.00		0	0.00		23	0.03
