Senate - 2001 Election: Western Australia																																																																
First Preference Votes by Group 																																																																
By Polling Place																																																																
O'Connor (83118)																																																																
			Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
			Unendorsed			Unendorsed			TPS			CTA			CEC			LP			NP			UNI			HAN			LFF			Unendorsed			CLA			Unendorsed			PLP			DEM			ALP			GWA			Independent										
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
	Geraldton		8	0.42		1	0.05		1	0.05		30	1.58		2	0.11		965	50.87		64	3.37		2	0.11		212	11.18		34	1.79		2	0.11		1	0.05		0	0.00		9	0.47		70	3.69		411	21.67		84	4.43		1	0.05		1897	96.69		65	3.31		1962	2.47
	Geraldton Central		5	0.46		0	0.00		0	0.00		28	2.59		0	0.00		461	42.72		23	2.13		1	0.09		142	13.16		15	1.39		1	0.09		2	0.19		0	0.00		9	0.83		53	4.91		279	25.86		59	5.47		1	0.09		1079	95.23		54	4.77		1133	1.42
	Geraldton Regional Hospital		2	1.04		0	0.00		0	0.00		5	2.60		0	0.00		86	44.79		2	1.04		0	0.00		26	13.54		3	1.56		0	0.00		1	0.52		0	0.00		2	1.04		6	3.13		52	27.08		7	3.65		0	0.00		192	91.87		17	8.13		209	0.26
	Geraldton St John of God Hospital		6	1.25		0	0.00		2	0.42		7	1.46		2	0.42		262	54.47		9	1.87		0	0.00		63	13.10		5	1.04		0	0.00		1	0.21		0	0.00		1	0.21		12	2.49		102	21.21		9	1.87		0	0.00		481	96.59		17	3.41		498	0.63
	Gnowangerup		2	0.48		0	0.00		0	0.00		25	6.02		0	0.00		172	41.45		59	14.22		0	0.00		47	11.33		2	0.48		0	0.00		1	0.24		0	0.00		7	1.69		7	1.69		83	20.00		10	2.41		0	0.00		415	95.40		20	4.60		435	0.55
	Goomalling		3	0.74		0	0.00		1	0.25		2	0.50		0	0.00		183	45.30		60	14.85		0	0.00		62	15.35		2	0.50		1	0.25		3	0.74		0	0.00		2	0.50		11	2.72		69	17.08		5	1.24		0	0.00		404	91.61		37	8.39		441	0.55
	Hopetoun		1	0.36		0	0.00		0	0.00		6	2.19		5	1.82		140	51.09		25	9.12		0	0.00		38	13.87		5	1.82		0	0.00		2	0.73		0	0.00		1	0.36		3	1.09		40	14.60		8	2.92		0	0.00		274	93.52		19	6.48		293	0.37
	Hyden		2	0.76		0	0.00		1	0.38		1	0.38		2	0.76		114	43.18		83	31.44		0	0.00		39	14.77		1	0.38		0	0.00		1	0.38		0	0.00		0	0.00		2	0.76		16	6.06		2	0.76		0	0.00		264	98.51		4	1.49		268	0.34
	Jennacubbine		1	1.32		0	0.00		0	0.00		2	2.63		0	0.00		37	48.68		14	18.42		0	0.00		11	14.47		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.32		7	9.21		3	3.95		0	0.00		76	98.70		1	1.30		77	0.10
	Jerdacuttup		0	0.00		0	0.00		0	0.00		0	0.00		1	1.56		38	59.38		5	7.81		0	0.00		11	17.19		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.56		6	9.38		2	3.13		0	0.00		64	98.46		1	1.54		65	0.08
	Jerramungup		3	1.12		0	0.00		1	0.37		8	2.97		0	0.00		164	60.97		38	14.13		0	0.00		25	9.29		1	0.37		0	0.00		1	0.37		0	0.00		0	0.00		4	1.49		19	7.06		5	1.86		0	0.00		269	97.82		6	2.18		275	0.35
	Jingalup		0	0.00		0	0.00		0	0.00		1	1.16		3	3.49		37	43.02		28	32.56		0	0.00		9	10.47		2	2.33		0	0.00		0	0.00		0	0.00		0	0.00		1	1.16		4	4.65		1	1.16		0	0.00		86	100.00		0	0.00		86	0.11
	Jurien		3	0.42		0	0.00		0	0.00		0	0.00		0	0.00		420	58.58		40	5.58		1	0.14		100	13.95		12	1.67		1	0.14		0	0.00		0	0.00		2	0.28		15	2.09		104	14.50		19	2.65		0	0.00		717	93.00		54	7.00		771	0.97
	Kalannie		1	0.63		0	0.00		0	0.00		1	0.63		0	0.00		90	56.96		24	15.19		0	0.00		25	15.82		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	2.53		11	6.96		1	0.63		1	0.63		158	95.76		7	4.24		165	0.21
	Karlgarin		2	2.56		0	0.00		0	0.00		0	0.00		1	1.28		34	43.59		29	37.18		0	0.00		7	8.97		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	3.85		2	2.56		0	0.00		78	92.86		6	7.14		84	0.11
	Katanning		18	1.05		3	0.18		2	0.12		15	0.88		11	0.64		647	37.90		162	9.49		3	0.18		246	14.41		18	1.05		3	0.18		15	0.88		0	0.00		20	1.17		35	2.05		462	27.07		45	2.64		2	0.12		1707	95.36		83	4.64		1790	2.25
	Katanning District Hospital		2	0.87		0	0.00		0	0.00		7	3.04		0	0.00		92	40.00		14	6.09		1	0.43		18	7.83		6	2.61		1	0.43		1	0.43		0	0.00		4	1.74		4	1.74		77	33.48		3	1.30		0	0.00		230	93.88		15	6.12		245	0.31
	Kellerberrin		5	0.90		1	0.18		2	0.36		3	0.54		0	0.00		253	45.67		77	13.90		0	0.00		69	12.45		3	0.54		0	0.00		0	0.00		0	0.00		9	1.62		7	1.26		114	20.58		10	1.81		1	0.18		554	93.11		41	6.89		595	0.75
	Kendenup		1	0.26		0	0.00		0	0.00		10	2.62		2	0.52		138	36.13		41	10.73		0	0.00		65	17.02		8	2.09		0	0.00		1	0.26		0	0.00		2	0.52		15	3.93		64	16.75		35	9.16		0	0.00		382	95.26		19	4.74		401	0.50
	King River		2	0.59		0	0.00		0	0.00		11	3.25		0	0.00		153	45.27		18	5.33		1	0.30		51	15.09		1	0.30		0	0.00		0	0.00		0	0.00		0	0.00		12	3.55		60	17.75		28	8.28		1	0.30		338	96.02		14	3.98		352	0.44
	Kojonup		4	0.50		0	0.00		0	0.00		19	2.35		9	1.12		405	50.19		130	16.11		0	0.00		94	11.65		8	0.99		0	0.00		5	0.62		0	0.00		5	0.62		14	1.73		96	11.90		17	2.11		1	0.12		807	94.06		51	5.94		858	1.08
	Kondinin		0	0.00		0	0.00		0	0.00		3	1.47		0	0.00		76	37.25		62	30.39		0	0.00		18	8.82		2	0.98		0	0.00		0	0.00		0	0.00		1	0.49		7	3.43		32	15.69		3	1.47		0	0.00		204	98.08		4	1.92		208	0.26
	Koorda		3	0.97		0	0.00		0	0.00		4	1.30		0	0.00		137	44.48		59	19.16		0	0.00		66	21.43		1	0.32		0	0.00		1	0.32		0	0.00		1	0.32		2	0.65		31	10.06		3	0.97		0	0.00		308	97.47		8	2.53		316	0.40
	Kukerin		0	0.00		0	0.00		0	0.00		1	0.80		1	0.80		34	27.20		55	44.00		0	0.00		20	16.00		2	1.60		0	0.00		0	0.00		0	0.00		0	0.00		1	0.80		11	8.80		0	0.00		0	0.00		125	98.43		2	1.57		127	0.16
	Kulin		1	0.32		0	0.00		0	0.00		1	0.32		0	0.00		132	42.58		97	31.29		0	0.00		29	9.35		3	0.97		1	0.32		0	0.00		0	0.00		2	0.65		5	1.61		34	10.97		5	1.61		0	0.00		310	95.68		14	4.32		324	0.41
	Kununoppin		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		31	48.44		13	20.31		0	0.00		5	7.81		2	3.13		0	0.00		1	1.56		0	0.00		0	0.00		1	1.56		10	15.63		1	1.56		0	0.00		64	95.52		3	4.48		67	0.08
	Lake Grace		5	1.19		2	0.48		0	0.00		7	1.67		1	0.24		194	46.30		109	26.01		0	0.00		52	12.41		2	0.48		0	0.00		0	0.00		0	0.00		2	0.48		10	2.39		32	7.64		3	0.72		0	0.00		419	96.99		13	3.01		432	0.54
