Senate - 2001 Election: Western Australia																																																																
First Preference Votes by Group 																																																																
By Polling Place																																																																
Kalgoorlie (82534)																																																																
			Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
			Unendorsed			Unendorsed			TPS			CTA			CEC			LP			NP			UNI			HAN			LFF			Unendorsed			CLA			Unendorsed			PLP			DEM			ALP			GWA			Independent										
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
	Merredin South		3	0.68		0	0.00		1	0.23		4	0.90		2	0.45		144	32.43		50	11.26		0	0.00		78	17.57		5	1.13		0	0.00		2	0.45		0	0.00		5	1.13		15	3.38		120	27.03		15	3.38		0	0.00		444	93.47		31	6.53		475	0.66
	Moorine Rock		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		69	75.82		2	2.20		0	0.00		10	10.99		1	1.10		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		8	8.79		1	1.10		0	0.00		91	98.91		1	1.09		92	0.13
	Mount Magnet		0	0.00		0	0.00		0	0.00		1	0.32		2	0.64		110	35.37		11	3.54		1	0.32		60	19.29		1	0.32		0	0.00		1	0.32		0	0.00		4	1.29		8	2.57		107	34.41		3	0.96		2	0.64		311	95.11		16	4.89		327	0.45
	Mowanjum		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		22	20.95		1	0.95		0	0.00		0	0.00		0	0.00		0	0.00		1	0.95		0	0.00		2	1.90		0	0.00		78	74.29		1	0.95		0	0.00		105	98.13		2	1.87		107	0.15
	Mullewa		3	0.88		0	0.00		0	0.00		1	0.29		0	0.00		167	49.12		35	10.29		0	0.00		28	8.24		3	0.88		0	0.00		0	0.00		0	0.00		5	1.47		8	2.35		86	25.29		4	1.18		0	0.00		340	94.44		20	5.56		360	0.50
	Munglinup (Kalgoorlie)		1	2.22		0	0.00		0	0.00		0	0.00		0	0.00		26	57.78		2	4.44		0	0.00		5	11.11		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		7	15.56		4	8.89		0	0.00		45	100.00		0	0.00		45	0.06
	Muntadgin		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		30	62.50		7	14.58		0	0.00		9	18.75		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	4.17		0	0.00		0	0.00		48	90.57		5	9.43		53	0.07
	Nabawa		0	0.00		0	0.00		0	0.00		2	0.99		0	0.00		123	60.89		7	3.47		0	0.00		23	11.39		1	0.50		0	0.00		0	0.00		0	0.00		1	0.50		3	1.49		29	14.36		13	6.44		0	0.00		202	96.65		7	3.35		209	0.29
	Newman		4	0.56		0	0.00		1	0.14		2	0.28		0	0.00		274	38.65		7	0.99		0	0.00		69	9.73		1	0.14		0	0.00		0	0.00		0	0.00		7	0.99		26	3.67		290	40.90		28	3.95		0	0.00		709	96.33		27	3.67		736	1.02
	Newman North		1	0.13		0	0.00		0	0.00		1	0.13		2	0.26		317	41.99		11	1.46		1	0.13		68	9.01		2	0.26		0	0.00		1	0.13		0	0.00		7	0.93		31	4.11		265	35.10		45	5.96		3	0.40		755	97.55		19	2.45		774	1.08
	Noonkanbah		0	0.00		0	0.00		0	0.00		1	0.84		0	0.00		22	18.49		0	0.00		0	0.00		2	1.68		0	0.00		0	0.00		1	0.84		0	0.00		2	1.68		1	0.84		86	72.27		4	3.36		0	0.00		119	96.75		4	3.25		123	0.17
	Norseman		0	0.00		0	0.00		1	0.22		1	0.22		2	0.45		124	27.87		14	3.15		0	0.00		86	19.33		0	0.00		1	0.22		5	1.12		0	0.00		8	1.80		12	2.70		176	39.55		14	3.15		1	0.22		445	94.68		25	5.32		470	0.65
	Northampton		12	1.52		0	0.00		0	0.00		1	0.13		1	0.13		396	50.13		56	7.09		1	0.13		143	18.10		11	1.39		0	0.00		2	0.25		0	0.00		7	0.89		14	1.77		130	16.46		14	1.77		2	0.25		790	95.18		40	4.82		830	1.15
	Nullagine		1	1.79		0	0.00		0	0.00		0	0.00		0	0.00		19	33.93		2	3.57		0	0.00		7	12.50		0	0.00		0	0.00		2	3.57		0	0.00		0	0.00		1	1.79		24	42.86		0	0.00		0	0.00		56	96.55		2	3.45		58	0.08
	Nulsen		4	0.33		1	0.08		2	0.17		11	0.92		1	0.08		397	33.14		50	4.17		0	0.00		207	17.28		16	1.34		1	0.08		6	0.50		2	0.17		16	1.34		31	2.59		393	32.80		60	5.01		0	0.00		1198	95.61		55	4.39		1253	1.74
	Onslow		0	0.00		0	0.00		0	0.00		0	0.00		1	0.43		75	32.47		6	2.60		0	0.00		51	22.08		2	0.87		1	0.43		1	0.43		1	0.43		2	0.87		10	4.33		73	31.60		8	3.46		0	0.00		231	92.40		19	7.60		250	0.35
	Pannawonica		1	0.43		0	0.00		0	0.00		1	0.43		0	0.00		96	40.85		3	1.28		0	0.00		36	15.32		3	1.28		0	0.00		2	0.85		0	0.00		4	1.70		10	4.26		68	28.94		11	4.68		0	0.00		235	97.11		7	2.89		242	0.34
	Paraburdoo		0	0.00		0	0.00		2	0.39		10	1.93		1	0.19		203	39.19		13	2.51		1	0.19		48	9.27		1	0.19		0	0.00		5	0.97		0	0.00		6	1.16		24	4.63		188	36.29		15	2.90		1	0.19		518	96.46		19	3.54		537	0.75
	Perth (Kalgoorlie)		0	0.00		0	0.00		0	0.00		1	1.15		0	0.00		30	34.48		2	2.30		0	0.00		7	8.05		1	1.15		0	0.00		0	0.00		0	0.00		0	0.00		5	5.75		37	42.53		4	4.60		0	0.00		87	98.86		1	1.14		88	0.12
	Port Hedland		1	0.09		1	0.09		0	0.00		14	1.31		0	0.00		428	40.15		22	2.06		0	0.00		109	10.23		13	1.22		0	0.00		3	0.28		0	0.00		14	1.31		44	4.13		365	34.24		51	4.78		1	0.09		1066	98.07		21	1.93		1087	1.51
	Roebourne		2	0.59		0	0.00		0	0.00		1	0.30		0	0.00		72	21.30		1	0.30		0	0.00		15	4.44		2	0.59		0	0.00		1	0.30		0	0.00		7	2.07		4	1.18		228	67.46		4	1.18		1	0.30		338	87.34		49	12.66		387	0.54
	Rottnest (Kalgoorlie)		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		6	66.67		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	33.33		0	0.00		0	0.00		9	90.00		1	10.00		10	0.01
	Salmon Gums		0	0.00		0	0.00		1	0.78		0	0.00		0	0.00		61	47.29		19	14.73		0	0.00		28	21.71		0	0.00		0	0.00		0	0.00		0	0.00		2	1.55		1	0.78		15	11.63		2	1.55		0	0.00		129	97.73		3	2.27		132	0.18
	Sandstone		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		11	31.43		0	0.00		0	0.00		8	22.86		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		15	42.86		1	2.86		0	0.00		35	92.11		3	7.89		38	0.05
	Scaddan		0	0.00		0	0.00		0	0.00		1	1.33		0	0.00		46	61.33		14	18.67		0	0.00		11	14.67		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.33		1	1.33		1	1.33		0	0.00		75	98.68		1	1.32		76	0.11
	Southern Cross		1	0.21		0	0.00		0	0.00		1	0.21		0	0.00		229	48.11		25	5.25		0	0.00		63	13.24		6	1.26		2	0.42		1	0.21		0	0.00		5	1.05		14	2.94		120	25.21		9	1.89		0	0.00		476	98.76		6	1.24		482	0.67
	South Hedland		2	0.16		1	0.08		2	0.16		11	0.87		4	0.32		381	30.05		18	1.42		0	0.00		112	8.83		8	0.63		0	0.00		7	0.55		0	0.00		11	0.87		57	4.50		601	47.40		52	4.10		1	0.08		1268	96.65		44	3.35		1312	1.82
	South Hedland Baler		3	0.19		1	0.06		3	0.19		7	0.45		2	0.13		507	32.50		21	1.35		0	0.00		154	9.87		5	0.32		0	0.00		5	0.32		0	0.00		18	1.15		70	4.49		686	43.97		76	4.87		2	0.13		1560	96.71		53	3.29		1613	2.24
	Tardun		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		31	58.49		4	7.55		0	0.00		4	7.55		1	1.89		0	0.00		0	0.00		0	0.00		1	1.89		2	3.77		9	16.98		1	1.89		0	0.00		53	100.00		0	0.00		53	0.07
	Telfer		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	25.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	75.00		0	0.00		0	0.00		4	100.00		0	0.00		4	0.01
	Tom Price		2	0.16		2	0.16		1	0.08		8	0.65		0	0.00		463	37.52		13	1.05		1	0.08		85	6.89		10	0.81		1	0.08		3	0.24		0	0.00		13	1.05		43	3.48		518	41.98		69	5.59		2	0.16		1234	97.09		37	2.91		1271	1.77
	Useless Loop		0	0.00		0	0.00		0	0.00		1	2.38		0	0.00		19	45.24		0	0.00		0	0.00		3	7.14		0	0.00		0	0.00		0	0.00		0	0.00		2	4.76		2	4.76		14	33.33		1	2.38		0	0.00		42	100.00		0	0.00		42	0.06
	Wangkatjungka		2	3.70		0	0.00		1	1.85		1	1.85		0	0.00		10	18.52		1	1.85		0	0.00		1	1.85		0	0.00		0	0.00		1	1.85		0	0.00		3	5.56		5	9.26		28	51.85		1	1.85		0	0.00		54	90.00		6	10.00		60	0.08
	Warmun		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		18	11.39		3	1.90		0	0.00		1	0.63		1	0.63		0	0.00		0	0.00		0	0.00		3	1.90		0	0.00		129	81.65		3	1.90		0	0.00		158	100.00		0	0.00		158	0.22
	Westonia		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		43	54.43		16	20.25		0	0.00		14	17.72		1	1.27		0	0.00		0	0.00		0	0.00		0	0.00		1	1.27		4	5.06		0	0.00		0	0.00		79	95.18		4	4.82		83	0.12
